Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/24/2026,09:45:22:466,0.000000,0.000000,1,-125.66,-125.66,0,0,
09/24/2026,09:45:22:485,0.000000,0.000000,1,-127.64,-127.64,0,0,
09/24/2026,09:45:22:502,0.000000,0.000000,1,-125.19,-125.19,0,0,
09/24/2026,09:45:22:519,0.000000,0.000000,1,-124.65,-124.65,0,0,
09/24/2026,09:45:22:533,0.000000,0.000000,1,-127.89,-127.89,0,0,
09/24/2026,09:45:22:579,0.000000,0.000000,1,-127.32,-127.32,0,0,
09/24/2026,09:45:22:584,0.000000,0.000000,2,-125.99,-125.99,0,0,
09/24/2026,09:45:22:586,0.000000,0.000000,1,-127.12,-127.12,0,0,
09/24/2026,09:45:22:601,0.000000,0.000000,2,-128,-128,0,0,
09/24/2026,09:45:22:615,0.000000,0.000000,3,-125.37,-125.37,0,0,
09/24/2026,09:45:22:641,0.000000,0.000000,1,-125.9,-125.9,0,0,
09/24/2026,09:45:22:657,0.000000,0.000000,2,-126.67,-126.67,0,0,
09/24/2026,09:45:22:689,0.000000,0.000000,3,-126.1,-126.1,0,0,
09/24/2026,09:45:22:693,0.000000,0.000000,1,-125.43,-125.43,0,0,
09/24/2026,09:45:22:701,0.000000,0.000000,4,-125.19,-125.19,0,0,
09/24/2026,09:45:22:722,0.000000,0.000000,2,-126.7,-126.7,0,0,
09/24/2026,09:45:22:737,0.000000,0.000000,3,-125.48,-125.48,0,0,
09/24/2026,09:45:22:775,0.000000,0.000000,1,-127.47,-127.47,0,0,
09/24/2026,09:45:22:789,0.000000,0.000000,4,-124.84,-124.84,0,0,
09/24/2026,09:45:22:819,0.000000,0.000000,2,-125.71,-125.71,0,0,
09/24/2026,09:45:22:835,0.000000,0.000000,3,-125.92,-125.92,0,0,
09/24/2026,09:45:22:900,0.000000,0.000000,1,-126.49,-126.49,0,0,
09/24/2026,09:45:22:914,0.000000,0.000000,4,-124.56,-124.56,0,0,
09/24/2026,09:45:22:958,0.000000,0.000000,2,-125.83,-125.83,0,0,
09/24/2026,09:45:22:990,0.000000,0.000000,3,-126.24,-126.24,0,0,
09/24/2026,09:45:23:072,0.000000,0.000000,1,-125,-125,0,0,
09/24/2026,09:45:23:113,0.000000,0.000000,4,-125.87,-125.87,0,0,
09/24/2026,09:45:23:201,0.000000,0.000000,2,-127.04,-127.04,0,0,
09/24/2026,09:45:23:207,0.000000,0.000000,3,-126.43,-126.43,0,0,
09/24/2026,09:45:23:282,0.000000,0.000000,1,-125.3,-125.3,0,0,
09/24/2026,09:45:23:310,0.000000,0.000000,4,-126.59,-126.59,0,0,
09/24/2026,09:45:23:404,0.000000,0.000000,2,-126.59,-126.59,0,0,
09/24/2026,09:45:23:416,0.000000,0.000000,3,-125.58,-125.58,0,0,
09/24/2026,09:45:23:483,0.000000,0.000000,1,-125.89,-125.89,0,0,
09/24/2026,09:45:23:521,0.000000,0.000000,4,-125.93,-125.93,0,0,
09/24/2026,09:45:23:593,0.000000,0.000000,2,-127.55,-127.55,0,0,
09/24/2026,09:45:23:623,0.000000,0.000000,3,-126.47,-126.47,0,0,
09/24/2026,09:45:23:758,0.000000,0.000000,1,-124.69,-124.69,0,0,
09/24/2026,09:45:23:841,0.000000,0.000000,4,-123.79,-123.79,0,0,
09/24/2026,09:45:23:919,0.000000,0.000000,2,-126.67,-126.67,0,0,
09/24/2026,09:45:23:968,0.000000,0.000000,3,-123.27,-123.27,0,0,
09/24/2026,09:45:24:018,0.000000,0.000000,1,-124.53,-124.53,0,0,
09/24/2026,09:45:24:068,0.000000,0.000000,4,-123.89,-123.89,0,0,
09/24/2026,09:45:24:091,0.000000,0.000000,2,-125.17,-125.17,0,0,
09/24/2026,09:45:24:103,0.000000,0.000000,3,-125.41,-125.41,0,0,
09/24/2026,09:45:24:126,0.000000,0.000000,1,-127.38,-127.38,0,0,
09/24/2026,09:45:24:159,0.000000,0.000000,4,-125.93,-125.93,0,0,
09/24/2026,09:45:24:223,0.000000,0.000000,2,-125.64,-125.64,0,0,
09/24/2026,09:45:24:260,0.000000,0.000000,3,-127.31,-127.31,0,0,
09/24/2026,09:45:24:329,0.000000,0.000000,1,-126.83,-126.83,0,0,
09/24/2026,09:45:24:371,0.000000,0.000000,4,-125.01,-125.01,0,0,
09/24/2026,09:45:24:448,0.000000,0.000000,2,-127.02,-127.02,0,0,
09/24/2026,09:45:24:473,0.000000,0.000000,3,-125.49,-125.49,0,0,
09/24/2026,09:45:24:559,0.000000,0.000000,1,-126.18,-126.18,0,0,
09/24/2026,09:45:24:572,0.000000,0.000000,4,-125.98,-125.98,0,0,
09/24/2026,09:45:24:644,0.000000,0.000000,2,-125.2,-125.2,0,0,
09/24/2026,09:45:24:683,0.000000,0.000000,3,-124.84,-124.84,0,0,
09/24/2026,09:45:24:754,0.000000,0.000000,1,-126.07,-126.07,0,0,
09/24/2026,09:45:24:787,0.000000,0.000000,4,-122.8,-122.8,0,0,
09/24/2026,09:45:24:855,0.000000,0.000000,2,-127.91,-127.91,0,0,
09/24/2026,09:45:24:901,0.000000,0.000000,3,-126.47,-126.47,0,0,
09/24/2026,09:45:24:962,0.000000,0.000000,1,-126.09,-126.09,0,0,
09/24/2026,09:45:25:001,0.000000,0.000000,4,-122.15,-122.15,0,0,
09/24/2026,09:45:25:066,0.000000,0.000000,2,-126.09,-126.09,0,0,
09/24/2026,09:45:25:099,0.000000,0.000000,3,-124.25,-124.25,0,0,
09/24/2026,09:45:25:179,0.000000,0.000000,1,-126.84,-126.84,0,0,
09/24/2026,09:45:25:210,0.000000,0.000000,4,-123.89,-123.89,0,0,
09/24/2026,09:45:25:288,0.000000,0.000000,2,-126.56,-126.56,0,0,
09/24/2026,09:45:25:323,0.000000,0.000000,3,-126.46,-126.46,0,0,
09/24/2026,09:45:25:384,0.000000,0.000000,1,-125.8,-125.8,0,0,
09/24/2026,09:45:25:424,0.000000,0.000000,4,-123.31,-123.31,0,0,
09/24/2026,09:45:25:511,0.000000,0.000000,2,-126.56,-126.56,0,0,
09/24/2026,09:45:25:545,0.000000,0.000000,3,-122.94,-122.94,0,0,
09/24/2026,09:45:25:600,0.000000,0.000000,1,-127.13,-127.13,0,0,
09/24/2026,09:45:25:640,0.000000,0.000000,4,-125.04,-125.04,0,0,
09/24/2026,09:45:25:719,0.000000,0.000000,2,-125.72,-125.72,0,0,
09/24/2026,09:45:25:844,0.000000,0.000000,3,-124.59,-124.59,0,0,
