Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/24/2026,09:56:08:148,0.000000,0.000000,1,-108.02,-108.02,0,0,
09/24/2026,09:56:08:211,0.000000,0.000000,2,-111.87,-111.87,0,0,
09/24/2026,09:56:08:263,0.000000,0.000000,3,-72.37,-72.37,0,0,
09/24/2026,09:56:08:305,0.000000,0.000000,4,-114.09,-114.09,0,0,
09/24/2026,09:56:08:390,0.000000,0.000000,1,-106.96,-106.96,0,0,
09/24/2026,09:56:08:410,0.000000,0.000000,2,-112.46,-112.46,0,0,
09/24/2026,09:56:08:468,0.000000,0.000000,3,-115.5,-115.5,0,0,
09/24/2026,09:56:08:523,0.000000,0.000000,4,-110.53,-110.53,0,0,
09/24/2026,09:56:08:571,0.000000,0.000000,1,-109.66,-109.66,0,0,
09/24/2026,09:56:08:622,0.000000,0.000000,2,-112.26,-112.26,0,0,
09/24/2026,09:56:08:675,0.000000,0.000000,3,-71.79,-71.79,0,0,
09/24/2026,09:56:08:742,0.000000,0.000000,4,-118.4,-118.4,0,0,
09/24/2026,09:56:08:787,0.000000,0.000000,1,-112.01,-112.01,0,0,
09/24/2026,09:56:08:839,0.000000,0.000000,2,-112.44,-112.44,0,0,
09/24/2026,09:56:08:910,0.000000,0.000000,3,-87.68,-87.68,0,0,
09/24/2026,09:56:08:952,0.000000,0.000000,4,-115.85,-115.85,0,0,
09/24/2026,09:56:08:991,0.000000,0.000000,1,-108.63,-108.63,0,0,
09/24/2026,09:56:09:052,0.000000,0.000000,2,-112.8,-112.8,0,0,
09/24/2026,09:56:09:098,0.000000,0.000000,3,-65.22,-65.22,0,0,
09/24/2026,09:56:09:148,0.000000,0.000000,4,-117.12,-117.12,0,0,
09/24/2026,09:56:09:210,0.000000,0.000000,1,-104.53,-104.53,0,0,
09/24/2026,09:56:09:282,0.000000,0.000000,2,-113.74,-113.74,0,0,
09/24/2026,09:56:09:324,0.000000,0.000000,3,-78.96,-78.96,0,0,
09/24/2026,09:56:09:379,0.000000,0.000000,4,-115.24,-115.24,0,0,
09/24/2026,09:56:09:420,0.000000,0.000000,1,-114.85,-114.85,0,0,
09/24/2026,09:56:09:462,0.000000,0.000000,2,-112.55,-112.55,0,0,
09/24/2026,09:56:09:531,0.000000,0.000000,3,-67.72,-67.72,0,0,
09/24/2026,09:56:09:569,0.000000,0.000000,4,-116.09,-116.09,0,0,
09/24/2026,09:56:09:628,0.000000,0.000000,1,-110.6,-110.6,0,0,
09/24/2026,09:56:09:675,0.000000,0.000000,2,-111.59,-111.59,0,0,
09/24/2026,09:56:09:730,0.000000,0.000000,3,-66.49,-66.49,0,0,
