Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/24/2026,08:53:23:182,0.000000,0.000000,1,-123.75,-123.75,0,0,
09/24/2026,08:53:23:251,0.000000,0.000000,2,-124.5,-124.5,0,0,
09/24/2026,08:53:23:301,0.000000,0.000000,3,-128.45,-128.45,0,0,
09/24/2026,08:53:23:302,0.000000,0.000000,1,-123.41,-123.41,0,0,
09/24/2026,08:53:23:438,0.000000,0.000000,4,-68.63,-68.63,0,0,
09/24/2026,08:53:23:475,0.000000,0.000000,2,-126.13,-126.13,0,0,
09/24/2026,08:53:23:520,0.000000,0.000000,3,-126.29,-126.29,0,0,
09/24/2026,08:53:23:523,0.000000,0.000000,1,-122.54,-122.54,0,0,
09/24/2026,08:53:23:559,0.000000,0.000000,4,-69.02,-69.02,0,0,
09/24/2026,08:53:23:598,0.000000,0.000000,2,-126.29,-126.29,0,0,
09/24/2026,08:53:23:650,0.000000,0.000000,3,-124.95,-124.95,0,0,
09/24/2026,08:53:23:664,0.000000,0.000000,1,-120.81,-120.81,0,0,
09/24/2026,08:53:23:713,0.000000,0.000000,4,-67.02,-67.02,0,0,
09/24/2026,08:53:23:766,0.000000,0.000000,2,-124.79,-124.79,0,0,
09/24/2026,08:53:23:888,0.000000,0.000000,3,-126.46,-126.46,0,0,
09/24/2026,08:53:23:889,0.000000,0.000000,1,-120.26,-120.26,0,0,
09/24/2026,08:53:23:928,0.000000,0.000000,4,-70.94,-70.94,0,0,
09/24/2026,08:53:23:977,0.000000,0.000000,2,-127.17,-127.17,0,0,
09/24/2026,08:53:24:072,0.000000,0.000000,3,-126.8,-126.8,0,0,
09/24/2026,08:53:24:080,0.000000,0.000000,1,-120.02,-120.02,0,0,
09/24/2026,08:53:24:135,0.000000,0.000000,4,-76.31,-76.31,0,0,
09/24/2026,08:53:24:184,0.000000,0.000000,2,-124.74,-124.74,0,0,
09/24/2026,08:53:24:276,0.000000,0.000000,3,-125.39,-125.39,0,0,
09/24/2026,08:53:24:300,0.000000,0.000000,1,-119.76,-119.76,0,0,
09/24/2026,08:53:24:344,0.000000,0.000000,4,-71.37,-71.37,0,0,
09/24/2026,08:53:24:407,0.000000,0.000000,2,-124.09,-124.09,0,0,
09/24/2026,08:53:24:490,0.000000,0.000000,3,-125.42,-125.42,0,0,
09/24/2026,08:53:24:500,0.000000,0.000000,1,-121.1,-121.1,0,0,
09/24/2026,08:53:24:565,0.000000,0.000000,4,-80.96,-80.96,0,0,
