Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/24/2026,09:43:51:294,0.000000,0.000000,1,-120.5,-120.5,0,0,
09/24/2026,09:43:51:492,0.000000,0.000000,1,-120.53,-120.53,0,0,
09/24/2026,09:43:51:538,0.000000,0.000000,2,-121.17,-121.17,0,0,
09/24/2026,09:43:51:570,0.000000,0.000000,1,-118.36,-118.36,0,0,
09/24/2026,09:43:51:629,0.000000,0.000000,2,-119.14,-119.14,0,0,
09/24/2026,09:43:51:727,0.000000,0.000000,1,-121.57,-121.57,0,0,
09/24/2026,09:43:51:844,0.000000,0.000000,2,-119.84,-119.84,0,0,
09/24/2026,09:43:51:887,0.000000,0.000000,3,-87.03,-87.03,0,0,
09/24/2026,09:43:51:924,0.000000,0.000000,1,-120.02,-120.02,0,0,
09/24/2026,09:43:51:995,0.000000,0.000000,2,-119.22,-119.22,0,0,
09/24/2026,09:43:52:030,0.000000,0.000000,3,-96.05,-96.05,0,0,
09/24/2026,09:43:52:042,0.000000,0.000000,1,-121.65,-121.65,0,0,
09/24/2026,09:43:52:084,0.000000,0.000000,4,-123.01,-123.01,0,0,
09/24/2026,09:43:52:141,0.000000,0.000000,2,-121.41,-121.41,0,0,
09/24/2026,09:43:52:220,0.000000,0.000000,3,-82.09,-82.09,0,0,
09/24/2026,09:43:52:303,0.000000,0.000000,1,-121.71,-121.71,0,0,
09/24/2026,09:43:52:389,0.000000,0.000000,4,-121.56,-121.56,0,0,
09/24/2026,09:43:52:408,0.000000,0.000000,2,-121.58,-121.58,0,0,
09/24/2026,09:43:52:475,0.000000,0.000000,3,-96.6,-96.6,0,0,
09/24/2026,09:43:52:633,0.000000,0.000000,1,-122.29,-122.29,0,0,
09/24/2026,09:43:52:767,0.000000,0.000000,4,-126.33,-126.33,0,0,
09/24/2026,09:43:52:823,0.000000,0.000000,2,-123.14,-123.14,0,0,
09/24/2026,09:43:52:887,0.000000,0.000000,3,-123.62,-123.62,0,0,
09/24/2026,09:43:52:912,0.000000,0.000000,1,-122.64,-122.64,0,0,
09/24/2026,09:43:52:992,0.000000,0.000000,4,-123.78,-123.78,0,0,
09/24/2026,09:43:53:104,0.000000,0.000000,2,-119.92,-119.92,0,0,
09/24/2026,09:43:53:122,0.000000,0.000000,3,-120.29,-120.29,0,0,
09/24/2026,09:43:53:144,0.000000,0.000000,1,-120.05,-120.05,0,0,
09/24/2026,09:43:53:243,0.000000,0.000000,4,-123.1,-123.1,0,0,
09/24/2026,09:43:53:278,0.000000,0.000000,2,-120.52,-120.52,0,0,
09/24/2026,09:43:53:339,0.000000,0.000000,3,-99.63,-99.63,0,0,
09/24/2026,09:43:53:371,0.000000,0.000000,1,-122.7,-122.7,0,0,
09/24/2026,09:43:53:431,0.000000,0.000000,4,-123.97,-123.97,0,0,
09/24/2026,09:43:53:465,0.000000,0.000000,2,-117.1,-117.1,0,0,
09/24/2026,09:43:53:508,0.000000,0.000000,3,-108.09,-108.09,0,0,
09/24/2026,09:43:53:514,0.000000,0.000000,1,-122.2,-122.2,0,0,
09/24/2026,09:43:53:559,0.000000,0.000000,4,-123.31,-123.31,0,0,
09/24/2026,09:43:53:597,0.000000,0.000000,2,-120.85,-120.85,0,0,
09/24/2026,09:43:53:628,0.000000,0.000000,3,-83.09,-83.09,0,0,
09/24/2026,09:43:53:672,0.000000,0.000000,1,-122.25,-122.25,0,0,
09/24/2026,09:43:53:742,0.000000,0.000000,4,-122.6,-122.6,0,0,
09/24/2026,09:43:53:768,0.000000,0.000000,2,-121.98,-121.98,0,0,
09/24/2026,09:43:53:791,0.000000,0.000000,3,-87.17,-87.17,0,0,
09/24/2026,09:43:53:809,0.000000,0.000000,1,-121.53,-121.53,0,0,
09/24/2026,09:43:53:834,0.000000,0.000000,4,-122.81,-122.81,0,0,
09/24/2026,09:43:53:880,0.000000,0.000000,2,-120.49,-120.49,0,0,
09/24/2026,09:43:53:894,0.000000,0.000000,3,-100.57,-100.57,0,0,
09/24/2026,09:43:53:925,0.000000,0.000000,1,-124.35,-124.35,0,0,
09/24/2026,09:43:53:961,0.000000,0.000000,4,-124.36,-124.36,0,0,
09/24/2026,09:43:53:997,0.000000,0.000000,2,-122.49,-122.49,0,0,
09/24/2026,09:43:54:011,0.000000,0.000000,3,-94.23,-94.23,0,0,
09/24/2026,09:43:54:024,0.000000,0.000000,1,-121.45,-121.45,0,0,
09/24/2026,09:43:54:077,0.000000,0.000000,4,-123.28,-123.28,0,0,
09/24/2026,09:43:54:126,0.000000,0.000000,2,-121.95,-121.95,0,0,
09/24/2026,09:43:54:196,0.000000,0.000000,3,-90.36,-90.36,0,0,
09/24/2026,09:43:54:205,0.000000,0.000000,1,-121.23,-121.23,0,0,
09/24/2026,09:43:54:289,0.000000,0.000000,4,-123.75,-123.75,0,0,
09/24/2026,09:43:54:348,0.000000,0.000000,2,-122.52,-122.52,0,0,
09/24/2026,09:43:54:460,0.000000,0.000000,3,-77.67,-77.67,0,0,
09/24/2026,09:43:54:484,0.000000,0.000000,1,-123.86,-123.86,0,0,
09/24/2026,09:43:54:517,0.000000,0.000000,4,-123.42,-123.42,0,0,
09/24/2026,09:43:54:531,0.000000,0.000000,2,-120.26,-120.26,0,0,
09/24/2026,09:43:54:590,0.000000,0.000000,3,-102.28,-102.28,0,0,
09/24/2026,09:43:54:625,0.000000,0.000000,1,-122.49,-122.49,0,0,
09/24/2026,09:43:54:671,0.000000,0.000000,4,-123.25,-123.25,0,0,
09/24/2026,09:43:54:703,0.000000,0.000000,2,-120.83,-120.83,0,0,
09/24/2026,09:43:54:753,0.000000,0.000000,3,-103.69,-103.69,0,0,
09/24/2026,09:43:54:795,0.000000,0.000000,1,-123.78,-123.78,0,0,
09/24/2026,09:43:54:885,0.000000,0.000000,4,-123.2,-123.2,0,0,
09/24/2026,09:43:54:956,0.000000,0.000000,2,-121.05,-121.05,0,0,
09/24/2026,09:43:54:981,0.000000,0.000000,3,-85.42,-85.42,0,0,
09/24/2026,09:43:55:015,0.000000,0.000000,1,-121.95,-121.95,0,0,
09/24/2026,09:43:55:083,0.000000,0.000000,4,-121.97,-121.97,0,0,
09/24/2026,09:43:55:122,0.000000,0.000000,2,-120.25,-120.25,0,0,
09/24/2026,09:43:55:181,0.000000,0.000000,3,-99.34,-99.34,0,0,
09/24/2026,09:43:55:226,0.000000,0.000000,1,-122.18,-122.18,0,0,
09/24/2026,09:43:55:293,0.000000,0.000000,4,-123.58,-123.58,0,0,
09/24/2026,09:43:55:336,0.000000,0.000000,2,-117.61,-117.61,0,0,
09/24/2026,09:43:55:402,0.000000,0.000000,3,-98.23,-98.23,0,0,
09/24/2026,09:43:55:439,0.000000,0.000000,1,-121.38,-121.38,0,0,
09/24/2026,09:43:55:550,0.000000,0.000000,4,-122.56,-122.56,0,0,
09/24/2026,09:43:55:560,0.000000,0.000000,2,-120.77,-120.77,0,0,
09/24/2026,09:43:55:609,0.000000,0.000000,3,-82.57,-82.57,0,0,
09/24/2026,09:43:55:660,0.000000,0.000000,1,-122.47,-122.47,0,0,
09/24/2026,09:43:55:739,0.000000,0.000000,4,-122.17,-122.17,0,0,
09/24/2026,09:43:55:789,0.000000,0.000000,2,-118.17,-118.17,0,0,
09/24/2026,09:43:55:869,0.000000,0.000000,3,-91.17,-91.17,0,0,
09/24/2026,09:43:55:895,0.000000,0.000000,1,-121.77,-121.77,0,0,
09/24/2026,09:43:55:966,0.000000,0.000000,4,-123.2,-123.2,0,0,
09/24/2026,09:43:55:994,0.000000,0.000000,2,-119.21,-119.21,0,0,
09/24/2026,09:43:56:163,0.000000,0.000000,3,-92.01,-92.01,0,0,
09/24/2026,09:43:56:202,0.000000,0.000000,1,-120.17,-120.17,0,0,
09/24/2026,09:43:56:320,0.000000,0.000000,4,-124.55,-124.55,0,0,
09/24/2026,09:43:56:384,0.000000,0.000000,2,-118.95,-118.95,0,0,
09/24/2026,09:43:56:457,0.000000,0.000000,3,-117.4,-117.4,0,0,
09/24/2026,09:43:56:487,0.000000,0.000000,1,-121.81,-121.81,0,0,
09/24/2026,09:43:56:525,0.000000,0.000000,4,-124.35,-124.35,0,0,
09/24/2026,09:43:56:584,0.000000,0.000000,2,-119.55,-119.55,0,0,
09/24/2026,09:43:56:768,0.000000,0.000000,3,-98.39,-98.39,0,0,
09/24/2026,09:43:56:867,0.000000,0.000000,1,-121.56,-121.56,0,0,
09/24/2026,09:43:56:932,0.000000,0.000000,4,-123.65,-123.65,0,0,
09/24/2026,09:43:56:954,0.000000,0.000000,2,-120.86,-120.86,0,0,
09/24/2026,09:43:57:013,0.000000,0.000000,3,-76.74,-76.74,0,0,
09/24/2026,09:43:57:739,0.000000,0.000000,1,-114.86,-114.86,0,0,
09/24/2026,09:43:57:779,0.000000,0.000000,4,-123.89,-123.89,0,0,
09/24/2026,09:43:57:828,0.000000,0.000000,2,-114.33,-114.33,0,0,
09/24/2026,09:43:57:863,0.000000,0.000000,3,-123.92,-123.92,0,0,
09/24/2026,09:43:57:874,0.000000,0.000000,1,-114.57,-114.57,0,0,
09/24/2026,09:43:57:990,0.000000,0.000000,4,-123.33,-123.33,0,0,
09/24/2026,09:43:58:028,0.000000,0.000000,2,-109.39,-109.39,0,0,
09/24/2026,09:43:58:044,0.000000,0.000000,3,-100.98,-100.98,0,0,
09/24/2026,09:43:58:130,0.000000,0.000000,1,-108.03,-108.03,0,0,
09/24/2026,09:43:58:164,0.000000,0.000000,4,-124.97,-124.97,0,0,
09/24/2026,09:43:58:196,0.000000,0.000000,2,-114.13,-114.13,0,0,
09/24/2026,09:43:58:243,0.000000,0.000000,3,-74.98,-74.98,0,0,
09/24/2026,09:43:58:258,0.000000,0.000000,1,-111.6,-111.6,0,0,
09/24/2026,09:43:58:275,0.000000,0.000000,4,-123.84,-123.84,0,0,
09/24/2026,09:43:58:341,0.000000,0.000000,2,-118.45,-118.45,0,0,
09/24/2026,09:43:58:365,0.000000,0.000000,3,-70.36,-70.36,0,0,
09/24/2026,09:43:58:384,0.000000,0.000000,1,-111.35,-111.35,0,0,
09/24/2026,09:43:58:420,0.000000,0.000000,4,-121.21,-121.21,0,0,
09/24/2026,09:43:58:467,0.000000,0.000000,2,-119.7,-119.7,0,0,
09/24/2026,09:43:58:493,0.000000,0.000000,3,-80.37,-80.37,0,0,
09/24/2026,09:43:58:530,0.000000,0.000000,1,-115.56,-115.56,0,0,
09/24/2026,09:43:58:555,0.000000,0.000000,4,-123.81,-123.81,0,0,
09/24/2026,09:43:58:573,0.000000,0.000000,2,-120.12,-120.12,0,0,
09/24/2026,09:43:58:586,0.000000,0.000000,3,-76.54,-76.54,0,0,
