Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/24/2026,09:43:49:623,0.000000,0.000000,1,-126.33,-126.33,0,0,
09/24/2026,09:43:49:646,0.000000,0.000000,1,-126.76,-126.76,0,0,
09/24/2026,09:43:49:662,0.000000,0.000000,1,-127.17,-127.17,0,0,
09/24/2026,09:43:49:669,0.000000,0.000000,1,-126.52,-126.52,0,0,
09/24/2026,09:43:49:684,0.000000,0.000000,1,-126.8,-126.8,0,0,
09/24/2026,09:43:49:703,0.000000,0.000000,1,-125.72,-125.72,0,0,
09/24/2026,09:43:49:707,0.000000,0.000000,2,-125.31,-125.31,0,0,
09/24/2026,09:43:49:840,0.000000,0.000000,1,-126.39,-126.39,0,0,
09/24/2026,09:43:49:841,0.000000,0.000000,2,-125.79,-125.79,0,0,
09/24/2026,09:43:49:895,0.000000,0.000000,1,-125.97,-125.97,0,0,
09/24/2026,09:43:49:899,0.000000,0.000000,2,-126.76,-126.76,0,0,
09/24/2026,09:43:49:908,0.000000,0.000000,1,-127.05,-127.05,0,0,
09/24/2026,09:43:49:947,0.000000,0.000000,2,-125.73,-125.73,0,0,
09/24/2026,09:43:50:035,0.000000,0.000000,3,-124.57,-124.57,0,0,
09/24/2026,09:43:50:068,0.000000,0.000000,1,-126.1,-126.1,0,0,
09/24/2026,09:43:50:127,0.000000,0.000000,2,-125.8,-125.8,0,0,
09/24/2026,09:43:50:128,0.000000,0.000000,3,-126.88,-126.88,0,0,
09/24/2026,09:43:50:142,0.000000,0.000000,1,-125.38,-125.38,0,0,
09/24/2026,09:43:50:151,0.000000,0.000000,2,-127.45,-127.45,0,0,
09/24/2026,09:43:50:193,0.000000,0.000000,3,-125.11,-125.11,0,0,
09/24/2026,09:43:50:195,0.000000,0.000000,1,-126.71,-126.71,0,0,
09/24/2026,09:43:50:198,0.000000,0.000000,2,-127.24,-127.24,0,0,
09/24/2026,09:43:50:214,0.000000,0.000000,3,-125.53,-125.53,0,0,
09/24/2026,09:43:50:224,0.000000,0.000000,1,-127.11,-127.11,0,0,
09/24/2026,09:43:50:233,0.000000,0.000000,2,-126.67,-126.67,0,0,
09/24/2026,09:43:50:236,0.000000,0.000000,3,-127.43,-127.43,0,0,
09/24/2026,09:43:50:251,0.000000,0.000000,1,-126.83,-126.83,0,0,
09/24/2026,09:43:50:263,0.000000,0.000000,2,-127.06,-127.06,0,0,
09/24/2026,09:43:50:279,0.000000,0.000000,4,-125.95,-125.95,0,0,
09/24/2026,09:43:50:282,0.000000,0.000000,3,-126.03,-126.03,0,0,
09/24/2026,09:43:50:285,0.000000,0.000000,1,-128.34,-128.34,0,0,
09/24/2026,09:43:50:304,0.000000,0.000000,2,-127.44,-127.44,0,0,
09/24/2026,09:43:50:311,0.000000,0.000000,4,-124.75,-124.75,0,0,
09/24/2026,09:43:50:312,0.000000,0.000000,3,-125.78,-125.78,0,0,
09/24/2026,09:43:50:324,0.000000,0.000000,1,-125.79,-125.79,0,0,
09/24/2026,09:43:50:342,0.000000,0.000000,2,-127.74,-127.74,0,0,
09/24/2026,09:43:50:345,0.000000,0.000000,4,-126.21,-126.21,0,0,
09/24/2026,09:43:50:352,0.000000,0.000000,3,-126.1,-126.1,0,0,
09/24/2026,09:43:50:363,0.000000,0.000000,1,-126.89,-126.89,0,0,
