Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/24/2026,09:43:50:444,0.000000,0.000000,1,-124.65,-124.65,0,0,
09/24/2026,09:43:50:513,0.000000,0.000000,1,-124.8,-124.8,0,0,
09/24/2026,09:43:50:646,0.000000,0.000000,2,-125.7,-125.7,0,0,
09/24/2026,09:43:50:674,0.000000,0.000000,1,-123.97,-123.97,0,0,
09/24/2026,09:43:50:854,0.000000,0.000000,3,-125.36,-125.36,0,0,
09/24/2026,09:43:50:857,0.000000,0.000000,2,-125.25,-125.25,0,0,
09/24/2026,09:43:50:867,0.000000,0.000000,1,-122.87,-122.87,0,0,
09/24/2026,09:43:50:948,0.000000,0.000000,3,-124.22,-124.22,0,0,
09/24/2026,09:43:50:966,0.000000,0.000000,2,-124.56,-124.56,0,0,
09/24/2026,09:43:50:970,0.000000,0.000000,4,-84.72,-84.72,0,0,
09/24/2026,09:43:50:974,0.000000,0.000000,1,-121.87,-121.87,0,0,
09/24/2026,09:43:51:245,0.000000,0.000000,3,-122.48,-122.48,0,0,
09/24/2026,09:43:51:264,0.000000,0.000000,2,-125.69,-125.69,0,0,
09/24/2026,09:43:51:275,0.000000,0.000000,4,-82.68,-82.68,0,0,
09/24/2026,09:43:51:302,0.000000,0.000000,1,-122.17,-122.17,0,0,
09/24/2026,09:43:51:422,0.000000,0.000000,3,-124.28,-124.28,0,0,
09/24/2026,09:43:51:473,0.000000,0.000000,2,-126.55,-126.55,0,0,
09/24/2026,09:43:51:484,0.000000,0.000000,4,-90.22,-90.22,0,0,
09/24/2026,09:43:51:496,0.000000,0.000000,1,-124.64,-124.64,0,0,
09/24/2026,09:43:51:549,0.000000,0.000000,3,-124.83,-124.83,0,0,
09/24/2026,09:43:51:552,0.000000,0.000000,2,-124.88,-124.88,0,0,
09/24/2026,09:43:51:557,0.000000,0.000000,4,-85.92,-85.92,0,0,
09/24/2026,09:43:51:577,0.000000,0.000000,1,-124.98,-124.98,0,0,
09/24/2026,09:43:51:656,0.000000,0.000000,3,-127.38,-127.38,0,0,
09/24/2026,09:43:51:672,0.000000,0.000000,2,-124.53,-124.53,0,0,
09/24/2026,09:43:51:726,0.000000,0.000000,4,-95.85,-95.85,0,0,
09/24/2026,09:43:51:736,0.000000,0.000000,1,-126.76,-126.76,0,0,
09/24/2026,09:43:51:860,0.000000,0.000000,3,-126.02,-126.02,0,0,
09/24/2026,09:43:51:886,0.000000,0.000000,2,-126.39,-126.39,0,0,
09/24/2026,09:43:51:909,0.000000,0.000000,4,-93.78,-93.78,0,0,
09/24/2026,09:43:51:932,0.000000,0.000000,1,-124.26,-124.26,0,0,
09/24/2026,09:43:51:999,0.000000,0.000000,3,-125.37,-125.37,0,0,
09/24/2026,09:43:52:010,0.000000,0.000000,2,-125.17,-125.17,0,0,
09/24/2026,09:43:52:037,0.000000,0.000000,4,-86.81,-86.81,0,0,
