Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/24/2026,09:15:19:822,0.000000,0.000000,1,-123.81,-123.81,0,0,
09/24/2026,09:15:19:824,0.000000,0.000000,1,-122.97,-122.97,0,0,
09/24/2026,09:15:19:832,0.000000,0.000000,1,-122.82,-122.82,0,0,
09/24/2026,09:15:19:842,0.000000,0.000000,1,-122.48,-122.48,0,0,
09/24/2026,09:15:19:862,0.000000,0.000000,1,-121.93,-121.93,0,0,
09/24/2026,09:15:19:876,0.000000,0.000000,1,-122.15,-122.15,0,0,
09/24/2026,09:15:19:896,0.000000,0.000000,2,-118.18,-118.18,0,0,
09/24/2026,09:15:19:909,0.000000,0.000000,1,-121.11,-121.11,0,0,
09/24/2026,09:15:19:927,0.000000,0.000000,2,-117.57,-117.57,0,0,
09/24/2026,09:15:19:944,0.000000,0.000000,3,-123.25,-123.25,0,0,
09/24/2026,09:15:19:969,0.000000,0.000000,1,-120.65,-120.65,0,0,
09/24/2026,09:15:19:977,0.000000,0.000000,2,-118.48,-118.48,0,0,
09/24/2026,09:15:19:994,0.000000,0.000000,4,-123.63,-123.63,0,0,
09/24/2026,09:15:20:023,0.000000,0.000000,3,-123.7,-123.7,0,0,
09/24/2026,09:15:20:036,0.000000,0.000000,1,-122.93,-122.93,0,0,
09/24/2026,09:15:20:072,0.000000,0.000000,2,-117.08,-117.08,0,0,
09/24/2026,09:15:20:079,0.000000,0.000000,4,-124.59,-124.59,0,0,
09/24/2026,09:15:20:113,0.000000,0.000000,3,-124.13,-124.13,0,0,
09/24/2026,09:15:20:154,0.000000,0.000000,1,-122.51,-122.51,0,0,
09/24/2026,09:15:20:185,0.000000,0.000000,2,-117.83,-117.83,0,0,
09/24/2026,09:15:20:215,0.000000,0.000000,4,-124.35,-124.35,0,0,
09/24/2026,09:15:20:274,0.000000,0.000000,3,-124.32,-124.32,0,0,
09/24/2026,09:15:20:311,0.000000,0.000000,1,-121.85,-121.85,0,0,
09/24/2026,09:15:20:382,0.000000,0.000000,2,-117.11,-117.11,0,0,
09/24/2026,09:15:20:431,0.000000,0.000000,4,-124.31,-124.31,0,0,
09/24/2026,09:15:20:479,0.000000,0.000000,3,-125.17,-125.17,0,0,
09/24/2026,09:15:20:515,0.000000,0.000000,1,-121.52,-121.52,0,0,
09/24/2026,09:15:20:611,0.000000,0.000000,2,-117.71,-117.71,0,0,
09/24/2026,09:15:20:638,0.000000,0.000000,4,-123.95,-123.95,0,0,
09/24/2026,09:15:20:690,0.000000,0.000000,3,-124.5,-124.5,0,0,
09/24/2026,09:15:20:735,0.000000,0.000000,1,-122.45,-122.45,0,0,
09/24/2026,09:15:20:796,0.000000,0.000000,2,-117.26,-117.26,0,0,
09/24/2026,09:15:20:867,0.000000,0.000000,4,-123.7,-123.7,0,0,
09/24/2026,09:15:20:914,0.000000,0.000000,3,-124.06,-124.06,0,0,
09/24/2026,09:15:20:946,0.000000,0.000000,1,-121.13,-121.13,0,0,
09/24/2026,09:15:21:026,0.000000,0.000000,2,-116.41,-116.41,0,0,
09/24/2026,09:15:21:067,0.000000,0.000000,4,-124.81,-124.81,0,0,
09/24/2026,09:15:21:115,0.000000,0.000000,3,-123.83,-123.83,0,0,
09/24/2026,09:15:21:151,0.000000,0.000000,1,-120.69,-120.69,0,0,
09/24/2026,09:15:21:234,0.000000,0.000000,2,-116.83,-116.83,0,0,
09/24/2026,09:15:21:272,0.000000,0.000000,4,-120.86,-120.86,0,0,
09/24/2026,09:15:21:331,0.000000,0.000000,3,-126.01,-126.01,0,0,
09/24/2026,09:15:21:363,0.000000,0.000000,1,-121.75,-121.75,0,0,
09/24/2026,09:15:21:433,0.000000,0.000000,2,-116.42,-116.42,0,0,
09/24/2026,09:15:21:492,0.000000,0.000000,4,-123.06,-123.06,0,0,
09/24/2026,09:15:21:535,0.000000,0.000000,3,-121.16,-121.16,0,0,
09/24/2026,09:15:21:594,0.000000,0.000000,1,-122.58,-122.58,0,0,
09/24/2026,09:15:21:645,0.000000,0.000000,2,-118.97,-118.97,0,0,
09/24/2026,09:15:21:703,0.000000,0.000000,4,-124.01,-124.01,0,0,
09/24/2026,09:15:21:747,0.000000,0.000000,3,-124.12,-124.12,0,0,
09/24/2026,09:15:21:786,0.000000,0.000000,1,-122.41,-122.41,0,0,
09/24/2026,09:15:21:861,0.000000,0.000000,2,-117.07,-117.07,0,0,
09/24/2026,09:15:21:908,0.000000,0.000000,4,-122.87,-122.87,0,0,
09/24/2026,09:15:21:967,0.000000,0.000000,3,-124.1,-124.1,0,0,
09/24/2026,09:15:21:990,0.000000,0.000000,1,-123.72,-123.72,0,0,
