Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/24/2026,09:34:28:794,0.000000,0.000000,1,-114.99,-114.99,0,0,
09/24/2026,09:34:28:872,0.000000,0.000000,2,-110.51,-110.51,0,0,
09/24/2026,09:34:28:933,0.000000,0.000000,3,-61.27,-61.27,0,0,
09/24/2026,09:34:29:082,0.000000,0.000000,4,-112.74,-112.74,0,0,
09/24/2026,09:34:29:133,0.000000,0.000000,1,-115.28,-115.28,0,0,
09/24/2026,09:34:29:205,0.000000,0.000000,2,-111.5,-111.5,0,0,
09/24/2026,09:34:29:234,0.000000,0.000000,3,-64.28,-64.28,0,0,
09/24/2026,09:34:29:297,0.000000,0.000000,4,-118.77,-118.77,0,0,
09/24/2026,09:34:29:343,0.000000,0.000000,1,-114.32,-114.32,0,0,
09/24/2026,09:34:29:427,0.000000,0.000000,2,-109.59,-109.59,0,0,
09/24/2026,09:34:29:481,0.000000,0.000000,3,-97,-97,0,0,
09/24/2026,09:34:29:567,0.000000,0.000000,4,-117.77,-117.77,0,0,
09/24/2026,09:34:29:649,0.000000,0.000000,1,-111.73,-111.73,0,0,
09/24/2026,09:34:29:699,0.000000,0.000000,2,-120.04,-120.04,0,0,
09/24/2026,09:34:29:853,0.000000,0.000000,3,-80,-80,0,0,
09/24/2026,09:34:29:937,0.000000,0.000000,4,-118.48,-118.48,0,0,
09/24/2026,09:34:29:958,0.000000,0.000000,1,-120.12,-120.12,0,0,
09/24/2026,09:34:29:980,0.000000,0.000000,2,-117.9,-117.9,0,0,
09/24/2026,09:34:30:042,0.000000,0.000000,3,-78.02,-78.02,0,0,
09/24/2026,09:34:30:130,0.000000,0.000000,4,-115.89,-115.89,0,0,
09/24/2026,09:34:30:210,0.000000,0.000000,1,-117.74,-117.74,0,0,
09/24/2026,09:34:30:277,0.000000,0.000000,2,-112.88,-112.88,0,0,
09/24/2026,09:34:30:331,0.000000,0.000000,3,-69.73,-69.73,0,0,
09/24/2026,09:34:30:406,0.000000,0.000000,4,-117.61,-117.61,0,0,
09/24/2026,09:34:30:488,0.000000,0.000000,1,-112.37,-112.37,0,0,
09/24/2026,09:34:30:557,0.000000,0.000000,2,-110.91,-110.91,0,0,
09/24/2026,09:34:30:629,0.000000,0.000000,3,-62.37,-62.37,0,0,
09/24/2026,09:34:30:713,0.000000,0.000000,4,-113.53,-113.53,0,0,
09/24/2026,09:34:30:811,0.000000,0.000000,1,-106.63,-106.63,0,0,
09/24/2026,09:34:30:844,0.000000,0.000000,2,-109.25,-109.25,0,0,
09/24/2026,09:34:30:900,0.000000,0.000000,3,-81.74,-81.74,0,0,
09/24/2026,09:34:30:978,0.000000,0.000000,4,-114.8,-114.8,0,0,
09/24/2026,09:34:31:016,0.000000,0.000000,1,-108.55,-108.55,0,0,
09/24/2026,09:34:31:126,0.000000,0.000000,2,-115.26,-115.26,0,0,
09/24/2026,09:34:31:168,0.000000,0.000000,3,-67.81,-67.81,0,0,
09/24/2026,09:34:31:255,0.000000,0.000000,4,-114.92,-114.92,0,0,
09/24/2026,09:34:31:294,0.000000,0.000000,1,-118.33,-118.33,0,0,
09/24/2026,09:34:31:422,0.000000,0.000000,2,-116.73,-116.73,0,0,
09/24/2026,09:34:31:468,0.000000,0.000000,3,-73.98,-73.98,0,0,
09/24/2026,09:34:31:641,0.000000,0.000000,4,-119.45,-119.45,0,0,
09/24/2026,09:34:31:672,0.000000,0.000000,1,-108.45,-108.45,0,0,
09/24/2026,09:34:31:729,0.000000,0.000000,2,-112.34,-112.34,0,0,
09/24/2026,09:34:31:778,0.000000,0.000000,3,-66.03,-66.03,0,0,
09/24/2026,09:34:31:828,0.000000,0.000000,4,-119.8,-119.8,0,0,
09/24/2026,09:34:31:853,0.000000,0.000000,1,-110.97,-110.97,0,0,
09/24/2026,09:34:31:933,0.000000,0.000000,2,-112.8,-112.8,0,0,
09/24/2026,09:34:31:996,0.000000,0.000000,3,-65.35,-65.35,0,0,
09/24/2026,09:34:32:085,0.000000,0.000000,4,-114.35,-114.35,0,0,
09/24/2026,09:34:32:138,0.000000,0.000000,1,-103.3,-103.3,0,0,
09/24/2026,09:34:32:205,0.000000,0.000000,2,-106.26,-106.26,0,0,
09/24/2026,09:34:32:272,0.000000,0.000000,3,-73.32,-73.32,0,0,
09/24/2026,09:34:32:395,0.000000,0.000000,4,-115.57,-115.57,0,0,
09/24/2026,09:34:32:411,0.000000,0.000000,1,-107.4,-107.4,0,0,
09/24/2026,09:34:32:484,0.000000,0.000000,2,-111.88,-111.88,0,0,
09/24/2026,09:34:32:564,0.000000,0.000000,3,-81.62,-81.62,0,0,
09/24/2026,09:34:32:649,0.000000,0.000000,4,-117.47,-117.47,0,0,
09/24/2026,09:34:32:706,0.000000,0.000000,1,-108.76,-108.76,0,0,
09/24/2026,09:34:32:758,0.000000,0.000000,2,-112.49,-112.49,0,0,
09/24/2026,09:34:32:834,0.000000,0.000000,3,-67.65,-67.65,0,0,
09/24/2026,09:34:32:925,0.000000,0.000000,4,-115.04,-115.04,0,0,
09/24/2026,09:34:32:974,0.000000,0.000000,1,-108.35,-108.35,0,0,
09/24/2026,09:34:33:052,0.000000,0.000000,2,-115.63,-115.63,0,0,
09/24/2026,09:34:33:108,0.000000,0.000000,3,-113.23,-113.23,0,0,
09/24/2026,09:34:33:210,0.000000,0.000000,4,-118.28,-118.28,0,0,
09/24/2026,09:34:33:250,0.000000,0.000000,1,-109.27,-109.27,0,0,
09/24/2026,09:34:33:407,0.000000,0.000000,2,-110.24,-110.24,0,0,
09/24/2026,09:34:33:462,0.000000,0.000000,3,-66.39,-66.39,0,0,
09/24/2026,09:34:33:503,0.000000,0.000000,4,-121.84,-121.84,0,0,
09/24/2026,09:34:33:598,0.000000,0.000000,1,-112.76,-112.76,0,0,
09/24/2026,09:34:33:638,0.000000,0.000000,2,-109.86,-109.86,0,0,
09/24/2026,09:34:33:737,0.000000,0.000000,3,-79.93,-79.93,0,0,
09/24/2026,09:34:33:965,0.000000,0.000000,4,-116.63,-116.63,0,0,
09/24/2026,09:34:33:984,0.000000,0.000000,1,-108.32,-108.32,0,0,
09/24/2026,09:34:34:050,0.000000,0.000000,2,-114.36,-114.36,0,0,
09/24/2026,09:34:34:068,0.000000,0.000000,3,-67.62,-67.62,0,0,
09/24/2026,09:34:34:095,0.000000,0.000000,4,-120.42,-120.42,0,0,
09/24/2026,09:34:34:135,0.000000,0.000000,1,-110.8,-110.8,0,0,
09/24/2026,09:34:34:153,0.000000,0.000000,2,-111.84,-111.84,0,0,
09/24/2026,09:34:34:228,0.000000,0.000000,3,-76.42,-76.42,0,0,
09/24/2026,09:34:34:311,0.000000,0.000000,4,-116.15,-116.15,0,0,
09/24/2026,09:34:34:366,0.000000,0.000000,1,-115.13,-115.13,0,0,
09/24/2026,09:34:34:435,0.000000,0.000000,2,-108.75,-108.75,0,0,
