Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/24/2026,09:34:27:998,0.000000,0.000000,1,-118.79,-118.79,0,0,
09/24/2026,09:34:28:041,0.000000,0.000000,1,-119.41,-119.41,0,0,
09/24/2026,09:34:28:048,0.000000,0.000000,1,-119.62,-119.62,0,0,
09/24/2026,09:34:28:052,0.000000,0.000000,1,-118.05,-118.05,0,0,
09/24/2026,09:34:28:058,0.000000,0.000000,1,-117.96,-117.96,0,0,
09/24/2026,09:34:28:110,0.000000,0.000000,2,-116.7,-116.7,0,0,
09/24/2026,09:34:28:129,0.000000,0.000000,1,-122.49,-122.49,0,0,
09/24/2026,09:34:28:138,0.000000,0.000000,2,-117.34,-117.34,0,0,
09/24/2026,09:34:28:146,0.000000,0.000000,1,-117.9,-117.9,0,0,
09/24/2026,09:34:28:162,0.000000,0.000000,3,-117.64,-117.64,0,0,
09/24/2026,09:34:28:185,0.000000,0.000000,2,-117.1,-117.1,0,0,
09/24/2026,09:34:28:197,0.000000,0.000000,1,-116.75,-116.75,0,0,
09/24/2026,09:34:28:207,0.000000,0.000000,3,-115.96,-115.96,0,0,
09/24/2026,09:34:28:211,0.000000,0.000000,2,-114.98,-114.98,0,0,
09/24/2026,09:34:28:245,0.000000,0.000000,4,-73.41,-73.41,0,0,
09/24/2026,09:34:28:250,0.000000,0.000000,1,-115.65,-115.65,0,0,
09/24/2026,09:34:28:263,0.000000,0.000000,3,-116.39,-116.39,0,0,
09/24/2026,09:34:28:279,0.000000,0.000000,2,-116.63,-116.63,0,0,
09/24/2026,09:34:28:315,0.000000,0.000000,4,-77.82,-77.82,0,0,
09/24/2026,09:34:28:363,0.000000,0.000000,1,-117.73,-117.73,0,0,
09/24/2026,09:34:28:377,0.000000,0.000000,3,-120.26,-120.26,0,0,
09/24/2026,09:34:28:392,0.000000,0.000000,2,-119.18,-119.18,0,0,
09/24/2026,09:34:28:430,0.000000,0.000000,4,-79.52,-79.52,0,0,
09/24/2026,09:34:28:470,0.000000,0.000000,1,-119.34,-119.34,0,0,
09/24/2026,09:34:28:498,0.000000,0.000000,3,-118.13,-118.13,0,0,
09/24/2026,09:34:28:543,0.000000,0.000000,2,-116.4,-116.4,0,0,
09/24/2026,09:34:28:619,0.000000,0.000000,4,-85.82,-85.82,0,0,
09/24/2026,09:34:28:636,0.000000,0.000000,1,-117.97,-117.97,0,0,
09/24/2026,09:34:28:688,0.000000,0.000000,3,-119.8,-119.8,0,0,
09/24/2026,09:34:28:705,0.000000,0.000000,2,-122.12,-122.12,0,0,
09/24/2026,09:34:28:803,0.000000,0.000000,4,-70.48,-70.48,0,0,
09/24/2026,09:34:28:884,0.000000,0.000000,1,-119.53,-119.53,0,0,
09/24/2026,09:34:28:954,0.000000,0.000000,3,-120.92,-120.92,0,0,
09/24/2026,09:34:28:964,0.000000,0.000000,2,-124.74,-124.74,0,0,
09/24/2026,09:34:29:146,0.000000,0.000000,4,-66.06,-66.06,0,0,
