Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/24/2026,09:34:28:312,0.000000,0.000000,1,-126.27,-126.27,0,0,
09/24/2026,09:34:28:372,0.000000,0.000000,2,-125.61,-125.61,0,0,
09/24/2026,09:34:28:402,0.000000,0.000000,3,-123.12,-123.12,0,0,
09/24/2026,09:34:28:418,0.000000,0.000000,1,-126.01,-126.01,0,0,
09/24/2026,09:34:28:456,0.000000,0.000000,4,-117.93,-117.93,0,0,
09/24/2026,09:34:28:483,0.000000,0.000000,2,-125.93,-125.93,0,0,
09/24/2026,09:34:28:550,0.000000,0.000000,3,-123.79,-123.79,0,0,
09/24/2026,09:34:28:575,0.000000,0.000000,1,-127.25,-127.25,0,0,
09/24/2026,09:34:28:622,0.000000,0.000000,4,-115.18,-115.18,0,0,
09/24/2026,09:34:28:671,0.000000,0.000000,2,-126.48,-126.48,0,0,
09/24/2026,09:34:28:718,0.000000,0.000000,3,-123.39,-123.39,0,0,
09/24/2026,09:34:28:791,0.000000,0.000000,1,-126.3,-126.3,0,0,
09/24/2026,09:34:28:837,0.000000,0.000000,4,-118.36,-118.36,0,0,
09/24/2026,09:34:28:898,0.000000,0.000000,2,-127.5,-127.5,0,0,
09/24/2026,09:34:28:984,0.000000,0.000000,3,-127.4,-127.4,0,0,
09/24/2026,09:34:29:091,0.000000,0.000000,1,-126.7,-126.7,0,0,
09/24/2026,09:34:29:183,0.000000,0.000000,4,-119.23,-119.23,0,0,
09/24/2026,09:34:29:227,0.000000,0.000000,2,-127.41,-127.41,0,0,
09/24/2026,09:34:29:271,0.000000,0.000000,3,-126.61,-126.61,0,0,
09/24/2026,09:34:29:337,0.000000,0.000000,1,-126.26,-126.26,0,0,
09/24/2026,09:34:29:379,0.000000,0.000000,4,-121.46,-121.46,0,0,
09/24/2026,09:34:29:455,0.000000,0.000000,2,-124.08,-124.08,0,0,
09/24/2026,09:34:29:559,0.000000,0.000000,3,-123.15,-123.15,0,0,
09/24/2026,09:34:29:612,0.000000,0.000000,1,-128.65,-128.65,0,0,
09/24/2026,09:34:29:693,0.000000,0.000000,4,-117.49,-117.49,0,0,
09/24/2026,09:34:29:770,0.000000,0.000000,2,-127.58,-127.58,0,0,
09/24/2026,09:34:29:902,0.000000,0.000000,3,-124.64,-124.64,0,0,
09/24/2026,09:34:29:950,0.000000,0.000000,1,-127.27,-127.27,0,0,
09/24/2026,09:34:29:969,0.000000,0.000000,4,-119.28,-119.28,0,0,
09/24/2026,09:34:30:026,0.000000,0.000000,2,-125.52,-125.52,0,0,
09/24/2026,09:34:30:090,0.000000,0.000000,3,-125.25,-125.25,0,0,
09/24/2026,09:34:30:190,0.000000,0.000000,1,-127.97,-127.97,0,0,
09/24/2026,09:34:30:216,0.000000,0.000000,4,-115.49,-115.49,0,0,
09/24/2026,09:34:30:299,0.000000,0.000000,2,-127.41,-127.41,0,0,
09/24/2026,09:34:30:373,0.000000,0.000000,3,-124.88,-124.88,0,0,
09/24/2026,09:34:30:480,0.000000,0.000000,1,-126.62,-126.62,0,0,
09/24/2026,09:34:30:494,0.000000,0.000000,4,-114.03,-114.03,0,0,
09/24/2026,09:34:30:568,0.000000,0.000000,2,-126.99,-126.99,0,0,
09/24/2026,09:34:30:653,0.000000,0.000000,3,-127.76,-127.76,0,0,
09/24/2026,09:34:30:760,0.000000,0.000000,1,-127.67,-127.67,0,0,
09/24/2026,09:34:30:834,0.000000,0.000000,4,-117.8,-117.8,0,0,
09/24/2026,09:34:30:855,0.000000,0.000000,2,-122.86,-122.86,0,0,
09/24/2026,09:34:30:953,0.000000,0.000000,3,-125.99,-125.99,0,0,
09/24/2026,09:34:31:012,0.000000,0.000000,1,-126.36,-126.36,0,0,
09/24/2026,09:34:31:064,0.000000,0.000000,4,-125.39,-125.39,0,0,
09/24/2026,09:34:31:129,0.000000,0.000000,2,-127.04,-127.04,0,0,
09/24/2026,09:34:31:207,0.000000,0.000000,3,-125.04,-125.04,0,0,
09/24/2026,09:34:31:276,0.000000,0.000000,1,-126.3,-126.3,0,0,
09/24/2026,09:34:31:334,0.000000,0.000000,4,-120.43,-120.43,0,0,
09/24/2026,09:34:31:459,0.000000,0.000000,2,-125.77,-125.77,0,0,
09/24/2026,09:34:31:547,0.000000,0.000000,3,-125.33,-125.33,0,0,
09/24/2026,09:34:31:669,0.000000,0.000000,1,-124.94,-124.94,0,0,
09/24/2026,09:34:31:682,0.000000,0.000000,4,-114.08,-114.08,0,0,
09/24/2026,09:34:31:735,0.000000,0.000000,2,-126.11,-126.11,0,0,
09/24/2026,09:34:31:812,0.000000,0.000000,3,-125.8,-125.8,0,0,
