Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/24/2026,09:34:28:568,0.000000,0.000000,1,-123.31,-123.31,0,0,
09/24/2026,09:34:28:626,0.000000,0.000000,2,-126.75,-126.75,0,0,
09/24/2026,09:34:28:686,0.000000,0.000000,3,-125.77,-125.77,0,0,
09/24/2026,09:34:28:742,0.000000,0.000000,4,-61.51,-61.51,0,0,
09/24/2026,09:34:28:757,0.000000,0.000000,1,-119.84,-119.84,0,0,
09/24/2026,09:34:28:841,0.000000,0.000000,2,-125.79,-125.79,0,0,
09/24/2026,09:34:28:909,0.000000,0.000000,3,-124.74,-124.74,0,0,
09/24/2026,09:34:28:997,0.000000,0.000000,4,-63.61,-63.61,0,0,
09/24/2026,09:34:29:083,0.000000,0.000000,1,-119.51,-119.51,0,0,
09/24/2026,09:34:29:188,0.000000,0.000000,2,-126.54,-126.54,0,0,
09/24/2026,09:34:29:231,0.000000,0.000000,3,-125.03,-125.03,0,0,
09/24/2026,09:34:29:275,0.000000,0.000000,4,-60.18,-60.18,0,0,
09/24/2026,09:34:29:309,0.000000,0.000000,1,-118.59,-118.59,0,0,
09/24/2026,09:34:29:396,0.000000,0.000000,2,-125.89,-125.89,0,0,
09/24/2026,09:34:29:478,0.000000,0.000000,3,-125,-125,0,0,
09/24/2026,09:34:29:563,0.000000,0.000000,4,-63.87,-63.87,0,0,
09/24/2026,09:34:29:608,0.000000,0.000000,1,-119.31,-119.31,0,0,
09/24/2026,09:34:29:694,0.000000,0.000000,2,-124.54,-124.54,0,0,
09/24/2026,09:34:29:775,0.000000,0.000000,3,-126.01,-126.01,0,0,
09/24/2026,09:34:29:921,0.000000,0.000000,4,-61.01,-61.01,0,0,
09/24/2026,09:34:29:939,0.000000,0.000000,1,-115.43,-115.43,0,0,
09/24/2026,09:34:29:976,0.000000,0.000000,2,-127.15,-127.15,0,0,
09/24/2026,09:34:30:028,0.000000,0.000000,3,-127.03,-127.03,0,0,
