Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/24/2026,09:40:52:457,0.000000,0.000000,1,-118.72,-118.72,0,0,
09/24/2026,09:40:52:540,0.000000,0.000000,2,-115.67,-115.67,0,0,
09/24/2026,09:40:52:601,0.000000,0.000000,3,-73.45,-73.45,0,0,
09/24/2026,09:40:52:680,0.000000,0.000000,1,-119.65,-119.65,0,0,
09/24/2026,09:40:52:690,0.000000,0.000000,4,-122.8,-122.8,0,0,
09/24/2026,09:40:52:805,0.000000,0.000000,2,-114.43,-114.43,0,0,
09/24/2026,09:40:52:856,0.000000,0.000000,3,-79.83,-79.83,0,0,
09/24/2026,09:40:52:860,0.000000,0.000000,1,-115.59,-115.59,0,0,
09/24/2026,09:40:52:895,0.000000,0.000000,4,-123.28,-123.28,0,0,
09/24/2026,09:40:52:952,0.000000,0.000000,2,-112.54,-112.54,0,0,
09/24/2026,09:40:53:026,0.000000,0.000000,3,-71.64,-71.64,0,0,
09/24/2026,09:40:53:050,0.000000,0.000000,1,-116.31,-116.31,0,0,
09/24/2026,09:40:53:093,0.000000,0.000000,4,-121.22,-121.22,0,0,
09/24/2026,09:40:53:165,0.000000,0.000000,2,-115.11,-115.11,0,0,
09/24/2026,09:40:53:253,0.000000,0.000000,3,-73.5,-73.5,0,0,
09/24/2026,09:40:53:257,0.000000,0.000000,1,-112.24,-112.24,0,0,
09/24/2026,09:40:53:329,0.000000,0.000000,4,-121.16,-121.16,0,0,
09/24/2026,09:40:53:375,0.000000,0.000000,2,-118.8,-118.8,0,0,
09/24/2026,09:40:53:496,0.000000,0.000000,3,-76.69,-76.69,0,0,
09/24/2026,09:40:53:498,0.000000,0.000000,1,-118.2,-118.2,0,0,
09/24/2026,09:40:53:537,0.000000,0.000000,4,-122,-122,0,0,
09/24/2026,09:40:53:583,0.000000,0.000000,2,-115.65,-115.65,0,0,
09/24/2026,09:40:53:650,0.000000,0.000000,3,-84.51,-84.51,0,0,
09/24/2026,09:40:53:673,0.000000,0.000000,1,-114.89,-114.89,0,0,
09/24/2026,09:40:53:729,0.000000,0.000000,4,-121.31,-121.31,0,0,
09/24/2026,09:40:53:777,0.000000,0.000000,2,-116.42,-116.42,0,0,
09/24/2026,09:40:53:874,0.000000,0.000000,3,-81.79,-81.79,0,0,
09/24/2026,09:40:53:876,0.000000,0.000000,1,-114.46,-114.46,0,0,
09/24/2026,09:40:53:978,0.000000,0.000000,4,-121.79,-121.79,0,0,
09/24/2026,09:40:54:048,0.000000,0.000000,2,-117.34,-117.34,0,0,
09/24/2026,09:40:54:086,0.000000,0.000000,3,-74.99,-74.99,0,0,
09/24/2026,09:40:54:089,0.000000,0.000000,1,-116.18,-116.18,0,0,
09/24/2026,09:40:54:170,0.000000,0.000000,4,-122.38,-122.38,0,0,
09/24/2026,09:40:54:200,0.000000,0.000000,2,-117.73,-117.73,0,0,
09/24/2026,09:40:54:287,0.000000,0.000000,3,-73.85,-73.85,0,0,
09/24/2026,09:40:54:298,0.000000,0.000000,1,-118.24,-118.24,0,0,
09/24/2026,09:40:54:353,0.000000,0.000000,4,-120.81,-120.81,0,0,
09/24/2026,09:40:54:449,0.000000,0.000000,2,-119.66,-119.66,0,0,
09/24/2026,09:40:54:493,0.000000,0.000000,3,-85.84,-85.84,0,0,
09/24/2026,09:40:54:510,0.000000,0.000000,1,-115.71,-115.71,0,0,
09/24/2026,09:40:54:581,0.000000,0.000000,4,-122.37,-122.37,0,0,
09/24/2026,09:40:54:616,0.000000,0.000000,2,-115.48,-115.48,0,0,
09/24/2026,09:40:54:723,0.000000,0.000000,3,-73.58,-73.58,0,0,
09/24/2026,09:40:54:741,0.000000,0.000000,1,-115.42,-115.42,0,0,
09/24/2026,09:40:54:799,0.000000,0.000000,4,-120.43,-120.43,0,0,
09/24/2026,09:40:54:830,0.000000,0.000000,2,-114.03,-114.03,0,0,
09/24/2026,09:40:54:921,0.000000,0.000000,3,-75.21,-75.21,0,0,
09/24/2026,09:40:54:925,0.000000,0.000000,1,-114.81,-114.81,0,0,
09/24/2026,09:40:54:981,0.000000,0.000000,4,-119.21,-119.21,0,0,
09/24/2026,09:40:55:072,0.000000,0.000000,2,-116.79,-116.79,0,0,
09/24/2026,09:40:55:156,0.000000,0.000000,3,-70.35,-70.35,0,0,
09/24/2026,09:40:55:158,0.000000,0.000000,1,-110.13,-110.13,0,0,
09/24/2026,09:40:55:237,0.000000,0.000000,4,-119.11,-119.11,0,0,
