Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/24/2026,09:40:51:896,0.000000,0.000000,1,-126.78,-126.78,0,0,
09/24/2026,09:40:51:903,0.000000,0.000000,1,-125.47,-125.47,0,0,
09/24/2026,09:40:51:928,0.000000,0.000000,1,-126.53,-126.53,0,0,
09/24/2026,09:40:51:929,0.000000,0.000000,1,-125.19,-125.19,0,0,
09/24/2026,09:40:51:933,0.000000,0.000000,1,-126,-126,0,0,
09/24/2026,09:40:51:954,0.000000,0.000000,1,-126.56,-126.56,0,0,
09/24/2026,09:40:51:964,0.000000,0.000000,1,-125.88,-125.88,0,0,
09/24/2026,09:40:51:971,0.000000,0.000000,1,-125.96,-125.96,0,0,
09/24/2026,09:40:51:979,0.000000,0.000000,2,-127.22,-127.22,0,0,
09/24/2026,09:40:51:983,0.000000,0.000000,1,-126.11,-126.11,0,0,
09/24/2026,09:40:52:008,0.000000,0.000000,2,-127.62,-127.62,0,0,
09/24/2026,09:40:52:009,0.000000,0.000000,1,-127.38,-127.38,0,0,
09/24/2026,09:40:52:061,0.000000,0.000000,2,-127.48,-127.48,0,0,
09/24/2026,09:40:52:064,0.000000,0.000000,1,-126.23,-126.23,0,0,
09/24/2026,09:40:52:072,0.000000,0.000000,3,-125.88,-125.88,0,0,
09/24/2026,09:40:52:091,0.000000,0.000000,2,-125.46,-125.46,0,0,
09/24/2026,09:40:52:133,0.000000,0.000000,1,-126.66,-126.66,0,0,
09/24/2026,09:40:52:136,0.000000,0.000000,4,-128.03,-128.03,0,0,
09/24/2026,09:40:52:139,0.000000,0.000000,3,-124.67,-124.67,0,0,
09/24/2026,09:40:52:153,0.000000,0.000000,2,-126.84,-126.84,0,0,
09/24/2026,09:40:52:163,0.000000,0.000000,1,-125.68,-125.68,0,0,
09/24/2026,09:40:52:187,0.000000,0.000000,4,-127.41,-127.41,0,0,
09/24/2026,09:40:52:220,0.000000,0.000000,3,-125.37,-125.37,0,0,
09/24/2026,09:40:52:235,0.000000,0.000000,2,-126.16,-126.16,0,0,
09/24/2026,09:40:52:266,0.000000,0.000000,1,-124.54,-124.54,0,0,
09/24/2026,09:40:52:281,0.000000,0.000000,4,-125.34,-125.34,0,0,
09/24/2026,09:40:52:353,0.000000,0.000000,3,-126.76,-126.76,0,0,
09/24/2026,09:40:52:360,0.000000,0.000000,2,-126.1,-126.1,0,0,
09/24/2026,09:40:52:398,0.000000,0.000000,1,-126.93,-126.93,0,0,
09/24/2026,09:40:52:443,0.000000,0.000000,4,-126.55,-126.55,0,0,
09/24/2026,09:40:52:522,0.000000,0.000000,3,-126.1,-126.1,0,0,
09/24/2026,09:40:52:547,0.000000,0.000000,2,-125.56,-125.56,0,0,
09/24/2026,09:40:52:555,0.000000,0.000000,1,-125.63,-125.63,0,0,
09/24/2026,09:40:52:593,0.000000,0.000000,4,-126.69,-126.69,0,0,
09/24/2026,09:40:52:759,0.000000,0.000000,3,-125.84,-125.84,0,0,
09/24/2026,09:40:52:809,0.000000,0.000000,2,-127.2,-127.2,0,0,
09/24/2026,09:40:52:819,0.000000,0.000000,1,-126.12,-126.12,0,0,
09/24/2026,09:40:52:832,0.000000,0.000000,4,-126.44,-126.44,0,0,
09/24/2026,09:40:52:899,0.000000,0.000000,3,-124.87,-124.87,0,0,
09/24/2026,09:40:52:956,0.000000,0.000000,2,-125.37,-125.37,0,0,
