Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/24/2026,09:40:52:204,0.000000,0.000000,1,-122.12,-122.12,0,0,
09/24/2026,09:40:52:289,0.000000,0.000000,2,-124.87,-124.87,0,0,
09/24/2026,09:40:52:305,0.000000,0.000000,1,-123.16,-123.16,0,0,
09/24/2026,09:40:52:354,0.000000,0.000000,3,-123.16,-123.16,0,0,
09/24/2026,09:40:52:409,0.000000,0.000000,4,-70.9,-70.9,0,0,
09/24/2026,09:40:52:485,0.000000,0.000000,2,-126.41,-126.41,0,0,
09/24/2026,09:40:52:496,0.000000,0.000000,1,-122.13,-122.13,0,0,
09/24/2026,09:40:52:535,0.000000,0.000000,3,-125.74,-125.74,0,0,
09/24/2026,09:40:52:586,0.000000,0.000000,4,-72.84,-72.84,0,0,
09/24/2026,09:40:52:681,0.000000,0.000000,2,-124.57,-124.57,0,0,
09/24/2026,09:40:52:683,0.000000,0.000000,1,-123.56,-123.56,0,0,
09/24/2026,09:40:52:767,0.000000,0.000000,3,-125.36,-125.36,0,0,
09/24/2026,09:40:52:822,0.000000,0.000000,4,-72.13,-72.13,0,0,
09/24/2026,09:40:52:868,0.000000,0.000000,2,-125.1,-125.1,0,0,
09/24/2026,09:40:52:872,0.000000,0.000000,1,-120.62,-120.62,0,0,
09/24/2026,09:40:52:928,0.000000,0.000000,3,-126.06,-126.06,0,0,
09/24/2026,09:40:53:007,0.000000,0.000000,4,-72.23,-72.23,0,0,
09/24/2026,09:40:53:079,0.000000,0.000000,2,-124.6,-124.6,0,0,
09/24/2026,09:40:53:084,0.000000,0.000000,1,-121.67,-121.67,0,0,
09/24/2026,09:40:53:164,0.000000,0.000000,3,-123.71,-123.71,0,0,
09/24/2026,09:40:53:210,0.000000,0.000000,4,-72.58,-72.58,0,0,
09/24/2026,09:40:53:288,0.000000,0.000000,2,-124.31,-124.31,0,0,
09/24/2026,09:40:53:296,0.000000,0.000000,1,-122.6,-122.6,0,0,
09/24/2026,09:40:53:343,0.000000,0.000000,3,-126.24,-126.24,0,0,
09/24/2026,09:40:53:451,0.000000,0.000000,4,-78.43,-78.43,0,0,
09/24/2026,09:40:53:501,0.000000,0.000000,2,-124.15,-124.15,0,0,
09/24/2026,09:40:53:505,0.000000,0.000000,1,-122.4,-122.4,0,0,
09/24/2026,09:40:53:568,0.000000,0.000000,3,-126.64,-126.64,0,0,
09/24/2026,09:40:53:630,0.000000,0.000000,4,-71.09,-71.09,0,0,
09/24/2026,09:40:53:692,0.000000,0.000000,2,-123.92,-123.92,0,0,
09/24/2026,09:40:53:702,0.000000,0.000000,1,-125.05,-125.05,0,0,
09/24/2026,09:40:53:763,0.000000,0.000000,3,-124.63,-124.63,0,0,
09/24/2026,09:40:53:834,0.000000,0.000000,4,-73.86,-73.86,0,0,
09/24/2026,09:40:53:897,0.000000,0.000000,2,-123.59,-123.59,0,0,
09/24/2026,09:40:53:949,0.000000,0.000000,1,-124.38,-124.38,0,0,
09/24/2026,09:40:54:047,0.000000,0.000000,3,-125.37,-125.37,0,0,
09/24/2026,09:40:54:061,0.000000,0.000000,4,-78.76,-78.76,0,0,
09/24/2026,09:40:54:142,0.000000,0.000000,2,-124.21,-124.21,0,0,
09/24/2026,09:40:54:148,0.000000,0.000000,1,-122.24,-122.24,0,0,
09/24/2026,09:40:54:196,0.000000,0.000000,3,-121.56,-121.56,0,0,
09/24/2026,09:40:54:245,0.000000,0.000000,4,-77.7,-77.7,0,0,
09/24/2026,09:40:54:320,0.000000,0.000000,2,-124.66,-124.66,0,0,
09/24/2026,09:40:54:342,0.000000,0.000000,1,-120.29,-120.29,0,0,
09/24/2026,09:40:54:420,0.000000,0.000000,3,-126.6,-126.6,0,0,
09/24/2026,09:40:54:468,0.000000,0.000000,4,-72.14,-72.14,0,0,
09/24/2026,09:40:54:541,0.000000,0.000000,2,-124.66,-124.66,0,0,
