Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/22/2026,07:33:32:848,0.000000,0.000000,1,-63.77,-63.77,0,0,
09/22/2026,07:33:32:863,0.000000,0.000000,1,-58.76,-58.76,0,0,
09/22/2026,07:33:32:885,0.000000,0.000000,1,-57.6,-57.6,0,0,
09/22/2026,07:33:32:904,0.000000,0.000000,1,-58.29,-58.29,0,0,
09/22/2026,07:33:32:919,0.000000,0.000000,1,-63.16,-63.16,0,0,
09/22/2026,07:33:32:941,0.000000,0.000000,1,-57.98,-57.98,0,0,
09/22/2026,07:33:32:953,0.000000,0.000000,2,-126.84,-126.84,0,0,
09/22/2026,07:33:32:973,0.000000,0.000000,1,-61.76,-61.76,0,0,
09/22/2026,07:33:32:992,0.000000,0.000000,2,-128.93,-128.93,0,0,
09/22/2026,07:33:33:002,0.000000,0.000000,3,-127.2,-127.2,0,0,
09/22/2026,07:33:33:019,0.000000,0.000000,1,-60.77,-60.77,0,0,
09/22/2026,07:33:33:033,0.000000,0.000000,2,-126.12,-126.12,0,0,
09/22/2026,07:33:33:075,0.000000,0.000000,4,-124.9,-124.9,0,0,
09/22/2026,07:33:33:078,0.000000,0.000000,3,-127.4,-127.4,0,0,
09/22/2026,07:33:33:114,0.000000,0.000000,1,-60.65,-60.65,0,0,
09/22/2026,07:33:33:117,0.000000,0.000000,2,-127.77,-127.77,0,0,
09/22/2026,07:33:33:124,0.000000,0.000000,4,-127.48,-127.48,0,0,
09/22/2026,07:33:33:161,0.000000,0.000000,3,-127.33,-127.33,0,0,
09/22/2026,07:33:33:193,0.000000,0.000000,1,-60.33,-60.33,0,0,
09/22/2026,07:33:33:209,0.000000,0.000000,2,-126.98,-126.98,0,0,
09/22/2026,07:33:33:221,0.000000,0.000000,4,-128.16,-128.16,0,0,
09/22/2026,07:33:33:288,0.000000,0.000000,3,-128.04,-128.04,0,0,
09/22/2026,07:33:33:340,0.000000,0.000000,1,-55.24,-55.24,0,0,
09/22/2026,07:33:33:355,0.000000,0.000000,2,-125.93,-125.93,0,0,
09/22/2026,07:33:33:400,0.000000,0.000000,4,-128.5,-128.5,0,0,
09/22/2026,07:33:33:511,0.000000,0.000000,3,-127.84,-127.84,0,0,
09/22/2026,07:33:33:587,0.000000,0.000000,1,-55.7,-55.7,0,0,
09/22/2026,07:33:33:622,0.000000,0.000000,2,-127.4,-127.4,0,0,
09/22/2026,07:33:33:677,0.000000,0.000000,4,-127.53,-127.53,0,0,
09/22/2026,07:33:33:810,0.000000,0.000000,3,-128.33,-128.33,0,0,
09/22/2026,07:33:33:932,0.000000,0.000000,1,-69.76,-69.76,0,0,
09/22/2026,07:33:33:954,0.000000,0.000000,2,-128.99,-128.99,0,0,
09/22/2026,07:33:34:024,0.000000,0.000000,4,-128.82,-128.82,0,0,
09/22/2026,07:33:34:162,0.000000,0.000000,3,-127.49,-127.49,0,0,
09/22/2026,07:33:34:265,0.000000,0.000000,1,-59.64,-59.64,0,0,
09/22/2026,07:33:34:319,0.000000,0.000000,2,-128.63,-128.63,0,0,
09/22/2026,07:33:34:393,0.000000,0.000000,4,-125.57,-125.57,0,0,
09/22/2026,07:33:34:577,0.000000,0.000000,3,-128.33,-128.33,0,0,
09/22/2026,07:33:34:652,0.000000,0.000000,1,-59.29,-59.29,0,0,
09/22/2026,07:33:34:665,0.000000,0.000000,2,-127.59,-127.59,0,0,
09/22/2026,07:33:34:721,0.000000,0.000000,4,-127.4,-127.4,0,0,
09/22/2026,07:33:34:853,0.000000,0.000000,3,-127.91,-127.91,0,0,
09/22/2026,07:33:34:967,0.000000,0.000000,1,-63.31,-63.31,0,0,
09/22/2026,07:33:35:003,0.000000,0.000000,2,-128.44,-128.44,0,0,
09/22/2026,07:33:35:066,0.000000,0.000000,4,-126.41,-126.41,0,0,
09/22/2026,07:33:35:205,0.000000,0.000000,3,-127.71,-127.71,0,0,
09/22/2026,07:33:35:312,0.000000,0.000000,1,-61.39,-61.39,0,0,
09/22/2026,07:33:35:342,0.000000,0.000000,2,-128.31,-128.31,0,0,
09/22/2026,07:33:35:412,0.000000,0.000000,4,-125.69,-125.69,0,0,
09/22/2026,07:33:35:548,0.000000,0.000000,3,-128.3,-128.3,0,0,
09/22/2026,07:33:35:655,0.000000,0.000000,1,-62.62,-62.62,0,0,
09/22/2026,07:33:35:687,0.000000,0.000000,2,-127.59,-127.59,0,0,
09/22/2026,07:33:35:757,0.000000,0.000000,4,-126.69,-126.69,0,0,
09/22/2026,07:33:35:900,0.000000,0.000000,3,-127.43,-127.43,0,0,
09/22/2026,07:33:36:015,0.000000,0.000000,1,-62.06,-62.06,0,0,
09/22/2026,07:33:36:039,0.000000,0.000000,2,-128.29,-128.29,0,0,
09/22/2026,07:33:36:111,0.000000,0.000000,4,-126.23,-126.23,0,0,
09/22/2026,07:33:36:271,0.000000,0.000000,3,-124.96,-124.96,0,0,
09/22/2026,07:33:36:355,0.000000,0.000000,1,-71.91,-71.91,0,0,
09/22/2026,07:33:36:395,0.000000,0.000000,2,-128.21,-128.21,0,0,
09/22/2026,07:33:36:478,0.000000,0.000000,4,-127.29,-127.29,0,0,
09/22/2026,07:33:36:608,0.000000,0.000000,3,-127.75,-127.75,0,0,
09/22/2026,07:33:36:693,0.000000,0.000000,1,-72.38,-72.38,0,0,
09/22/2026,07:33:36:733,0.000000,0.000000,2,-129.41,-129.41,0,0,
09/22/2026,07:33:36:797,0.000000,0.000000,4,-126.61,-126.61,0,0,
09/22/2026,07:33:36:935,0.000000,0.000000,3,-126.87,-126.87,0,0,
09/22/2026,07:33:37:042,0.000000,0.000000,1,-65.91,-65.91,0,0,
09/22/2026,07:33:37:086,0.000000,0.000000,2,-128.49,-128.49,0,0,
09/22/2026,07:33:37:155,0.000000,0.000000,4,-127,-127,0,0,
09/22/2026,07:33:37:296,0.000000,0.000000,3,-128.6,-128.6,0,0,
09/22/2026,07:33:37:396,0.000000,0.000000,1,-64.05,-64.05,0,0,
09/22/2026,07:33:37:438,0.000000,0.000000,2,-127.53,-127.53,0,0,
09/22/2026,07:33:37:503,0.000000,0.000000,4,-128.17,-128.17,0,0,
09/22/2026,07:33:37:639,0.000000,0.000000,3,-126.63,-126.63,0,0,
09/22/2026,07:33:37:748,0.000000,0.000000,1,-64.3,-64.3,0,0,
09/22/2026,07:33:37:781,0.000000,0.000000,2,-127.79,-127.79,0,0,
09/22/2026,07:33:37:853,0.000000,0.000000,4,-124.78,-124.78,0,0,
09/22/2026,07:33:37:995,0.000000,0.000000,3,-128.07,-128.07,0,0,
09/22/2026,07:33:38:091,0.000000,0.000000,1,-64.45,-64.45,0,0,
09/22/2026,07:33:38:153,0.000000,0.000000,2,-128.25,-128.25,0,0,
09/22/2026,07:33:38:203,0.000000,0.000000,4,-127.58,-127.58,0,0,
09/22/2026,07:33:38:483,0.000000,0.000000,3,-127.24,-127.24,0,0,
09/22/2026,07:33:38:605,0.000000,0.000000,1,-67.44,-67.44,0,0,
09/22/2026,07:33:38:634,0.000000,0.000000,2,-128.67,-128.67,0,0,
09/22/2026,07:33:39:000,0.000000,0.000000,4,-126.72,-126.72,0,0,
09/22/2026,07:33:39:040,0.000000,0.000000,3,-128.1,-128.1,0,0,
09/22/2026,07:33:39:066,0.000000,0.000000,1,-64.23,-64.23,0,0,
09/22/2026,07:33:39:073,0.000000,0.000000,2,-127.95,-127.95,0,0,
09/22/2026,07:33:39:089,0.000000,0.000000,4,-125.63,-125.63,0,0,
09/22/2026,07:33:39:120,0.000000,0.000000,3,-128.08,-128.08,0,0,
09/22/2026,07:33:39:154,0.000000,0.000000,1,-75.77,-75.77,0,0,
09/22/2026,07:33:39:165,0.000000,0.000000,2,-127.55,-127.55,0,0,
09/22/2026,07:33:39:243,0.000000,0.000000,4,-126.26,-126.26,0,0,
09/22/2026,07:33:39:379,0.000000,0.000000,3,-128.61,-128.61,0,0,
09/22/2026,07:33:39:486,0.000000,0.000000,1,-62.13,-62.13,0,0,
09/22/2026,07:33:39:514,0.000000,0.000000,2,-128.26,-128.26,0,0,
09/22/2026,07:33:39:605,0.000000,0.000000,4,-127.31,-127.31,0,0,
09/22/2026,07:33:39:731,0.000000,0.000000,3,-128.55,-128.55,0,0,
09/22/2026,07:33:39:850,0.000000,0.000000,1,-63.49,-63.49,0,0,
09/22/2026,07:33:39:869,0.000000,0.000000,2,-128.17,-128.17,0,0,
09/22/2026,07:33:39:964,0.000000,0.000000,4,-127.33,-127.33,0,0,
09/22/2026,07:33:40:093,0.000000,0.000000,3,-128.43,-128.43,0,0,
09/22/2026,07:33:40:231,0.000000,0.000000,1,-64.35,-64.35,0,0,
09/22/2026,07:33:40:241,0.000000,0.000000,2,-125.41,-125.41,0,0,
09/22/2026,07:33:40:298,0.000000,0.000000,4,-124.49,-124.49,0,0,
09/22/2026,07:33:40:443,0.000000,0.000000,3,-126.52,-126.52,0,0,
