Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/22/2026,07:25:06:702,0.000000,0.000000,1,-121.15,-121.15,0,0,
09/22/2026,07:25:06:769,0.000000,0.000000,2,-122.28,-122.28,0,0,
09/22/2026,07:25:06:842,0.000000,0.000000,3,-122.7,-122.7,0,0,
09/22/2026,07:25:06:872,0.000000,0.000000,4,-76.43,-76.43,0,0,
09/22/2026,07:25:07:026,0.000000,0.000000,1,-119.04,-119.04,0,0,
09/22/2026,07:25:07:100,0.000000,0.000000,2,-122.46,-122.46,0,0,
09/22/2026,07:25:07:151,0.000000,0.000000,3,-125.98,-125.98,0,0,
09/22/2026,07:25:07:216,0.000000,0.000000,4,-72.66,-72.66,0,0,
09/22/2026,07:25:07:356,0.000000,0.000000,1,-120.63,-120.63,0,0,
09/22/2026,07:25:07:450,0.000000,0.000000,2,-123.83,-123.83,0,0,
09/22/2026,07:25:07:511,0.000000,0.000000,3,-122.51,-122.51,0,0,
09/22/2026,07:25:07:568,0.000000,0.000000,4,-66.56,-66.56,0,0,
09/22/2026,07:25:07:727,0.000000,0.000000,1,-120.09,-120.09,0,0,
09/22/2026,07:25:07:827,0.000000,0.000000,2,-123.52,-123.52,0,0,
09/22/2026,07:25:07:868,0.000000,0.000000,3,-122.47,-122.47,0,0,
09/22/2026,07:25:07:920,0.000000,0.000000,4,-67.46,-67.46,0,0,
09/22/2026,07:25:08:071,0.000000,0.000000,1,-115.92,-115.92,0,0,
09/22/2026,07:25:08:151,0.000000,0.000000,2,-124.66,-124.66,0,0,
09/22/2026,07:25:08:214,0.000000,0.000000,3,-123.97,-123.97,0,0,
09/22/2026,07:25:08:273,0.000000,0.000000,4,-62.69,-62.69,0,0,
09/22/2026,07:25:08:414,0.000000,0.000000,1,-121.68,-121.68,0,0,
09/22/2026,07:25:08:514,0.000000,0.000000,2,-123.51,-123.51,0,0,
09/22/2026,07:25:08:548,0.000000,0.000000,3,-123.04,-123.04,0,0,
09/22/2026,07:25:08:614,0.000000,0.000000,4,-73.66,-73.66,0,0,
09/22/2026,07:25:08:762,0.000000,0.000000,1,-122.5,-122.5,0,0,
09/22/2026,07:25:08:849,0.000000,0.000000,2,-120.06,-120.06,0,0,
09/22/2026,07:25:08:896,0.000000,0.000000,3,-121.8,-121.8,0,0,
09/22/2026,07:25:08:967,0.000000,0.000000,4,-73.71,-73.71,0,0,
09/22/2026,07:25:09:136,0.000000,0.000000,1,-120.92,-120.92,0,0,
09/22/2026,07:25:09:203,0.000000,0.000000,2,-123.04,-123.04,0,0,
09/22/2026,07:25:09:253,0.000000,0.000000,3,-119.21,-119.21,0,0,
09/22/2026,07:25:09:334,0.000000,0.000000,4,-77.15,-77.15,0,0,
09/22/2026,07:25:09:461,0.000000,0.000000,1,-123.05,-123.05,0,0,
09/22/2026,07:25:09:543,0.000000,0.000000,2,-123.38,-123.38,0,0,
09/22/2026,07:25:09:596,0.000000,0.000000,3,-125.06,-125.06,0,0,
09/22/2026,07:25:09:673,0.000000,0.000000,4,-70.19,-70.19,0,0,
09/22/2026,07:25:09:797,0.000000,0.000000,1,-120.89,-120.89,0,0,
09/22/2026,07:25:09:906,0.000000,0.000000,2,-123.57,-123.57,0,0,
09/22/2026,07:25:09:962,0.000000,0.000000,3,-121.85,-121.85,0,0,
09/22/2026,07:25:10:015,0.000000,0.000000,4,-66.67,-66.67,0,0,
09/22/2026,07:25:10:155,0.000000,0.000000,1,-121.76,-121.76,0,0,
09/22/2026,07:25:10:259,0.000000,0.000000,2,-122.1,-122.1,0,0,
09/22/2026,07:25:10:312,0.000000,0.000000,3,-122.24,-122.24,0,0,
09/22/2026,07:25:10:353,0.000000,0.000000,4,-68.98,-68.98,0,0,
09/22/2026,07:25:10:488,0.000000,0.000000,1,-122.68,-122.68,0,0,
09/22/2026,07:25:10:580,0.000000,0.000000,2,-120.76,-120.76,0,0,
09/22/2026,07:25:10:633,0.000000,0.000000,3,-121.9,-121.9,0,0,
09/22/2026,07:25:10:705,0.000000,0.000000,4,-68.79,-68.79,0,0,
09/22/2026,07:25:10:872,0.000000,0.000000,1,-122.88,-122.88,0,0,
09/22/2026,07:25:10:932,0.000000,0.000000,2,-126.11,-126.11,0,0,
09/22/2026,07:25:10:976,0.000000,0.000000,3,-120.52,-120.52,0,0,
09/22/2026,07:25:11:045,0.000000,0.000000,4,-66.22,-66.22,0,0,
09/22/2026,07:25:11:186,0.000000,0.000000,1,-123.2,-123.2,0,0,
09/22/2026,07:25:11:270,0.000000,0.000000,2,-122.47,-122.47,0,0,
09/22/2026,07:25:11:341,0.000000,0.000000,3,-124.8,-124.8,0,0,
09/22/2026,07:25:11:397,0.000000,0.000000,4,-61.81,-61.81,0,0,
09/22/2026,07:25:11:531,0.000000,0.000000,1,-122.27,-122.27,0,0,
09/22/2026,07:25:11:618,0.000000,0.000000,2,-121.33,-121.33,0,0,
09/22/2026,07:25:11:668,0.000000,0.000000,3,-121.09,-121.09,0,0,
09/22/2026,07:25:11:746,0.000000,0.000000,4,-69.18,-69.18,0,0,
09/22/2026,07:25:12:254,0.000000,0.000000,1,-123.68,-123.68,0,0,
09/22/2026,07:25:12:289,0.000000,0.000000,2,-121.67,-121.67,0,0,
09/22/2026,07:25:12:299,0.000000,0.000000,3,-123.03,-123.03,0,0,
09/22/2026,07:25:12:316,0.000000,0.000000,4,-73.89,-73.89,0,0,
09/22/2026,07:25:12:374,0.000000,0.000000,1,-120.99,-120.99,0,0,
09/22/2026,07:25:12:401,0.000000,0.000000,2,-122.94,-122.94,0,0,
09/22/2026,07:25:12:413,0.000000,0.000000,3,-122.94,-122.94,0,0,
09/22/2026,07:25:12:433,0.000000,0.000000,4,-69.58,-69.58,0,0,
09/22/2026,07:25:12:572,0.000000,0.000000,1,-124.19,-124.19,0,0,
09/22/2026,07:25:12:660,0.000000,0.000000,2,-121.41,-121.41,0,0,
09/22/2026,07:25:12:715,0.000000,0.000000,3,-124.03,-124.03,0,0,
09/22/2026,07:25:12:781,0.000000,0.000000,4,-80.32,-80.32,0,0,
09/22/2026,07:25:12:929,0.000000,0.000000,1,-123.34,-123.34,0,0,
09/22/2026,07:25:13:005,0.000000,0.000000,2,-122.78,-122.78,0,0,
09/22/2026,07:25:13:058,0.000000,0.000000,3,-123.66,-123.66,0,0,
09/22/2026,07:25:13:121,0.000000,0.000000,4,-78.12,-78.12,0,0,
09/22/2026,07:25:13:287,0.000000,0.000000,1,-119.54,-119.54,0,0,
09/22/2026,07:25:13:386,0.000000,0.000000,2,-120.69,-120.69,0,0,
09/22/2026,07:25:13:426,0.000000,0.000000,3,-120.56,-120.56,0,0,
09/22/2026,07:25:13:477,0.000000,0.000000,4,-79.93,-79.93,0,0,
09/22/2026,07:25:13:609,0.000000,0.000000,1,-123.78,-123.78,0,0,
09/22/2026,07:25:13:700,0.000000,0.000000,2,-123.71,-123.71,0,0,
09/22/2026,07:25:13:750,0.000000,0.000000,3,-121.67,-121.67,0,0,
09/22/2026,07:25:13:818,0.000000,0.000000,4,-76.03,-76.03,0,0,
09/22/2026,07:25:13:957,0.000000,0.000000,1,-123.57,-123.57,0,0,
09/22/2026,07:25:14:047,0.000000,0.000000,2,-120.16,-120.16,0,0,
09/22/2026,07:25:14:098,0.000000,0.000000,3,-121.42,-121.42,0,0,
09/22/2026,07:25:14:176,0.000000,0.000000,4,-74.87,-74.87,0,0,
09/22/2026,07:25:14:303,0.000000,0.000000,1,-122.42,-122.42,0,0,
09/22/2026,07:25:14:394,0.000000,0.000000,2,-121.77,-121.77,0,0,
09/22/2026,07:25:14:444,0.000000,0.000000,3,-120.99,-120.99,0,0,
09/22/2026,07:25:14:514,0.000000,0.000000,4,-71.34,-71.34,0,0,
09/22/2026,07:25:14:652,0.000000,0.000000,1,-125.33,-125.33,0,0,
09/22/2026,07:25:14:737,0.000000,0.000000,2,-124.96,-124.96,0,0,
09/22/2026,07:25:14:799,0.000000,0.000000,3,-123.39,-123.39,0,0,
09/22/2026,07:25:14:858,0.000000,0.000000,4,-68.16,-68.16,0,0,
09/22/2026,07:25:14:999,0.000000,0.000000,1,-121.6,-121.6,0,0,
09/22/2026,07:25:15:085,0.000000,0.000000,2,-123.58,-123.58,0,0,
09/22/2026,07:25:15:156,0.000000,0.000000,3,-121.69,-121.69,0,0,
09/22/2026,07:25:15:208,0.000000,0.000000,4,-67.49,-67.49,0,0,
09/22/2026,07:25:15:346,0.000000,0.000000,1,-123.08,-123.08,0,0,
09/22/2026,07:25:15:435,0.000000,0.000000,2,-124.6,-124.6,0,0,
09/22/2026,07:25:15:485,0.000000,0.000000,3,-123.76,-123.76,0,0,
09/22/2026,07:25:15:558,0.000000,0.000000,4,-64.77,-64.77,0,0,
09/22/2026,07:25:15:697,0.000000,0.000000,1,-124,-124,0,0,
09/22/2026,07:25:15:804,0.000000,0.000000,2,-121.18,-121.18,0,0,
09/22/2026,07:25:15:832,0.000000,0.000000,3,-123.09,-123.09,0,0,
09/22/2026,07:25:15:907,0.000000,0.000000,4,-65.27,-65.27,0,0,
09/22/2026,07:25:16:046,0.000000,0.000000,1,-122.16,-122.16,0,0,
09/22/2026,07:25:16:140,0.000000,0.000000,2,-122.86,-122.86,0,0,
09/22/2026,07:25:16:180,0.000000,0.000000,3,-123.11,-123.11,0,0,
09/22/2026,07:25:16:249,0.000000,0.000000,4,-69.35,-69.35,0,0,
09/22/2026,07:25:16:396,0.000000,0.000000,1,-121.9,-121.9,0,0,
09/22/2026,07:25:16:473,0.000000,0.000000,2,-123.12,-123.12,0,0,
09/22/2026,07:25:16:523,0.000000,0.000000,3,-123.96,-123.96,0,0,
09/22/2026,07:25:16:598,0.000000,0.000000,4,-71.01,-71.01,0,0,
09/22/2026,07:25:16:731,0.000000,0.000000,1,-124.42,-124.42,0,0,
