Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/22/2026,07:35:24:511,0.000000,0.000000,1,-115.32,-115.32,0,0,
09/22/2026,07:35:24:591,0.000000,0.000000,2,-116.54,-116.54,0,0,
09/22/2026,07:35:24:664,0.000000,0.000000,3,-93.63,-93.63,0,0,
09/22/2026,07:35:24:716,0.000000,0.000000,4,-122.07,-122.07,0,0,
09/22/2026,07:35:24:838,0.000000,0.000000,1,-116.89,-116.89,0,0,
09/22/2026,07:35:24:927,0.000000,0.000000,2,-115.96,-115.96,0,0,
09/22/2026,07:35:25:014,0.000000,0.000000,3,-90.6,-90.6,0,0,
09/22/2026,07:35:25:083,0.000000,0.000000,4,-124.05,-124.05,0,0,
09/22/2026,07:35:25:207,0.000000,0.000000,1,-118.29,-118.29,0,0,
09/22/2026,07:35:25:285,0.000000,0.000000,2,-118.79,-118.79,0,0,
09/22/2026,07:35:25:359,0.000000,0.000000,3,-85.86,-85.86,0,0,
09/22/2026,07:35:25:410,0.000000,0.000000,4,-121.42,-121.42,0,0,
09/22/2026,07:35:25:545,0.000000,0.000000,1,-117.87,-117.87,0,0,
09/22/2026,07:35:25:621,0.000000,0.000000,2,-116.13,-116.13,0,0,
09/22/2026,07:35:25:706,0.000000,0.000000,3,-84.4,-84.4,0,0,
09/22/2026,07:35:25:763,0.000000,0.000000,4,-123.69,-123.69,0,0,
09/22/2026,07:35:25:881,0.000000,0.000000,1,-117.29,-117.29,0,0,
09/22/2026,07:35:25:966,0.000000,0.000000,2,-116.24,-116.24,0,0,
09/22/2026,07:35:26:085,0.000000,0.000000,3,-94.01,-94.01,0,0,
09/22/2026,07:35:26:131,0.000000,0.000000,4,-123.72,-123.72,0,0,
09/22/2026,07:35:26:224,0.000000,0.000000,1,-117.38,-117.38,0,0,
09/22/2026,07:35:26:310,0.000000,0.000000,2,-115.54,-115.54,0,0,
09/22/2026,07:35:26:412,0.000000,0.000000,3,-82.96,-82.96,0,0,
09/22/2026,07:35:26:449,0.000000,0.000000,4,-121.79,-121.79,0,0,
09/22/2026,07:35:26:576,0.000000,0.000000,1,-117.88,-117.88,0,0,
09/22/2026,07:35:26:667,0.000000,0.000000,2,-117.4,-117.4,0,0,
09/22/2026,07:35:26:750,0.000000,0.000000,3,-96.95,-96.95,0,0,
09/22/2026,07:35:26:803,0.000000,0.000000,4,-122.07,-122.07,0,0,
09/22/2026,07:35:26:917,0.000000,0.000000,1,-118.69,-118.69,0,0,
09/22/2026,07:35:27:012,0.000000,0.000000,2,-117.91,-117.91,0,0,
09/22/2026,07:35:27:099,0.000000,0.000000,3,-87.17,-87.17,0,0,
09/22/2026,07:35:27:150,0.000000,0.000000,4,-121.11,-121.11,0,0,
09/22/2026,07:35:27:279,0.000000,0.000000,1,-116.94,-116.94,0,0,
09/22/2026,07:35:27:351,0.000000,0.000000,2,-115.93,-115.93,0,0,
09/22/2026,07:35:27:443,0.000000,0.000000,3,-86.45,-86.45,0,0,
09/22/2026,07:35:27:491,0.000000,0.000000,4,-121.98,-121.98,0,0,
09/22/2026,07:35:27:610,0.000000,0.000000,1,-117.08,-117.08,0,0,
09/22/2026,07:35:27:696,0.000000,0.000000,2,-114.71,-114.71,0,0,
09/22/2026,07:35:27:798,0.000000,0.000000,3,-90.26,-90.26,0,0,
09/22/2026,07:35:27:837,0.000000,0.000000,4,-124.57,-124.57,0,0,
09/22/2026,07:35:27:992,0.000000,0.000000,1,-116.56,-116.56,0,0,
09/22/2026,07:35:28:083,0.000000,0.000000,2,-116.12,-116.12,0,0,
09/22/2026,07:35:28:141,0.000000,0.000000,3,-102.1,-102.1,0,0,
09/22/2026,07:35:28:185,0.000000,0.000000,4,-123.06,-123.06,0,0,
09/22/2026,07:35:28:310,0.000000,0.000000,1,-115.98,-115.98,0,0,
09/22/2026,07:35:28:392,0.000000,0.000000,2,-118.03,-118.03,0,0,
09/22/2026,07:35:28:480,0.000000,0.000000,3,-86.69,-86.69,0,0,
09/22/2026,07:35:28:548,0.000000,0.000000,4,-121.9,-121.9,0,0,
09/22/2026,07:35:28:656,0.000000,0.000000,1,-117.6,-117.6,0,0,
09/22/2026,07:35:28:741,0.000000,0.000000,2,-119.62,-119.62,0,0,
09/22/2026,07:35:28:824,0.000000,0.000000,3,-88.28,-88.28,0,0,
