Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/22/2026,08:44:08:271,0.000000,0.000000,1,-119.31,-119.31,0,0,
09/22/2026,08:44:08:319,0.000000,0.000000,2,-116.15,-116.15,0,0,
09/22/2026,08:44:08:372,0.000000,0.000000,3,-98.82,-98.82,0,0,
09/22/2026,08:44:08:426,0.000000,0.000000,4,-122.38,-122.38,0,0,
09/22/2026,08:44:08:525,0.000000,0.000000,1,-116.43,-116.43,0,0,
09/22/2026,08:44:08:616,0.000000,0.000000,2,-117.85,-117.85,0,0,
09/22/2026,08:44:08:664,0.000000,0.000000,3,-105.19,-105.19,0,0,
09/22/2026,08:44:08:701,0.000000,0.000000,4,-120.92,-120.92,0,0,
09/22/2026,08:44:08:815,0.000000,0.000000,1,-118.05,-118.05,0,0,
09/22/2026,08:44:08:874,0.000000,0.000000,2,-117.73,-117.73,0,0,
09/22/2026,08:44:08:938,0.000000,0.000000,3,-97.48,-97.48,0,0,
09/22/2026,08:44:08:984,0.000000,0.000000,4,-121.34,-121.34,0,0,
09/22/2026,08:44:09:093,0.000000,0.000000,1,-114.27,-114.27,0,0,
09/22/2026,08:44:09:158,0.000000,0.000000,2,-116.72,-116.72,0,0,
09/22/2026,08:44:09:212,0.000000,0.000000,3,-103.68,-103.68,0,0,
09/22/2026,08:44:09:283,0.000000,0.000000,4,-120.18,-120.18,0,0,
09/22/2026,08:44:09:362,0.000000,0.000000,1,-112.72,-112.72,0,0,
09/22/2026,08:44:09:432,0.000000,0.000000,2,-116.41,-116.41,0,0,
09/22/2026,08:44:09:489,0.000000,0.000000,3,-101.66,-101.66,0,0,
09/22/2026,08:44:09:550,0.000000,0.000000,4,-120.46,-120.46,0,0,
09/22/2026,08:44:09:646,0.000000,0.000000,1,-115.34,-115.34,0,0,
09/22/2026,08:44:09:719,0.000000,0.000000,2,-113.28,-113.28,0,0,
09/22/2026,08:44:09:764,0.000000,0.000000,3,-105.09,-105.09,0,0,
09/22/2026,08:44:09:845,0.000000,0.000000,4,-121.03,-121.03,0,0,
09/22/2026,08:44:09:921,0.000000,0.000000,1,-114.73,-114.73,0,0,
09/22/2026,08:44:09:995,0.000000,0.000000,2,-115.31,-115.31,0,0,
09/22/2026,08:44:10:044,0.000000,0.000000,3,-100.26,-100.26,0,0,
09/22/2026,08:44:10:096,0.000000,0.000000,4,-120.37,-120.37,0,0,
09/22/2026,08:44:10:201,0.000000,0.000000,1,-115.41,-115.41,0,0,
09/22/2026,08:44:10:273,0.000000,0.000000,2,-113.72,-113.72,0,0,
09/22/2026,08:44:10:348,0.000000,0.000000,3,-102.14,-102.14,0,0,
09/22/2026,08:44:10:372,0.000000,0.000000,4,-119.26,-119.26,0,0,
09/22/2026,08:44:10:478,0.000000,0.000000,1,-115.82,-115.82,0,0,
09/22/2026,08:44:10:559,0.000000,0.000000,2,-114.94,-114.94,0,0,
09/22/2026,08:44:10:597,0.000000,0.000000,3,-95.94,-95.94,0,0,
09/22/2026,08:44:10:650,0.000000,0.000000,4,-120.64,-120.64,0,0,
09/22/2026,08:44:10:765,0.000000,0.000000,1,-114.81,-114.81,0,0,
09/22/2026,08:44:10:827,0.000000,0.000000,2,-113.57,-113.57,0,0,
09/22/2026,08:44:10:876,0.000000,0.000000,3,-107.17,-107.17,0,0,
09/22/2026,08:44:10:933,0.000000,0.000000,4,-120.94,-120.94,0,0,
09/22/2026,08:44:11:032,0.000000,0.000000,1,-115.59,-115.59,0,0,
09/22/2026,08:44:11:103,0.000000,0.000000,2,-114.1,-114.1,0,0,
09/22/2026,08:44:11:154,0.000000,0.000000,3,-99.27,-99.27,0,0,
09/22/2026,08:44:11:212,0.000000,0.000000,4,-120.27,-120.27,0,0,
09/22/2026,08:44:11:319,0.000000,0.000000,1,-114.98,-114.98,0,0,
09/22/2026,08:44:11:391,0.000000,0.000000,2,-114.96,-114.96,0,0,
09/22/2026,08:44:11:474,0.000000,0.000000,3,-101.35,-101.35,0,0,
09/22/2026,08:44:11:486,0.000000,0.000000,4,-119.96,-119.96,0,0,
09/22/2026,08:44:11:613,0.000000,0.000000,1,-116.6,-116.6,0,0,
09/22/2026,08:44:11:681,0.000000,0.000000,2,-115.12,-115.12,0,0,
09/22/2026,08:44:11:716,0.000000,0.000000,3,-99.97,-99.97,0,0,
09/22/2026,08:44:11:767,0.000000,0.000000,4,-119.56,-119.56,0,0,
09/22/2026,08:44:11:870,0.000000,0.000000,1,-116.4,-116.4,0,0,
09/22/2026,08:44:11:946,0.000000,0.000000,2,-115.48,-115.48,0,0,
09/22/2026,08:44:12:003,0.000000,0.000000,3,-98.77,-98.77,0,0,
09/22/2026,08:44:12:052,0.000000,0.000000,4,-119.44,-119.44,0,0,
09/22/2026,08:44:12:149,0.000000,0.000000,1,-114.62,-114.62,0,0,
09/22/2026,08:44:12:222,0.000000,0.000000,2,-113.65,-113.65,0,0,
09/22/2026,08:44:12:277,0.000000,0.000000,3,-97.84,-97.84,0,0,
09/22/2026,08:44:12:324,0.000000,0.000000,4,-119.73,-119.73,0,0,
09/22/2026,08:44:12:435,0.000000,0.000000,1,-114.08,-114.08,0,0,
09/22/2026,08:44:12:514,0.000000,0.000000,2,-115.9,-115.9,0,0,
09/22/2026,08:44:12:557,0.000000,0.000000,3,-98.44,-98.44,0,0,
09/22/2026,08:44:12:603,0.000000,0.000000,4,-120.77,-120.77,0,0,
09/22/2026,08:44:12:707,0.000000,0.000000,1,-117.66,-117.66,0,0,
09/22/2026,08:44:12:780,0.000000,0.000000,2,-115.68,-115.68,0,0,
09/22/2026,08:44:12:828,0.000000,0.000000,3,-107.48,-107.48,0,0,
09/22/2026,08:44:12:881,0.000000,0.000000,4,-119.45,-119.45,0,0,
09/22/2026,08:44:12:996,0.000000,0.000000,1,-115.07,-115.07,0,0,
09/22/2026,08:44:13:094,0.000000,0.000000,2,-114.37,-114.37,0,0,
09/22/2026,08:44:13:133,0.000000,0.000000,3,-98.34,-98.34,0,0,
09/22/2026,08:44:13:184,0.000000,0.000000,4,-122.85,-122.85,0,0,
09/22/2026,08:44:13:500,0.000000,0.000000,1,-116.33,-116.33,0,0,
09/22/2026,08:44:13:531,0.000000,0.000000,2,-114.23,-114.23,0,0,
09/22/2026,08:44:13:553,0.000000,0.000000,3,-98.31,-98.31,0,0,
09/22/2026,08:44:13:564,0.000000,0.000000,4,-120.94,-120.94,0,0,
09/22/2026,08:44:13:604,0.000000,0.000000,1,-116.11,-116.11,0,0,
09/22/2026,08:44:13:622,0.000000,0.000000,2,-114.08,-114.08,0,0,
09/22/2026,08:44:13:672,0.000000,0.000000,3,-104.73,-104.73,0,0,
09/22/2026,08:44:13:716,0.000000,0.000000,4,-123.29,-123.29,0,0,
09/22/2026,08:44:13:824,0.000000,0.000000,1,-117.18,-117.18,0,0,
09/22/2026,08:44:13:892,0.000000,0.000000,2,-115.23,-115.23,0,0,
09/22/2026,08:44:13:958,0.000000,0.000000,3,-103.7,-103.7,0,0,
09/22/2026,08:44:14:005,0.000000,0.000000,4,-122.13,-122.13,0,0,
09/22/2026,08:44:14:101,0.000000,0.000000,1,-116.17,-116.17,0,0,
09/22/2026,08:44:14:175,0.000000,0.000000,2,-113.95,-113.95,0,0,
09/22/2026,08:44:14:231,0.000000,0.000000,3,-102.32,-102.32,0,0,
09/22/2026,08:44:14:282,0.000000,0.000000,4,-121.37,-121.37,0,0,
09/22/2026,08:44:14:398,0.000000,0.000000,1,-114.11,-114.11,0,0,
09/22/2026,08:44:14:468,0.000000,0.000000,2,-112.38,-112.38,0,0,
09/22/2026,08:44:14:501,0.000000,0.000000,3,-105.02,-105.02,0,0,
09/22/2026,08:44:14:558,0.000000,0.000000,4,-120.32,-120.32,0,0,
09/22/2026,08:44:14:666,0.000000,0.000000,1,-116.49,-116.49,0,0,
09/22/2026,08:44:14:734,0.000000,0.000000,2,-114.79,-114.79,0,0,
09/22/2026,08:44:14:783,0.000000,0.000000,3,-101.18,-101.18,0,0,
09/22/2026,08:44:14:833,0.000000,0.000000,4,-123.7,-123.7,0,0,
09/22/2026,08:44:14:945,0.000000,0.000000,1,-118.11,-118.11,0,0,
09/22/2026,08:44:15:013,0.000000,0.000000,2,-114.75,-114.75,0,0,
09/22/2026,08:44:15:084,0.000000,0.000000,3,-101.17,-101.17,0,0,
09/22/2026,08:44:15:125,0.000000,0.000000,4,-119.1,-119.1,0,0,
09/22/2026,08:44:15:215,0.000000,0.000000,1,-115.01,-115.01,0,0,
09/22/2026,08:44:15:301,0.000000,0.000000,2,-115.57,-115.57,0,0,
09/22/2026,08:44:15:340,0.000000,0.000000,3,-98.51,-98.51,0,0,
09/22/2026,08:44:15:397,0.000000,0.000000,4,-121.98,-121.98,0,0,
09/22/2026,08:44:15:494,0.000000,0.000000,1,-115.73,-115.73,0,0,
09/22/2026,08:44:15:568,0.000000,0.000000,2,-114.31,-114.31,0,0,
09/22/2026,08:44:15:652,0.000000,0.000000,3,-101.6,-101.6,0,0,
09/22/2026,08:44:15:742,0.000000,0.000000,4,-119.93,-119.93,0,0,
09/22/2026,08:44:15:774,0.000000,0.000000,1,-116.06,-116.06,0,0,
09/22/2026,08:44:15:843,0.000000,0.000000,2,-112.87,-112.87,0,0,
09/22/2026,08:44:15:896,0.000000,0.000000,3,-105.25,-105.25,0,0,
09/22/2026,08:44:15:959,0.000000,0.000000,4,-120.86,-120.86,0,0,
09/22/2026,08:44:16:063,0.000000,0.000000,1,-113.91,-113.91,0,0,
09/22/2026,08:44:16:137,0.000000,0.000000,2,-113.03,-113.03,0,0,
09/22/2026,08:44:16:183,0.000000,0.000000,3,-99.01,-99.01,0,0,
09/22/2026,08:44:16:230,0.000000,0.000000,4,-121.6,-121.6,0,0,
09/22/2026,08:44:16:346,0.000000,0.000000,1,-114.34,-114.34,0,0,
09/22/2026,08:44:16:433,0.000000,0.000000,2,-115.32,-115.32,0,0,
09/22/2026,08:44:16:464,0.000000,0.000000,3,-98.19,-98.19,0,0,
09/22/2026,08:44:16:526,0.000000,0.000000,4,-120.76,-120.76,0,0,
09/22/2026,08:44:16:617,0.000000,0.000000,1,-114.72,-114.72,0,0,
09/22/2026,08:44:16:679,0.000000,0.000000,2,-114.28,-114.28,0,0,
09/22/2026,08:44:16:733,0.000000,0.000000,3,-98.37,-98.37,0,0,
09/22/2026,08:44:16:791,0.000000,0.000000,4,-119.44,-119.44,0,0,
09/22/2026,08:44:16:914,0.000000,0.000000,1,-116.55,-116.55,0,0,
09/22/2026,08:44:16:985,0.000000,0.000000,2,-115.59,-115.59,0,0,
09/22/2026,08:44:17:024,0.000000,0.000000,3,-103.8,-103.8,0,0,
