Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/22/2026,08:44:07:947,0.000000,0.000000,1,-124.05,-124.05,0,0,
09/22/2026,08:44:08:026,0.000000,0.000000,2,-124.24,-124.24,0,0,
09/22/2026,08:44:08:108,0.000000,0.000000,3,-124.86,-124.86,0,0,
09/22/2026,08:44:08:125,0.000000,0.000000,1,-124.99,-124.99,0,0,
09/22/2026,08:44:08:199,0.000000,0.000000,4,-98.3,-98.3,0,0,
09/22/2026,08:44:08:227,0.000000,0.000000,2,-122.9,-122.9,0,0,
09/22/2026,08:44:08:357,0.000000,0.000000,3,-123.39,-123.39,0,0,
09/22/2026,08:44:08:393,0.000000,0.000000,1,-125.9,-125.9,0,0,
09/22/2026,08:44:08:477,0.000000,0.000000,4,-101.69,-101.69,0,0,
09/22/2026,08:44:08:505,0.000000,0.000000,2,-127.46,-127.46,0,0,
09/22/2026,08:44:08:631,0.000000,0.000000,3,-125.46,-125.46,0,0,
09/22/2026,08:44:08:669,0.000000,0.000000,1,-124.58,-124.58,0,0,
09/22/2026,08:44:08:765,0.000000,0.000000,4,-99.41,-99.41,0,0,
09/22/2026,08:44:08:786,0.000000,0.000000,2,-126.53,-126.53,0,0,
09/22/2026,08:44:08:913,0.000000,0.000000,3,-123.03,-123.03,0,0,
09/22/2026,08:44:08:941,0.000000,0.000000,1,-122.93,-122.93,0,0,
09/22/2026,08:44:09:044,0.000000,0.000000,4,-104.47,-104.47,0,0,
09/22/2026,08:44:09:076,0.000000,0.000000,2,-126.04,-126.04,0,0,
09/22/2026,08:44:09:210,0.000000,0.000000,3,-124.34,-124.34,0,0,
09/22/2026,08:44:09:220,0.000000,0.000000,1,-123.32,-123.32,0,0,
09/22/2026,08:44:09:317,0.000000,0.000000,4,-103.54,-103.54,0,0,
09/22/2026,08:44:09:348,0.000000,0.000000,2,-125.89,-125.89,0,0,
09/22/2026,08:44:09:468,0.000000,0.000000,3,-125.33,-125.33,0,0,
09/22/2026,08:44:09:508,0.000000,0.000000,1,-124.06,-124.06,0,0,
09/22/2026,08:44:09:596,0.000000,0.000000,4,-97.91,-97.91,0,0,
09/22/2026,08:44:09:635,0.000000,0.000000,2,-125.58,-125.58,0,0,
09/22/2026,08:44:09:760,0.000000,0.000000,3,-124.08,-124.08,0,0,
09/22/2026,08:44:09:806,0.000000,0.000000,1,-122.22,-122.22,0,0,
09/22/2026,08:44:09:889,0.000000,0.000000,4,-102.09,-102.09,0,0,
09/22/2026,08:44:09:911,0.000000,0.000000,2,-123.37,-123.37,0,0,
09/22/2026,08:44:10:024,0.000000,0.000000,3,-125.34,-125.34,0,0,
09/22/2026,08:44:10:059,0.000000,0.000000,1,-121.99,-121.99,0,0,
09/22/2026,08:44:10:152,0.000000,0.000000,4,-99.84,-99.84,0,0,
09/22/2026,08:44:10:182,0.000000,0.000000,2,-126.78,-126.78,0,0,
09/22/2026,08:44:10:341,0.000000,0.000000,3,-124.31,-124.31,0,0,
09/22/2026,08:44:10:360,0.000000,0.000000,1,-123.58,-123.58,0,0,
09/22/2026,08:44:10:432,0.000000,0.000000,4,-98.92,-98.92,0,0,
09/22/2026,08:44:10:473,0.000000,0.000000,2,-127.11,-127.11,0,0,
09/22/2026,08:44:10:581,0.000000,0.000000,3,-125.5,-125.5,0,0,
09/22/2026,08:44:10:615,0.000000,0.000000,1,-122.98,-122.98,0,0,
09/22/2026,08:44:10:707,0.000000,0.000000,4,-102.31,-102.31,0,0,
09/22/2026,08:44:10:739,0.000000,0.000000,2,-126.56,-126.56,0,0,
09/22/2026,08:44:10:864,0.000000,0.000000,3,-127.42,-127.42,0,0,
09/22/2026,08:44:10:899,0.000000,0.000000,1,-121.1,-121.1,0,0,
09/22/2026,08:44:10:984,0.000000,0.000000,4,-92.92,-92.92,0,0,
09/22/2026,08:44:11:020,0.000000,0.000000,2,-126.55,-126.55,0,0,
09/22/2026,08:44:11:148,0.000000,0.000000,3,-125.27,-125.27,0,0,
09/22/2026,08:44:11:176,0.000000,0.000000,1,-122.71,-122.71,0,0,
09/22/2026,08:44:11:263,0.000000,0.000000,4,-91.52,-91.52,0,0,
09/22/2026,08:44:11:318,0.000000,0.000000,2,-126.6,-126.6,0,0,
09/22/2026,08:44:11:436,0.000000,0.000000,3,-122.63,-122.63,0,0,
09/22/2026,08:44:11:477,0.000000,0.000000,1,-123.01,-123.01,0,0,
09/22/2026,08:44:11:559,0.000000,0.000000,4,-91.92,-91.92,0,0,
09/22/2026,08:44:11:605,0.000000,0.000000,2,-123.58,-123.58,0,0,
09/22/2026,08:44:11:696,0.000000,0.000000,3,-125.12,-125.12,0,0,
09/22/2026,08:44:11:753,0.000000,0.000000,1,-121.84,-121.84,0,0,
09/22/2026,08:44:11:838,0.000000,0.000000,4,-105.9,-105.9,0,0,
09/22/2026,08:44:11:859,0.000000,0.000000,2,-124.77,-124.77,0,0,
09/22/2026,08:44:11:973,0.000000,0.000000,3,-126.46,-126.46,0,0,
09/22/2026,08:44:12:012,0.000000,0.000000,1,-126.53,-126.53,0,0,
09/22/2026,08:44:12:097,0.000000,0.000000,4,-100.62,-100.62,0,0,
09/22/2026,08:44:12:129,0.000000,0.000000,2,-125.26,-125.26,0,0,
09/22/2026,08:44:12:263,0.000000,0.000000,3,-125.19,-125.19,0,0,
09/22/2026,08:44:12:292,0.000000,0.000000,1,-124.01,-124.01,0,0,
09/22/2026,08:44:12:388,0.000000,0.000000,4,-89.99,-89.99,0,0,
09/22/2026,08:44:12:434,0.000000,0.000000,2,-128.2,-128.2,0,0,
09/22/2026,08:44:12:533,0.000000,0.000000,3,-123.61,-123.61,0,0,
09/22/2026,08:44:12:567,0.000000,0.000000,1,-123.27,-123.27,0,0,
09/22/2026,08:44:12:660,0.000000,0.000000,4,-93.9,-93.9,0,0,
09/22/2026,08:44:12:693,0.000000,0.000000,2,-123.65,-123.65,0,0,
09/22/2026,08:44:12:814,0.000000,0.000000,3,-124.55,-124.55,0,0,
09/22/2026,08:44:12:846,0.000000,0.000000,1,-122.82,-122.82,0,0,
09/22/2026,08:44:12:932,0.000000,0.000000,4,-99.6,-99.6,0,0,
09/22/2026,08:44:12:966,0.000000,0.000000,2,-126.98,-126.98,0,0,
09/22/2026,08:44:13:130,0.000000,0.000000,3,-126.92,-126.92,0,0,
09/22/2026,08:44:13:137,0.000000,0.000000,1,-125.54,-125.54,0,0,
09/22/2026,08:44:13:476,0.000000,0.000000,4,-100.32,-100.32,0,0,
09/22/2026,08:44:13:496,0.000000,0.000000,2,-125.74,-125.74,0,0,
09/22/2026,08:44:13:549,0.000000,0.000000,3,-124.78,-124.78,0,0,
09/22/2026,08:44:13:557,0.000000,0.000000,1,-122.53,-122.53,0,0,
09/22/2026,08:44:13:579,0.000000,0.000000,4,-96.27,-96.27,0,0,
09/22/2026,08:44:13:594,0.000000,0.000000,2,-123.68,-123.68,0,0,
09/22/2026,08:44:13:656,0.000000,0.000000,3,-125.84,-125.84,0,0,
09/22/2026,08:44:13:683,0.000000,0.000000,1,-123.96,-123.96,0,0,
09/22/2026,08:44:13:773,0.000000,0.000000,4,-92.78,-92.78,0,0,
09/22/2026,08:44:13:820,0.000000,0.000000,2,-128.32,-128.32,0,0,
09/22/2026,08:44:13:930,0.000000,0.000000,3,-123.06,-123.06,0,0,
09/22/2026,08:44:13:961,0.000000,0.000000,1,-120.97,-120.97,0,0,
09/22/2026,08:44:14:059,0.000000,0.000000,4,-93.31,-93.31,0,0,
09/22/2026,08:44:14:084,0.000000,0.000000,2,-123.56,-123.56,0,0,
09/22/2026,08:44:14:210,0.000000,0.000000,3,-122.32,-122.32,0,0,
09/22/2026,08:44:14:246,0.000000,0.000000,1,-123.28,-123.28,0,0,
09/22/2026,08:44:14:341,0.000000,0.000000,4,-93.06,-93.06,0,0,
09/22/2026,08:44:14:368,0.000000,0.000000,2,-124.43,-124.43,0,0,
09/22/2026,08:44:14:490,0.000000,0.000000,3,-126,-126,0,0,
09/22/2026,08:44:14:522,0.000000,0.000000,1,-122.18,-122.18,0,0,
09/22/2026,08:44:14:614,0.000000,0.000000,4,-104.07,-104.07,0,0,
09/22/2026,08:44:14:643,0.000000,0.000000,2,-125.44,-125.44,0,0,
09/22/2026,08:44:14:762,0.000000,0.000000,3,-122.87,-122.87,0,0,
09/22/2026,08:44:14:802,0.000000,0.000000,1,-122.34,-122.34,0,0,
09/22/2026,08:44:14:889,0.000000,0.000000,4,-90.15,-90.15,0,0,
09/22/2026,08:44:14:919,0.000000,0.000000,2,-122.93,-122.93,0,0,
09/22/2026,08:44:15:050,0.000000,0.000000,3,-121.81,-121.81,0,0,
09/22/2026,08:44:15:087,0.000000,0.000000,1,-122.71,-122.71,0,0,
09/22/2026,08:44:15:165,0.000000,0.000000,4,-99.76,-99.76,0,0,
09/22/2026,08:44:15:209,0.000000,0.000000,2,-125.51,-125.51,0,0,
09/22/2026,08:44:15:337,0.000000,0.000000,3,-125.02,-125.02,0,0,
09/22/2026,08:44:15:356,0.000000,0.000000,1,-121.82,-121.82,0,0,
09/22/2026,08:44:15:443,0.000000,0.000000,4,-93.12,-93.12,0,0,
09/22/2026,08:44:15:483,0.000000,0.000000,2,-128.43,-128.43,0,0,
09/22/2026,08:44:15:645,0.000000,0.000000,3,-124.46,-124.46,0,0,
09/22/2026,08:44:15:691,0.000000,0.000000,1,-124.3,-124.3,0,0,
09/22/2026,08:44:15:755,0.000000,0.000000,4,-93.85,-93.85,0,0,
09/22/2026,08:44:15:769,0.000000,0.000000,2,-122.75,-122.75,0,0,
09/22/2026,08:44:15:892,0.000000,0.000000,3,-120.09,-120.09,0,0,
09/22/2026,08:44:15:913,0.000000,0.000000,1,-126.86,-126.86,0,0,
09/22/2026,08:44:16:012,0.000000,0.000000,4,-91.3,-91.3,0,0,
09/22/2026,08:44:16:034,0.000000,0.000000,2,-125.28,-125.28,0,0,
09/22/2026,08:44:16:177,0.000000,0.000000,3,-120.69,-120.69,0,0,
09/22/2026,08:44:16:192,0.000000,0.000000,1,-124.72,-124.72,0,0,
09/22/2026,08:44:16:293,0.000000,0.000000,4,-92.65,-92.65,0,0,
09/22/2026,08:44:16:315,0.000000,0.000000,2,-122.37,-122.37,0,0,
09/22/2026,08:44:16:462,0.000000,0.000000,3,-124.11,-124.11,0,0,
09/22/2026,08:44:16:479,0.000000,0.000000,1,-124.84,-124.84,0,0,
09/22/2026,08:44:16:563,0.000000,0.000000,4,-93.41,-93.41,0,0,
09/22/2026,08:44:16:598,0.000000,0.000000,2,-125.67,-125.67,0,0,
09/22/2026,08:44:16:728,0.000000,0.000000,3,-122.35,-122.35,0,0,
09/22/2026,08:44:16:766,0.000000,0.000000,1,-124.47,-124.47,0,0,
09/22/2026,08:44:16:857,0.000000,0.000000,4,-92.56,-92.56,0,0,
09/22/2026,08:44:16:875,0.000000,0.000000,2,-123.4,-123.4,0,0,
09/22/2026,08:44:16:993,0.000000,0.000000,3,-122.12,-122.12,0,0,
09/22/2026,08:44:17:068,0.000000,0.000000,1,-123.46,-123.46,0,0,
09/22/2026,08:44:17:156,0.000000,0.000000,4,-90.23,-90.23,0,0,
09/22/2026,08:44:17:206,0.000000,0.000000,2,-124.02,-124.02,0,0,
09/22/2026,08:44:17:293,0.000000,0.000000,3,-122.49,-122.49,0,0,
09/22/2026,08:44:17:345,0.000000,0.000000,1,-123.19,-123.19,0,0,
09/22/2026,08:44:17:419,0.000000,0.000000,4,-95.21,-95.21,0,0,
09/22/2026,08:44:17:457,0.000000,0.000000,2,-124.08,-124.08,0,0,
09/22/2026,08:44:17:561,0.000000,0.000000,3,-122.83,-122.83,0,0,
09/22/2026,08:44:17:597,0.000000,0.000000,1,-122.78,-122.78,0,0,
09/22/2026,08:44:17:689,0.000000,0.000000,4,-88.92,-88.92,0,0,
