Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,09:59:43:005,0.000000,0.000000,1,-113.52,-113.52,0,0,
09/21/2026,09:59:43:075,0.000000,0.000000,2,-112.18,-112.18,0,0,
09/21/2026,09:59:43:127,0.000000,0.000000,3,-109.63,-109.63,0,0,
09/21/2026,09:59:43:179,0.000000,0.000000,4,-116.87,-116.87,0,0,
09/21/2026,09:59:43:351,0.000000,0.000000,1,-114.33,-114.33,0,0,
09/21/2026,09:59:43:421,0.000000,0.000000,2,-113.22,-113.22,0,0,
09/21/2026,09:59:43:475,0.000000,0.000000,3,-106.44,-106.44,0,0,
09/21/2026,09:59:43:538,0.000000,0.000000,4,-119.22,-119.22,0,0,
09/21/2026,09:59:43:703,0.000000,0.000000,1,-113.94,-113.94,0,0,
09/21/2026,09:59:43:774,0.000000,0.000000,2,-111.64,-111.64,0,0,
09/21/2026,09:59:43:820,0.000000,0.000000,3,-107.1,-107.1,0,0,
09/21/2026,09:59:43:874,0.000000,0.000000,4,-117.75,-117.75,0,0,
09/21/2026,09:59:44:050,0.000000,0.000000,1,-112.93,-112.93,0,0,
09/21/2026,09:59:44:115,0.000000,0.000000,2,-111.79,-111.79,0,0,
09/21/2026,09:59:44:166,0.000000,0.000000,3,-117.08,-117.08,0,0,
09/21/2026,09:59:44:224,0.000000,0.000000,4,-117.78,-117.78,0,0,
09/21/2026,09:59:44:393,0.000000,0.000000,1,-114.06,-114.06,0,0,
09/21/2026,09:59:44:568,0.000000,0.000000,2,-112.7,-112.7,0,0,
09/21/2026,09:59:44:581,0.000000,0.000000,3,-106.44,-106.44,0,0,
09/21/2026,09:59:44:616,0.000000,0.000000,4,-116.75,-116.75,0,0,
09/21/2026,09:59:44:772,0.000000,0.000000,1,-114.65,-114.65,0,0,
09/21/2026,09:59:44:810,0.000000,0.000000,2,-112.26,-112.26,0,0,
09/21/2026,09:59:44:862,0.000000,0.000000,3,-112.89,-112.89,0,0,
09/21/2026,09:59:44:918,0.000000,0.000000,4,-118.74,-118.74,0,0,
09/21/2026,09:59:45:084,0.000000,0.000000,1,-113.25,-113.25,0,0,
09/21/2026,09:59:45:167,0.000000,0.000000,2,-112,-112,0,0,
09/21/2026,09:59:45:220,0.000000,0.000000,3,-107.39,-107.39,0,0,
09/21/2026,09:59:45:264,0.000000,0.000000,4,-117.42,-117.42,0,0,
09/21/2026,09:59:45:432,0.000000,0.000000,1,-112.97,-112.97,0,0,
09/21/2026,09:59:45:502,0.000000,0.000000,2,-113.95,-113.95,0,0,
09/21/2026,09:59:45:557,0.000000,0.000000,3,-112.01,-112.01,0,0,
