Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,09:59:42:375,0.000000,0.000000,1,-124.31,-124.31,0,0,
09/21/2026,09:59:42:436,0.000000,0.000000,2,-127.11,-127.11,0,0,
09/21/2026,09:59:42:448,0.000000,0.000000,3,-125.69,-125.69,0,0,
09/21/2026,09:59:42:518,0.000000,0.000000,4,-126.09,-126.09,0,0,
09/21/2026,09:59:42:563,0.000000,0.000000,1,-124.65,-124.65,0,0,
09/21/2026,09:59:42:626,0.000000,0.000000,2,-125.7,-125.7,0,0,
09/21/2026,09:59:42:690,0.000000,0.000000,3,-126.17,-126.17,0,0,
09/21/2026,09:59:42:734,0.000000,0.000000,4,-126.68,-126.68,0,0,
09/21/2026,09:59:42:800,0.000000,0.000000,1,-125.7,-125.7,0,0,
09/21/2026,09:59:42:888,0.000000,0.000000,2,-126.78,-126.78,0,0,
09/21/2026,09:59:42:959,0.000000,0.000000,3,-126.75,-126.75,0,0,
09/21/2026,09:59:43:025,0.000000,0.000000,4,-125.96,-125.96,0,0,
09/21/2026,09:59:43:092,0.000000,0.000000,1,-124.92,-124.92,0,0,
09/21/2026,09:59:43:242,0.000000,0.000000,2,-126.06,-126.06,0,0,
09/21/2026,09:59:43:301,0.000000,0.000000,3,-125.23,-125.23,0,0,
09/21/2026,09:59:43:370,0.000000,0.000000,4,-126.73,-126.73,0,0,
09/21/2026,09:59:43:444,0.000000,0.000000,1,-125.36,-125.36,0,0,
09/21/2026,09:59:43:561,0.000000,0.000000,2,-125.75,-125.75,0,0,
09/21/2026,09:59:43:654,0.000000,0.000000,3,-125.04,-125.04,0,0,
09/21/2026,09:59:43:716,0.000000,0.000000,4,-124.69,-124.69,0,0,
09/21/2026,09:59:43:792,0.000000,0.000000,1,-125.52,-125.52,0,0,
09/21/2026,09:59:43:908,0.000000,0.000000,2,-126.82,-126.82,0,0,
09/21/2026,09:59:43:991,0.000000,0.000000,3,-123.36,-123.36,0,0,
09/21/2026,09:59:44:066,0.000000,0.000000,4,-127.2,-127.2,0,0,
09/21/2026,09:59:44:148,0.000000,0.000000,1,-124.6,-124.6,0,0,
09/21/2026,09:59:44:263,0.000000,0.000000,2,-125.35,-125.35,0,0,
09/21/2026,09:59:44:354,0.000000,0.000000,3,-126.4,-126.4,0,0,
09/21/2026,09:59:44:428,0.000000,0.000000,4,-126.23,-126.23,0,0,
09/21/2026,09:59:44:569,0.000000,0.000000,1,-126.29,-126.29,0,0,
09/21/2026,09:59:44:630,0.000000,0.000000,2,-126.87,-126.87,0,0,
09/21/2026,09:59:44:740,0.000000,0.000000,3,-125.8,-125.8,0,0,
09/21/2026,09:59:44:775,0.000000,0.000000,4,-124.94,-124.94,0,0,
09/21/2026,09:59:44:826,0.000000,0.000000,1,-125.93,-125.93,0,0,
09/21/2026,09:59:44:953,0.000000,0.000000,2,-126.64,-126.64,0,0,
09/21/2026,09:59:45:033,0.000000,0.000000,3,-125.29,-125.29,0,0,
09/21/2026,09:59:45:109,0.000000,0.000000,4,-125.87,-125.87,0,0,
09/21/2026,09:59:45:172,0.000000,0.000000,1,-126.44,-126.44,0,0,
09/21/2026,09:59:45:295,0.000000,0.000000,2,-125.77,-125.77,0,0,
09/21/2026,09:59:45:379,0.000000,0.000000,3,-124.61,-124.61,0,0,
09/21/2026,09:59:45:450,0.000000,0.000000,4,-126.46,-126.46,0,0,
09/21/2026,09:59:45:521,0.000000,0.000000,1,-127.16,-127.16,0,0,
09/21/2026,09:59:45:641,0.000000,0.000000,2,-125.64,-125.64,0,0,
09/21/2026,09:59:45:733,0.000000,0.000000,3,-126.18,-126.18,0,0,
09/21/2026,09:59:45:798,0.000000,0.000000,4,-125.69,-125.69,0,0,
09/21/2026,09:59:45:865,0.000000,0.000000,1,-123.32,-123.32,0,0,
09/21/2026,09:59:46:002,0.000000,0.000000,2,-126,-126,0,0,
09/21/2026,09:59:46:078,0.000000,0.000000,3,-126.67,-126.67,0,0,
09/21/2026,09:59:46:181,0.000000,0.000000,4,-125.96,-125.96,0,0,
09/21/2026,09:59:46:294,0.000000,0.000000,1,-127.67,-127.67,0,0,
09/21/2026,09:59:46:391,0.000000,0.000000,2,-125.96,-125.96,0,0,
09/21/2026,09:59:46:440,0.000000,0.000000,3,-125.78,-125.78,0,0,
09/21/2026,09:59:46:521,0.000000,0.000000,4,-126.41,-126.41,0,0,
09/21/2026,09:59:46:575,0.000000,0.000000,1,-126.22,-126.22,0,0,
09/21/2026,09:59:46:685,0.000000,0.000000,2,-126.69,-126.69,0,0,
09/21/2026,09:59:46:768,0.000000,0.000000,3,-125.22,-125.22,0,0,
09/21/2026,09:59:46:839,0.000000,0.000000,4,-125.14,-125.14,0,0,
09/21/2026,09:59:46:925,0.000000,0.000000,1,-126.26,-126.26,0,0,
09/21/2026,09:59:47:043,0.000000,0.000000,2,-127.14,-127.14,0,0,
09/21/2026,09:59:47:120,0.000000,0.000000,3,-125.53,-125.53,0,0,
09/21/2026,09:59:47:194,0.000000,0.000000,4,-126.47,-126.47,0,0,
09/21/2026,09:59:47:253,0.000000,0.000000,1,-126.71,-126.71,0,0,
09/21/2026,09:59:47:376,0.000000,0.000000,2,-125.15,-125.15,0,0,
09/21/2026,09:59:47:461,0.000000,0.000000,3,-125.68,-125.68,0,0,
09/21/2026,09:59:47:531,0.000000,0.000000,4,-125.59,-125.59,0,0,
09/21/2026,09:59:47:606,0.000000,0.000000,1,-125.63,-125.63,0,0,
09/21/2026,09:59:47:728,0.000000,0.000000,2,-126.98,-126.98,0,0,
09/21/2026,09:59:47:807,0.000000,0.000000,3,-125.05,-125.05,0,0,
09/21/2026,09:59:48:014,0.000000,0.000000,4,-125.23,-125.23,0,0,
09/21/2026,09:59:48:028,0.000000,0.000000,1,-125.3,-125.3,0,0,
09/21/2026,09:59:48:083,0.000000,0.000000,2,-126.32,-126.32,0,0,
09/21/2026,09:59:48:186,0.000000,0.000000,3,-125.37,-125.37,0,0,
09/21/2026,09:59:48:248,0.000000,0.000000,4,-127.23,-127.23,0,0,
09/21/2026,09:59:48:355,0.000000,0.000000,1,-124.37,-124.37,0,0,
09/21/2026,09:59:48:467,0.000000,0.000000,2,-124.66,-124.66,0,0,
09/21/2026,09:59:48:514,0.000000,0.000000,3,-125.82,-125.82,0,0,
09/21/2026,09:59:48:573,0.000000,0.000000,4,-125.43,-125.43,0,0,
09/21/2026,09:59:48:645,0.000000,0.000000,1,-125.36,-125.36,0,0,
09/21/2026,09:59:48:767,0.000000,0.000000,2,-124.2,-124.2,0,0,
09/21/2026,09:59:48:849,0.000000,0.000000,3,-126.29,-126.29,0,0,
09/21/2026,09:59:48:921,0.000000,0.000000,4,-126.21,-126.21,0,0,
09/21/2026,09:59:48:987,0.000000,0.000000,1,-125.19,-125.19,0,0,
