Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,08:51:56:818,0.000000,0.000000,1,-123.73,-123.73,0,0,
08/27/2026,08:51:56:850,0.000000,0.000000,2,-125.27,-125.27,0,0,
08/27/2026,08:51:56:889,0.000000,0.000000,3,-125.65,-125.65,0,0,
08/27/2026,08:51:56:944,0.000000,0.000000,1,-122.57,-122.57,0,0,
08/27/2026,08:51:56:991,0.000000,0.000000,2,-124.33,-124.33,0,0,
08/27/2026,08:51:57:044,0.000000,0.000000,3,-126.45,-126.45,0,0,
08/27/2026,08:51:57:051,0.000000,0.000000,4,-113.62,-113.62,0,0,
08/27/2026,08:51:57:066,0.000000,0.000000,1,-122.79,-122.79,0,0,
08/27/2026,08:51:57:113,0.000000,0.000000,2,-124.1,-124.1,0,0,
08/27/2026,08:51:57:258,0.000000,0.000000,3,-126.17,-126.17,0,0,
08/27/2026,08:51:57:289,0.000000,0.000000,4,-114.45,-114.45,0,0,
08/27/2026,08:51:57:338,0.000000,0.000000,1,-124.42,-124.42,0,0,
08/27/2026,08:51:57:363,0.000000,0.000000,2,-122.24,-122.24,0,0,
08/27/2026,08:51:57:427,0.000000,0.000000,3,-124.61,-124.61,0,0,
08/27/2026,08:51:57:433,0.000000,0.000000,4,-112.39,-112.39,0,0,
08/27/2026,08:51:57:484,0.000000,0.000000,1,-125.09,-125.09,0,0,
08/27/2026,08:51:57:553,0.000000,0.000000,2,-122.5,-122.5,0,0,
08/27/2026,08:51:57:640,0.000000,0.000000,3,-123.2,-123.2,0,0,
08/27/2026,08:51:57:644,0.000000,0.000000,4,-114.78,-114.78,0,0,
08/27/2026,08:51:57:740,0.000000,0.000000,1,-125.24,-125.24,0,0,
08/27/2026,08:51:57:784,0.000000,0.000000,2,-122.8,-122.8,0,0,
08/27/2026,08:51:57:873,0.000000,0.000000,3,-126.18,-126.18,0,0,
08/27/2026,08:51:57:892,0.000000,0.000000,4,-109.44,-109.44,0,0,
08/27/2026,08:51:57:987,0.000000,0.000000,1,-125.02,-125.02,0,0,
08/27/2026,08:51:58:040,0.000000,0.000000,2,-126.01,-126.01,0,0,
08/27/2026,08:51:58:166,0.000000,0.000000,3,-123.48,-123.48,0,0,
08/27/2026,08:51:58:181,0.000000,0.000000,4,-111.9,-111.9,0,0,
08/27/2026,08:51:58:240,0.000000,0.000000,1,-124.27,-124.27,0,0,
08/27/2026,08:51:58:374,0.000000,0.000000,2,-124.49,-124.49,0,0,
08/27/2026,08:51:58:518,0.000000,0.000000,3,-123.94,-123.94,0,0,
08/27/2026,08:51:58:520,0.000000,0.000000,4,-112.69,-112.69,0,0,
08/27/2026,08:51:58:607,0.000000,0.000000,1,-124.09,-124.09,0,0,
08/27/2026,08:51:58:702,0.000000,0.000000,2,-124.82,-124.82,0,0,
08/27/2026,08:51:58:762,0.000000,0.000000,3,-123.85,-123.85,0,0,
08/27/2026,08:51:58:774,0.000000,0.000000,4,-114.08,-114.08,0,0,
08/27/2026,08:51:58:822,0.000000,0.000000,1,-124.28,-124.28,0,0,
08/27/2026,08:51:58:856,0.000000,0.000000,2,-124.26,-124.26,0,0,
08/27/2026,08:51:59:013,0.000000,0.000000,3,-124.92,-124.92,0,0,
08/27/2026,08:51:59:015,0.000000,0.000000,4,-107.08,-107.08,0,0,
08/27/2026,08:51:59:082,0.000000,0.000000,1,-124.02,-124.02,0,0,
08/27/2026,08:51:59:139,0.000000,0.000000,2,-122.67,-122.67,0,0,
08/27/2026,08:51:59:257,0.000000,0.000000,3,-124.69,-124.69,0,0,
08/27/2026,08:51:59:331,0.000000,0.000000,4,-118.33,-118.33,0,0,
08/27/2026,08:51:59:355,0.000000,0.000000,1,-125.81,-125.81,0,0,
08/27/2026,08:51:59:415,0.000000,0.000000,2,-123.22,-123.22,0,0,
08/27/2026,08:51:59:553,0.000000,0.000000,3,-125.8,-125.8,0,0,
08/27/2026,08:51:59:564,0.000000,0.000000,4,-115.63,-115.63,0,0,
08/27/2026,08:51:59:648,0.000000,0.000000,1,-123.39,-123.39,0,0,
08/27/2026,08:51:59:740,0.000000,0.000000,2,-127.42,-127.42,0,0,
08/27/2026,08:51:59:816,0.000000,0.000000,3,-125,-125,0,0,
08/27/2026,08:51:59:829,0.000000,0.000000,4,-114.86,-114.86,0,0,
08/27/2026,08:51:59:898,0.000000,0.000000,1,-120.82,-120.82,0,0,
08/27/2026,08:51:59:965,0.000000,0.000000,2,-124.71,-124.71,0,0,
08/27/2026,08:52:00:104,0.000000,0.000000,3,-122.55,-122.55,0,0,
08/27/2026,08:52:00:109,0.000000,0.000000,4,-111.56,-111.56,0,0,
08/27/2026,08:52:00:194,0.000000,0.000000,1,-120.63,-120.63,0,0,
08/27/2026,08:52:00:265,0.000000,0.000000,2,-122.3,-122.3,0,0,
08/27/2026,08:52:00:442,0.000000,0.000000,3,-125.07,-125.07,0,0,
08/27/2026,08:52:00:493,0.000000,0.000000,4,-112.72,-112.72,0,0,
08/27/2026,08:52:00:590,0.000000,0.000000,1,-122.78,-122.78,0,0,
08/27/2026,08:52:00:614,0.000000,0.000000,2,-125.74,-125.74,0,0,
08/27/2026,08:52:00:728,0.000000,0.000000,3,-125.85,-125.85,0,0,
08/27/2026,08:52:00:783,0.000000,0.000000,4,-115.78,-115.78,0,0,
08/27/2026,08:52:00:799,0.000000,0.000000,1,-125.67,-125.67,0,0,
08/27/2026,08:52:00:845,0.000000,0.000000,2,-121.29,-121.29,0,0,
08/27/2026,08:52:00:938,0.000000,0.000000,3,-124.29,-124.29,0,0,
08/27/2026,08:52:00:962,0.000000,0.000000,4,-122.11,-122.11,0,0,
08/27/2026,08:52:01:041,0.000000,0.000000,1,-122.6,-122.6,0,0,
08/27/2026,08:52:01:087,0.000000,0.000000,2,-123.9,-123.9,0,0,
08/27/2026,08:52:01:220,0.000000,0.000000,3,-125.52,-125.52,0,0,
08/27/2026,08:52:01:239,0.000000,0.000000,4,-114.32,-114.32,0,0,
08/27/2026,08:52:01:286,0.000000,0.000000,1,-121.95,-121.95,0,0,
08/27/2026,08:52:01:355,0.000000,0.000000,2,-124.97,-124.97,0,0,
08/27/2026,08:52:01:502,0.000000,0.000000,3,-123.53,-123.53,0,0,
08/27/2026,08:52:01:511,0.000000,0.000000,4,-108.08,-108.08,0,0,
08/27/2026,08:52:01:568,0.000000,0.000000,1,-123.05,-123.05,0,0,
08/27/2026,08:52:01:694,0.000000,0.000000,2,-123.02,-123.02,0,0,
08/27/2026,08:52:01:758,0.000000,0.000000,3,-124.51,-124.51,0,0,
08/27/2026,08:52:01:777,0.000000,0.000000,4,-115.82,-115.82,0,0,
08/27/2026,08:52:01:878,0.000000,0.000000,1,-124.28,-124.28,0,0,
08/27/2026,08:52:01:978,0.000000,0.000000,2,-122.78,-122.78,0,0,
08/27/2026,08:52:02:175,0.000000,0.000000,3,-125.36,-125.36,0,0,
08/27/2026,08:52:02:177,0.000000,0.000000,4,-111.19,-111.19,0,0,
08/27/2026,08:52:02:307,0.000000,0.000000,1,-121.84,-121.84,0,0,
08/27/2026,08:52:02:355,0.000000,0.000000,2,-124.02,-124.02,0,0,
08/27/2026,08:52:02:383,0.000000,0.000000,3,-124.24,-124.24,0,0,
08/27/2026,08:52:02:398,0.000000,0.000000,4,-112.64,-112.64,0,0,
08/27/2026,08:52:02:454,0.000000,0.000000,1,-122.67,-122.67,0,0,
08/27/2026,08:52:02:492,0.000000,0.000000,2,-123.14,-123.14,0,0,
08/27/2026,08:52:02:600,0.000000,0.000000,3,-123.83,-123.83,0,0,
08/27/2026,08:52:02:606,0.000000,0.000000,4,-111.31,-111.31,0,0,
08/27/2026,08:52:02:689,0.000000,0.000000,1,-120.52,-120.52,0,0,
08/27/2026,08:52:02:744,0.000000,0.000000,2,-124.07,-124.07,0,0,
08/27/2026,08:52:02:864,0.000000,0.000000,3,-124.61,-124.61,0,0,
08/27/2026,08:52:02:887,0.000000,0.000000,4,-106.09,-106.09,0,0,
08/27/2026,08:52:02:964,0.000000,0.000000,1,-122.36,-122.36,0,0,
08/27/2026,08:52:03:025,0.000000,0.000000,2,-123.23,-123.23,0,0,
08/27/2026,08:52:03:182,0.000000,0.000000,3,-124.79,-124.79,0,0,
08/27/2026,08:52:03:185,0.000000,0.000000,4,-111.59,-111.59,0,0,
08/27/2026,08:52:03:232,0.000000,0.000000,1,-123.35,-123.35,0,0,
08/27/2026,08:52:03:324,0.000000,0.000000,2,-124.68,-124.68,0,0,
08/27/2026,08:52:03:426,0.000000,0.000000,3,-123.26,-123.26,0,0,
08/27/2026,08:52:03:439,0.000000,0.000000,4,-112.09,-112.09,0,0,
08/27/2026,08:52:03:511,0.000000,0.000000,1,-123.16,-123.16,0,0,
08/27/2026,08:52:03:593,0.000000,0.000000,2,-124.02,-124.02,0,0,
08/27/2026,08:52:03:710,0.000000,0.000000,3,-123.21,-123.21,0,0,
08/27/2026,08:52:03:727,0.000000,0.000000,4,-103.44,-103.44,0,0,
08/27/2026,08:52:03:817,0.000000,0.000000,1,-122.88,-122.88,0,0,
08/27/2026,08:52:03:890,0.000000,0.000000,2,-125.64,-125.64,0,0,
08/27/2026,08:52:03:982,0.000000,0.000000,3,-125.17,-125.17,0,0,
08/27/2026,08:52:03:998,0.000000,0.000000,4,-105.99,-105.99,0,0,
08/27/2026,08:52:04:098,0.000000,0.000000,1,-123.98,-123.98,0,0,
08/27/2026,08:52:04:147,0.000000,0.000000,2,-121.29,-121.29,0,0,
08/27/2026,08:52:04:352,0.000000,0.000000,3,-123.26,-123.26,0,0,
08/27/2026,08:52:04:361,0.000000,0.000000,4,-109.07,-109.07,0,0,
08/27/2026,08:52:04:471,0.000000,0.000000,1,-123.07,-123.07,0,0,
08/27/2026,08:52:04:496,0.000000,0.000000,2,-121.23,-121.23,0,0,
08/27/2026,08:52:04:683,0.000000,0.000000,3,-123.27,-123.27,0,0,
08/27/2026,08:52:04:700,0.000000,0.000000,4,-111.42,-111.42,0,0,
08/27/2026,08:52:04:729,0.000000,0.000000,1,-122.7,-122.7,0,0,
08/27/2026,08:52:04:763,0.000000,0.000000,2,-122.74,-122.74,0,0,
08/27/2026,08:52:04:870,0.000000,0.000000,3,-123.22,-123.22,0,0,
08/27/2026,08:52:04:879,0.000000,0.000000,4,-101.86,-101.86,0,0,
08/27/2026,08:52:04:917,0.000000,0.000000,1,-123.75,-123.75,0,0,
08/27/2026,08:52:04:970,0.000000,0.000000,2,-122.99,-122.99,0,0,
08/27/2026,08:52:05:088,0.000000,0.000000,3,-124.31,-124.31,0,0,
08/27/2026,08:52:05:120,0.000000,0.000000,4,-103.71,-103.71,0,0,
08/27/2026,08:52:05:172,0.000000,0.000000,1,-123.98,-123.98,0,0,
08/27/2026,08:52:05:251,0.000000,0.000000,2,-125.53,-125.53,0,0,
08/27/2026,08:52:05:401,0.000000,0.000000,3,-124.42,-124.42,0,0,
08/27/2026,08:52:05:413,0.000000,0.000000,4,-105.69,-105.69,0,0,
08/27/2026,08:52:05:466,0.000000,0.000000,1,-124.58,-124.58,0,0,
08/27/2026,08:52:05:519,0.000000,0.000000,2,-124.48,-124.48,0,0,
08/27/2026,08:52:05:652,0.000000,0.000000,3,-124.48,-124.48,0,0,
08/27/2026,08:52:05:656,0.000000,0.000000,4,-100.99,-100.99,0,0,
