Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,11:27:23:488,0.000000,0.000000,1,-123.95,-123.95,0,0,
09/21/2026,11:27:23:490,0.000000,0.000000,1,-125.66,-125.66,0,0,
09/21/2026,11:27:23:510,0.000000,0.000000,1,-125.66,-125.66,0,0,
09/21/2026,11:27:23:525,0.000000,0.000000,1,-124.58,-124.58,0,0,
09/21/2026,11:27:23:547,0.000000,0.000000,1,-124.36,-124.36,0,0,
09/21/2026,11:27:23:559,0.000000,0.000000,2,-123.14,-123.14,0,0,
09/21/2026,11:27:23:578,0.000000,0.000000,1,-124.9,-124.9,0,0,
09/21/2026,11:27:23:607,0.000000,0.000000,2,-124.48,-124.48,0,0,
09/21/2026,11:27:23:616,0.000000,0.000000,3,-124.76,-124.76,0,0,
09/21/2026,11:27:23:646,0.000000,0.000000,1,-125.32,-125.32,0,0,
09/21/2026,11:27:23:654,0.000000,0.000000,2,-124.62,-124.62,0,0,
09/21/2026,11:27:23:659,0.000000,0.000000,3,-126.32,-126.32,0,0,
09/21/2026,11:27:23:678,0.000000,0.000000,4,-79.17,-79.17,0,0,
09/21/2026,11:27:23:693,0.000000,0.000000,1,-124.98,-124.98,0,0,
09/21/2026,11:27:23:717,0.000000,0.000000,2,-123.62,-123.62,0,0,
09/21/2026,11:27:23:728,0.000000,0.000000,3,-123.9,-123.9,0,0,
09/21/2026,11:27:23:772,0.000000,0.000000,4,-78.94,-78.94,0,0,
09/21/2026,11:27:23:790,0.000000,0.000000,1,-122.56,-122.56,0,0,
09/21/2026,11:27:23:806,0.000000,0.000000,2,-123.22,-123.22,0,0,
09/21/2026,11:27:23:828,0.000000,0.000000,3,-125.84,-125.84,0,0,
09/21/2026,11:27:23:893,0.000000,0.000000,4,-82.65,-82.65,0,0,
09/21/2026,11:27:23:907,0.000000,0.000000,1,-125.88,-125.88,0,0,
09/21/2026,11:27:23:951,0.000000,0.000000,2,-122.87,-122.87,0,0,
09/21/2026,11:27:23:965,0.000000,0.000000,3,-124.99,-124.99,0,0,
09/21/2026,11:27:24:066,0.000000,0.000000,4,-80.84,-80.84,0,0,
09/21/2026,11:27:24:080,0.000000,0.000000,1,-125.99,-125.99,0,0,
09/21/2026,11:27:24:127,0.000000,0.000000,2,-123.73,-123.73,0,0,
09/21/2026,11:27:24:156,0.000000,0.000000,3,-122.86,-122.86,0,0,
09/21/2026,11:27:24:292,0.000000,0.000000,4,-81.4,-81.4,0,0,
09/21/2026,11:27:24:320,0.000000,0.000000,1,-125.12,-125.12,0,0,
09/21/2026,11:27:24:418,0.000000,0.000000,2,-124.34,-124.34,0,0,
09/21/2026,11:27:24:445,0.000000,0.000000,3,-123.93,-123.93,0,0,
09/21/2026,11:27:24:577,0.000000,0.000000,4,-83.41,-83.41,0,0,
09/21/2026,11:27:24:599,0.000000,0.000000,1,-126.66,-126.66,0,0,
09/21/2026,11:27:24:673,0.000000,0.000000,2,-123.67,-123.67,0,0,
09/21/2026,11:27:24:688,0.000000,0.000000,3,-123.38,-123.38,0,0,
09/21/2026,11:27:24:851,0.000000,0.000000,4,-78.29,-78.29,0,0,
09/21/2026,11:27:24:892,0.000000,0.000000,1,-123.91,-123.91,0,0,
09/21/2026,11:27:24:984,0.000000,0.000000,2,-122.15,-122.15,0,0,
09/21/2026,11:27:25:023,0.000000,0.000000,3,-121.99,-121.99,0,0,
09/21/2026,11:27:25:128,0.000000,0.000000,4,-84.09,-84.09,0,0,
09/21/2026,11:27:25:159,0.000000,0.000000,1,-125,-125,0,0,
09/21/2026,11:27:25:226,0.000000,0.000000,2,-124.17,-124.17,0,0,
09/21/2026,11:27:25:245,0.000000,0.000000,3,-126.26,-126.26,0,0,
09/21/2026,11:27:25:403,0.000000,0.000000,4,-91.51,-91.51,0,0,
09/21/2026,11:27:25:437,0.000000,0.000000,1,-125.76,-125.76,0,0,
09/21/2026,11:27:25:507,0.000000,0.000000,2,-123.21,-123.21,0,0,
09/21/2026,11:27:25:538,0.000000,0.000000,3,-125.15,-125.15,0,0,
09/21/2026,11:27:25:697,0.000000,0.000000,4,-81.55,-81.55,0,0,
09/21/2026,11:27:25:713,0.000000,0.000000,1,-124.73,-124.73,0,0,
