Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,11:27:23:750,0.000000,0.000000,1,-68.37,-68.37,0,0,
09/21/2026,11:27:23:839,0.000000,0.000000,2,-121.93,-121.93,0,0,
09/21/2026,11:27:23:856,0.000000,0.000000,1,-66.95,-66.95,0,0,
09/21/2026,11:27:23:884,0.000000,0.000000,3,-124.75,-124.75,0,0,
09/21/2026,11:27:23:927,0.000000,0.000000,4,-125.62,-125.62,0,0,
09/21/2026,11:27:23:975,0.000000,0.000000,2,-118.91,-118.91,0,0,
09/21/2026,11:27:24:008,0.000000,0.000000,1,-63.33,-63.33,0,0,
09/21/2026,11:27:24:027,0.000000,0.000000,3,-125.16,-125.16,0,0,
09/21/2026,11:27:24:096,0.000000,0.000000,4,-127.24,-127.24,0,0,
09/21/2026,11:27:24:167,0.000000,0.000000,2,-121.5,-121.5,0,0,
09/21/2026,11:27:24:212,0.000000,0.000000,1,-69.03,-69.03,0,0,
09/21/2026,11:27:24:234,0.000000,0.000000,3,-125.93,-125.93,0,0,
09/21/2026,11:27:24:363,0.000000,0.000000,4,-124.92,-124.92,0,0,
09/21/2026,11:27:24:455,0.000000,0.000000,2,-122.27,-122.27,0,0,
09/21/2026,11:27:24:508,0.000000,0.000000,1,-69.97,-69.97,0,0,
09/21/2026,11:27:24:515,0.000000,0.000000,3,-127.19,-127.19,0,0,
09/21/2026,11:27:24:617,0.000000,0.000000,4,-126.41,-126.41,0,0,
09/21/2026,11:27:24:726,0.000000,0.000000,2,-120,-120,0,0,
09/21/2026,11:27:24:778,0.000000,0.000000,1,-62.84,-62.84,0,0,
09/21/2026,11:27:24:838,0.000000,0.000000,3,-126.92,-126.92,0,0,
09/21/2026,11:27:24:895,0.000000,0.000000,4,-123.48,-123.48,0,0,
09/21/2026,11:27:25:042,0.000000,0.000000,2,-124.38,-124.38,0,0,
09/21/2026,11:27:25:075,0.000000,0.000000,1,-72.76,-72.76,0,0,
09/21/2026,11:27:25:079,0.000000,0.000000,3,-126.83,-126.83,0,0,
09/21/2026,11:27:25:180,0.000000,0.000000,4,-122.44,-122.44,0,0,
09/21/2026,11:27:25:282,0.000000,0.000000,2,-125.37,-125.37,0,0,
09/21/2026,11:27:25:331,0.000000,0.000000,1,-66.05,-66.05,0,0,
09/21/2026,11:27:25:346,0.000000,0.000000,3,-127.22,-127.22,0,0,
09/21/2026,11:27:25:451,0.000000,0.000000,4,-124.62,-124.62,0,0,
09/21/2026,11:27:25:566,0.000000,0.000000,2,-122.8,-122.8,0,0,
09/21/2026,11:27:25:614,0.000000,0.000000,1,-65.19,-65.19,0,0,
09/21/2026,11:27:25:625,0.000000,0.000000,3,-126.77,-126.77,0,0,
09/21/2026,11:27:25:735,0.000000,0.000000,4,-122.38,-122.38,0,0,
09/21/2026,11:27:25:843,0.000000,0.000000,2,-121.72,-121.72,0,0,
09/21/2026,11:27:25:886,0.000000,0.000000,1,-73.06,-73.06,0,0,
09/21/2026,11:27:25:910,0.000000,0.000000,3,-127.83,-127.83,0,0,
09/21/2026,11:27:26:023,0.000000,0.000000,4,-122.88,-122.88,0,0,
09/21/2026,11:27:26:119,0.000000,0.000000,2,-121.34,-121.34,0,0,
09/21/2026,11:27:26:189,0.000000,0.000000,1,-74.34,-74.34,0,0,
09/21/2026,11:27:26:192,0.000000,0.000000,3,-126.3,-126.3,0,0,
09/21/2026,11:27:26:304,0.000000,0.000000,4,-122.61,-122.61,0,0,
09/21/2026,11:27:26:394,0.000000,0.000000,2,-124.64,-124.64,0,0,
09/21/2026,11:27:26:452,0.000000,0.000000,1,-64.2,-64.2,0,0,
09/21/2026,11:27:26:477,0.000000,0.000000,3,-125.43,-125.43,0,0,
09/21/2026,11:27:26:567,0.000000,0.000000,4,-124.07,-124.07,0,0,
09/21/2026,11:27:26:679,0.000000,0.000000,2,-124.33,-124.33,0,0,
09/21/2026,11:27:26:752,0.000000,0.000000,1,-69.67,-69.67,0,0,
09/21/2026,11:27:26:753,0.000000,0.000000,3,-127.82,-127.82,0,0,
09/21/2026,11:27:26:874,0.000000,0.000000,4,-124.31,-124.31,0,0,
09/21/2026,11:27:26:974,0.000000,0.000000,2,-125.15,-125.15,0,0,
09/21/2026,11:27:27:057,0.000000,0.000000,1,-64.93,-64.93,0,0,
09/21/2026,11:27:27:066,0.000000,0.000000,3,-123.84,-123.84,0,0,
09/21/2026,11:27:27:171,0.000000,0.000000,4,-125.2,-125.2,0,0,
09/21/2026,11:27:27:236,0.000000,0.000000,2,-124.89,-124.89,0,0,
09/21/2026,11:27:27:283,0.000000,0.000000,1,-73.82,-73.82,0,0,
09/21/2026,11:27:27:304,0.000000,0.000000,3,-123.84,-123.84,0,0,
09/21/2026,11:27:27:436,0.000000,0.000000,4,-125.83,-125.83,0,0,
09/21/2026,11:27:27:532,0.000000,0.000000,2,-121.99,-121.99,0,0,
09/21/2026,11:27:27:584,0.000000,0.000000,1,-69.9,-69.9,0,0,
09/21/2026,11:27:27:599,0.000000,0.000000,3,-126.33,-126.33,0,0,
