Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,10:07:41:392,0.000000,0.000000,1,-123.75,-123.75,0,0,
09/21/2026,10:07:41:502,0.000000,0.000000,2,-124.07,-124.07,0,0,
09/21/2026,10:07:41:542,0.000000,0.000000,1,-123.92,-123.92,0,0,
09/21/2026,10:07:41:641,0.000000,0.000000,2,-122.6,-122.6,0,0,
09/21/2026,10:07:41:653,0.000000,0.000000,3,-125.51,-125.51,0,0,
09/21/2026,10:07:41:768,0.000000,0.000000,1,-125.85,-125.85,0,0,
09/21/2026,10:07:41:788,0.000000,0.000000,2,-124.56,-124.56,0,0,
09/21/2026,10:07:41:803,0.000000,0.000000,4,-95.14,-95.14,0,0,
09/21/2026,10:07:41:807,0.000000,0.000000,3,-123,-123,0,0,
09/21/2026,10:07:41:810,0.000000,0.000000,1,-123.78,-123.78,0,0,
09/21/2026,10:07:41:874,0.000000,0.000000,2,-124.09,-124.09,0,0,
09/21/2026,10:07:41:889,0.000000,0.000000,4,-101.24,-101.24,0,0,
09/21/2026,10:07:41:897,0.000000,0.000000,3,-126.22,-126.22,0,0,
09/21/2026,10:07:41:917,0.000000,0.000000,1,-124.76,-124.76,0,0,
09/21/2026,10:07:42:016,0.000000,0.000000,2,-124.25,-124.25,0,0,
09/21/2026,10:07:42:044,0.000000,0.000000,4,-97.99,-97.99,0,0,
09/21/2026,10:07:42:054,0.000000,0.000000,3,-126.21,-126.21,0,0,
09/21/2026,10:07:42:072,0.000000,0.000000,1,-124.96,-124.96,0,0,
09/21/2026,10:07:42:186,0.000000,0.000000,2,-125.71,-125.71,0,0,
09/21/2026,10:07:42:244,0.000000,0.000000,4,-98.3,-98.3,0,0,
09/21/2026,10:07:42:259,0.000000,0.000000,3,-127.47,-127.47,0,0,
09/21/2026,10:07:42:269,0.000000,0.000000,1,-124.6,-124.6,0,0,
09/21/2026,10:07:42:476,0.000000,0.000000,2,-125.61,-125.61,0,0,
09/21/2026,10:07:42:513,0.000000,0.000000,4,-96.27,-96.27,0,0,
09/21/2026,10:07:42:537,0.000000,0.000000,3,-124.53,-124.53,0,0,
09/21/2026,10:07:42:548,0.000000,0.000000,1,-125.21,-125.21,0,0,
09/21/2026,10:07:42:752,0.000000,0.000000,2,-125.57,-125.57,0,0,
09/21/2026,10:07:42:799,0.000000,0.000000,4,-94.86,-94.86,0,0,
09/21/2026,10:07:42:815,0.000000,0.000000,3,-125.03,-125.03,0,0,
09/21/2026,10:07:42:830,0.000000,0.000000,1,-126.52,-126.52,0,0,
09/21/2026,10:07:43:035,0.000000,0.000000,2,-125.16,-125.16,0,0,
09/21/2026,10:07:43:119,0.000000,0.000000,4,-97.42,-97.42,0,0,
09/21/2026,10:07:43:121,0.000000,0.000000,3,-125.16,-125.16,0,0,
09/21/2026,10:07:43:132,0.000000,0.000000,1,-125.21,-125.21,0,0,
09/21/2026,10:07:43:308,0.000000,0.000000,2,-123.07,-123.07,0,0,
09/21/2026,10:07:43:384,0.000000,0.000000,4,-101.41,-101.41,0,0,
09/21/2026,10:07:43:391,0.000000,0.000000,3,-125.32,-125.32,0,0,
09/21/2026,10:07:43:396,0.000000,0.000000,1,-126.28,-126.28,0,0,
09/21/2026,10:07:43:581,0.000000,0.000000,2,-124.78,-124.78,0,0,
09/21/2026,10:07:43:632,0.000000,0.000000,4,-97.31,-97.31,0,0,
09/21/2026,10:07:43:652,0.000000,0.000000,3,-125.09,-125.09,0,0,
09/21/2026,10:07:43:669,0.000000,0.000000,1,-125.37,-125.37,0,0,
09/21/2026,10:07:43:859,0.000000,0.000000,2,-124.11,-124.11,0,0,
09/21/2026,10:07:43:913,0.000000,0.000000,4,-111.78,-111.78,0,0,
09/21/2026,10:07:43:928,0.000000,0.000000,3,-124.92,-124.92,0,0,
09/21/2026,10:07:43:943,0.000000,0.000000,1,-125.53,-125.53,0,0,
09/21/2026,10:07:44:146,0.000000,0.000000,2,-124.72,-124.72,0,0,
09/21/2026,10:07:44:190,0.000000,0.000000,4,-98.96,-98.96,0,0,
09/21/2026,10:07:44:206,0.000000,0.000000,3,-124.27,-124.27,0,0,
09/21/2026,10:07:44:225,0.000000,0.000000,1,-124.84,-124.84,0,0,
09/21/2026,10:07:44:418,0.000000,0.000000,2,-126.83,-126.83,0,0,
09/21/2026,10:07:44:473,0.000000,0.000000,4,-104.37,-104.37,0,0,
09/21/2026,10:07:44:485,0.000000,0.000000,3,-126.68,-126.68,0,0,
09/21/2026,10:07:44:511,0.000000,0.000000,1,-124.48,-124.48,0,0,
09/21/2026,10:07:44:699,0.000000,0.000000,2,-123.6,-123.6,0,0,
09/21/2026,10:07:44:754,0.000000,0.000000,4,-105.74,-105.74,0,0,
09/21/2026,10:07:44:764,0.000000,0.000000,3,-125.45,-125.45,0,0,
09/21/2026,10:07:44:789,0.000000,0.000000,1,-125.82,-125.82,0,0,
09/21/2026,10:07:44:975,0.000000,0.000000,2,-125.28,-125.28,0,0,
09/21/2026,10:07:45:091,0.000000,0.000000,4,-104.04,-104.04,0,0,
09/21/2026,10:07:45:097,0.000000,0.000000,3,-123.67,-123.67,0,0,
09/21/2026,10:07:45:128,0.000000,0.000000,1,-124.85,-124.85,0,0,
09/21/2026,10:07:45:301,0.000000,0.000000,2,-125.25,-125.25,0,0,
09/21/2026,10:07:45:325,0.000000,0.000000,4,-102.86,-102.86,0,0,
09/21/2026,10:07:45:356,0.000000,0.000000,3,-125.34,-125.34,0,0,
09/21/2026,10:07:45:363,0.000000,0.000000,1,-125.05,-125.05,0,0,
09/21/2026,10:07:45:532,0.000000,0.000000,2,-125.63,-125.63,0,0,
09/21/2026,10:07:45:592,0.000000,0.000000,4,-107.99,-107.99,0,0,
09/21/2026,10:07:45:600,0.000000,0.000000,3,-126.09,-126.09,0,0,
09/21/2026,10:07:45:619,0.000000,0.000000,1,-123.12,-123.12,0,0,
09/21/2026,10:07:45:821,0.000000,0.000000,2,-124.95,-124.95,0,0,
09/21/2026,10:07:49:209,0.000000,0.000000,4,-108.9,-108.9,0,0,
09/21/2026,10:07:49:225,0.000000,0.000000,3,-126.26,-126.26,0,0,
09/21/2026,10:07:49:243,0.000000,0.000000,1,-126.3,-126.3,0,0,
09/21/2026,10:07:49:439,0.000000,0.000000,2,-125.08,-125.08,0,0,
09/21/2026,10:07:49:502,0.000000,0.000000,4,-103.39,-103.39,0,0,
09/21/2026,10:07:49:516,0.000000,0.000000,3,-125.49,-125.49,0,0,
09/21/2026,10:07:49:529,0.000000,0.000000,1,-125.03,-125.03,0,0,
09/21/2026,10:07:49:717,0.000000,0.000000,2,-125.02,-125.02,0,0,
09/21/2026,10:07:49:766,0.000000,0.000000,4,-104.67,-104.67,0,0,
09/21/2026,10:07:49:784,0.000000,0.000000,3,-125.11,-125.11,0,0,
09/21/2026,10:07:49:806,0.000000,0.000000,1,-126.34,-126.34,0,0,
09/21/2026,10:07:50:020,0.000000,0.000000,2,-126.41,-126.41,0,0,
09/21/2026,10:07:50:046,0.000000,0.000000,4,-108.35,-108.35,0,0,
09/21/2026,10:07:50:065,0.000000,0.000000,3,-123.76,-123.76,0,0,
09/21/2026,10:07:50:081,0.000000,0.000000,1,-126.46,-126.46,0,0,
09/21/2026,10:07:50:275,0.000000,0.000000,2,-127.16,-127.16,0,0,
09/21/2026,10:07:50:333,0.000000,0.000000,4,-96.53,-96.53,0,0,
09/21/2026,10:07:50:345,0.000000,0.000000,3,-126.46,-126.46,0,0,
09/21/2026,10:07:50:358,0.000000,0.000000,1,-124.42,-124.42,0,0,
09/21/2026,10:07:50:581,0.000000,0.000000,2,-125.76,-125.76,0,0,
09/21/2026,10:07:50:659,0.000000,0.000000,4,-97.54,-97.54,0,0,
09/21/2026,10:07:50:661,0.000000,0.000000,3,-123.65,-123.65,0,0,
09/21/2026,10:07:50:667,0.000000,0.000000,1,-123.35,-123.35,0,0,
09/21/2026,10:07:50:836,0.000000,0.000000,2,-123.9,-123.9,0,0,
09/21/2026,10:07:50:881,0.000000,0.000000,4,-100.69,-100.69,0,0,
09/21/2026,10:07:50:901,0.000000,0.000000,3,-124.73,-124.73,0,0,
09/21/2026,10:07:50:915,0.000000,0.000000,1,-125.22,-125.22,0,0,
09/21/2026,10:07:51:111,0.000000,0.000000,2,-125.23,-125.23,0,0,
09/21/2026,10:07:51:168,0.000000,0.000000,4,-108.11,-108.11,0,0,
09/21/2026,10:07:51:178,0.000000,0.000000,3,-125.99,-125.99,0,0,
09/21/2026,10:07:51:201,0.000000,0.000000,1,-124.39,-124.39,0,0,
09/21/2026,10:07:51:391,0.000000,0.000000,2,-125.17,-125.17,0,0,
09/21/2026,10:07:51:446,0.000000,0.000000,4,-109.52,-109.52,0,0,
09/21/2026,10:07:51:459,0.000000,0.000000,3,-125.31,-125.31,0,0,
09/21/2026,10:07:51:489,0.000000,0.000000,1,-124.28,-124.28,0,0,
09/21/2026,10:07:51:670,0.000000,0.000000,2,-125.73,-125.73,0,0,
09/21/2026,10:07:51:720,0.000000,0.000000,4,-102.25,-102.25,0,0,
09/21/2026,10:07:51:745,0.000000,0.000000,3,-124.95,-124.95,0,0,
09/21/2026,10:07:51:752,0.000000,0.000000,1,-125.43,-125.43,0,0,
09/21/2026,10:07:51:949,0.000000,0.000000,2,-125,-125,0,0,
09/21/2026,10:07:51:997,0.000000,0.000000,4,-100.13,-100.13,0,0,
09/21/2026,10:07:52:018,0.000000,0.000000,3,-122.7,-122.7,0,0,
09/21/2026,10:07:52:036,0.000000,0.000000,1,-127.5,-127.5,0,0,
09/21/2026,10:07:52:225,0.000000,0.000000,2,-123.74,-123.74,0,0,
09/21/2026,10:07:52:695,0.000000,0.000000,4,-107.21,-107.21,0,0,
09/21/2026,10:07:52:718,0.000000,0.000000,3,-124.34,-124.34,0,0,
09/21/2026,10:07:52:725,0.000000,0.000000,1,-125.69,-125.69,0,0,
09/21/2026,10:07:52:814,0.000000,0.000000,2,-125.66,-125.66,0,0,
09/21/2026,10:07:52:826,0.000000,0.000000,4,-111.68,-111.68,0,0,
09/21/2026,10:07:52:834,0.000000,0.000000,3,-125.9,-125.9,0,0,
09/21/2026,10:07:52:842,0.000000,0.000000,1,-125.24,-125.24,0,0,
09/21/2026,10:07:52:903,0.000000,0.000000,2,-125.9,-125.9,0,0,
09/21/2026,10:07:52:943,0.000000,0.000000,4,-109.51,-109.51,0,0,
09/21/2026,10:07:52:946,0.000000,0.000000,3,-123.02,-123.02,0,0,
