Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,11:23:33:257,0.000000,0.000000,1,-113.52,-113.52,0,0,
09/21/2026,11:23:33:292,0.000000,0.000000,2,-112.11,-112.11,0,0,
09/21/2026,11:23:33:349,0.000000,0.000000,3,-84.54,-84.54,0,0,
09/21/2026,11:23:33:397,0.000000,0.000000,4,-117.15,-117.15,0,0,
09/21/2026,11:23:33:538,0.000000,0.000000,1,-113.71,-113.71,0,0,
09/21/2026,11:23:33:575,0.000000,0.000000,2,-112.73,-112.73,0,0,
09/21/2026,11:23:33:623,0.000000,0.000000,3,-88.18,-88.18,0,0,
09/21/2026,11:23:33:678,0.000000,0.000000,4,-116.92,-116.92,0,0,
09/21/2026,11:23:33:820,0.000000,0.000000,1,-113.95,-113.95,0,0,
09/21/2026,11:23:33:847,0.000000,0.000000,2,-111.41,-111.41,0,0,
09/21/2026,11:23:33:914,0.000000,0.000000,3,-94.58,-94.58,0,0,
09/21/2026,11:23:33:961,0.000000,0.000000,4,-117,-117,0,0,
09/21/2026,11:23:34:181,0.000000,0.000000,1,-114.94,-114.94,0,0,
09/21/2026,11:23:34:330,0.000000,0.000000,2,-112.01,-112.01,0,0,
09/21/2026,11:23:34:346,0.000000,0.000000,3,-100.42,-100.42,0,0,
09/21/2026,11:23:34:394,0.000000,0.000000,4,-116.93,-116.93,0,0,
09/21/2026,11:23:34:455,0.000000,0.000000,1,-114.42,-114.42,0,0,
09/21/2026,11:23:34:475,0.000000,0.000000,2,-110.53,-110.53,0,0,
09/21/2026,11:23:34:497,0.000000,0.000000,3,-102.47,-102.47,0,0,
09/21/2026,11:23:34:532,0.000000,0.000000,4,-117.69,-117.69,0,0,
09/21/2026,11:23:34:649,0.000000,0.000000,1,-113.79,-113.79,0,0,
09/21/2026,11:23:34:687,0.000000,0.000000,2,-111.06,-111.06,0,0,
09/21/2026,11:23:34:748,0.000000,0.000000,3,-100.51,-100.51,0,0,
09/21/2026,11:23:34:795,0.000000,0.000000,4,-117.41,-117.41,0,0,
09/21/2026,11:23:34:929,0.000000,0.000000,1,-113.69,-113.69,0,0,
09/21/2026,11:23:34:965,0.000000,0.000000,2,-112.11,-112.11,0,0,
09/21/2026,11:23:35:019,0.000000,0.000000,3,-90.13,-90.13,0,0,
09/21/2026,11:23:35:070,0.000000,0.000000,4,-115.66,-115.66,0,0,
09/21/2026,11:23:35:206,0.000000,0.000000,1,-113.73,-113.73,0,0,
09/21/2026,11:23:35:244,0.000000,0.000000,2,-112.29,-112.29,0,0,
09/21/2026,11:23:35:306,0.000000,0.000000,3,-98.69,-98.69,0,0,
09/21/2026,11:23:35:351,0.000000,0.000000,4,-115.89,-115.89,0,0,
09/21/2026,11:23:35:505,0.000000,0.000000,1,-114.65,-114.65,0,0,
09/21/2026,11:23:35:521,0.000000,0.000000,2,-112.5,-112.5,0,0,
09/21/2026,11:23:35:576,0.000000,0.000000,3,-95.16,-95.16,0,0,
09/21/2026,11:23:35:628,0.000000,0.000000,4,-115.67,-115.67,0,0,
09/21/2026,11:23:35:764,0.000000,0.000000,1,-114,-114,0,0,
09/21/2026,11:23:35:800,0.000000,0.000000,2,-109.08,-109.08,0,0,
09/21/2026,11:23:35:856,0.000000,0.000000,3,-96.05,-96.05,0,0,
09/21/2026,11:23:35:907,0.000000,0.000000,4,-116.35,-116.35,0,0,
09/21/2026,11:23:36:047,0.000000,0.000000,1,-113.06,-113.06,0,0,
09/21/2026,11:23:36:129,0.000000,0.000000,2,-109.69,-109.69,0,0,
09/21/2026,11:23:36:134,0.000000,0.000000,3,-89.23,-89.23,0,0,
09/21/2026,11:23:36:279,0.000000,0.000000,4,-118.52,-118.52,0,0,
09/21/2026,11:23:36:383,0.000000,0.000000,1,-115.71,-115.71,0,0,
09/21/2026,11:23:36:391,0.000000,0.000000,2,-110.03,-110.03,0,0,
09/21/2026,11:23:36:432,0.000000,0.000000,3,-93.5,-93.5,0,0,
09/21/2026,11:23:36:466,0.000000,0.000000,4,-115.81,-115.81,0,0,
09/21/2026,11:23:36:601,0.000000,0.000000,1,-113.77,-113.77,0,0,
09/21/2026,11:23:36:644,0.000000,0.000000,2,-110.91,-110.91,0,0,
09/21/2026,11:23:36:700,0.000000,0.000000,3,-88.27,-88.27,0,0,
09/21/2026,11:23:36:742,0.000000,0.000000,4,-116.96,-116.96,0,0,
09/21/2026,11:23:36:885,0.000000,0.000000,1,-113.57,-113.57,0,0,
09/21/2026,11:23:36:915,0.000000,0.000000,2,-111.95,-111.95,0,0,
09/21/2026,11:23:36:967,0.000000,0.000000,3,-94.3,-94.3,0,0,
09/21/2026,11:23:37:040,0.000000,0.000000,4,-117.42,-117.42,0,0,
09/21/2026,11:23:37:163,0.000000,0.000000,1,-115.33,-115.33,0,0,
09/21/2026,11:23:37:229,0.000000,0.000000,2,-110.69,-110.69,0,0,
09/21/2026,11:23:37:266,0.000000,0.000000,3,-92.32,-92.32,0,0,
09/21/2026,11:23:37:307,0.000000,0.000000,4,-115.85,-115.85,0,0,
09/21/2026,11:23:37:437,0.000000,0.000000,1,-113.09,-113.09,0,0,
09/21/2026,11:23:37:496,0.000000,0.000000,2,-111.65,-111.65,0,0,
09/21/2026,11:23:37:537,0.000000,0.000000,3,-95.49,-95.49,0,0,
09/21/2026,11:23:37:602,0.000000,0.000000,4,-117.3,-117.3,0,0,
09/21/2026,11:23:37:720,0.000000,0.000000,1,-111.83,-111.83,0,0,
09/21/2026,11:23:37:751,0.000000,0.000000,2,-111.01,-111.01,0,0,
09/21/2026,11:23:37:808,0.000000,0.000000,3,-92.67,-92.67,0,0,
09/21/2026,11:23:37:861,0.000000,0.000000,4,-117.39,-117.39,0,0,
09/21/2026,11:23:38:038,0.000000,0.000000,1,-112.38,-112.38,0,0,
09/21/2026,11:23:38:048,0.000000,0.000000,2,-109.19,-109.19,0,0,
09/21/2026,11:23:38:124,0.000000,0.000000,3,-83.92,-83.92,0,0,
09/21/2026,11:23:38:170,0.000000,0.000000,4,-116.04,-116.04,0,0,
09/21/2026,11:23:38:417,0.000000,0.000000,1,-113.48,-113.48,0,0,
09/21/2026,11:23:38:443,0.000000,0.000000,2,-110.39,-110.39,0,0,
09/21/2026,11:23:38:466,0.000000,0.000000,3,-89.26,-89.26,0,0,
09/21/2026,11:23:38:501,0.000000,0.000000,4,-117.29,-117.29,0,0,
09/21/2026,11:23:38:576,0.000000,0.000000,1,-112.56,-112.56,0,0,
09/21/2026,11:23:38:607,0.000000,0.000000,2,-110.44,-110.44,0,0,
09/21/2026,11:23:38:643,0.000000,0.000000,3,-98.58,-98.58,0,0,
09/21/2026,11:23:38:699,0.000000,0.000000,4,-118.11,-118.11,0,0,
09/21/2026,11:23:38:833,0.000000,0.000000,1,-115.37,-115.37,0,0,
09/21/2026,11:23:38:876,0.000000,0.000000,2,-110.96,-110.96,0,0,
09/21/2026,11:23:38:922,0.000000,0.000000,3,-84.62,-84.62,0,0,
