Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,11:23:32:783,0.000000,0.000000,1,-71.03,-71.03,0,0,
09/21/2026,11:23:32:834,0.000000,0.000000,2,-124.83,-124.83,0,0,
09/21/2026,11:23:32:884,0.000000,0.000000,1,-76.54,-76.54,0,0,
09/21/2026,11:23:32:915,0.000000,0.000000,3,-123.46,-123.46,0,0,
09/21/2026,11:23:32:950,0.000000,0.000000,2,-124.24,-124.24,0,0,
09/21/2026,11:23:32:964,0.000000,0.000000,4,-124.03,-124.03,0,0,
09/21/2026,11:23:33:021,0.000000,0.000000,1,-77.22,-77.22,0,0,
09/21/2026,11:23:33:067,0.000000,0.000000,3,-125.95,-125.95,0,0,
09/21/2026,11:23:33:126,0.000000,0.000000,2,-125.71,-125.71,0,0,
09/21/2026,11:23:33:137,0.000000,0.000000,4,-127.47,-127.47,0,0,
09/21/2026,11:23:33:226,0.000000,0.000000,1,-74.03,-74.03,0,0,
09/21/2026,11:23:33:312,0.000000,0.000000,3,-125.23,-125.23,0,0,
09/21/2026,11:23:33:379,0.000000,0.000000,2,-125.82,-125.82,0,0,
09/21/2026,11:23:33:413,0.000000,0.000000,4,-125.64,-125.64,0,0,
09/21/2026,11:23:33:499,0.000000,0.000000,1,-90.12,-90.12,0,0,
09/21/2026,11:23:33:590,0.000000,0.000000,3,-126.13,-126.13,0,0,
09/21/2026,11:23:33:657,0.000000,0.000000,2,-125.44,-125.44,0,0,
09/21/2026,11:23:33:695,0.000000,0.000000,4,-123.95,-123.95,0,0,
09/21/2026,11:23:33:781,0.000000,0.000000,1,-82.2,-82.2,0,0,
09/21/2026,11:23:33:882,0.000000,0.000000,3,-125.34,-125.34,0,0,
09/21/2026,11:23:33:936,0.000000,0.000000,2,-122.85,-122.85,0,0,
09/21/2026,11:23:33:980,0.000000,0.000000,4,-125.98,-125.98,0,0,
09/21/2026,11:23:34:056,0.000000,0.000000,1,-78.21,-78.21,0,0,
09/21/2026,11:23:34:332,0.000000,0.000000,3,-124.23,-124.23,0,0,
09/21/2026,11:23:34:376,0.000000,0.000000,2,-125.62,-125.62,0,0,
