Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,11:23:33:041,0.000000,0.000000,1,-122.26,-122.26,0,0,
09/21/2026,11:23:33:114,0.000000,0.000000,2,-124.55,-124.55,0,0,
09/21/2026,11:23:33:152,0.000000,0.000000,3,-120.92,-120.92,0,0,
09/21/2026,11:23:33:213,0.000000,0.000000,4,-72.85,-72.85,0,0,
09/21/2026,11:23:33:235,0.000000,0.000000,1,-122.88,-122.88,0,0,
09/21/2026,11:23:33:362,0.000000,0.000000,2,-124.84,-124.84,0,0,
09/21/2026,11:23:33:431,0.000000,0.000000,3,-120.53,-120.53,0,0,
09/21/2026,11:23:33:465,0.000000,0.000000,4,-67.09,-67.09,0,0,
09/21/2026,11:23:33:517,0.000000,0.000000,1,-124.4,-124.4,0,0,
09/21/2026,11:23:33:653,0.000000,0.000000,2,-124.57,-124.57,0,0,
09/21/2026,11:23:33:714,0.000000,0.000000,3,-122,-122,0,0,
09/21/2026,11:23:33:764,0.000000,0.000000,4,-81.7,-81.7,0,0,
09/21/2026,11:23:33:803,0.000000,0.000000,1,-125.17,-125.17,0,0,
09/21/2026,11:23:33:927,0.000000,0.000000,2,-125.94,-125.94,0,0,
09/21/2026,11:23:33:988,0.000000,0.000000,3,-121.49,-121.49,0,0,
09/21/2026,11:23:34:050,0.000000,0.000000,4,-77.17,-77.17,0,0,
09/21/2026,11:23:34:180,0.000000,0.000000,1,-124,-124,0,0,
09/21/2026,11:23:34:362,0.000000,0.000000,2,-122.55,-122.55,0,0,
09/21/2026,11:23:34:418,0.000000,0.000000,3,-118.77,-118.77,0,0,
09/21/2026,11:23:34:436,0.000000,0.000000,4,-80.28,-80.28,0,0,
09/21/2026,11:23:34:452,0.000000,0.000000,1,-124.29,-124.29,0,0,
09/21/2026,11:23:34:520,0.000000,0.000000,2,-125.06,-125.06,0,0,
09/21/2026,11:23:34:547,0.000000,0.000000,3,-119.42,-119.42,0,0,
09/21/2026,11:23:34:581,0.000000,0.000000,4,-79.35,-79.35,0,0,
09/21/2026,11:23:34:638,0.000000,0.000000,1,-126.12,-126.12,0,0,
09/21/2026,11:23:34:766,0.000000,0.000000,2,-123.13,-123.13,0,0,
09/21/2026,11:23:34:834,0.000000,0.000000,3,-119.93,-119.93,0,0,
09/21/2026,11:23:34:864,0.000000,0.000000,4,-75.45,-75.45,0,0,
09/21/2026,11:23:34:918,0.000000,0.000000,1,-123.39,-123.39,0,0,
09/21/2026,11:23:35:035,0.000000,0.000000,2,-123.78,-123.78,0,0,
09/21/2026,11:23:35:136,0.000000,0.000000,3,-121.33,-121.33,0,0,
09/21/2026,11:23:35:153,0.000000,0.000000,4,-79.63,-79.63,0,0,
09/21/2026,11:23:35:198,0.000000,0.000000,1,-124.95,-124.95,0,0,
09/21/2026,11:23:35:313,0.000000,0.000000,2,-122.78,-122.78,0,0,
09/21/2026,11:23:35:381,0.000000,0.000000,3,-121.11,-121.11,0,0,
09/21/2026,11:23:35:416,0.000000,0.000000,4,-80.59,-80.59,0,0,
09/21/2026,11:23:35:472,0.000000,0.000000,1,-123.71,-123.71,0,0,
09/21/2026,11:23:35:596,0.000000,0.000000,2,-124.16,-124.16,0,0,
09/21/2026,11:23:35:662,0.000000,0.000000,3,-120.04,-120.04,0,0,
09/21/2026,11:23:35:697,0.000000,0.000000,4,-83.93,-83.93,0,0,
09/21/2026,11:23:35:757,0.000000,0.000000,1,-123.69,-123.69,0,0,
09/21/2026,11:23:35:880,0.000000,0.000000,2,-123.11,-123.11,0,0,
09/21/2026,11:23:35:944,0.000000,0.000000,3,-120.58,-120.58,0,0,
