Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,06:35:27:545,0.000000,0.000000,1,-120.59,-120.59,0,0,
08/27/2026,06:35:27:629,0.000000,0.000000,2,-123.64,-123.64,0,0,
08/27/2026,06:35:27:706,0.000000,0.000000,1,-120.33,-120.33,0,0,
08/27/2026,06:35:27:718,0.000000,0.000000,3,-72.6,-72.6,0,0,
08/27/2026,06:35:27:768,0.000000,0.000000,4,-115.83,-115.83,0,0,
08/27/2026,06:35:27:822,0.000000,0.000000,2,-121.29,-121.29,0,0,
08/27/2026,06:35:27:898,0.000000,0.000000,1,-121.37,-121.37,0,0,
08/27/2026,06:35:27:910,0.000000,0.000000,3,-77.73,-77.73,0,0,
08/27/2026,06:35:27:961,0.000000,0.000000,4,-115.97,-115.97,0,0,
08/27/2026,06:35:28:017,0.000000,0.000000,2,-120.19,-120.19,0,0,
08/27/2026,06:35:28:086,0.000000,0.000000,1,-120.51,-120.51,0,0,
08/27/2026,06:35:28:103,0.000000,0.000000,3,-74.34,-74.34,0,0,
08/27/2026,06:35:28:161,0.000000,0.000000,4,-118.14,-118.14,0,0,
08/27/2026,06:35:28:215,0.000000,0.000000,2,-115.17,-115.17,0,0,
08/27/2026,06:35:28:302,0.000000,0.000000,1,-120.23,-120.23,0,0,
08/27/2026,06:35:28:305,0.000000,0.000000,3,-75.91,-75.91,0,0,
08/27/2026,06:35:28:351,0.000000,0.000000,4,-114.54,-114.54,0,0,
08/27/2026,06:35:28:430,0.000000,0.000000,2,-111.51,-111.51,0,0,
08/27/2026,06:35:28:478,0.000000,0.000000,1,-115.35,-115.35,0,0,
08/27/2026,06:35:28:514,0.000000,0.000000,3,-74.92,-74.92,0,0,
08/27/2026,06:35:28:561,0.000000,0.000000,4,-117.19,-117.19,0,0,
08/27/2026,06:35:28:604,0.000000,0.000000,2,-115.15,-115.15,0,0,
08/27/2026,06:35:28:661,0.000000,0.000000,1,-119.68,-119.68,0,0,
08/27/2026,06:35:28:688,0.000000,0.000000,3,-72.51,-72.51,0,0,
08/27/2026,06:35:28:741,0.000000,0.000000,4,-116.31,-116.31,0,0,
08/27/2026,06:35:28:791,0.000000,0.000000,2,-114.75,-114.75,0,0,
08/27/2026,06:35:28:862,0.000000,0.000000,1,-116.67,-116.67,0,0,
08/27/2026,06:35:28:879,0.000000,0.000000,3,-73.62,-73.62,0,0,
08/27/2026,06:35:28:937,0.000000,0.000000,4,-117.98,-117.98,0,0,
08/27/2026,06:35:28:980,0.000000,0.000000,2,-114.18,-114.18,0,0,
08/27/2026,06:35:29:064,0.000000,0.000000,1,-116.7,-116.7,0,0,
08/27/2026,06:35:29:066,0.000000,0.000000,3,-76.44,-76.44,0,0,
08/27/2026,06:35:29:119,0.000000,0.000000,4,-115.82,-115.82,0,0,
08/27/2026,06:35:29:178,0.000000,0.000000,2,-115.34,-115.34,0,0,
08/27/2026,06:35:29:250,0.000000,0.000000,1,-116.33,-116.33,0,0,
08/27/2026,06:35:29:258,0.000000,0.000000,3,-76.86,-76.86,0,0,
08/27/2026,06:35:29:322,0.000000,0.000000,4,-116.81,-116.81,0,0,
08/27/2026,06:35:29:363,0.000000,0.000000,2,-114.94,-114.94,0,0,
08/27/2026,06:35:29:438,0.000000,0.000000,1,-122.89,-122.89,0,0,
08/27/2026,06:35:29:460,0.000000,0.000000,3,-76.81,-76.81,0,0,
08/27/2026,06:35:29:508,0.000000,0.000000,4,-118.67,-118.67,0,0,
08/27/2026,06:35:29:559,0.000000,0.000000,2,-113.44,-113.44,0,0,
08/27/2026,06:35:29:631,0.000000,0.000000,1,-116.66,-116.66,0,0,
08/27/2026,06:35:29:658,0.000000,0.000000,3,-77.94,-77.94,0,0,
08/27/2026,06:35:29:699,0.000000,0.000000,4,-116.46,-116.46,0,0,
08/27/2026,06:35:29:749,0.000000,0.000000,2,-113.37,-113.37,0,0,
08/27/2026,06:35:29:819,0.000000,0.000000,1,-122,-122,0,0,
08/27/2026,06:35:29:841,0.000000,0.000000,3,-73.49,-73.49,0,0,
08/27/2026,06:35:29:895,0.000000,0.000000,4,-115.72,-115.72,0,0,
08/27/2026,06:35:29:959,0.000000,0.000000,2,-115.85,-115.85,0,0,
08/27/2026,06:35:30:016,0.000000,0.000000,1,-114.79,-114.79,0,0,
08/27/2026,06:35:30:028,0.000000,0.000000,3,-75.53,-75.53,0,0,
08/27/2026,06:35:30:082,0.000000,0.000000,4,-120.61,-120.61,0,0,
08/27/2026,06:35:30:172,0.000000,0.000000,2,-113.56,-113.56,0,0,
08/27/2026,06:35:30:217,0.000000,0.000000,1,-117.31,-117.31,0,0,
08/27/2026,06:35:30:221,0.000000,0.000000,3,-90.94,-90.94,0,0,
08/27/2026,06:35:30:296,0.000000,0.000000,4,-118.12,-118.12,0,0,
