Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,06:35:27:087,0.000000,0.000000,1,-122.18,-122.18,0,0,
08/27/2026,06:35:27:100,0.000000,0.000000,1,-121.96,-121.96,0,0,
08/27/2026,06:35:27:120,0.000000,0.000000,1,-119.86,-119.86,0,0,
08/27/2026,06:35:27:133,0.000000,0.000000,1,-120.3,-120.3,0,0,
08/27/2026,06:35:27:154,0.000000,0.000000,1,-122.98,-122.98,0,0,
08/27/2026,06:35:27:170,0.000000,0.000000,1,-120.61,-120.61,0,0,
08/27/2026,06:35:27:189,0.000000,0.000000,2,-117.14,-117.14,0,0,
08/27/2026,06:35:27:209,0.000000,0.000000,1,-122.2,-122.2,0,0,
08/27/2026,06:35:27:220,0.000000,0.000000,2,-118.89,-118.89,0,0,
08/27/2026,06:35:27:236,0.000000,0.000000,3,-125.91,-125.91,0,0,
08/27/2026,06:35:27:268,0.000000,0.000000,1,-122.05,-122.05,0,0,
08/27/2026,06:35:27:277,0.000000,0.000000,2,-116.08,-116.08,0,0,
08/27/2026,06:35:27:324,0.000000,0.000000,3,-125.75,-125.75,0,0,
08/27/2026,06:35:27:331,0.000000,0.000000,1,-121.68,-121.68,0,0,
08/27/2026,06:35:27:339,0.000000,0.000000,2,-116.87,-116.87,0,0,
08/27/2026,06:35:27:423,0.000000,0.000000,3,-123.8,-123.8,0,0,
08/27/2026,06:35:27:426,0.000000,0.000000,1,-119.83,-119.83,0,0,
08/27/2026,06:35:27:429,0.000000,0.000000,2,-117.65,-117.65,0,0,
08/27/2026,06:35:27:507,0.000000,0.000000,3,-124.77,-124.77,0,0,
08/27/2026,06:35:27:524,0.000000,0.000000,1,-123.15,-123.15,0,0,
08/27/2026,06:35:27:562,0.000000,0.000000,2,-118.12,-118.12,0,0,
08/27/2026,06:35:27:686,0.000000,0.000000,3,-123.67,-123.67,0,0,
08/27/2026,06:35:27:694,0.000000,0.000000,1,-121.45,-121.45,0,0,
08/27/2026,06:35:27:745,0.000000,0.000000,2,-115.62,-115.62,0,0,
08/27/2026,06:35:27:859,0.000000,0.000000,3,-125.46,-125.46,0,0,
08/27/2026,06:35:27:873,0.000000,0.000000,1,-123.49,-123.49,0,0,
08/27/2026,06:35:27:926,0.000000,0.000000,2,-116.81,-116.81,0,0,
08/27/2026,06:35:28:046,0.000000,0.000000,3,-125.24,-125.24,0,0,
08/27/2026,06:35:28:065,0.000000,0.000000,1,-121.38,-121.38,0,0,
08/27/2026,06:35:28:138,0.000000,0.000000,2,-117.08,-117.08,0,0,
08/27/2026,06:35:28:260,0.000000,0.000000,3,-125.09,-125.09,0,0,
08/27/2026,06:35:28:262,0.000000,0.000000,1,-120.08,-120.08,0,0,
08/27/2026,06:35:28:340,0.000000,0.000000,2,-118.29,-118.29,0,0,
08/27/2026,06:35:28:471,0.000000,0.000000,3,-123.05,-123.05,0,0,
08/27/2026,06:35:28:474,0.000000,0.000000,1,-123.66,-123.66,0,0,
08/27/2026,06:35:28:518,0.000000,0.000000,2,-116.82,-116.82,0,0,
08/27/2026,06:35:28:632,0.000000,0.000000,3,-126.72,-126.72,0,0,
08/27/2026,06:35:28:655,0.000000,0.000000,1,-119.9,-119.9,0,0,
08/27/2026,06:35:28:701,0.000000,0.000000,2,-115.63,-115.63,0,0,
08/27/2026,06:35:28:820,0.000000,0.000000,3,-124.97,-124.97,0,0,
08/27/2026,06:35:28:843,0.000000,0.000000,1,-122.12,-122.12,0,0,
08/27/2026,06:35:28:892,0.000000,0.000000,2,-116.21,-116.21,0,0,
08/27/2026,06:35:29:012,0.000000,0.000000,3,-125.87,-125.87,0,0,
08/27/2026,06:35:29:034,0.000000,0.000000,1,-121.44,-121.44,0,0,
08/27/2026,06:35:29:113,0.000000,0.000000,2,-117.1,-117.1,0,0,
08/27/2026,06:35:29:213,0.000000,0.000000,3,-125.59,-125.59,0,0,
08/27/2026,06:35:29:224,0.000000,0.000000,1,-121.15,-121.15,0,0,
08/27/2026,06:35:29:280,0.000000,0.000000,2,-116.23,-116.23,0,0,
08/27/2026,06:35:29:409,0.000000,0.000000,3,-123.26,-123.26,0,0,
08/27/2026,06:35:29:414,0.000000,0.000000,1,-121.89,-121.89,0,0,
08/27/2026,06:35:29:466,0.000000,0.000000,2,-116.5,-116.5,0,0,
08/27/2026,06:35:29:589,0.000000,0.000000,3,-122.2,-122.2,0,0,
08/27/2026,06:35:29:618,0.000000,0.000000,1,-120.53,-120.53,0,0,
08/27/2026,06:35:29:671,0.000000,0.000000,2,-115.3,-115.3,0,0,
08/27/2026,06:35:29:784,0.000000,0.000000,3,-125.47,-125.47,0,0,
08/27/2026,06:35:29:816,0.000000,0.000000,1,-122.55,-122.55,0,0,
08/27/2026,06:35:29:854,0.000000,0.000000,2,-116.3,-116.3,0,0,
08/27/2026,06:35:29:982,0.000000,0.000000,3,-125.9,-125.9,0,0,
