Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,06:35:27:288,0.000000,0.000000,1,-124.38,-124.38,0,0,
08/27/2026,06:35:27:360,0.000000,0.000000,1,-121.79,-121.79,0,0,
08/27/2026,06:35:27:375,0.000000,0.000000,2,-124.26,-124.26,0,0,
08/27/2026,06:35:27:439,0.000000,0.000000,3,-125.03,-125.03,0,0,
08/27/2026,06:35:27:464,0.000000,0.000000,1,-121.13,-121.13,0,0,
08/27/2026,06:35:27:472,0.000000,0.000000,2,-124.76,-124.76,0,0,
08/27/2026,06:35:27:492,0.000000,0.000000,4,-76.42,-76.42,0,0,
08/27/2026,06:35:27:580,0.000000,0.000000,3,-124.11,-124.11,0,0,
08/27/2026,06:35:27:596,0.000000,0.000000,1,-123.85,-123.85,0,0,
08/27/2026,06:35:27:619,0.000000,0.000000,2,-123.31,-123.31,0,0,
08/27/2026,06:35:27:643,0.000000,0.000000,4,-78,-78,0,0,
08/27/2026,06:35:27:750,0.000000,0.000000,3,-125.83,-125.83,0,0,
08/27/2026,06:35:27:801,0.000000,0.000000,1,-122.28,-122.28,0,0,
08/27/2026,06:35:27:819,0.000000,0.000000,2,-124.53,-124.53,0,0,
08/27/2026,06:35:27:843,0.000000,0.000000,4,-83.88,-83.88,0,0,
08/27/2026,06:35:27:956,0.000000,0.000000,3,-124.8,-124.8,0,0,
08/27/2026,06:35:27:980,0.000000,0.000000,1,-120.93,-120.93,0,0,
08/27/2026,06:35:28:006,0.000000,0.000000,2,-123.24,-123.24,0,0,
08/27/2026,06:35:28:038,0.000000,0.000000,4,-87.04,-87.04,0,0,
08/27/2026,06:35:28:140,0.000000,0.000000,3,-125.66,-125.66,0,0,
08/27/2026,06:35:28:175,0.000000,0.000000,1,-125.17,-125.17,0,0,
08/27/2026,06:35:28:191,0.000000,0.000000,2,-124.98,-124.98,0,0,
08/27/2026,06:35:28:229,0.000000,0.000000,4,-87.11,-87.11,0,0,
08/27/2026,06:35:28:347,0.000000,0.000000,3,-124.34,-124.34,0,0,
08/27/2026,06:35:28:382,0.000000,0.000000,1,-122.1,-122.1,0,0,
08/27/2026,06:35:28:385,0.000000,0.000000,2,-124.71,-124.71,0,0,
08/27/2026,06:35:28:435,0.000000,0.000000,4,-80.88,-80.88,0,0,
08/27/2026,06:35:28:552,0.000000,0.000000,3,-125.66,-125.66,0,0,
08/27/2026,06:35:28:564,0.000000,0.000000,1,-121.26,-121.26,0,0,
08/27/2026,06:35:28:603,0.000000,0.000000,2,-122.78,-122.78,0,0,
08/27/2026,06:35:28:612,0.000000,0.000000,4,-82.44,-82.44,0,0,
08/27/2026,06:35:28:723,0.000000,0.000000,3,-124.64,-124.64,0,0,
08/27/2026,06:35:28:753,0.000000,0.000000,1,-123.3,-123.3,0,0,
08/27/2026,06:35:28:771,0.000000,0.000000,2,-122.75,-122.75,0,0,
08/27/2026,06:35:28:801,0.000000,0.000000,4,-76.58,-76.58,0,0,
08/27/2026,06:35:28:930,0.000000,0.000000,3,-123.44,-123.44,0,0,
08/27/2026,06:35:28:964,0.000000,0.000000,1,-124.01,-124.01,0,0,
08/27/2026,06:35:28:968,0.000000,0.000000,2,-122.15,-122.15,0,0,
08/27/2026,06:35:29:000,0.000000,0.000000,4,-77.33,-77.33,0,0,
08/27/2026,06:35:29:115,0.000000,0.000000,3,-125.16,-125.16,0,0,
08/27/2026,06:35:29:151,0.000000,0.000000,1,-122.01,-122.01,0,0,
08/27/2026,06:35:29:154,0.000000,0.000000,2,-124.49,-124.49,0,0,
08/27/2026,06:35:29:195,0.000000,0.000000,4,-81.47,-81.47,0,0,
08/27/2026,06:35:29:292,0.000000,0.000000,3,-125.87,-125.87,0,0,
