Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,06:39:44:671,0.000000,0.000000,1,-104.66,-104.66,0,0,
08/27/2026,06:39:44:725,0.000000,0.000000,2,-99.96,-99.96,0,0,
08/27/2026,06:39:44:787,0.000000,0.000000,3,-85.63,-85.63,0,0,
08/27/2026,06:39:44:865,0.000000,0.000000,1,-105.04,-105.04,0,0,
08/27/2026,06:39:44:866,0.000000,0.000000,4,-93.7,-93.7,0,0,
08/27/2026,06:39:44:925,0.000000,0.000000,2,-100.17,-100.17,0,0,
08/27/2026,06:39:44:978,0.000000,0.000000,3,-70.17,-70.17,0,0,
08/27/2026,06:39:45:054,0.000000,0.000000,1,-111.44,-111.44,0,0,
08/27/2026,06:39:45:055,0.000000,0.000000,4,-107.67,-107.67,0,0,
08/27/2026,06:39:45:118,0.000000,0.000000,2,-108.64,-108.64,0,0,
08/27/2026,06:39:45:167,0.000000,0.000000,3,-72.86,-72.86,0,0,
08/27/2026,06:39:45:231,0.000000,0.000000,1,-105.65,-105.65,0,0,
08/27/2026,06:39:45:259,0.000000,0.000000,4,-102.07,-102.07,0,0,
08/27/2026,06:39:45:323,0.000000,0.000000,2,-105.18,-105.18,0,0,
08/27/2026,06:39:45:371,0.000000,0.000000,3,-76.06,-76.06,0,0,
08/27/2026,06:39:45:450,0.000000,0.000000,1,-108.11,-108.11,0,0,
08/27/2026,06:39:45:451,0.000000,0.000000,4,-107.21,-107.21,0,0,
08/27/2026,06:39:45:521,0.000000,0.000000,2,-111.45,-111.45,0,0,
08/27/2026,06:39:45:574,0.000000,0.000000,3,-81.46,-81.46,0,0,
08/27/2026,06:39:45:623,0.000000,0.000000,1,-112.62,-112.62,0,0,
08/27/2026,06:39:45:636,0.000000,0.000000,4,-109.42,-109.42,0,0,
08/27/2026,06:39:45:693,0.000000,0.000000,2,-110.28,-110.28,0,0,
08/27/2026,06:39:45:746,0.000000,0.000000,3,-80.05,-80.05,0,0,
08/27/2026,06:39:45:822,0.000000,0.000000,1,-111.2,-111.2,0,0,
08/27/2026,06:39:45:849,0.000000,0.000000,4,-102.53,-102.53,0,0,
08/27/2026,06:39:45:879,0.000000,0.000000,2,-110.27,-110.27,0,0,
08/27/2026,06:39:45:937,0.000000,0.000000,3,-83.82,-83.82,0,0,
08/27/2026,06:39:46:004,0.000000,0.000000,1,-111.62,-111.62,0,0,
08/27/2026,06:39:46:021,0.000000,0.000000,4,-102.5,-102.5,0,0,
08/27/2026,06:39:46:074,0.000000,0.000000,2,-108.94,-108.94,0,0,
