Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,06:39:44:431,0.000000,0.000000,1,-117.82,-117.82,0,0,
08/27/2026,06:39:44:506,0.000000,0.000000,1,-119.1,-119.1,0,0,
08/27/2026,06:39:44:518,0.000000,0.000000,2,-119.1,-119.1,0,0,
08/27/2026,06:39:44:579,0.000000,0.000000,3,-119.51,-119.51,0,0,
08/27/2026,06:39:44:608,0.000000,0.000000,1,-119.13,-119.13,0,0,
08/27/2026,06:39:44:628,0.000000,0.000000,4,-86.03,-86.03,0,0,
08/27/2026,06:39:44:639,0.000000,0.000000,2,-118.49,-118.49,0,0,
08/27/2026,06:39:44:710,0.000000,0.000000,3,-118.92,-118.92,0,0,
08/27/2026,06:39:44:757,0.000000,0.000000,1,-118.76,-118.76,0,0,
08/27/2026,06:39:44:795,0.000000,0.000000,4,-86.42,-86.42,0,0,
08/27/2026,06:39:44:814,0.000000,0.000000,2,-119.07,-119.07,0,0,
08/27/2026,06:39:44:924,0.000000,0.000000,3,-119.21,-119.21,0,0,
08/27/2026,06:39:44:975,0.000000,0.000000,1,-118.74,-118.74,0,0,
08/27/2026,06:39:44:988,0.000000,0.000000,4,-82.62,-82.62,0,0,
08/27/2026,06:39:45:009,0.000000,0.000000,2,-116.15,-116.15,0,0,
08/27/2026,06:39:45:088,0.000000,0.000000,3,-116.92,-116.92,0,0,
08/27/2026,06:39:45:162,0.000000,0.000000,1,-118.71,-118.71,0,0,
08/27/2026,06:39:45:190,0.000000,0.000000,4,-81.6,-81.6,0,0,
08/27/2026,06:39:45:209,0.000000,0.000000,2,-117.32,-117.32,0,0,
08/27/2026,06:39:45:290,0.000000,0.000000,3,-117.69,-117.69,0,0,
08/27/2026,06:39:45:370,0.000000,0.000000,1,-118.41,-118.41,0,0,
08/27/2026,06:39:45:372,0.000000,0.000000,4,-88.01,-88.01,0,0,
08/27/2026,06:39:45:411,0.000000,0.000000,2,-118.53,-118.53,0,0,
08/27/2026,06:39:45:488,0.000000,0.000000,3,-119.07,-119.07,0,0,
08/27/2026,06:39:45:568,0.000000,0.000000,1,-117.98,-117.98,0,0,
08/27/2026,06:39:45:615,0.000000,0.000000,4,-82.07,-82.07,0,0,
08/27/2026,06:39:45:616,0.000000,0.000000,2,-118.14,-118.14,0,0,
08/27/2026,06:39:45:669,0.000000,0.000000,3,-117.59,-117.59,0,0,
08/27/2026,06:39:45:723,0.000000,0.000000,1,-118.3,-118.3,0,0,
08/27/2026,06:39:45:770,0.000000,0.000000,4,-85.11,-85.11,0,0,
08/27/2026,06:39:45:775,0.000000,0.000000,2,-120.29,-120.29,0,0,
08/27/2026,06:39:45:866,0.000000,0.000000,3,-119.24,-119.24,0,0,
08/27/2026,06:39:45:934,0.000000,0.000000,1,-116.88,-116.88,0,0,
08/27/2026,06:39:45:954,0.000000,0.000000,4,-94.98,-94.98,0,0,
08/27/2026,06:39:45:976,0.000000,0.000000,2,-115.9,-115.9,0,0,
08/27/2026,06:39:46:062,0.000000,0.000000,3,-118.68,-118.68,0,0,
08/27/2026,06:39:46:117,0.000000,0.000000,1,-118.03,-118.03,0,0,
08/27/2026,06:39:46:153,0.000000,0.000000,4,-90.85,-90.85,0,0,
08/27/2026,06:39:46:162,0.000000,0.000000,2,-119.05,-119.05,0,0,
08/27/2026,06:39:46:254,0.000000,0.000000,3,-118.99,-118.99,0,0,
08/27/2026,06:39:46:321,0.000000,0.000000,1,-116.76,-116.76,0,0,
08/27/2026,06:39:46:336,0.000000,0.000000,4,-85.55,-85.55,0,0,
08/27/2026,06:39:46:374,0.000000,0.000000,2,-116.31,-116.31,0,0,
08/27/2026,06:39:46:451,0.000000,0.000000,3,-118.82,-118.82,0,0,
08/27/2026,06:39:46:495,0.000000,0.000000,1,-118.97,-118.97,0,0,
08/27/2026,06:39:46:536,0.000000,0.000000,4,-89.26,-89.26,0,0,
08/27/2026,06:39:46:543,0.000000,0.000000,2,-115.84,-115.84,0,0,
08/27/2026,06:39:46:636,0.000000,0.000000,3,-117.38,-117.38,0,0,
08/27/2026,06:39:46:684,0.000000,0.000000,1,-117.34,-117.34,0,0,
08/27/2026,06:39:46:724,0.000000,0.000000,4,-94.47,-94.47,0,0,
08/27/2026,06:39:46:742,0.000000,0.000000,2,-116.41,-116.41,0,0,
08/27/2026,06:39:46:828,0.000000,0.000000,3,-118.29,-118.29,0,0,
08/27/2026,06:39:46:887,0.000000,0.000000,1,-119.37,-119.37,0,0,
08/27/2026,06:39:46:914,0.000000,0.000000,4,-80.36,-80.36,0,0,
08/27/2026,06:39:46:930,0.000000,0.000000,2,-116.79,-116.79,0,0,
08/27/2026,06:39:47:017,0.000000,0.000000,3,-117.16,-117.16,0,0,
08/27/2026,06:39:47:073,0.000000,0.000000,1,-116.92,-116.92,0,0,
08/27/2026,06:39:47:111,0.000000,0.000000,4,-80.66,-80.66,0,0,
08/27/2026,06:39:47:123,0.000000,0.000000,2,-117.92,-117.92,0,0,
08/27/2026,06:39:47:233,0.000000,0.000000,3,-117.53,-117.53,0,0,
08/27/2026,06:39:47:284,0.000000,0.000000,1,-117.72,-117.72,0,0,
08/27/2026,06:39:47:316,0.000000,0.000000,4,-76.86,-76.86,0,0,
08/27/2026,06:39:47:318,0.000000,0.000000,2,-118.38,-118.38,0,0,
08/27/2026,06:39:47:412,0.000000,0.000000,3,-116.43,-116.43,0,0,
08/27/2026,06:39:47:481,0.000000,0.000000,1,-118.61,-118.61,0,0,
08/27/2026,06:39:47:497,0.000000,0.000000,4,-81.48,-81.48,0,0,
08/27/2026,06:39:47:543,0.000000,0.000000,2,-117.3,-117.3,0,0,
08/27/2026,06:39:47:596,0.000000,0.000000,3,-120.06,-120.06,0,0,
08/27/2026,06:39:47:679,0.000000,0.000000,1,-118.47,-118.47,0,0,
08/27/2026,06:39:47:693,0.000000,0.000000,4,-75.22,-75.22,0,0,
08/27/2026,06:39:47:702,0.000000,0.000000,2,-118.21,-118.21,0,0,
08/27/2026,06:39:47:794,0.000000,0.000000,3,-117.97,-117.97,0,0,
08/27/2026,06:39:47:849,0.000000,0.000000,1,-118.08,-118.08,0,0,
08/27/2026,06:39:47:889,0.000000,0.000000,4,-79.48,-79.48,0,0,
08/27/2026,06:39:47:894,0.000000,0.000000,2,-116.39,-116.39,0,0,
08/27/2026,06:39:47:992,0.000000,0.000000,3,-117.89,-117.89,0,0,
08/27/2026,06:39:48:051,0.000000,0.000000,1,-118.51,-118.51,0,0,
08/27/2026,06:39:48:075,0.000000,0.000000,4,-84.15,-84.15,0,0,
08/27/2026,06:39:48:089,0.000000,0.000000,2,-117.2,-117.2,0,0,
08/27/2026,06:39:48:178,0.000000,0.000000,3,-117.36,-117.36,0,0,
08/27/2026,06:39:48:227,0.000000,0.000000,1,-118.16,-118.16,0,0,
08/27/2026,06:39:48:261,0.000000,0.000000,4,-84.46,-84.46,0,0,
08/27/2026,06:39:48:277,0.000000,0.000000,2,-117.56,-117.56,0,0,
08/27/2026,06:39:48:374,0.000000,0.000000,3,-116.66,-116.66,0,0,
08/27/2026,06:39:48:421,0.000000,0.000000,1,-118.37,-118.37,0,0,
08/27/2026,06:39:48:455,0.000000,0.000000,4,-92.7,-92.7,0,0,
08/27/2026,06:39:48:478,0.000000,0.000000,2,-117.04,-117.04,0,0,
08/27/2026,06:39:48:567,0.000000,0.000000,3,-118.27,-118.27,0,0,
08/27/2026,06:39:48:611,0.000000,0.000000,1,-117.73,-117.73,0,0,
