Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,08:07:47:766,0.000000,0.000000,1,-122.54,-122.54,0,0,
08/27/2026,08:07:47:848,0.000000,0.000000,2,-122.69,-122.69,0,0,
08/27/2026,08:07:47:880,0.000000,0.000000,3,-111.36,-111.36,0,0,
08/27/2026,08:07:47:938,0.000000,0.000000,4,-121.34,-121.34,0,0,
08/27/2026,08:07:48:044,0.000000,0.000000,1,-124.59,-124.59,0,0,
08/27/2026,08:07:48:126,0.000000,0.000000,2,-122.66,-122.66,0,0,
08/27/2026,08:07:48:173,0.000000,0.000000,3,-107.22,-107.22,0,0,
08/27/2026,08:07:48:214,0.000000,0.000000,4,-123.94,-123.94,0,0,
08/27/2026,08:07:48:338,0.000000,0.000000,1,-126.41,-126.41,0,0,
08/27/2026,08:07:48:408,0.000000,0.000000,2,-123.01,-123.01,0,0,
08/27/2026,08:07:48:441,0.000000,0.000000,3,-101.54,-101.54,0,0,
08/27/2026,08:07:48:499,0.000000,0.000000,4,-122.57,-122.57,0,0,
08/27/2026,08:07:48:601,0.000000,0.000000,1,-124.18,-124.18,0,0,
08/27/2026,08:07:48:710,0.000000,0.000000,2,-126.27,-126.27,0,0,
08/27/2026,08:07:48:730,0.000000,0.000000,3,-103.71,-103.71,0,0,
08/27/2026,08:07:48:778,0.000000,0.000000,4,-123.53,-123.53,0,0,
08/27/2026,08:07:48:885,0.000000,0.000000,1,-125.54,-125.54,0,0,
08/27/2026,08:07:48:959,0.000000,0.000000,2,-122.47,-122.47,0,0,
08/27/2026,08:07:49:000,0.000000,0.000000,3,-106.3,-106.3,0,0,
08/27/2026,08:07:49:052,0.000000,0.000000,4,-122.03,-122.03,0,0,
08/27/2026,08:07:49:155,0.000000,0.000000,1,-125.45,-125.45,0,0,
08/27/2026,08:07:49:254,0.000000,0.000000,2,-123.11,-123.11,0,0,
08/27/2026,08:07:49:284,0.000000,0.000000,3,-109.78,-109.78,0,0,
08/27/2026,08:07:49:338,0.000000,0.000000,4,-122.42,-122.42,0,0,
08/27/2026,08:07:49:452,0.000000,0.000000,1,-121.17,-121.17,0,0,
08/27/2026,08:07:49:548,0.000000,0.000000,2,-121.45,-121.45,0,0,
08/27/2026,08:07:49:572,0.000000,0.000000,3,-106.19,-106.19,0,0,
08/27/2026,08:07:49:605,0.000000,0.000000,4,-120.29,-120.29,0,0,
08/27/2026,08:07:49:714,0.000000,0.000000,1,-121.79,-121.79,0,0,
08/27/2026,08:07:49:798,0.000000,0.000000,2,-121.55,-121.55,0,0,
08/27/2026,08:07:49:862,0.000000,0.000000,3,-102.34,-102.34,0,0,
08/27/2026,08:07:49:911,0.000000,0.000000,4,-121.98,-121.98,0,0,
08/27/2026,08:07:50:219,0.000000,0.000000,1,-122.18,-122.18,0,0,
08/27/2026,08:07:50:267,0.000000,0.000000,2,-125.78,-125.78,0,0,
08/27/2026,08:07:50:284,0.000000,0.000000,3,-104.15,-104.15,0,0,
08/27/2026,08:07:50:312,0.000000,0.000000,4,-121.68,-121.68,0,0,
08/27/2026,08:07:50:342,0.000000,0.000000,1,-123.68,-123.68,0,0,
08/27/2026,08:07:50:364,0.000000,0.000000,2,-125.34,-125.34,0,0,
08/27/2026,08:07:50:410,0.000000,0.000000,3,-98.84,-98.84,0,0,
