Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,08:07:46:897,0.000000,0.000000,1,-74.08,-74.08,0,0,
08/27/2026,08:07:46:909,0.000000,0.000000,1,-72.56,-72.56,0,0,
08/27/2026,08:07:46:936,0.000000,0.000000,1,-70.45,-70.45,0,0,
08/27/2026,08:07:46:951,0.000000,0.000000,1,-70.27,-70.27,0,0,
08/27/2026,08:07:46:957,0.000000,0.000000,1,-71.17,-71.17,0,0,
08/27/2026,08:07:46:991,0.000000,0.000000,1,-72.41,-72.41,0,0,
08/27/2026,08:07:47:002,0.000000,0.000000,2,-125.49,-125.49,0,0,
08/27/2026,08:07:47:010,0.000000,0.000000,1,-68.76,-68.76,0,0,
08/27/2026,08:07:47:027,0.000000,0.000000,2,-127.21,-127.21,0,0,
08/27/2026,08:07:47:052,0.000000,0.000000,1,-68.55,-68.55,0,0,
08/27/2026,08:07:47:067,0.000000,0.000000,2,-126.14,-126.14,0,0,
08/27/2026,08:07:47:078,0.000000,0.000000,3,-126.35,-126.35,0,0,
08/27/2026,08:07:47:170,0.000000,0.000000,1,-71.49,-71.49,0,0,
08/27/2026,08:07:47:178,0.000000,0.000000,2,-127.13,-127.13,0,0,
08/27/2026,08:07:47:211,0.000000,0.000000,4,-125.76,-125.76,0,0,
08/27/2026,08:07:47:220,0.000000,0.000000,3,-125.78,-125.78,0,0,
08/27/2026,08:07:47:224,0.000000,0.000000,1,-68.92,-68.92,0,0,
08/27/2026,08:07:47:237,0.000000,0.000000,2,-125.91,-125.91,0,0,
08/27/2026,08:07:47:251,0.000000,0.000000,4,-125.22,-125.22,0,0,
08/27/2026,08:07:47:292,0.000000,0.000000,3,-126.7,-126.7,0,0,
08/27/2026,08:07:47:294,0.000000,0.000000,1,-76.8,-76.8,0,0,
08/27/2026,08:07:47:310,0.000000,0.000000,2,-126.71,-126.71,0,0,
08/27/2026,08:07:47:322,0.000000,0.000000,4,-125.88,-125.88,0,0,
08/27/2026,08:07:47:365,0.000000,0.000000,3,-126.63,-126.63,0,0,
08/27/2026,08:07:47:396,0.000000,0.000000,1,-78.5,-78.5,0,0,
08/27/2026,08:07:47:435,0.000000,0.000000,2,-127.66,-127.66,0,0,
08/27/2026,08:07:47:451,0.000000,0.000000,4,-126.2,-126.2,0,0,
08/27/2026,08:07:47:512,0.000000,0.000000,3,-125.37,-125.37,0,0,
08/27/2026,08:07:47:539,0.000000,0.000000,1,-80.36,-80.36,0,0,
08/27/2026,08:07:47:587,0.000000,0.000000,2,-125.28,-125.28,0,0,
08/27/2026,08:07:47:623,0.000000,0.000000,4,-127.67,-127.67,0,0,
08/27/2026,08:07:47:694,0.000000,0.000000,3,-126.73,-126.73,0,0,
08/27/2026,08:07:47:743,0.000000,0.000000,1,-70.34,-70.34,0,0,
08/27/2026,08:07:47:809,0.000000,0.000000,2,-126.73,-126.73,0,0,
08/27/2026,08:07:47:876,0.000000,0.000000,4,-125.58,-125.58,0,0,
08/27/2026,08:07:48:000,0.000000,0.000000,3,-126.27,-126.27,0,0,
08/27/2026,08:07:48:041,0.000000,0.000000,1,-86.69,-86.69,0,0,
08/27/2026,08:07:48:090,0.000000,0.000000,2,-124.09,-124.09,0,0,
08/27/2026,08:07:48:165,0.000000,0.000000,4,-126.71,-126.71,0,0,
08/27/2026,08:07:48:288,0.000000,0.000000,3,-126,-126,0,0,
08/27/2026,08:07:48:334,0.000000,0.000000,1,-68.15,-68.15,0,0,
08/27/2026,08:07:48:383,0.000000,0.000000,2,-126.24,-126.24,0,0,
08/27/2026,08:07:48:440,0.000000,0.000000,4,-126.26,-126.26,0,0,
08/27/2026,08:07:48:547,0.000000,0.000000,3,-127.95,-127.95,0,0,
