Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,08:07:47:227,0.000000,0.000000,1,-98.3,-98.3,0,0,
08/27/2026,08:07:47:263,0.000000,0.000000,2,-125.41,-125.41,0,0,
08/27/2026,08:07:47:306,0.000000,0.000000,1,-106.75,-106.75,0,0,
08/27/2026,08:07:47:336,0.000000,0.000000,3,-124.98,-124.98,0,0,
08/27/2026,08:07:47:354,0.000000,0.000000,2,-126.67,-126.67,0,0,
08/27/2026,08:07:47:419,0.000000,0.000000,1,-95.99,-95.99,0,0,
08/27/2026,08:07:47:445,0.000000,0.000000,4,-126.79,-126.79,0,0,
08/27/2026,08:07:47:468,0.000000,0.000000,3,-125.26,-125.26,0,0,
08/27/2026,08:07:47:493,0.000000,0.000000,2,-126.6,-126.6,0,0,
08/27/2026,08:07:47:574,0.000000,0.000000,1,-98.56,-98.56,0,0,
08/27/2026,08:07:47:612,0.000000,0.000000,4,-125.24,-125.24,0,0,
08/27/2026,08:07:47:658,0.000000,0.000000,3,-126.99,-126.99,0,0,
08/27/2026,08:07:47:686,0.000000,0.000000,2,-125.06,-125.06,0,0,
08/27/2026,08:07:47:780,0.000000,0.000000,1,-97.94,-97.94,0,0,
08/27/2026,08:07:47:832,0.000000,0.000000,4,-125.76,-125.76,0,0,
08/27/2026,08:07:47:924,0.000000,0.000000,3,-127,-127,0,0,
08/27/2026,08:07:47:956,0.000000,0.000000,2,-126.28,-126.28,0,0,
08/27/2026,08:07:48:079,0.000000,0.000000,1,-90.6,-90.6,0,0,
08/27/2026,08:07:48:122,0.000000,0.000000,4,-125.02,-125.02,0,0,
08/27/2026,08:07:48:206,0.000000,0.000000,3,-127.09,-127.09,0,0,
08/27/2026,08:07:48:285,0.000000,0.000000,2,-126.95,-126.95,0,0,
08/27/2026,08:07:48:346,0.000000,0.000000,1,-97.9,-97.9,0,0,
08/27/2026,08:07:48:388,0.000000,0.000000,4,-124.6,-124.6,0,0,
08/27/2026,08:07:48:472,0.000000,0.000000,3,-126.04,-126.04,0,0,
08/27/2026,08:07:48:508,0.000000,0.000000,2,-126.16,-126.16,0,0,
08/27/2026,08:07:48:617,0.000000,0.000000,1,-101,-101,0,0,
08/27/2026,08:07:48:709,0.000000,0.000000,4,-124.35,-124.35,0,0,
08/27/2026,08:07:48:754,0.000000,0.000000,3,-126.02,-126.02,0,0,
08/27/2026,08:07:48:787,0.000000,0.000000,2,-126.15,-126.15,0,0,
08/27/2026,08:07:48:893,0.000000,0.000000,1,-104.21,-104.21,0,0,
08/27/2026,08:07:48:953,0.000000,0.000000,4,-126.87,-126.87,0,0,
08/27/2026,08:07:49:030,0.000000,0.000000,3,-126.11,-126.11,0,0,
08/27/2026,08:07:49:071,0.000000,0.000000,2,-125.36,-125.36,0,0,
08/27/2026,08:07:49:175,0.000000,0.000000,1,-105.83,-105.83,0,0,
08/27/2026,08:07:49:221,0.000000,0.000000,4,-125.2,-125.2,0,0,
08/27/2026,08:07:49:308,0.000000,0.000000,3,-125.62,-125.62,0,0,
08/27/2026,08:07:49:345,0.000000,0.000000,2,-127.3,-127.3,0,0,
08/27/2026,08:07:49:461,0.000000,0.000000,1,-104.1,-104.1,0,0,
08/27/2026,08:07:49:502,0.000000,0.000000,4,-126.86,-126.86,0,0,
08/27/2026,08:07:49:603,0.000000,0.000000,3,-124.8,-124.8,0,0,
08/27/2026,08:07:49:628,0.000000,0.000000,2,-126.82,-126.82,0,0,
08/27/2026,08:07:49:743,0.000000,0.000000,1,-92.02,-92.02,0,0,
08/27/2026,08:07:49:782,0.000000,0.000000,4,-125.19,-125.19,0,0,
08/27/2026,08:07:49:904,0.000000,0.000000,3,-126.97,-126.97,0,0,
08/27/2026,08:07:49:958,0.000000,0.000000,2,-127.27,-127.27,0,0,
08/27/2026,08:07:50:245,0.000000,0.000000,1,-92.16,-92.16,0,0,
08/27/2026,08:07:50:266,0.000000,0.000000,4,-124.98,-124.98,0,0,
08/27/2026,08:07:50:305,0.000000,0.000000,3,-126.95,-126.95,0,0,
08/27/2026,08:07:50:315,0.000000,0.000000,2,-124.56,-124.56,0,0,
08/27/2026,08:07:50:347,0.000000,0.000000,1,-96.33,-96.33,0,0,
08/27/2026,08:07:50:361,0.000000,0.000000,4,-125.08,-125.08,0,0,
08/27/2026,08:07:50:428,0.000000,0.000000,3,-126.55,-126.55,0,0,
08/27/2026,08:07:50:471,0.000000,0.000000,2,-127.24,-127.24,0,0,
08/27/2026,08:07:50:570,0.000000,0.000000,1,-96.21,-96.21,0,0,
08/27/2026,08:07:50:614,0.000000,0.000000,4,-126.94,-126.94,0,0,
08/27/2026,08:07:50:702,0.000000,0.000000,3,-124.58,-124.58,0,0,
08/27/2026,08:07:50:755,0.000000,0.000000,2,-126.35,-126.35,0,0,
08/27/2026,08:07:50:846,0.000000,0.000000,1,-91.2,-91.2,0,0,
08/27/2026,08:07:50:893,0.000000,0.000000,4,-124.62,-124.62,0,0,
08/27/2026,08:07:50:986,0.000000,0.000000,3,-128.09,-128.09,0,0,
08/27/2026,08:07:51:018,0.000000,0.000000,2,-125.9,-125.9,0,0,
08/27/2026,08:07:51:120,0.000000,0.000000,1,-108.1,-108.1,0,0,
08/27/2026,08:07:51:177,0.000000,0.000000,4,-126.78,-126.78,0,0,
08/27/2026,08:07:51:262,0.000000,0.000000,3,-126.16,-126.16,0,0,
08/27/2026,08:07:51:304,0.000000,0.000000,2,-126.16,-126.16,0,0,
08/27/2026,08:07:51:417,0.000000,0.000000,1,-91.37,-91.37,0,0,
08/27/2026,08:07:51:464,0.000000,0.000000,4,-125.52,-125.52,0,0,
08/27/2026,08:07:51:542,0.000000,0.000000,3,-124.71,-124.71,0,0,
08/27/2026,08:07:51:576,0.000000,0.000000,2,-126.62,-126.62,0,0,
08/27/2026,08:07:51:712,0.000000,0.000000,1,-93.38,-93.38,0,0,
08/27/2026,08:07:51:792,0.000000,0.000000,4,-127.99,-127.99,0,0,
08/27/2026,08:07:51:836,0.000000,0.000000,3,-127.22,-127.22,0,0,
08/27/2026,08:07:51:876,0.000000,0.000000,2,-126.63,-126.63,0,0,
08/27/2026,08:07:51:963,0.000000,0.000000,1,-92.99,-92.99,0,0,
08/27/2026,08:07:52:012,0.000000,0.000000,4,-127.41,-127.41,0,0,
08/27/2026,08:07:52:102,0.000000,0.000000,3,-124.76,-124.76,0,0,
08/27/2026,08:07:52:134,0.000000,0.000000,2,-128.06,-128.06,0,0,
08/27/2026,08:07:52:242,0.000000,0.000000,1,-96.89,-96.89,0,0,
08/27/2026,08:07:52:290,0.000000,0.000000,4,-126.16,-126.16,0,0,
08/27/2026,08:07:52:375,0.000000,0.000000,3,-126.87,-126.87,0,0,
08/27/2026,08:07:52:420,0.000000,0.000000,2,-126.64,-126.64,0,0,
08/27/2026,08:07:52:540,0.000000,0.000000,1,-94.62,-94.62,0,0,
08/27/2026,08:07:52:597,0.000000,0.000000,4,-125.16,-125.16,0,0,
08/27/2026,08:07:52:690,0.000000,0.000000,3,-124.68,-124.68,0,0,
08/27/2026,08:07:52:812,0.000000,0.000000,2,-126.88,-126.88,0,0,
08/27/2026,08:07:52:886,0.000000,0.000000,1,-99.47,-99.47,0,0,
08/27/2026,08:07:52:907,0.000000,0.000000,4,-127.28,-127.28,0,0,
08/27/2026,08:07:52:943,0.000000,0.000000,3,-125.9,-125.9,0,0,
08/27/2026,08:07:52:984,0.000000,0.000000,2,-126.42,-126.42,0,0,
08/27/2026,08:07:53:080,0.000000,0.000000,1,-97.7,-97.7,0,0,
08/27/2026,08:07:53:127,0.000000,0.000000,4,-127.2,-127.2,0,0,
08/27/2026,08:07:53:219,0.000000,0.000000,3,-124.15,-124.15,0,0,
08/27/2026,08:07:53:251,0.000000,0.000000,2,-124.85,-124.85,0,0,
08/27/2026,08:07:53:371,0.000000,0.000000,1,-91.04,-91.04,0,0,
08/27/2026,08:07:53:401,0.000000,0.000000,4,-124.82,-124.82,0,0,
08/27/2026,08:07:53:490,0.000000,0.000000,3,-125.7,-125.7,0,0,
08/27/2026,08:07:53:528,0.000000,0.000000,2,-124.43,-124.43,0,0,
08/27/2026,08:07:53:665,0.000000,0.000000,1,-92.39,-92.39,0,0,
08/27/2026,08:07:53:752,0.000000,0.000000,4,-125.96,-125.96,0,0,
08/27/2026,08:07:53:871,0.000000,0.000000,3,-127.3,-127.3,0,0,
08/27/2026,08:07:53:875,0.000000,0.000000,2,-127.45,-127.45,0,0,
08/27/2026,08:07:53:976,0.000000,0.000000,1,-89.18,-89.18,0,0,
08/27/2026,08:07:53:990,0.000000,0.000000,4,-124.26,-124.26,0,0,
08/27/2026,08:07:54:048,0.000000,0.000000,3,-127.15,-127.15,0,0,
08/27/2026,08:07:54:088,0.000000,0.000000,2,-126.79,-126.79,0,0,
08/27/2026,08:07:54:204,0.000000,0.000000,1,-88.59,-88.59,0,0,
08/27/2026,08:07:54:254,0.000000,0.000000,4,-122.22,-122.22,0,0,
08/27/2026,08:07:54:351,0.000000,0.000000,3,-127.07,-127.07,0,0,
08/27/2026,08:07:54:363,0.000000,0.000000,2,-127.56,-127.56,0,0,
08/27/2026,08:07:54:477,0.000000,0.000000,1,-88.62,-88.62,0,0,
08/27/2026,08:07:54:548,0.000000,0.000000,4,-126.14,-126.14,0,0,
08/27/2026,08:07:54:607,0.000000,0.000000,3,-126.51,-126.51,0,0,
08/27/2026,08:07:54:652,0.000000,0.000000,2,-125.49,-125.49,0,0,
08/27/2026,08:07:54:746,0.000000,0.000000,1,-95.54,-95.54,0,0,
08/27/2026,08:07:54:848,0.000000,0.000000,4,-123.04,-123.04,0,0,
08/27/2026,08:07:54:887,0.000000,0.000000,3,-127.4,-127.4,0,0,
08/27/2026,08:07:54:926,0.000000,0.000000,2,-126.53,-126.53,0,0,
08/27/2026,08:07:55:032,0.000000,0.000000,1,-92.99,-92.99,0,0,
08/27/2026,08:07:55:119,0.000000,0.000000,4,-126.37,-126.37,0,0,
08/27/2026,08:07:55:164,0.000000,0.000000,3,-125.76,-125.76,0,0,
08/27/2026,08:07:55:208,0.000000,0.000000,2,-126.23,-126.23,0,0,
08/27/2026,08:07:55:316,0.000000,0.000000,1,-90,-90,0,0,
08/27/2026,08:07:55:409,0.000000,0.000000,4,-125.39,-125.39,0,0,
08/27/2026,08:07:55:523,0.000000,0.000000,3,-126.84,-126.84,0,0,
08/27/2026,08:07:55:568,0.000000,0.000000,2,-126.7,-126.7,0,0,
08/27/2026,08:07:55:789,0.000000,0.000000,1,-95,-95,0,0,
08/27/2026,08:07:55:856,0.000000,0.000000,4,-127.9,-127.9,0,0,
08/27/2026,08:07:55:917,0.000000,0.000000,3,-127.48,-127.48,0,0,
08/27/2026,08:07:55:928,0.000000,0.000000,2,-126.14,-126.14,0,0,
08/27/2026,08:07:56:017,0.000000,0.000000,1,-94.24,-94.24,0,0,
08/27/2026,08:07:56:038,0.000000,0.000000,4,-125.17,-125.17,0,0,
08/27/2026,08:07:56:066,0.000000,0.000000,3,-127.53,-127.53,0,0,
08/27/2026,08:07:56:085,0.000000,0.000000,2,-126.74,-126.74,0,0,
08/27/2026,08:07:56:149,0.000000,0.000000,1,-97.51,-97.51,0,0,
08/27/2026,08:07:56:194,0.000000,0.000000,4,-127.36,-127.36,0,0,
08/27/2026,08:07:56:287,0.000000,0.000000,3,-124.69,-124.69,0,0,
08/27/2026,08:07:56:318,0.000000,0.000000,2,-126.74,-126.74,0,0,
08/27/2026,08:07:56:425,0.000000,0.000000,1,-96.95,-96.95,0,0,
08/27/2026,08:07:56:473,0.000000,0.000000,4,-125.37,-125.37,0,0,
08/27/2026,08:07:56:563,0.000000,0.000000,3,-127.04,-127.04,0,0,
08/27/2026,08:07:56:595,0.000000,0.000000,2,-125.96,-125.96,0,0,
08/27/2026,08:07:56:697,0.000000,0.000000,1,-90.7,-90.7,0,0,
08/27/2026,08:07:56:764,0.000000,0.000000,4,-126.84,-126.84,0,0,
08/27/2026,08:07:56:842,0.000000,0.000000,3,-127.69,-127.69,0,0,
08/27/2026,08:07:56:887,0.000000,0.000000,2,-125.64,-125.64,0,0,
08/27/2026,08:07:56:988,0.000000,0.000000,1,-93.09,-93.09,0,0,
08/27/2026,08:07:57:062,0.000000,0.000000,4,-125.23,-125.23,0,0,
08/27/2026,08:07:57:152,0.000000,0.000000,3,-124.41,-124.41,0,0,
08/27/2026,08:07:57:159,0.000000,0.000000,2,-126.54,-126.54,0,0,
08/27/2026,08:07:57:264,0.000000,0.000000,1,-83.55,-83.55,0,0,
08/27/2026,08:07:57:306,0.000000,0.000000,4,-126.14,-126.14,0,0,
08/27/2026,08:07:57:407,0.000000,0.000000,3,-126.39,-126.39,0,0,
08/27/2026,08:07:57:451,0.000000,0.000000,2,-126.44,-126.44,0,0,
08/27/2026,08:07:57:537,0.000000,0.000000,1,-87.26,-87.26,0,0,
08/27/2026,08:07:57:593,0.000000,0.000000,4,-126.98,-126.98,0,0,
08/27/2026,08:07:57:704,0.000000,0.000000,3,-126.74,-126.74,0,0,
08/27/2026,08:07:57:710,0.000000,0.000000,2,-126.63,-126.63,0,0,
08/27/2026,08:07:57:823,0.000000,0.000000,1,-92.45,-92.45,0,0,
