Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,08:07:47:519,0.000000,0.000000,1,-121.27,-121.27,0,0,
08/27/2026,08:07:47:581,0.000000,0.000000,2,-122.3,-122.3,0,0,
08/27/2026,08:07:47:651,0.000000,0.000000,3,-126.88,-126.88,0,0,
08/27/2026,08:07:47:706,0.000000,0.000000,4,-86.13,-86.13,0,0,
08/27/2026,08:07:47:732,0.000000,0.000000,1,-122.48,-122.48,0,0,
08/27/2026,08:07:47:796,0.000000,0.000000,2,-121.49,-121.49,0,0,
08/27/2026,08:07:47:902,0.000000,0.000000,3,-124.27,-124.27,0,0,
08/27/2026,08:07:48:002,0.000000,0.000000,4,-81.01,-81.01,0,0,
08/27/2026,08:07:48:005,0.000000,0.000000,1,-122.64,-122.64,0,0,
08/27/2026,08:07:48:087,0.000000,0.000000,2,-121.81,-121.81,0,0,
08/27/2026,08:07:48:202,0.000000,0.000000,3,-123.52,-123.52,0,0,
08/27/2026,08:07:48:296,0.000000,0.000000,4,-90.16,-90.16,0,0,
08/27/2026,08:07:48:299,0.000000,0.000000,1,-122.47,-122.47,0,0,
08/27/2026,08:07:48:350,0.000000,0.000000,2,-120.49,-120.49,0,0,
08/27/2026,08:07:48:466,0.000000,0.000000,3,-120.36,-120.36,0,0,
08/27/2026,08:07:48:558,0.000000,0.000000,4,-77.84,-77.84,0,0,
08/27/2026,08:07:48:561,0.000000,0.000000,1,-120.96,-120.96,0,0,
08/27/2026,08:07:48:636,0.000000,0.000000,2,-121.41,-121.41,0,0,
08/27/2026,08:07:48:748,0.000000,0.000000,3,-118.74,-118.74,0,0,
08/27/2026,08:07:48:842,0.000000,0.000000,4,-87.59,-87.59,0,0,
08/27/2026,08:07:48:849,0.000000,0.000000,1,-121.82,-121.82,0,0,
08/27/2026,08:07:48:917,0.000000,0.000000,2,-122.36,-122.36,0,0,
08/27/2026,08:07:49:024,0.000000,0.000000,3,-125.22,-125.22,0,0,
08/27/2026,08:07:49:109,0.000000,0.000000,4,-84.18,-84.18,0,0,
08/27/2026,08:07:49:120,0.000000,0.000000,1,-120.79,-120.79,0,0,
08/27/2026,08:07:49:188,0.000000,0.000000,2,-124.36,-124.36,0,0,
08/27/2026,08:07:49:291,0.000000,0.000000,3,-125.22,-125.22,0,0,
08/27/2026,08:07:49:382,0.000000,0.000000,4,-86.33,-86.33,0,0,
08/27/2026,08:07:49:393,0.000000,0.000000,1,-121.2,-121.2,0,0,
08/27/2026,08:07:49:468,0.000000,0.000000,2,-121.41,-121.41,0,0,
08/27/2026,08:07:49:574,0.000000,0.000000,3,-124.12,-124.12,0,0,
08/27/2026,08:07:49:660,0.000000,0.000000,4,-95.61,-95.61,0,0,
08/27/2026,08:07:49:682,0.000000,0.000000,1,-121.19,-121.19,0,0,
08/27/2026,08:07:49:744,0.000000,0.000000,2,-119.85,-119.85,0,0,
08/27/2026,08:07:49:869,0.000000,0.000000,3,-125.73,-125.73,0,0,
