Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,08:03:08:765,0.000000,0.000000,1,-123.16,-123.16,0,0,
08/27/2026,08:03:08:842,0.000000,0.000000,2,-121.89,-121.89,0,0,
08/27/2026,08:03:08:996,0.000000,0.000000,3,-102.53,-102.53,0,0,
08/27/2026,08:03:09:006,0.000000,0.000000,1,-126.45,-126.45,0,0,
08/27/2026,08:03:09:091,0.000000,0.000000,4,-121.5,-121.5,0,0,
08/27/2026,08:03:09:114,0.000000,0.000000,2,-120.82,-120.82,0,0,
08/27/2026,08:03:09:264,0.000000,0.000000,3,-96.38,-96.38,0,0,
08/27/2026,08:03:09:299,0.000000,0.000000,1,-124.61,-124.61,0,0,
08/27/2026,08:03:09:376,0.000000,0.000000,4,-120.33,-120.33,0,0,
08/27/2026,08:03:09:383,0.000000,0.000000,2,-124.42,-124.42,0,0,
08/27/2026,08:03:09:548,0.000000,0.000000,3,-98.33,-98.33,0,0,
08/27/2026,08:03:09:556,0.000000,0.000000,1,-122.6,-122.6,0,0,
08/27/2026,08:03:09:665,0.000000,0.000000,4,-124.22,-124.22,0,0,
08/27/2026,08:03:09:668,0.000000,0.000000,2,-122.63,-122.63,0,0,
08/27/2026,08:03:09:834,0.000000,0.000000,3,-103.78,-103.78,0,0,
08/27/2026,08:03:09:839,0.000000,0.000000,1,-123.28,-123.28,0,0,
08/27/2026,08:03:09:919,0.000000,0.000000,4,-120.45,-120.45,0,0,
08/27/2026,08:03:09:949,0.000000,0.000000,2,-121.55,-121.55,0,0,
08/27/2026,08:03:10:108,0.000000,0.000000,3,-103.46,-103.46,0,0,
08/27/2026,08:03:10:110,0.000000,0.000000,1,-113.98,-113.98,0,0,
08/27/2026,08:03:10:200,0.000000,0.000000,4,-107.12,-107.12,0,0,
08/27/2026,08:03:10:220,0.000000,0.000000,2,-109.84,-109.84,0,0,
08/27/2026,08:03:10:382,0.000000,0.000000,3,-102.14,-102.14,0,0,
08/27/2026,08:03:10:388,0.000000,0.000000,1,-123.83,-123.83,0,0,
08/27/2026,08:03:10:521,0.000000,0.000000,4,-116.62,-116.62,0,0,
08/27/2026,08:03:10:522,0.000000,0.000000,2,-116.61,-116.61,0,0,
08/27/2026,08:03:10:661,0.000000,0.000000,3,-99.71,-99.71,0,0,
08/27/2026,08:03:10:687,0.000000,0.000000,1,-121.63,-121.63,0,0,
08/27/2026,08:03:10:757,0.000000,0.000000,4,-120.23,-120.23,0,0,
08/27/2026,08:03:10:786,0.000000,0.000000,2,-121.63,-121.63,0,0,
08/27/2026,08:03:10:949,0.000000,0.000000,3,-98.83,-98.83,0,0,
08/27/2026,08:03:10:954,0.000000,0.000000,1,-123.97,-123.97,0,0,
08/27/2026,08:03:11:036,0.000000,0.000000,4,-122.74,-122.74,0,0,
08/27/2026,08:03:11:042,0.000000,0.000000,2,-122.66,-122.66,0,0,
08/27/2026,08:03:11:202,0.000000,0.000000,3,-98.22,-98.22,0,0,
08/27/2026,08:03:11:229,0.000000,0.000000,1,-123.93,-123.93,0,0,
08/27/2026,08:03:11:310,0.000000,0.000000,4,-122.24,-122.24,0,0,
08/27/2026,08:03:11:323,0.000000,0.000000,2,-120.04,-120.04,0,0,
08/27/2026,08:03:11:480,0.000000,0.000000,3,-96.23,-96.23,0,0,
08/27/2026,08:03:11:493,0.000000,0.000000,1,-122.03,-122.03,0,0,
08/27/2026,08:03:11:587,0.000000,0.000000,4,-121.74,-121.74,0,0,
08/27/2026,08:03:11:599,0.000000,0.000000,2,-121.69,-121.69,0,0,
08/27/2026,08:03:13:527,0.000000,0.000000,4,-119.98,-119.98,0,0,
08/27/2026,08:03:13:532,0.000000,0.000000,2,-122.03,-122.03,0,0,
08/27/2026,08:03:13:684,0.000000,0.000000,3,-102.71,-102.71,0,0,
08/27/2026,08:03:13:704,0.000000,0.000000,1,-122.21,-122.21,0,0,
08/27/2026,08:03:13:789,0.000000,0.000000,4,-119.1,-119.1,0,0,
08/27/2026,08:03:13:812,0.000000,0.000000,2,-123.54,-123.54,0,0,
08/27/2026,08:03:14:335,0.000000,0.000000,3,-103.31,-103.31,0,0,
08/27/2026,08:03:14:343,0.000000,0.000000,1,-125.04,-125.04,0,0,
08/27/2026,08:03:14:427,0.000000,0.000000,4,-121.73,-121.73,0,0,
08/27/2026,08:03:14:429,0.000000,0.000000,2,-124.49,-124.49,0,0,
08/27/2026,08:03:14:520,0.000000,0.000000,3,-97.76,-97.76,0,0,
08/27/2026,08:03:14:524,0.000000,0.000000,1,-122.45,-122.45,0,0,
08/27/2026,08:03:14:572,0.000000,0.000000,4,-120.08,-120.08,0,0,
08/27/2026,08:03:14:579,0.000000,0.000000,2,-122.13,-122.13,0,0,
08/27/2026,08:03:14:633,0.000000,0.000000,3,-103.93,-103.93,0,0,
08/27/2026,08:03:14:637,0.000000,0.000000,1,-125.57,-125.57,0,0,
08/27/2026,08:03:14:698,0.000000,0.000000,4,-120.23,-120.23,0,0,
08/27/2026,08:03:14:706,0.000000,0.000000,2,-122.7,-122.7,0,0,
08/27/2026,08:03:14:840,0.000000,0.000000,3,-98.01,-98.01,0,0,
08/27/2026,08:03:14:853,0.000000,0.000000,1,-122.65,-122.65,0,0,
08/27/2026,08:03:14:936,0.000000,0.000000,4,-121.78,-121.78,0,0,
08/27/2026,08:03:14:956,0.000000,0.000000,2,-120.87,-120.87,0,0,
08/27/2026,08:03:15:065,0.000000,0.000000,3,-103.28,-103.28,0,0,
08/27/2026,08:03:15:083,0.000000,0.000000,1,-122.66,-122.66,0,0,
08/27/2026,08:03:15:179,0.000000,0.000000,4,-121.62,-121.62,0,0,
08/27/2026,08:03:15:198,0.000000,0.000000,2,-123.48,-123.48,0,0,
08/27/2026,08:03:15:353,0.000000,0.000000,3,-103.92,-103.92,0,0,
08/27/2026,08:03:15:368,0.000000,0.000000,1,-124.1,-124.1,0,0,
08/27/2026,08:03:15:461,0.000000,0.000000,4,-122.01,-122.01,0,0,
08/27/2026,08:03:15:467,0.000000,0.000000,2,-123.25,-123.25,0,0,
08/27/2026,08:03:15:627,0.000000,0.000000,3,-108.17,-108.17,0,0,
08/27/2026,08:03:15:636,0.000000,0.000000,1,-124.67,-124.67,0,0,
08/27/2026,08:03:15:753,0.000000,0.000000,4,-121.18,-121.18,0,0,
08/27/2026,08:03:15:760,0.000000,0.000000,2,-124.7,-124.7,0,0,
08/27/2026,08:03:15:920,0.000000,0.000000,3,-101.83,-101.83,0,0,
08/27/2026,08:03:15:923,0.000000,0.000000,1,-124.56,-124.56,0,0,
08/27/2026,08:03:16:012,0.000000,0.000000,4,-123.24,-123.24,0,0,
08/27/2026,08:03:16:050,0.000000,0.000000,2,-121.38,-121.38,0,0,
08/27/2026,08:03:16:212,0.000000,0.000000,3,-105.02,-105.02,0,0,
08/27/2026,08:03:16:222,0.000000,0.000000,1,-121.4,-121.4,0,0,
08/27/2026,08:03:16:279,0.000000,0.000000,4,-123.11,-123.11,0,0,
08/27/2026,08:03:16:295,0.000000,0.000000,2,-122.63,-122.63,0,0,
08/27/2026,08:03:16:464,0.000000,0.000000,3,-108.88,-108.88,0,0,
08/27/2026,08:03:16:468,0.000000,0.000000,1,-124.43,-124.43,0,0,
08/27/2026,08:03:16:553,0.000000,0.000000,4,-120.3,-120.3,0,0,
08/27/2026,08:03:16:596,0.000000,0.000000,2,-125.93,-125.93,0,0,
08/27/2026,08:03:16:723,0.000000,0.000000,3,-106.69,-106.69,0,0,
08/27/2026,08:03:16:768,0.000000,0.000000,1,-123.88,-123.88,0,0,
08/27/2026,08:03:16:831,0.000000,0.000000,4,-122.52,-122.52,0,0,
08/27/2026,08:03:16:854,0.000000,0.000000,2,-122.18,-122.18,0,0,
08/27/2026,08:03:17:012,0.000000,0.000000,3,-102.98,-102.98,0,0,
08/27/2026,08:03:17:018,0.000000,0.000000,1,-121.58,-121.58,0,0,
08/27/2026,08:03:17:118,0.000000,0.000000,4,-123.45,-123.45,0,0,
08/27/2026,08:03:17:145,0.000000,0.000000,2,-124.8,-124.8,0,0,
08/27/2026,08:03:17:277,0.000000,0.000000,3,-98.53,-98.53,0,0,
08/27/2026,08:03:17:320,0.000000,0.000000,1,-123.3,-123.3,0,0,
08/27/2026,08:03:17:386,0.000000,0.000000,4,-122.96,-122.96,0,0,
08/27/2026,08:03:17:401,0.000000,0.000000,2,-123.43,-123.43,0,0,
08/27/2026,08:03:17:560,0.000000,0.000000,3,-111.2,-111.2,0,0,
08/27/2026,08:03:17:569,0.000000,0.000000,1,-124.3,-124.3,0,0,
08/27/2026,08:03:17:737,0.000000,0.000000,4,-123.78,-123.78,0,0,
08/27/2026,08:03:17:784,0.000000,0.000000,2,-125.28,-125.28,0,0,
08/27/2026,08:03:17:919,0.000000,0.000000,3,-103.07,-103.07,0,0,
08/27/2026,08:03:17:926,0.000000,0.000000,1,-122.72,-122.72,0,0,
08/27/2026,08:03:17:971,0.000000,0.000000,4,-124.62,-124.62,0,0,
08/27/2026,08:03:17:975,0.000000,0.000000,2,-122.23,-122.23,0,0,
08/27/2026,08:03:18:114,0.000000,0.000000,3,-104.78,-104.78,0,0,
08/27/2026,08:03:18:135,0.000000,0.000000,1,-123.53,-123.53,0,0,
08/27/2026,08:03:18:242,0.000000,0.000000,4,-121.55,-121.55,0,0,
08/27/2026,08:03:18:245,0.000000,0.000000,2,-121.25,-121.25,0,0,
08/27/2026,08:03:18:390,0.000000,0.000000,3,-108.94,-108.94,0,0,
08/27/2026,08:03:18:403,0.000000,0.000000,1,-123.83,-123.83,0,0,
08/27/2026,08:03:18:500,0.000000,0.000000,4,-124.19,-124.19,0,0,
08/27/2026,08:03:18:510,0.000000,0.000000,2,-124.92,-124.92,0,0,
08/27/2026,08:03:18:660,0.000000,0.000000,3,-100.01,-100.01,0,0,
08/27/2026,08:03:18:679,0.000000,0.000000,1,-123.09,-123.09,0,0,
08/27/2026,08:03:18:781,0.000000,0.000000,4,-121.71,-121.71,0,0,
08/27/2026,08:03:18:802,0.000000,0.000000,2,-123.13,-123.13,0,0,
08/27/2026,08:03:18:994,0.000000,0.000000,3,-101.49,-101.49,0,0,
08/27/2026,08:03:18:996,0.000000,0.000000,1,-123.89,-123.89,0,0,
08/27/2026,08:03:19:061,0.000000,0.000000,4,-121.57,-121.57,0,0,
08/27/2026,08:03:19:073,0.000000,0.000000,2,-122.78,-122.78,0,0,
08/27/2026,08:03:19:325,0.000000,0.000000,3,-106.53,-106.53,0,0,
08/27/2026,08:03:19:336,0.000000,0.000000,1,-123.39,-123.39,0,0,
08/27/2026,08:03:19:378,0.000000,0.000000,4,-121.4,-121.4,0,0,
08/27/2026,08:03:19:391,0.000000,0.000000,2,-125.69,-125.69,0,0,
08/27/2026,08:03:19:488,0.000000,0.000000,3,-97,-97,0,0,
08/27/2026,08:03:19:510,0.000000,0.000000,1,-125.07,-125.07,0,0,
08/27/2026,08:03:19:615,0.000000,0.000000,4,-120.89,-120.89,0,0,
08/27/2026,08:03:19:617,0.000000,0.000000,2,-121.45,-121.45,0,0,
08/27/2026,08:03:19:781,0.000000,0.000000,3,-101.17,-101.17,0,0,
08/27/2026,08:03:19:787,0.000000,0.000000,1,-121.95,-121.95,0,0,
08/27/2026,08:03:19:869,0.000000,0.000000,4,-122.53,-122.53,0,0,
08/27/2026,08:03:19:955,0.000000,0.000000,2,-122,-122,0,0,
08/27/2026,08:03:20:094,0.000000,0.000000,3,-106.46,-106.46,0,0,
08/27/2026,08:03:20:105,0.000000,0.000000,1,-123.51,-123.51,0,0,
08/27/2026,08:03:20:172,0.000000,0.000000,4,-121.44,-121.44,0,0,
08/27/2026,08:03:20:178,0.000000,0.000000,2,-125.84,-125.84,0,0,
08/27/2026,08:03:20:330,0.000000,0.000000,3,-112.82,-112.82,0,0,
08/27/2026,08:03:20:335,0.000000,0.000000,1,-123.26,-123.26,0,0,
08/27/2026,08:03:20:444,0.000000,0.000000,4,-123.64,-123.64,0,0,
08/27/2026,08:03:20:468,0.000000,0.000000,2,-124.96,-124.96,0,0,
08/27/2026,08:03:20:597,0.000000,0.000000,3,-104.94,-104.94,0,0,
08/27/2026,08:03:20:622,0.000000,0.000000,1,-120.29,-120.29,0,0,
08/27/2026,08:03:20:719,0.000000,0.000000,4,-122.09,-122.09,0,0,
08/27/2026,08:03:20:727,0.000000,0.000000,2,-123.01,-123.01,0,0,
08/27/2026,08:03:20:873,0.000000,0.000000,3,-100,-100,0,0,
08/27/2026,08:03:20:898,0.000000,0.000000,1,-122.93,-122.93,0,0,
08/27/2026,08:03:20:974,0.000000,0.000000,4,-121.79,-121.79,0,0,
08/27/2026,08:03:21:015,0.000000,0.000000,2,-122.35,-122.35,0,0,
08/27/2026,08:03:21:159,0.000000,0.000000,3,-108,-108,0,0,
