Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,08:03:08:227,0.000000,0.000000,1,-110.73,-110.73,0,0,
08/27/2026,08:03:08:306,0.000000,0.000000,2,-127.82,-127.82,0,0,
08/27/2026,08:03:08:339,0.000000,0.000000,3,-126.77,-126.77,0,0,
08/27/2026,08:03:08:342,0.000000,0.000000,1,-102.42,-102.42,0,0,
08/27/2026,08:03:08:390,0.000000,0.000000,4,-126.89,-126.89,0,0,
08/27/2026,08:03:08:429,0.000000,0.000000,2,-127.8,-127.8,0,0,
08/27/2026,08:03:08:478,0.000000,0.000000,3,-126.47,-126.47,0,0,
08/27/2026,08:03:08:526,0.000000,0.000000,1,-103.45,-103.45,0,0,
08/27/2026,08:03:08:607,0.000000,0.000000,4,-125.25,-125.25,0,0,
08/27/2026,08:03:08:656,0.000000,0.000000,2,-125.92,-125.92,0,0,
08/27/2026,08:03:08:735,0.000000,0.000000,3,-124.96,-124.96,0,0,
08/27/2026,08:03:08:742,0.000000,0.000000,1,-102.5,-102.5,0,0,
08/27/2026,08:03:08:757,0.000000,0.000000,4,-124.1,-124.1,0,0,
08/27/2026,08:03:08:801,0.000000,0.000000,2,-127.73,-127.73,0,0,
08/27/2026,08:03:08:926,0.000000,0.000000,3,-124.84,-124.84,0,0,
08/27/2026,08:03:08:957,0.000000,0.000000,1,-101.34,-101.34,0,0,
08/27/2026,08:03:08:972,0.000000,0.000000,4,-127.45,-127.45,0,0,
08/27/2026,08:03:09:062,0.000000,0.000000,2,-128.58,-128.58,0,0,
08/27/2026,08:03:09:203,0.000000,0.000000,3,-124.73,-124.73,0,0,
08/27/2026,08:03:09:212,0.000000,0.000000,1,-102.94,-102.94,0,0,
08/27/2026,08:03:09:254,0.000000,0.000000,4,-126.07,-126.07,0,0,
08/27/2026,08:03:09:335,0.000000,0.000000,2,-128.02,-128.02,0,0,
08/27/2026,08:03:09:470,0.000000,0.000000,3,-126.15,-126.15,0,0,
08/27/2026,08:03:09:492,0.000000,0.000000,1,-105.36,-105.36,0,0,
08/27/2026,08:03:09:526,0.000000,0.000000,4,-124.39,-124.39,0,0,
08/27/2026,08:03:09:628,0.000000,0.000000,2,-126.62,-126.62,0,0,
08/27/2026,08:03:09:752,0.000000,0.000000,3,-114.26,-114.26,0,0,
08/27/2026,08:03:09:765,0.000000,0.000000,1,-97.04,-97.04,0,0,
08/27/2026,08:03:09:829,0.000000,0.000000,4,-123.46,-123.46,0,0,
08/27/2026,08:03:09:888,0.000000,0.000000,2,-125.39,-125.39,0,0,
08/27/2026,08:03:10:024,0.000000,0.000000,3,-125.96,-125.96,0,0,
08/27/2026,08:03:10:048,0.000000,0.000000,1,-97.86,-97.86,0,0,
08/27/2026,08:03:10:077,0.000000,0.000000,4,-124.67,-124.67,0,0,
08/27/2026,08:03:10:159,0.000000,0.000000,2,-124.54,-124.54,0,0,
08/27/2026,08:03:10:308,0.000000,0.000000,3,-125.76,-125.76,0,0,
08/27/2026,08:03:10:340,0.000000,0.000000,1,-102.5,-102.5,0,0,
08/27/2026,08:03:10:355,0.000000,0.000000,4,-125.64,-125.64,0,0,
08/27/2026,08:03:10:463,0.000000,0.000000,2,-107.14,-107.14,0,0,
08/27/2026,08:03:10:608,0.000000,0.000000,3,-126.07,-126.07,0,0,
08/27/2026,08:03:10:645,0.000000,0.000000,1,-105.34,-105.34,0,0,
08/27/2026,08:03:10:658,0.000000,0.000000,4,-124.44,-124.44,0,0,
08/27/2026,08:03:10:718,0.000000,0.000000,2,-126.59,-126.59,0,0,
08/27/2026,08:03:10:856,0.000000,0.000000,3,-125.4,-125.4,0,0,
08/27/2026,08:03:10:869,0.000000,0.000000,1,-104.53,-104.53,0,0,
08/27/2026,08:03:10:909,0.000000,0.000000,4,-124.32,-124.32,0,0,
08/27/2026,08:03:10:992,0.000000,0.000000,2,-128.08,-128.08,0,0,
08/27/2026,08:03:11:137,0.000000,0.000000,3,-128.37,-128.37,0,0,
08/27/2026,08:03:11:153,0.000000,0.000000,1,-107.22,-107.22,0,0,
08/27/2026,08:03:11:179,0.000000,0.000000,4,-125.72,-125.72,0,0,
08/27/2026,08:03:11:275,0.000000,0.000000,2,-126.63,-126.63,0,0,
08/27/2026,08:03:11:408,0.000000,0.000000,3,-126.58,-126.58,0,0,
08/27/2026,08:03:11:427,0.000000,0.000000,1,-107.2,-107.2,0,0,
08/27/2026,08:03:11:459,0.000000,0.000000,4,-126.33,-126.33,0,0,
08/27/2026,08:03:11:545,0.000000,0.000000,2,-127.43,-127.43,0,0,
08/27/2026,08:03:13:480,0.000000,0.000000,2,-126.65,-126.65,0,0,
08/27/2026,08:03:13:617,0.000000,0.000000,3,-126.7,-126.7,0,0,
