Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,08:03:08:476,0.000000,0.000000,1,-124.48,-124.48,0,0,
08/27/2026,08:03:08:614,0.000000,0.000000,2,-124.63,-124.63,0,0,
08/27/2026,08:03:08:662,0.000000,0.000000,3,-126.76,-126.76,0,0,
08/27/2026,08:03:08:695,0.000000,0.000000,1,-121.59,-121.59,0,0,
08/27/2026,08:03:08:698,0.000000,0.000000,4,-93.17,-93.17,0,0,
08/27/2026,08:03:08:772,0.000000,0.000000,2,-122.59,-122.59,0,0,
08/27/2026,08:03:08:848,0.000000,0.000000,3,-123.87,-123.87,0,0,
08/27/2026,08:03:08:895,0.000000,0.000000,1,-123.95,-123.95,0,0,
08/27/2026,08:03:08:900,0.000000,0.000000,4,-91.19,-91.19,0,0,
08/27/2026,08:03:09:027,0.000000,0.000000,2,-120.97,-120.97,0,0,
08/27/2026,08:03:09:133,0.000000,0.000000,3,-124.33,-124.33,0,0,
08/27/2026,08:03:09:164,0.000000,0.000000,1,-123.74,-123.74,0,0,
08/27/2026,08:03:09:178,0.000000,0.000000,4,-90.46,-90.46,0,0,
08/27/2026,08:03:09:302,0.000000,0.000000,2,-123.09,-123.09,0,0,
08/27/2026,08:03:09:410,0.000000,0.000000,3,-126.64,-126.64,0,0,
08/27/2026,08:03:09:460,0.000000,0.000000,1,-123.34,-123.34,0,0,
08/27/2026,08:03:09:463,0.000000,0.000000,4,-93.28,-93.28,0,0,
08/27/2026,08:03:09:582,0.000000,0.000000,2,-122.57,-122.57,0,0,
08/27/2026,08:03:09:686,0.000000,0.000000,3,-125.62,-125.62,0,0,
08/27/2026,08:03:09:717,0.000000,0.000000,1,-123.77,-123.77,0,0,
08/27/2026,08:03:09:731,0.000000,0.000000,4,-93.79,-93.79,0,0,
08/27/2026,08:03:09:856,0.000000,0.000000,2,-121.54,-121.54,0,0,
08/27/2026,08:03:09:962,0.000000,0.000000,3,-126.85,-126.85,0,0,
08/27/2026,08:03:10:004,0.000000,0.000000,1,-125.32,-125.32,0,0,
08/27/2026,08:03:10:012,0.000000,0.000000,4,-93.5,-93.5,0,0,
08/27/2026,08:03:10:136,0.000000,0.000000,2,-120.42,-120.42,0,0,
08/27/2026,08:03:10:231,0.000000,0.000000,3,-124.34,-124.34,0,0,
08/27/2026,08:03:10:266,0.000000,0.000000,1,-123.84,-123.84,0,0,
08/27/2026,08:03:10:283,0.000000,0.000000,4,-88.91,-88.91,0,0,
08/27/2026,08:03:10:421,0.000000,0.000000,2,-123.23,-123.23,0,0,
08/27/2026,08:03:10:526,0.000000,0.000000,3,-124.93,-124.93,0,0,
08/27/2026,08:03:10:571,0.000000,0.000000,1,-121.07,-121.07,0,0,
08/27/2026,08:03:10:607,0.000000,0.000000,4,-87.47,-87.47,0,0,
08/27/2026,08:03:10:693,0.000000,0.000000,2,-120.73,-120.73,0,0,
08/27/2026,08:03:10:789,0.000000,0.000000,3,-125.73,-125.73,0,0,
08/27/2026,08:03:10:824,0.000000,0.000000,1,-123.3,-123.3,0,0,
08/27/2026,08:03:10:836,0.000000,0.000000,4,-90.13,-90.13,0,0,
08/27/2026,08:03:10:957,0.000000,0.000000,2,-122.55,-122.55,0,0,
08/27/2026,08:03:11:085,0.000000,0.000000,3,-122.49,-122.49,0,0,
08/27/2026,08:03:11:093,0.000000,0.000000,1,-122.78,-122.78,0,0,
08/27/2026,08:03:11:112,0.000000,0.000000,4,-91.91,-91.91,0,0,
08/27/2026,08:03:11:237,0.000000,0.000000,2,-122.5,-122.5,0,0,
08/27/2026,08:03:11:349,0.000000,0.000000,3,-126.5,-126.5,0,0,
08/27/2026,08:03:11:372,0.000000,0.000000,1,-119.54,-119.54,0,0,
08/27/2026,08:03:11:401,0.000000,0.000000,4,-88.95,-88.95,0,0,
08/27/2026,08:03:11:513,0.000000,0.000000,2,-125.45,-125.45,0,0,
08/27/2026,08:03:11:619,0.000000,0.000000,3,-125.83,-125.83,0,0,
08/27/2026,08:03:13:553,0.000000,0.000000,3,-125.91,-125.91,0,0,
08/27/2026,08:03:13:582,0.000000,0.000000,1,-122.98,-122.98,0,0,
08/27/2026,08:03:13:605,0.000000,0.000000,4,-87.82,-87.82,0,0,
08/27/2026,08:03:13:724,0.000000,0.000000,2,-125.24,-125.24,0,0,
08/27/2026,08:03:13:827,0.000000,0.000000,3,-126.1,-126.1,0,0,
08/27/2026,08:03:14:183,0.000000,0.000000,1,-122.77,-122.77,0,0,
08/27/2026,08:03:14:221,0.000000,0.000000,4,-94.27,-94.27,0,0,
08/27/2026,08:03:14:384,0.000000,0.000000,2,-122.68,-122.68,0,0,
08/27/2026,08:03:14:433,0.000000,0.000000,3,-124.14,-124.14,0,0,
08/27/2026,08:03:14:475,0.000000,0.000000,1,-124.82,-124.82,0,0,
08/27/2026,08:03:14:478,0.000000,0.000000,4,-94.78,-94.78,0,0,
08/27/2026,08:03:14:531,0.000000,0.000000,2,-122.24,-122.24,0,0,
08/27/2026,08:03:14:582,0.000000,0.000000,3,-124.59,-124.59,0,0,
08/27/2026,08:03:14:590,0.000000,0.000000,1,-125.25,-125.25,0,0,
08/27/2026,08:03:14:598,0.000000,0.000000,4,-85.18,-85.18,0,0,
08/27/2026,08:03:14:645,0.000000,0.000000,2,-123.58,-123.58,0,0,
08/27/2026,08:03:14:734,0.000000,0.000000,3,-125.48,-125.48,0,0,
08/27/2026,08:03:14:749,0.000000,0.000000,1,-123.23,-123.23,0,0,
08/27/2026,08:03:14:767,0.000000,0.000000,4,-93.34,-93.34,0,0,
08/27/2026,08:03:14:857,0.000000,0.000000,2,-126.74,-126.74,0,0,
08/27/2026,08:03:14:982,0.000000,0.000000,3,-126.67,-126.67,0,0,
08/27/2026,08:03:14:996,0.000000,0.000000,1,-121.99,-121.99,0,0,
08/27/2026,08:03:15:015,0.000000,0.000000,4,-94.24,-94.24,0,0,
08/27/2026,08:03:15:129,0.000000,0.000000,2,-123.35,-123.35,0,0,
08/27/2026,08:03:15:221,0.000000,0.000000,3,-124.17,-124.17,0,0,
08/27/2026,08:03:15:242,0.000000,0.000000,1,-123.19,-123.19,0,0,
08/27/2026,08:03:15:263,0.000000,0.000000,4,-86.52,-86.52,0,0,
08/27/2026,08:03:15:391,0.000000,0.000000,2,-122.66,-122.66,0,0,
08/27/2026,08:03:15:495,0.000000,0.000000,3,-125.35,-125.35,0,0,
08/27/2026,08:03:15:522,0.000000,0.000000,1,-123.13,-123.13,0,0,
08/27/2026,08:03:15:533,0.000000,0.000000,4,-90.55,-90.55,0,0,
08/27/2026,08:03:15:669,0.000000,0.000000,2,-123.35,-123.35,0,0,
08/27/2026,08:03:15:800,0.000000,0.000000,3,-123.74,-123.74,0,0,
08/27/2026,08:03:15:836,0.000000,0.000000,1,-123.26,-123.26,0,0,
08/27/2026,08:03:15:840,0.000000,0.000000,4,-98.15,-98.15,0,0,
08/27/2026,08:03:15:929,0.000000,0.000000,2,-122.15,-122.15,0,0,
08/27/2026,08:03:16:086,0.000000,0.000000,3,-126.15,-126.15,0,0,
08/27/2026,08:03:16:117,0.000000,0.000000,1,-124.45,-124.45,0,0,
08/27/2026,08:03:16:126,0.000000,0.000000,4,-100.97,-100.97,0,0,
08/27/2026,08:03:16:225,0.000000,0.000000,2,-121.87,-121.87,0,0,
08/27/2026,08:03:16:330,0.000000,0.000000,3,-125.09,-125.09,0,0,
