Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,06:19:52:584,0.000000,0.000000,1,-121.4,-121.4,0,0,
08/27/2026,06:19:52:619,0.000000,0.000000,1,-121.19,-121.19,0,0,
08/27/2026,06:19:52:624,0.000000,0.000000,1,-123.07,-123.07,0,0,
08/27/2026,06:19:52:639,0.000000,0.000000,1,-119.77,-119.77,0,0,
08/27/2026,06:19:52:647,0.000000,0.000000,1,-121.81,-121.81,0,0,
08/27/2026,06:19:52:658,0.000000,0.000000,1,-120.92,-120.92,0,0,
08/27/2026,06:19:52:672,0.000000,0.000000,1,-122.14,-122.14,0,0,
08/27/2026,06:19:52:702,0.000000,0.000000,2,-123.94,-123.94,0,0,
08/27/2026,06:19:52:707,0.000000,0.000000,1,-124.11,-124.11,0,0,
08/27/2026,06:19:52:733,0.000000,0.000000,2,-125.35,-125.35,0,0,
08/27/2026,06:19:52:746,0.000000,0.000000,1,-123.47,-123.47,0,0,
08/27/2026,06:19:52:763,0.000000,0.000000,3,-124.56,-124.56,0,0,
08/27/2026,06:19:52:789,0.000000,0.000000,2,-123.28,-123.28,0,0,
08/27/2026,06:19:52:803,0.000000,0.000000,1,-122.16,-122.16,0,0,
08/27/2026,06:19:52:815,0.000000,0.000000,3,-127.13,-127.13,0,0,
08/27/2026,06:19:52:829,0.000000,0.000000,4,-86.44,-86.44,0,0,
08/27/2026,06:19:52:844,0.000000,0.000000,2,-125.25,-125.25,0,0,
08/27/2026,06:19:52:879,0.000000,0.000000,1,-121.88,-121.88,0,0,
08/27/2026,06:19:52:899,0.000000,0.000000,3,-125.13,-125.13,0,0,
08/27/2026,06:19:52:917,0.000000,0.000000,4,-85.26,-85.26,0,0,
08/27/2026,06:19:52:948,0.000000,0.000000,2,-126.89,-126.89,0,0,
08/27/2026,06:19:52:998,0.000000,0.000000,1,-120.3,-120.3,0,0,
08/27/2026,06:19:53:031,0.000000,0.000000,3,-124.87,-124.87,0,0,
08/27/2026,06:19:53:051,0.000000,0.000000,4,-85.34,-85.34,0,0,
08/27/2026,06:19:53:100,0.000000,0.000000,2,-126.34,-126.34,0,0,
08/27/2026,06:19:53:187,0.000000,0.000000,1,-121.96,-121.96,0,0,
08/27/2026,06:19:53:238,0.000000,0.000000,3,-125.08,-125.08,0,0,
08/27/2026,06:19:53:258,0.000000,0.000000,4,-84.09,-84.09,0,0,
08/27/2026,06:19:53:342,0.000000,0.000000,2,-127.13,-127.13,0,0,
08/27/2026,06:19:53:451,0.000000,0.000000,1,-121.4,-121.4,0,0,
08/27/2026,06:19:53:514,0.000000,0.000000,3,-123.23,-123.23,0,0,
08/27/2026,06:19:53:522,0.000000,0.000000,4,-81.24,-81.24,0,0,
08/27/2026,06:19:53:606,0.000000,0.000000,2,-124.14,-124.14,0,0,
08/27/2026,06:19:53:705,0.000000,0.000000,1,-121.41,-121.41,0,0,
08/27/2026,06:19:53:764,0.000000,0.000000,3,-122.87,-122.87,0,0,
08/27/2026,06:19:53:775,0.000000,0.000000,4,-79.18,-79.18,0,0,
08/27/2026,06:19:53:865,0.000000,0.000000,2,-123.31,-123.31,0,0,
08/27/2026,06:19:53:976,0.000000,0.000000,1,-121.03,-121.03,0,0,
08/27/2026,06:19:54:021,0.000000,0.000000,3,-126.33,-126.33,0,0,
08/27/2026,06:19:54:036,0.000000,0.000000,4,-74.1,-74.1,0,0,
08/27/2026,06:19:54:128,0.000000,0.000000,2,-125.83,-125.83,0,0,
08/27/2026,06:19:54:231,0.000000,0.000000,1,-125.74,-125.74,0,0,
08/27/2026,06:19:54:289,0.000000,0.000000,3,-124.01,-124.01,0,0,
08/27/2026,06:19:54:299,0.000000,0.000000,4,-79.02,-79.02,0,0,
08/27/2026,06:19:54:417,0.000000,0.000000,2,-125.81,-125.81,0,0,
08/27/2026,06:19:54:514,0.000000,0.000000,1,-123.61,-123.61,0,0,
08/27/2026,06:19:54:563,0.000000,0.000000,3,-124.81,-124.81,0,0,
08/27/2026,06:19:54:591,0.000000,0.000000,4,-75.24,-75.24,0,0,
08/27/2026,06:19:54:670,0.000000,0.000000,2,-126.12,-126.12,0,0,
08/27/2026,06:19:54:783,0.000000,0.000000,1,-120.45,-120.45,0,0,
08/27/2026,06:19:54:805,0.000000,0.000000,3,-123.23,-123.23,0,0,
08/27/2026,06:19:54:826,0.000000,0.000000,4,-80.74,-80.74,0,0,
08/27/2026,06:19:54:913,0.000000,0.000000,2,-125.91,-125.91,0,0,
08/27/2026,06:19:55:015,0.000000,0.000000,1,-121.88,-121.88,0,0,
08/27/2026,06:19:55:068,0.000000,0.000000,3,-125.71,-125.71,0,0,
08/27/2026,06:19:55:091,0.000000,0.000000,4,-83.13,-83.13,0,0,
08/27/2026,06:19:55:180,0.000000,0.000000,2,-124.7,-124.7,0,0,
08/27/2026,06:19:55:287,0.000000,0.000000,1,-122.05,-122.05,0,0,
08/27/2026,06:19:55:330,0.000000,0.000000,3,-124.86,-124.86,0,0,
08/27/2026,06:19:55:345,0.000000,0.000000,4,-75.04,-75.04,0,0,
08/27/2026,06:19:55:459,0.000000,0.000000,2,-124.17,-124.17,0,0,
08/27/2026,06:19:55:541,0.000000,0.000000,1,-120.6,-120.6,0,0,
08/27/2026,06:19:55:592,0.000000,0.000000,3,-125.23,-125.23,0,0,
08/27/2026,06:19:55:608,0.000000,0.000000,4,-84.82,-84.82,0,0,
08/27/2026,06:19:55:699,0.000000,0.000000,2,-125.16,-125.16,0,0,
08/27/2026,06:19:55:816,0.000000,0.000000,1,-120.85,-120.85,0,0,
08/27/2026,06:19:55:857,0.000000,0.000000,3,-124.17,-124.17,0,0,
08/27/2026,06:19:55:876,0.000000,0.000000,4,-81.09,-81.09,0,0,
08/27/2026,06:19:55:973,0.000000,0.000000,2,-124.24,-124.24,0,0,
08/27/2026,06:19:56:067,0.000000,0.000000,1,-121,-121,0,0,
08/27/2026,06:19:56:113,0.000000,0.000000,3,-122.96,-122.96,0,0,
08/27/2026,06:19:56:148,0.000000,0.000000,4,-80.83,-80.83,0,0,
08/27/2026,06:19:56:218,0.000000,0.000000,2,-124.34,-124.34,0,0,
08/27/2026,06:19:56:334,0.000000,0.000000,1,-118.63,-118.63,0,0,
08/27/2026,06:19:56:380,0.000000,0.000000,3,-125.2,-125.2,0,0,
08/27/2026,06:19:56:416,0.000000,0.000000,4,-71.01,-71.01,0,0,
08/27/2026,06:19:56:500,0.000000,0.000000,2,-124.1,-124.1,0,0,
08/27/2026,06:19:56:593,0.000000,0.000000,1,-120.13,-120.13,0,0,
08/27/2026,06:19:56:637,0.000000,0.000000,3,-126.03,-126.03,0,0,
08/27/2026,06:19:56:665,0.000000,0.000000,4,-79.97,-79.97,0,0,
08/27/2026,06:19:56:751,0.000000,0.000000,2,-125.64,-125.64,0,0,
08/27/2026,06:19:56:862,0.000000,0.000000,1,-120.38,-120.38,0,0,
08/27/2026,06:19:56:900,0.000000,0.000000,3,-122.77,-122.77,0,0,
08/27/2026,06:19:56:923,0.000000,0.000000,4,-98.54,-98.54,0,0,
08/27/2026,06:19:57:010,0.000000,0.000000,2,-123.44,-123.44,0,0,
08/27/2026,06:19:57:132,0.000000,0.000000,1,-122.5,-122.5,0,0,
08/27/2026,06:19:57:168,0.000000,0.000000,3,-122.6,-122.6,0,0,
08/27/2026,06:19:57:187,0.000000,0.000000,4,-74.58,-74.58,0,0,
08/27/2026,06:19:57:271,0.000000,0.000000,2,-123.74,-123.74,0,0,
08/27/2026,06:19:57:375,0.000000,0.000000,1,-120.13,-120.13,0,0,
08/27/2026,06:19:57:427,0.000000,0.000000,3,-123.47,-123.47,0,0,
08/27/2026,06:19:57:442,0.000000,0.000000,4,-76.2,-76.2,0,0,
08/27/2026,06:19:57:528,0.000000,0.000000,2,-125.64,-125.64,0,0,
08/27/2026,06:19:57:639,0.000000,0.000000,1,-122.02,-122.02,0,0,
08/27/2026,06:19:57:691,0.000000,0.000000,3,-125.01,-125.01,0,0,
08/27/2026,06:19:57:709,0.000000,0.000000,4,-84.6,-84.6,0,0,
08/27/2026,06:19:57:810,0.000000,0.000000,2,-124.52,-124.52,0,0,
08/27/2026,06:19:57:893,0.000000,0.000000,1,-119.21,-119.21,0,0,
08/27/2026,06:19:57:954,0.000000,0.000000,3,-123.42,-123.42,0,0,
08/27/2026,06:19:57:962,0.000000,0.000000,4,-72.8,-72.8,0,0,
08/27/2026,06:19:58:058,0.000000,0.000000,2,-124.68,-124.68,0,0,
08/27/2026,06:19:58:178,0.000000,0.000000,1,-119.64,-119.64,0,0,
08/27/2026,06:19:58:367,0.000000,0.000000,3,-123.81,-123.81,0,0,
08/27/2026,06:19:58:369,0.000000,0.000000,4,-74.44,-74.44,0,0,
08/27/2026,06:19:58:412,0.000000,0.000000,2,-123.81,-123.81,0,0,
08/27/2026,06:19:58:438,0.000000,0.000000,1,-121.06,-121.06,0,0,
08/27/2026,06:19:58:482,0.000000,0.000000,3,-125.38,-125.38,0,0,
08/27/2026,06:19:58:487,0.000000,0.000000,4,-74.46,-74.46,0,0,
08/27/2026,06:19:58:578,0.000000,0.000000,2,-124.79,-124.79,0,0,
08/27/2026,06:19:58:682,0.000000,0.000000,1,-120.13,-120.13,0,0,
08/27/2026,06:19:58:739,0.000000,0.000000,3,-120.67,-120.67,0,0,
08/27/2026,06:19:58:753,0.000000,0.000000,4,-89.3,-89.3,0,0,
08/27/2026,06:19:58:839,0.000000,0.000000,2,-125.23,-125.23,0,0,
08/27/2026,06:19:58:948,0.000000,0.000000,1,-122.27,-122.27,0,0,
08/27/2026,06:19:58:994,0.000000,0.000000,3,-122.98,-122.98,0,0,
08/27/2026,06:19:59:020,0.000000,0.000000,4,-75.42,-75.42,0,0,
08/27/2026,06:19:59:111,0.000000,0.000000,2,-124.83,-124.83,0,0,
08/27/2026,06:19:59:204,0.000000,0.000000,1,-120.6,-120.6,0,0,
08/27/2026,06:19:59:258,0.000000,0.000000,3,-125.8,-125.8,0,0,
08/27/2026,06:19:59:278,0.000000,0.000000,4,-69.22,-69.22,0,0,
08/27/2026,06:19:59:373,0.000000,0.000000,2,-125.69,-125.69,0,0,
08/27/2026,06:19:59:469,0.000000,0.000000,1,-120.66,-120.66,0,0,
08/27/2026,06:19:59:517,0.000000,0.000000,3,-125.54,-125.54,0,0,
08/27/2026,06:19:59:535,0.000000,0.000000,4,-83.2,-83.2,0,0,
08/27/2026,06:19:59:631,0.000000,0.000000,2,-125.64,-125.64,0,0,
08/27/2026,06:19:59:732,0.000000,0.000000,1,-118.74,-118.74,0,0,
08/27/2026,06:19:59:790,0.000000,0.000000,3,-125.72,-125.72,0,0,
08/27/2026,06:19:59:815,0.000000,0.000000,4,-82.2,-82.2,0,0,
08/27/2026,06:19:59:900,0.000000,0.000000,2,-123.23,-123.23,0,0,
08/27/2026,06:19:59:992,0.000000,0.000000,1,-119.33,-119.33,0,0,
08/27/2026,06:20:00:046,0.000000,0.000000,3,-124.48,-124.48,0,0,
08/27/2026,06:20:00:057,0.000000,0.000000,4,-70.9,-70.9,0,0,
08/27/2026,06:20:00:171,0.000000,0.000000,2,-124.71,-124.71,0,0,
08/27/2026,06:20:00:262,0.000000,0.000000,1,-119.64,-119.64,0,0,
08/27/2026,06:20:00:302,0.000000,0.000000,3,-124.86,-124.86,0,0,
08/27/2026,06:20:00:344,0.000000,0.000000,4,-70.37,-70.37,0,0,
08/27/2026,06:20:00:423,0.000000,0.000000,2,-124.4,-124.4,0,0,
08/27/2026,06:20:00:516,0.000000,0.000000,1,-119.8,-119.8,0,0,
08/27/2026,06:20:00:567,0.000000,0.000000,3,-124.15,-124.15,0,0,
08/27/2026,06:20:00:587,0.000000,0.000000,4,-85.66,-85.66,0,0,
08/27/2026,06:20:00:685,0.000000,0.000000,2,-123.82,-123.82,0,0,
08/27/2026,06:20:00:780,0.000000,0.000000,1,-121.37,-121.37,0,0,
08/27/2026,06:20:00:834,0.000000,0.000000,3,-125.33,-125.33,0,0,
08/27/2026,06:20:00:844,0.000000,0.000000,4,-78.34,-78.34,0,0,
08/27/2026,06:20:00:932,0.000000,0.000000,2,-124.93,-124.93,0,0,
08/27/2026,06:20:01:034,0.000000,0.000000,1,-119.89,-119.89,0,0,
08/27/2026,06:20:01:091,0.000000,0.000000,3,-124.17,-124.17,0,0,
08/27/2026,06:20:01:117,0.000000,0.000000,4,-72.61,-72.61,0,0,
08/27/2026,06:20:01:200,0.000000,0.000000,2,-125.07,-125.07,0,0,
08/27/2026,06:20:01:300,0.000000,0.000000,1,-121.45,-121.45,0,0,
