Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,06:19:52:861,0.000000,0.000000,1,-121.14,-121.14,0,0,
08/27/2026,06:19:52:929,0.000000,0.000000,2,-117.77,-117.77,0,0,
08/27/2026,06:19:52:965,0.000000,0.000000,3,-125.85,-125.85,0,0,
08/27/2026,06:19:52:977,0.000000,0.000000,1,-123.05,-123.05,0,0,
08/27/2026,06:19:53:088,0.000000,0.000000,2,-116.79,-116.79,0,0,
08/27/2026,06:19:53:136,0.000000,0.000000,3,-125.48,-125.48,0,0,
08/27/2026,06:19:53:155,0.000000,0.000000,1,-123.45,-123.45,0,0,
08/27/2026,06:19:53:314,0.000000,0.000000,2,-117.92,-117.92,0,0,
08/27/2026,06:19:53:401,0.000000,0.000000,3,-125.56,-125.56,0,0,
08/27/2026,06:19:53:425,0.000000,0.000000,1,-122.27,-122.27,0,0,
08/27/2026,06:19:53:570,0.000000,0.000000,2,-118.04,-118.04,0,0,
08/27/2026,06:19:53:655,0.000000,0.000000,3,-124.65,-124.65,0,0,
08/27/2026,06:19:53:679,0.000000,0.000000,1,-121.79,-121.79,0,0,
08/27/2026,06:19:53:836,0.000000,0.000000,2,-116.79,-116.79,0,0,
08/27/2026,06:19:53:917,0.000000,0.000000,3,-125.74,-125.74,0,0,
08/27/2026,06:19:53:938,0.000000,0.000000,1,-124.43,-124.43,0,0,
08/27/2026,06:19:54:107,0.000000,0.000000,2,-116.9,-116.9,0,0,
08/27/2026,06:19:54:194,0.000000,0.000000,3,-125.13,-125.13,0,0,
08/27/2026,06:19:54:199,0.000000,0.000000,1,-120.87,-120.87,0,0,
08/27/2026,06:19:54:353,0.000000,0.000000,2,-118.28,-118.28,0,0,
08/27/2026,06:19:54:502,0.000000,0.000000,3,-126.96,-126.96,0,0,
08/27/2026,06:19:54:505,0.000000,0.000000,1,-123.18,-123.18,0,0,
08/27/2026,06:19:54:636,0.000000,0.000000,2,-117.72,-117.72,0,0,
08/27/2026,06:19:54:711,0.000000,0.000000,3,-125.66,-125.66,0,0,
08/27/2026,06:19:54:756,0.000000,0.000000,1,-121.28,-121.28,0,0,
08/27/2026,06:19:54:886,0.000000,0.000000,2,-116,-116,0,0,
08/27/2026,06:19:54:967,0.000000,0.000000,3,-125.25,-125.25,0,0,
08/27/2026,06:19:54:980,0.000000,0.000000,1,-122.35,-122.35,0,0,
08/27/2026,06:19:55:145,0.000000,0.000000,2,-118.04,-118.04,0,0,
08/27/2026,06:19:55:241,0.000000,0.000000,3,-124.67,-124.67,0,0,
08/27/2026,06:19:55:244,0.000000,0.000000,1,-125.17,-125.17,0,0,
08/27/2026,06:19:55:413,0.000000,0.000000,2,-118.04,-118.04,0,0,
08/27/2026,06:19:55:491,0.000000,0.000000,3,-124.38,-124.38,0,0,
08/27/2026,06:19:55:519,0.000000,0.000000,1,-122.1,-122.1,0,0,
08/27/2026,06:19:55:662,0.000000,0.000000,2,-117.94,-117.94,0,0,
08/27/2026,06:19:55:756,0.000000,0.000000,3,-124.41,-124.41,0,0,
08/27/2026,06:19:55:765,0.000000,0.000000,1,-122.58,-122.58,0,0,
08/27/2026,06:19:55:921,0.000000,0.000000,2,-117.52,-117.52,0,0,
08/27/2026,06:19:56:010,0.000000,0.000000,3,-124.73,-124.73,0,0,
08/27/2026,06:19:56:030,0.000000,0.000000,1,-122.44,-122.44,0,0,
08/27/2026,06:19:56:186,0.000000,0.000000,2,-117.73,-117.73,0,0,
08/27/2026,06:19:56:293,0.000000,0.000000,3,-126.2,-126.2,0,0,
08/27/2026,06:19:56:295,0.000000,0.000000,1,-122.82,-122.82,0,0,
08/27/2026,06:19:56:464,0.000000,0.000000,2,-117.53,-117.53,0,0,
08/27/2026,06:19:56:543,0.000000,0.000000,3,-124.55,-124.55,0,0,
08/27/2026,06:19:56:551,0.000000,0.000000,1,-121.75,-121.75,0,0,
08/27/2026,06:19:56:720,0.000000,0.000000,2,-117.66,-117.66,0,0,
08/27/2026,06:19:56:800,0.000000,0.000000,3,-126.7,-126.7,0,0,
08/27/2026,06:19:56:820,0.000000,0.000000,1,-124.02,-124.02,0,0,
08/27/2026,06:19:56:976,0.000000,0.000000,2,-117.63,-117.63,0,0,
08/27/2026,06:19:57:063,0.000000,0.000000,3,-126.36,-126.36,0,0,
08/27/2026,06:19:57:086,0.000000,0.000000,1,-120.98,-120.98,0,0,
08/27/2026,06:19:57:237,0.000000,0.000000,2,-117.92,-117.92,0,0,
08/27/2026,06:19:57:353,0.000000,0.000000,3,-125.78,-125.78,0,0,
08/27/2026,06:19:57:357,0.000000,0.000000,1,-121.25,-121.25,0,0,
08/27/2026,06:19:57:496,0.000000,0.000000,2,-116.68,-116.68,0,0,
08/27/2026,06:19:57:580,0.000000,0.000000,3,-124.41,-124.41,0,0,
08/27/2026,06:19:57:604,0.000000,0.000000,1,-121.18,-121.18,0,0,
08/27/2026,06:19:57:753,0.000000,0.000000,2,-117.99,-117.99,0,0,
08/27/2026,06:19:57:843,0.000000,0.000000,3,-124.89,-124.89,0,0,
08/27/2026,06:19:57:861,0.000000,0.000000,1,-121.06,-121.06,0,0,
08/27/2026,06:19:58:020,0.000000,0.000000,2,-117.13,-117.13,0,0,
08/27/2026,06:19:58:104,0.000000,0.000000,3,-124.75,-124.75,0,0,
08/27/2026,06:19:58:146,0.000000,0.000000,1,-123,-123,0,0,
08/27/2026,06:19:58:395,0.000000,0.000000,2,-118.25,-118.25,0,0,
08/27/2026,06:19:58:423,0.000000,0.000000,3,-125.28,-125.28,0,0,
08/27/2026,06:19:58:427,0.000000,0.000000,1,-123.82,-123.82,0,0,
08/27/2026,06:19:58:542,0.000000,0.000000,2,-118.15,-118.15,0,0,
08/27/2026,06:19:58:636,0.000000,0.000000,3,-124.89,-124.89,0,0,
08/27/2026,06:19:58:653,0.000000,0.000000,1,-121.87,-121.87,0,0,
08/27/2026,06:19:58:804,0.000000,0.000000,2,-119.09,-119.09,0,0,
08/27/2026,06:19:58:899,0.000000,0.000000,3,-123.92,-123.92,0,0,
08/27/2026,06:19:58:909,0.000000,0.000000,1,-121.5,-121.5,0,0,
08/27/2026,06:19:59:067,0.000000,0.000000,2,-117.61,-117.61,0,0,
08/27/2026,06:19:59:161,0.000000,0.000000,3,-124.63,-124.63,0,0,
08/27/2026,06:19:59:169,0.000000,0.000000,1,-121.72,-121.72,0,0,
08/27/2026,06:19:59:341,0.000000,0.000000,2,-115.84,-115.84,0,0,
08/27/2026,06:19:59:428,0.000000,0.000000,3,-126.04,-126.04,0,0,
08/27/2026,06:19:59:431,0.000000,0.000000,1,-122.02,-122.02,0,0,
08/27/2026,06:19:59:586,0.000000,0.000000,2,-116.68,-116.68,0,0,
08/27/2026,06:19:59:685,0.000000,0.000000,3,-124.42,-124.42,0,0,
08/27/2026,06:19:59:692,0.000000,0.000000,1,-120.57,-120.57,0,0,
08/27/2026,06:19:59:850,0.000000,0.000000,2,-117.84,-117.84,0,0,
08/27/2026,06:19:59:941,0.000000,0.000000,3,-125.66,-125.66,0,0,
08/27/2026,06:19:59:958,0.000000,0.000000,1,-121.72,-121.72,0,0,
08/27/2026,06:20:00:130,0.000000,0.000000,2,-118.31,-118.31,0,0,
08/27/2026,06:20:00:217,0.000000,0.000000,3,-126.07,-126.07,0,0,
08/27/2026,06:20:00:218,0.000000,0.000000,1,-121.41,-121.41,0,0,
08/27/2026,06:20:00:383,0.000000,0.000000,2,-118.9,-118.9,0,0,
08/27/2026,06:20:00:464,0.000000,0.000000,3,-125.61,-125.61,0,0,
08/27/2026,06:20:00:490,0.000000,0.000000,1,-122.2,-122.2,0,0,
08/27/2026,06:20:00:649,0.000000,0.000000,2,-118.75,-118.75,0,0,
08/27/2026,06:20:00:722,0.000000,0.000000,3,-125.83,-125.83,0,0,
08/27/2026,06:20:00:740,0.000000,0.000000,1,-122.71,-122.71,0,0,
08/27/2026,06:20:00:896,0.000000,0.000000,2,-117.74,-117.74,0,0,
08/27/2026,06:20:00:989,0.000000,0.000000,3,-125.51,-125.51,0,0,
08/27/2026,06:20:01:004,0.000000,0.000000,1,-122.93,-122.93,0,0,
08/27/2026,06:20:01:169,0.000000,0.000000,2,-116.97,-116.97,0,0,
08/27/2026,06:20:01:253,0.000000,0.000000,3,-125.55,-125.55,0,0,
08/27/2026,06:20:01:263,0.000000,0.000000,1,-122.2,-122.2,0,0,
08/27/2026,06:20:01:421,0.000000,0.000000,2,-117.23,-117.23,0,0,
08/27/2026,06:20:01:509,0.000000,0.000000,3,-124.1,-124.1,0,0,
