Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,06:34:07:667,0.000000,0.000000,1,-123.54,-123.54,0,0,
08/27/2026,06:34:07:674,0.000000,0.000000,1,-122.44,-122.44,0,0,
08/27/2026,06:34:07:700,0.000000,0.000000,1,-122.32,-122.32,0,0,
08/27/2026,06:34:07:724,0.000000,0.000000,1,-120.22,-120.22,0,0,
08/27/2026,06:34:07:739,0.000000,0.000000,1,-120.63,-120.63,0,0,
08/27/2026,06:34:07:743,0.000000,0.000000,1,-121.31,-121.31,0,0,
08/27/2026,06:34:07:760,0.000000,0.000000,2,-118.44,-118.44,0,0,
08/27/2026,06:34:07:785,0.000000,0.000000,1,-125.88,-125.88,0,0,
08/27/2026,06:34:07:814,0.000000,0.000000,2,-121.01,-121.01,0,0,
08/27/2026,06:34:07:823,0.000000,0.000000,1,-123.22,-123.22,0,0,
08/27/2026,06:34:07:880,0.000000,0.000000,2,-118.88,-118.88,0,0,
08/27/2026,06:34:07:903,0.000000,0.000000,3,-124.96,-124.96,0,0,
08/27/2026,06:34:07:913,0.000000,0.000000,1,-121.12,-121.12,0,0,
08/27/2026,06:34:07:917,0.000000,0.000000,2,-118.53,-118.53,0,0,
08/27/2026,06:34:07:947,0.000000,0.000000,3,-124.5,-124.5,0,0,
08/27/2026,06:34:07:987,0.000000,0.000000,1,-120.13,-120.13,0,0,
08/27/2026,06:34:08:044,0.000000,0.000000,2,-119.08,-119.08,0,0,
08/27/2026,06:34:08:065,0.000000,0.000000,3,-124.93,-124.93,0,0,
08/27/2026,06:34:08:070,0.000000,0.000000,1,-121.94,-121.94,0,0,
08/27/2026,06:34:08:146,0.000000,0.000000,2,-118.07,-118.07,0,0,
08/27/2026,06:34:08:229,0.000000,0.000000,3,-124.41,-124.41,0,0,
08/27/2026,06:34:08:280,0.000000,0.000000,1,-121.7,-121.7,0,0,
08/27/2026,06:34:08:356,0.000000,0.000000,2,-117.18,-117.18,0,0,
08/27/2026,06:34:08:370,0.000000,0.000000,3,-124.56,-124.56,0,0,
08/27/2026,06:34:08:371,0.000000,0.000000,1,-122.32,-122.32,0,0,
08/27/2026,06:34:08:446,0.000000,0.000000,2,-118.44,-118.44,0,0,
08/27/2026,06:34:08:489,0.000000,0.000000,3,-125.4,-125.4,0,0,
08/27/2026,06:34:08:497,0.000000,0.000000,1,-122.7,-122.7,0,0,
08/27/2026,06:34:08:559,0.000000,0.000000,2,-118.39,-118.39,0,0,
08/27/2026,06:34:08:580,0.000000,0.000000,3,-124.92,-124.92,0,0,
08/27/2026,06:34:08:581,0.000000,0.000000,1,-123.32,-123.32,0,0,
08/27/2026,06:34:08:619,0.000000,0.000000,2,-118.11,-118.11,0,0,
08/27/2026,06:34:08:675,0.000000,0.000000,3,-126.07,-126.07,0,0,
08/27/2026,06:34:08:677,0.000000,0.000000,1,-123.93,-123.93,0,0,
08/27/2026,06:34:08:724,0.000000,0.000000,2,-118.34,-118.34,0,0,
08/27/2026,06:34:08:729,0.000000,0.000000,3,-125.83,-125.83,0,0,
08/27/2026,06:34:08:744,0.000000,0.000000,1,-123.52,-123.52,0,0,
08/27/2026,06:34:08:806,0.000000,0.000000,2,-118.63,-118.63,0,0,
08/27/2026,06:34:08:843,0.000000,0.000000,3,-125.05,-125.05,0,0,
08/27/2026,06:34:08:848,0.000000,0.000000,1,-122.59,-122.59,0,0,
08/27/2026,06:34:08:881,0.000000,0.000000,2,-117.67,-117.67,0,0,
08/27/2026,06:34:08:923,0.000000,0.000000,3,-121.67,-121.67,0,0,
08/27/2026,06:34:08:926,0.000000,0.000000,1,-123.62,-123.62,0,0,
08/27/2026,06:34:08:961,0.000000,0.000000,2,-119.92,-119.92,0,0,
08/27/2026,06:34:08:976,0.000000,0.000000,3,-126.59,-126.59,0,0,
08/27/2026,06:34:08:979,0.000000,0.000000,1,-121.89,-121.89,0,0,
08/27/2026,06:34:09:083,0.000000,0.000000,2,-117.16,-117.16,0,0,
08/27/2026,06:34:09:124,0.000000,0.000000,3,-125.72,-125.72,0,0,
08/27/2026,06:34:09:127,0.000000,0.000000,1,-123.12,-123.12,0,0,
08/27/2026,06:34:09:235,0.000000,0.000000,2,-117.01,-117.01,0,0,
