Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,06:34:08:037,0.000000,0.000000,1,-121.93,-121.93,0,0,
08/27/2026,06:34:08:096,0.000000,0.000000,1,-122.87,-122.87,0,0,
08/27/2026,06:34:08:158,0.000000,0.000000,2,-123.98,-123.98,0,0,
08/27/2026,06:34:08:323,0.000000,0.000000,1,-123.87,-123.87,0,0,
08/27/2026,06:34:08:359,0.000000,0.000000,2,-122.86,-122.86,0,0,
08/27/2026,06:34:08:414,0.000000,0.000000,1,-121.68,-121.68,0,0,
08/27/2026,06:34:08:444,0.000000,0.000000,3,-123.27,-123.27,0,0,
08/27/2026,06:34:08:452,0.000000,0.000000,2,-122.66,-122.66,0,0,
08/27/2026,06:34:08:528,0.000000,0.000000,1,-124.71,-124.71,0,0,
08/27/2026,06:34:08:543,0.000000,0.000000,3,-123.49,-123.49,0,0,
08/27/2026,06:34:08:561,0.000000,0.000000,2,-124.65,-124.65,0,0,
08/27/2026,06:34:08:612,0.000000,0.000000,1,-121.47,-121.47,0,0,
08/27/2026,06:34:08:616,0.000000,0.000000,3,-122.94,-122.94,0,0,
08/27/2026,06:34:08:644,0.000000,0.000000,2,-124.1,-124.1,0,0,
08/27/2026,06:34:08:682,0.000000,0.000000,4,-89.25,-89.25,0,0,
08/27/2026,06:34:08:686,0.000000,0.000000,1,-122.35,-122.35,0,0,
08/27/2026,06:34:08:689,0.000000,0.000000,3,-126.35,-126.35,0,0,
08/27/2026,06:34:08:726,0.000000,0.000000,2,-123.21,-123.21,0,0,
08/27/2026,06:34:08:747,0.000000,0.000000,4,-85.91,-85.91,0,0,
08/27/2026,06:34:08:760,0.000000,0.000000,1,-124.05,-124.05,0,0,
08/27/2026,06:34:08:788,0.000000,0.000000,3,-123.46,-123.46,0,0,
08/27/2026,06:34:08:821,0.000000,0.000000,2,-123.14,-123.14,0,0,
08/27/2026,06:34:08:859,0.000000,0.000000,4,-90.76,-90.76,0,0,
08/27/2026,06:34:08:864,0.000000,0.000000,1,-122.58,-122.58,0,0,
08/27/2026,06:34:08:870,0.000000,0.000000,3,-124.42,-124.42,0,0,
08/27/2026,06:34:08:898,0.000000,0.000000,2,-123.98,-123.98,0,0,
08/27/2026,06:34:08:929,0.000000,0.000000,4,-87.6,-87.6,0,0,
08/27/2026,06:34:08:945,0.000000,0.000000,1,-120.4,-120.4,0,0,
08/27/2026,06:34:08:957,0.000000,0.000000,3,-122.75,-122.75,0,0,
08/27/2026,06:34:08:972,0.000000,0.000000,2,-123.57,-123.57,0,0,
08/27/2026,06:34:09:019,0.000000,0.000000,4,-87.64,-87.64,0,0,
08/27/2026,06:34:09:035,0.000000,0.000000,1,-119.62,-119.62,0,0,
08/27/2026,06:34:09:038,0.000000,0.000000,3,-125.39,-125.39,0,0,
08/27/2026,06:34:09:099,0.000000,0.000000,2,-121.54,-121.54,0,0,
08/27/2026,06:34:09:138,0.000000,0.000000,4,-86,-86,0,0,
08/27/2026,06:34:09:190,0.000000,0.000000,1,-121.39,-121.39,0,0,
08/27/2026,06:34:09:210,0.000000,0.000000,3,-123.67,-123.67,0,0,
08/27/2026,06:34:09:285,0.000000,0.000000,2,-123.89,-123.89,0,0,
08/27/2026,06:34:09:337,0.000000,0.000000,4,-89.13,-89.13,0,0,
08/27/2026,06:34:09:388,0.000000,0.000000,1,-121.12,-121.12,0,0,
08/27/2026,06:34:09:402,0.000000,0.000000,3,-125.4,-125.4,0,0,
08/27/2026,06:34:09:472,0.000000,0.000000,2,-122.91,-122.91,0,0,
08/27/2026,06:34:09:526,0.000000,0.000000,4,-86.81,-86.81,0,0,
08/27/2026,06:34:09:619,0.000000,0.000000,1,-122.58,-122.58,0,0,
08/27/2026,06:34:09:620,0.000000,0.000000,3,-123.83,-123.83,0,0,
08/27/2026,06:34:09:664,0.000000,0.000000,2,-122.44,-122.44,0,0,
08/27/2026,06:34:09:722,0.000000,0.000000,4,-84.81,-84.81,0,0,
08/27/2026,06:34:09:790,0.000000,0.000000,1,-119.95,-119.95,0,0,
08/27/2026,06:34:09:807,0.000000,0.000000,3,-124.08,-124.08,0,0,
08/27/2026,06:34:09:872,0.000000,0.000000,2,-122.88,-122.88,0,0,
08/27/2026,06:34:09:910,0.000000,0.000000,4,-88.71,-88.71,0,0,
08/27/2026,06:34:09:973,0.000000,0.000000,1,-123.76,-123.76,0,0,
08/27/2026,06:34:09:988,0.000000,0.000000,3,-125.38,-125.38,0,0,
08/27/2026,06:34:10:065,0.000000,0.000000,2,-122.11,-122.11,0,0,
08/27/2026,06:34:10:106,0.000000,0.000000,4,-89.57,-89.57,0,0,
08/27/2026,06:34:10:205,0.000000,0.000000,1,-122.41,-122.41,0,0,
08/27/2026,06:34:10:230,0.000000,0.000000,3,-122.43,-122.43,0,0,
08/27/2026,06:34:10:247,0.000000,0.000000,2,-123.82,-123.82,0,0,
08/27/2026,06:34:10:381,0.000000,0.000000,4,-95.68,-95.68,0,0,
08/27/2026,06:34:10:438,0.000000,0.000000,1,-119.85,-119.85,0,0,
08/27/2026,06:34:10:440,0.000000,0.000000,3,-123.75,-123.75,0,0,
08/27/2026,06:34:10:511,0.000000,0.000000,2,-124.71,-124.71,0,0,
08/27/2026,06:34:10:556,0.000000,0.000000,4,-102.72,-102.72,0,0,
08/27/2026,06:34:10:623,0.000000,0.000000,1,-123.06,-123.06,0,0,
08/27/2026,06:34:10:650,0.000000,0.000000,3,-124,-124,0,0,
08/27/2026,06:34:10:699,0.000000,0.000000,2,-123.6,-123.6,0,0,
08/27/2026,06:34:10:747,0.000000,0.000000,4,-92.73,-92.73,0,0,
08/27/2026,06:34:10:761,0.000000,0.000000,1,-121.61,-121.61,0,0,
08/27/2026,06:34:10:779,0.000000,0.000000,3,-123.98,-123.98,0,0,
08/27/2026,06:34:10:818,0.000000,0.000000,2,-122.59,-122.59,0,0,
08/27/2026,06:34:10:912,0.000000,0.000000,4,-94.42,-94.42,0,0,
08/27/2026,06:34:10:927,0.000000,0.000000,1,-123.43,-123.43,0,0,
08/27/2026,06:34:10:968,0.000000,0.000000,3,-125.23,-125.23,0,0,
08/27/2026,06:34:11:001,0.000000,0.000000,2,-125.3,-125.3,0,0,
08/27/2026,06:34:11:076,0.000000,0.000000,4,-90.83,-90.83,0,0,
08/27/2026,06:34:11:141,0.000000,0.000000,1,-121.46,-121.46,0,0,
08/27/2026,06:34:11:185,0.000000,0.000000,3,-125.33,-125.33,0,0,
08/27/2026,06:34:11:231,0.000000,0.000000,2,-122.92,-122.92,0,0,
08/27/2026,06:34:11:315,0.000000,0.000000,4,-92.33,-92.33,0,0,
