Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,08:38:52:337,0.000000,0.000000,1,-116.91,-116.91,0,0,
08/27/2026,08:38:52:593,0.000000,0.000000,2,-115.5,-115.5,0,0,
08/27/2026,08:38:52:612,0.000000,0.000000,1,-115.18,-115.18,0,0,
08/27/2026,08:38:52:778,0.000000,0.000000,3,-64.41,-64.41,0,0,
08/27/2026,08:38:52:828,0.000000,0.000000,2,-108.23,-108.23,0,0,
08/27/2026,08:38:52:850,0.000000,0.000000,1,-106.87,-106.87,0,0,
08/27/2026,08:38:52:921,0.000000,0.000000,4,-113.33,-113.33,0,0,
08/27/2026,08:38:52:955,0.000000,0.000000,3,-62.49,-62.49,0,0,
08/27/2026,08:38:53:008,0.000000,0.000000,2,-104.49,-104.49,0,0,
08/27/2026,08:38:53:074,0.000000,0.000000,1,-105.86,-105.86,0,0,
08/27/2026,08:38:53:209,0.000000,0.000000,4,-111.53,-111.53,0,0,
08/27/2026,08:38:53:261,0.000000,0.000000,3,-83.72,-83.72,0,0,
08/27/2026,08:38:53:342,0.000000,0.000000,2,-106.64,-106.64,0,0,
08/27/2026,08:38:53:418,0.000000,0.000000,1,-117.03,-117.03,0,0,
08/27/2026,08:38:53:499,0.000000,0.000000,4,-112.04,-112.04,0,0,
08/27/2026,08:38:53:520,0.000000,0.000000,3,-74.88,-74.88,0,0,
08/27/2026,08:38:53:574,0.000000,0.000000,2,-120.82,-120.82,0,0,
08/27/2026,08:38:53:608,0.000000,0.000000,1,-116.13,-116.13,0,0,
08/27/2026,08:38:53:710,0.000000,0.000000,4,-115.76,-115.76,0,0,
08/27/2026,08:38:53:771,0.000000,0.000000,3,-87.59,-87.59,0,0,
08/27/2026,08:38:53:841,0.000000,0.000000,2,-119.23,-119.23,0,0,
08/27/2026,08:38:53:897,0.000000,0.000000,1,-114.49,-114.49,0,0,
08/27/2026,08:38:53:990,0.000000,0.000000,4,-115.95,-115.95,0,0,
08/27/2026,08:38:54:077,0.000000,0.000000,3,-80.58,-80.58,0,0,
08/27/2026,08:38:54:141,0.000000,0.000000,2,-113.44,-113.44,0,0,
08/27/2026,08:38:54:171,0.000000,0.000000,1,-114.84,-114.84,0,0,
08/27/2026,08:38:54:268,0.000000,0.000000,4,-120.2,-120.2,0,0,
08/27/2026,08:38:54:354,0.000000,0.000000,3,-86.28,-86.28,0,0,
08/27/2026,08:38:54:445,0.000000,0.000000,2,-116.5,-116.5,0,0,
08/27/2026,08:38:54:454,0.000000,0.000000,1,-117.86,-117.86,0,0,
08/27/2026,08:38:54:554,0.000000,0.000000,4,-116.08,-116.08,0,0,
08/27/2026,08:38:54:620,0.000000,0.000000,3,-77.56,-77.56,0,0,
08/27/2026,08:38:54:699,0.000000,0.000000,2,-111.7,-111.7,0,0,
08/27/2026,08:38:54:755,0.000000,0.000000,1,-116.19,-116.19,0,0,
08/27/2026,08:38:54:842,0.000000,0.000000,4,-119.94,-119.94,0,0,
08/27/2026,08:38:54:910,0.000000,0.000000,3,-79.26,-79.26,0,0,
08/27/2026,08:38:54:991,0.000000,0.000000,2,-121.35,-121.35,0,0,
08/27/2026,08:38:55:002,0.000000,0.000000,1,-122.02,-122.02,0,0,
08/27/2026,08:38:55:120,0.000000,0.000000,4,-118.98,-118.98,0,0,
08/27/2026,08:38:55:250,0.000000,0.000000,3,-93.86,-93.86,0,0,
08/27/2026,08:38:55:340,0.000000,0.000000,2,-120.34,-120.34,0,0,
08/27/2026,08:38:55:375,0.000000,0.000000,1,-120.91,-120.91,0,0,
08/27/2026,08:38:55:469,0.000000,0.000000,4,-119.47,-119.47,0,0,
08/27/2026,08:38:55:586,0.000000,0.000000,3,-84.58,-84.58,0,0,
08/27/2026,08:38:55:664,0.000000,0.000000,2,-118.83,-118.83,0,0,
08/27/2026,08:38:55:708,0.000000,0.000000,1,-115.43,-115.43,0,0,
08/27/2026,08:38:55:795,0.000000,0.000000,4,-123.58,-123.58,0,0,
08/27/2026,08:38:55:845,0.000000,0.000000,3,-91.21,-91.21,0,0,
08/27/2026,08:38:55:915,0.000000,0.000000,2,-117.12,-117.12,0,0,
08/27/2026,08:38:55:923,0.000000,0.000000,1,-118.75,-118.75,0,0,
08/27/2026,08:38:55:975,0.000000,0.000000,4,-120.12,-120.12,0,0,
08/27/2026,08:38:56:040,0.000000,0.000000,3,-81.35,-81.35,0,0,
08/27/2026,08:38:56:102,0.000000,0.000000,2,-124.18,-124.18,0,0,
08/27/2026,08:38:56:127,0.000000,0.000000,1,-122.99,-122.99,0,0,
08/27/2026,08:38:56:242,0.000000,0.000000,4,-124.49,-124.49,0,0,
08/27/2026,08:38:56:317,0.000000,0.000000,3,-97.82,-97.82,0,0,
08/27/2026,08:38:56:371,0.000000,0.000000,2,-120.48,-120.48,0,0,
08/27/2026,08:38:56:400,0.000000,0.000000,1,-120.25,-120.25,0,0,
08/27/2026,08:38:56:519,0.000000,0.000000,4,-121.16,-121.16,0,0,
08/27/2026,08:38:56:587,0.000000,0.000000,3,-83.76,-83.76,0,0,
08/27/2026,08:38:56:647,0.000000,0.000000,2,-121.6,-121.6,0,0,
08/27/2026,08:38:56:674,0.000000,0.000000,1,-120.41,-120.41,0,0,
08/27/2026,08:38:56:788,0.000000,0.000000,4,-122.55,-122.55,0,0,
08/27/2026,08:38:56:848,0.000000,0.000000,3,-85.27,-85.27,0,0,
08/27/2026,08:38:56:936,0.000000,0.000000,2,-121.79,-121.79,0,0,
08/27/2026,08:38:56:952,0.000000,0.000000,1,-119.64,-119.64,0,0,
08/27/2026,08:38:57:109,0.000000,0.000000,4,-122.59,-122.59,0,0,
08/27/2026,08:38:57:242,0.000000,0.000000,3,-87.39,-87.39,0,0,
08/27/2026,08:38:57:340,0.000000,0.000000,2,-121.21,-121.21,0,0,
08/27/2026,08:38:57:353,0.000000,0.000000,1,-118.97,-118.97,0,0,
08/27/2026,08:38:57:414,0.000000,0.000000,4,-121.87,-121.87,0,0,
08/27/2026,08:38:57:460,0.000000,0.000000,3,-84.97,-84.97,0,0,
08/27/2026,08:38:57:534,0.000000,0.000000,2,-122.91,-122.91,0,0,
08/27/2026,08:38:57:546,0.000000,0.000000,1,-122.59,-122.59,0,0,
08/27/2026,08:38:57:665,0.000000,0.000000,4,-120.78,-120.78,0,0,
08/27/2026,08:38:57:704,0.000000,0.000000,3,-93.3,-93.3,0,0,
08/27/2026,08:38:58:622,0.000000,0.000000,2,-120.61,-120.61,0,0,
08/27/2026,08:38:58:652,0.000000,0.000000,1,-118.79,-118.79,0,0,
08/27/2026,08:38:58:762,0.000000,0.000000,4,-126.14,-126.14,0,0,
08/27/2026,08:38:58:846,0.000000,0.000000,3,-92,-92,0,0,
08/27/2026,08:38:58:902,0.000000,0.000000,2,-117.72,-117.72,0,0,
08/27/2026,08:38:58:976,0.000000,0.000000,1,-120.92,-120.92,0,0,
08/27/2026,08:38:59:108,0.000000,0.000000,4,-124.23,-124.23,0,0,
08/27/2026,08:38:59:162,0.000000,0.000000,3,-101.75,-101.75,0,0,
08/27/2026,08:38:59:210,0.000000,0.000000,2,-120.13,-120.13,0,0,
08/27/2026,08:38:59:218,0.000000,0.000000,1,-120.07,-120.07,0,0,
08/27/2026,08:38:59:314,0.000000,0.000000,4,-121,-121,0,0,
08/27/2026,08:38:59:355,0.000000,0.000000,3,-101.78,-101.78,0,0,
08/27/2026,08:38:59:399,0.000000,0.000000,2,-122.32,-122.32,0,0,
08/27/2026,08:38:59:414,0.000000,0.000000,1,-120.06,-120.06,0,0,
08/27/2026,08:38:59:490,0.000000,0.000000,4,-121.81,-121.81,0,0,
08/27/2026,08:38:59:550,0.000000,0.000000,3,-89.39,-89.39,0,0,
08/27/2026,08:38:59:598,0.000000,0.000000,2,-118.6,-118.6,0,0,
08/27/2026,08:38:59:608,0.000000,0.000000,1,-121.91,-121.91,0,0,
08/27/2026,08:38:59:703,0.000000,0.000000,4,-122.63,-122.63,0,0,
08/27/2026,08:38:59:735,0.000000,0.000000,3,-88.51,-88.51,0,0,
08/27/2026,08:38:59:795,0.000000,0.000000,2,-120.83,-120.83,0,0,
08/27/2026,08:38:59:805,0.000000,0.000000,1,-119.48,-119.48,0,0,
08/27/2026,08:38:59:902,0.000000,0.000000,4,-122,-122,0,0,
08/27/2026,08:38:59:940,0.000000,0.000000,3,-97.34,-97.34,0,0,
08/27/2026,08:38:59:983,0.000000,0.000000,2,-121.24,-121.24,0,0,
08/27/2026,08:38:59:994,0.000000,0.000000,1,-119.53,-119.53,0,0,
08/27/2026,08:39:00:060,0.000000,0.000000,4,-122.82,-122.82,0,0,
08/27/2026,08:39:00:091,0.000000,0.000000,3,-86.89,-86.89,0,0,
08/27/2026,08:39:00:273,0.000000,0.000000,2,-122.74,-122.74,0,0,
08/27/2026,08:39:00:300,0.000000,0.000000,1,-119.18,-119.18,0,0,
08/27/2026,08:39:00:410,0.000000,0.000000,4,-123.64,-123.64,0,0,
08/27/2026,08:39:00:466,0.000000,0.000000,3,-88.93,-88.93,0,0,
08/27/2026,08:39:00:555,0.000000,0.000000,2,-121.33,-121.33,0,0,
08/27/2026,08:39:00:583,0.000000,0.000000,1,-119.35,-119.35,0,0,
08/27/2026,08:39:00:739,0.000000,0.000000,4,-123.78,-123.78,0,0,
08/27/2026,08:39:00:921,0.000000,0.000000,3,-89.96,-89.96,0,0,
08/27/2026,08:39:01:001,0.000000,0.000000,2,-121.65,-121.65,0,0,
08/27/2026,08:39:01:012,0.000000,0.000000,1,-120.54,-120.54,0,0,
08/27/2026,08:39:01:104,0.000000,0.000000,4,-122.04,-122.04,0,0,
08/27/2026,08:39:01:154,0.000000,0.000000,3,-107.13,-107.13,0,0,
08/27/2026,08:39:01:193,0.000000,0.000000,2,-117.69,-117.69,0,0,
08/27/2026,08:39:01:201,0.000000,0.000000,1,-119.41,-119.41,0,0,
08/27/2026,08:39:01:255,0.000000,0.000000,4,-121.07,-121.07,0,0,
08/27/2026,08:39:01:298,0.000000,0.000000,3,-89.53,-89.53,0,0,
08/27/2026,08:39:01:334,0.000000,0.000000,2,-122.19,-122.19,0,0,
08/27/2026,08:39:01:343,0.000000,0.000000,1,-120.26,-120.26,0,0,
08/27/2026,08:39:01:429,0.000000,0.000000,4,-122.58,-122.58,0,0,
08/27/2026,08:39:01:491,0.000000,0.000000,3,-83.54,-83.54,0,0,
08/27/2026,08:39:01:506,0.000000,0.000000,2,-121.92,-121.92,0,0,
08/27/2026,08:39:01:513,0.000000,0.000000,1,-121.47,-121.47,0,0,
08/27/2026,08:39:01:564,0.000000,0.000000,4,-123.25,-123.25,0,0,
08/27/2026,08:39:01:616,0.000000,0.000000,3,-89.43,-89.43,0,0,
08/27/2026,08:39:01:640,0.000000,0.000000,2,-122.37,-122.37,0,0,
08/27/2026,08:39:01:649,0.000000,0.000000,1,-123.82,-123.82,0,0,
08/27/2026,08:39:01:699,0.000000,0.000000,4,-122.95,-122.95,0,0,
08/27/2026,08:39:01:734,0.000000,0.000000,3,-87.91,-87.91,0,0,
08/27/2026,08:39:01:767,0.000000,0.000000,2,-119.03,-119.03,0,0,
08/27/2026,08:39:01:778,0.000000,0.000000,1,-119.74,-119.74,0,0,
08/27/2026,08:39:01:818,0.000000,0.000000,4,-121.54,-121.54,0,0,
08/27/2026,08:39:01:871,0.000000,0.000000,3,-88.44,-88.44,0,0,
08/27/2026,08:39:01:974,0.000000,0.000000,2,-121.28,-121.28,0,0,
08/27/2026,08:39:02:005,0.000000,0.000000,1,-118.73,-118.73,0,0,
08/27/2026,08:39:02:097,0.000000,0.000000,4,-121.37,-121.37,0,0,
08/27/2026,08:39:02:142,0.000000,0.000000,3,-95.73,-95.73,0,0,
08/27/2026,08:39:02:220,0.000000,0.000000,2,-120.89,-120.89,0,0,
08/27/2026,08:39:02:253,0.000000,0.000000,1,-121.89,-121.89,0,0,
08/27/2026,08:39:02:384,0.000000,0.000000,4,-124.02,-124.02,0,0,
08/27/2026,08:39:02:448,0.000000,0.000000,3,-95.14,-95.14,0,0,
08/27/2026,08:39:02:491,0.000000,0.000000,2,-121.34,-121.34,0,0,
08/27/2026,08:39:02:535,0.000000,0.000000,1,-121.31,-121.31,0,0,
08/27/2026,08:39:02:666,0.000000,0.000000,4,-119.8,-119.8,0,0,
08/27/2026,08:39:02:727,0.000000,0.000000,3,-94.19,-94.19,0,0,
08/27/2026,08:39:02:987,0.000000,0.000000,2,-120.17,-120.17,0,0,
08/27/2026,08:39:03:000,0.000000,0.000000,1,-120.21,-120.21,0,0,
08/27/2026,08:39:03:122,0.000000,0.000000,4,-121.96,-121.96,0,0,
08/27/2026,08:39:03:139,0.000000,0.000000,3,-96.79,-96.79,0,0,
08/27/2026,08:39:03:171,0.000000,0.000000,2,-123.54,-123.54,0,0,
08/27/2026,08:39:03:182,0.000000,0.000000,1,-120.94,-120.94,0,0,
08/27/2026,08:39:03:297,0.000000,0.000000,4,-121.54,-121.54,0,0,
08/27/2026,08:39:03:333,0.000000,0.000000,3,-98.3,-98.3,0,0,
08/27/2026,08:39:03:424,0.000000,0.000000,2,-122.6,-122.6,0,0,
08/27/2026,08:39:03:429,0.000000,0.000000,1,-122.88,-122.88,0,0,
08/27/2026,08:39:03:496,0.000000,0.000000,4,-120.35,-120.35,0,0,
08/27/2026,08:39:03:543,0.000000,0.000000,3,-95.1,-95.1,0,0,
08/27/2026,08:39:03:634,0.000000,0.000000,2,-121.49,-121.49,0,0,
08/27/2026,08:39:04:223,0.000000,0.000000,1,-121.97,-121.97,0,0,
08/27/2026,08:39:04:293,0.000000,0.000000,4,-122.49,-122.49,0,0,
08/27/2026,08:39:04:347,0.000000,0.000000,3,-89.1,-89.1,0,0,
08/27/2026,08:39:04:419,0.000000,0.000000,2,-123.23,-123.23,0,0,
08/27/2026,08:39:04:426,0.000000,0.000000,1,-122.31,-122.31,0,0,
08/27/2026,08:39:04:549,0.000000,0.000000,4,-122.46,-122.46,0,0,
08/27/2026,08:39:04:759,0.000000,0.000000,3,-95.09,-95.09,0,0,
08/27/2026,08:39:04:802,0.000000,0.000000,2,-122.04,-122.04,0,0,
08/27/2026,08:39:04:816,0.000000,0.000000,1,-120.48,-120.48,0,0,
08/27/2026,08:39:04:862,0.000000,0.000000,4,-123.36,-123.36,0,0,
08/27/2026,08:39:04:911,0.000000,0.000000,3,-95.03,-95.03,0,0,
08/27/2026,08:39:04:948,0.000000,0.000000,2,-120.47,-120.47,0,0,
08/27/2026,08:39:04:988,0.000000,0.000000,1,-121.32,-121.32,0,0,
08/27/2026,08:39:05:076,0.000000,0.000000,4,-122.99,-122.99,0,0,
08/27/2026,08:39:05:122,0.000000,0.000000,3,-88.22,-88.22,0,0,
08/27/2026,08:39:05:195,0.000000,0.000000,2,-122.23,-122.23,0,0,
08/27/2026,08:39:05:214,0.000000,0.000000,1,-122.02,-122.02,0,0,
