Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,08:38:50:697,0.000000,0.000000,1,-120.66,-120.66,0,0,
08/27/2026,08:38:50:723,0.000000,0.000000,1,-119.91,-119.91,0,0,
08/27/2026,08:38:50:738,0.000000,0.000000,1,-122.09,-122.09,0,0,
08/27/2026,08:38:50:755,0.000000,0.000000,1,-121.99,-121.99,0,0,
08/27/2026,08:38:50:768,0.000000,0.000000,1,-122.48,-122.48,0,0,
08/27/2026,08:38:50:798,0.000000,0.000000,1,-124.3,-124.3,0,0,
08/27/2026,08:38:50:804,0.000000,0.000000,2,-122.03,-122.03,0,0,
08/27/2026,08:38:50:819,0.000000,0.000000,1,-123.29,-123.29,0,0,
08/27/2026,08:38:50:839,0.000000,0.000000,2,-124.43,-124.43,0,0,
08/27/2026,08:38:50:851,0.000000,0.000000,3,-122.35,-122.35,0,0,
08/27/2026,08:38:50:874,0.000000,0.000000,1,-121.22,-121.22,0,0,
08/27/2026,08:38:50:907,0.000000,0.000000,2,-120.84,-120.84,0,0,
08/27/2026,08:38:50:915,0.000000,0.000000,4,-89.89,-89.89,0,0,
08/27/2026,08:38:50:940,0.000000,0.000000,3,-123.86,-123.86,0,0,
08/27/2026,08:38:50:956,0.000000,0.000000,1,-124.4,-124.4,0,0,
08/27/2026,08:38:50:982,0.000000,0.000000,2,-125.12,-125.12,0,0,
08/27/2026,08:38:51:001,0.000000,0.000000,4,-91.14,-91.14,0,0,
08/27/2026,08:38:51:047,0.000000,0.000000,3,-120.93,-120.93,0,0,
08/27/2026,08:38:51:054,0.000000,0.000000,1,-123.81,-123.81,0,0,
08/27/2026,08:38:51:058,0.000000,0.000000,2,-123.74,-123.74,0,0,
08/27/2026,08:38:51:062,0.000000,0.000000,4,-90.99,-90.99,0,0,
08/27/2026,08:38:51:117,0.000000,0.000000,3,-123.27,-123.27,0,0,
08/27/2026,08:38:51:132,0.000000,0.000000,1,-124.86,-124.86,0,0,
08/27/2026,08:38:51:256,0.000000,0.000000,2,-122.42,-122.42,0,0,
08/27/2026,08:38:51:297,0.000000,0.000000,4,-84.57,-84.57,0,0,
08/27/2026,08:38:51:475,0.000000,0.000000,3,-123.75,-123.75,0,0,
08/27/2026,08:38:51:510,0.000000,0.000000,1,-119.42,-119.42,0,0,
08/27/2026,08:38:51:519,0.000000,0.000000,2,-123.13,-123.13,0,0,
08/27/2026,08:38:51:603,0.000000,0.000000,4,-89.14,-89.14,0,0,
08/27/2026,08:38:51:649,0.000000,0.000000,3,-119.87,-119.87,0,0,
08/27/2026,08:38:51:683,0.000000,0.000000,1,-115.34,-115.34,0,0,
08/27/2026,08:38:51:739,0.000000,0.000000,2,-119.68,-119.68,0,0,
08/27/2026,08:38:51:766,0.000000,0.000000,4,-88.78,-88.78,0,0,
08/27/2026,08:38:51:799,0.000000,0.000000,3,-117.64,-117.64,0,0,
08/27/2026,08:38:51:822,0.000000,0.000000,1,-118.62,-118.62,0,0,
08/27/2026,08:38:51:846,0.000000,0.000000,2,-124.48,-124.48,0,0,
08/27/2026,08:38:51:931,0.000000,0.000000,4,-88.73,-88.73,0,0,
08/27/2026,08:38:51:985,0.000000,0.000000,3,-119.18,-119.18,0,0,
08/27/2026,08:38:52:014,0.000000,0.000000,1,-116.85,-116.85,0,0,
08/27/2026,08:38:52:060,0.000000,0.000000,2,-119.75,-119.75,0,0,
08/27/2026,08:38:52:079,0.000000,0.000000,4,-83.07,-83.07,0,0,
08/27/2026,08:38:52:104,0.000000,0.000000,3,-122.06,-122.06,0,0,
08/27/2026,08:38:52:117,0.000000,0.000000,1,-123.69,-123.69,0,0,
08/27/2026,08:38:52:160,0.000000,0.000000,2,-121.05,-121.05,0,0,
08/27/2026,08:38:52:210,0.000000,0.000000,4,-84.43,-84.43,0,0,
08/27/2026,08:38:52:287,0.000000,0.000000,3,-110.12,-110.12,0,0,
08/27/2026,08:38:52:317,0.000000,0.000000,1,-118.47,-118.47,0,0,
08/27/2026,08:38:52:328,0.000000,0.000000,2,-108.82,-108.82,0,0,
08/27/2026,08:38:52:398,0.000000,0.000000,4,-86,-86,0,0,
08/27/2026,08:38:52:524,0.000000,0.000000,3,-122.32,-122.32,0,0,
08/27/2026,08:38:52:561,0.000000,0.000000,1,-111.83,-111.83,0,0,
08/27/2026,08:38:52:584,0.000000,0.000000,2,-115.28,-115.28,0,0,
08/27/2026,08:38:52:621,0.000000,0.000000,4,-90.54,-90.54,0,0,
08/27/2026,08:38:52:724,0.000000,0.000000,3,-110.99,-110.99,0,0,
08/27/2026,08:38:52:790,0.000000,0.000000,1,-116.17,-116.17,0,0,
08/27/2026,08:38:52:827,0.000000,0.000000,2,-110.44,-110.44,0,0,
08/27/2026,08:38:52:875,0.000000,0.000000,4,-77.27,-77.27,0,0,
08/27/2026,08:38:52:928,0.000000,0.000000,3,-123.5,-123.5,0,0,
08/27/2026,08:38:52:963,0.000000,0.000000,1,-121.14,-121.14,0,0,
08/27/2026,08:38:53:005,0.000000,0.000000,2,-120.01,-120.01,0,0,
08/27/2026,08:38:53:158,0.000000,0.000000,4,-84.3,-84.3,0,0,
08/27/2026,08:38:53:210,0.000000,0.000000,3,-121.92,-121.92,0,0,
08/27/2026,08:38:53:263,0.000000,0.000000,1,-124.45,-124.45,0,0,
08/27/2026,08:38:53:334,0.000000,0.000000,2,-124.57,-124.57,0,0,
08/27/2026,08:38:53:443,0.000000,0.000000,4,-91.71,-91.71,0,0,
08/27/2026,08:38:53:501,0.000000,0.000000,3,-124.94,-124.94,0,0,
08/27/2026,08:38:53:522,0.000000,0.000000,1,-124.67,-124.67,0,0,
08/27/2026,08:38:53:555,0.000000,0.000000,2,-124.67,-124.67,0,0,
08/27/2026,08:38:53:650,0.000000,0.000000,4,-91.17,-91.17,0,0,
08/27/2026,08:38:53:719,0.000000,0.000000,3,-125.36,-125.36,0,0,
08/27/2026,08:38:53:818,0.000000,0.000000,1,-124.88,-124.88,0,0,
08/27/2026,08:38:53:838,0.000000,0.000000,2,-123.89,-123.89,0,0,
08/27/2026,08:38:53:934,0.000000,0.000000,4,-95.41,-95.41,0,0,
08/27/2026,08:38:54:022,0.000000,0.000000,3,-124.52,-124.52,0,0,
08/27/2026,08:38:54:078,0.000000,0.000000,1,-123.69,-123.69,0,0,
08/27/2026,08:38:54:115,0.000000,0.000000,2,-125.19,-125.19,0,0,
08/27/2026,08:38:54:214,0.000000,0.000000,4,-76.92,-76.92,0,0,
08/27/2026,08:38:54:294,0.000000,0.000000,3,-123.9,-123.9,0,0,
08/27/2026,08:38:54:382,0.000000,0.000000,1,-124.19,-124.19,0,0,
08/27/2026,08:38:54:389,0.000000,0.000000,2,-122.7,-122.7,0,0,
08/27/2026,08:38:54:486,0.000000,0.000000,4,-75.16,-75.16,0,0,
08/27/2026,08:38:54:567,0.000000,0.000000,3,-125.44,-125.44,0,0,
08/27/2026,08:38:54:666,0.000000,0.000000,1,-124.93,-124.93,0,0,
08/27/2026,08:38:54:681,0.000000,0.000000,2,-124.29,-124.29,0,0,
08/27/2026,08:38:54:779,0.000000,0.000000,4,-70.34,-70.34,0,0,
08/27/2026,08:38:54:846,0.000000,0.000000,3,-122.19,-122.19,0,0,
08/27/2026,08:38:54:951,0.000000,0.000000,1,-123.25,-123.25,0,0,
08/27/2026,08:38:54:962,0.000000,0.000000,2,-124.02,-124.02,0,0,
08/27/2026,08:38:55:045,0.000000,0.000000,4,-77.8,-77.8,0,0,
08/27/2026,08:38:55:199,0.000000,0.000000,3,-123.84,-123.84,0,0,
08/27/2026,08:38:55:284,0.000000,0.000000,1,-123.03,-123.03,0,0,
08/27/2026,08:38:55:332,0.000000,0.000000,2,-122.36,-122.36,0,0,
08/27/2026,08:38:55:415,0.000000,0.000000,4,-73.45,-73.45,0,0,
08/27/2026,08:38:55:473,0.000000,0.000000,3,-124.73,-124.73,0,0,
08/27/2026,08:38:55:630,0.000000,0.000000,1,-124.79,-124.79,0,0,
08/27/2026,08:38:55:651,0.000000,0.000000,2,-124.71,-124.71,0,0,
08/27/2026,08:38:55:735,0.000000,0.000000,4,-78.23,-78.23,0,0,
08/27/2026,08:38:55:802,0.000000,0.000000,3,-125.31,-125.31,0,0,
08/27/2026,08:38:55:885,0.000000,0.000000,1,-121.8,-121.8,0,0,
08/27/2026,08:38:55:896,0.000000,0.000000,2,-123.87,-123.87,0,0,
08/27/2026,08:38:55:930,0.000000,0.000000,4,-84.41,-84.41,0,0,
08/27/2026,08:38:55:984,0.000000,0.000000,3,-125.87,-125.87,0,0,
08/27/2026,08:38:56:056,0.000000,0.000000,1,-123.51,-123.51,0,0,
08/27/2026,08:38:56:069,0.000000,0.000000,2,-123.43,-123.43,0,0,
08/27/2026,08:38:56:163,0.000000,0.000000,4,-75.53,-75.53,0,0,
08/27/2026,08:38:56:268,0.000000,0.000000,3,-123.19,-123.19,0,0,
08/27/2026,08:38:56:320,0.000000,0.000000,1,-123.38,-123.38,0,0,
08/27/2026,08:38:56:369,0.000000,0.000000,2,-124.4,-124.4,0,0,
08/27/2026,08:38:56:434,0.000000,0.000000,4,-73,-73,0,0,
08/27/2026,08:38:56:538,0.000000,0.000000,3,-122.63,-122.63,0,0,
08/27/2026,08:38:56:599,0.000000,0.000000,1,-123.46,-123.46,0,0,
08/27/2026,08:38:56:625,0.000000,0.000000,2,-122.3,-122.3,0,0,
08/27/2026,08:38:56:712,0.000000,0.000000,4,-76.47,-76.47,0,0,
08/27/2026,08:38:56:811,0.000000,0.000000,3,-124.88,-124.88,0,0,
08/27/2026,08:38:56:870,0.000000,0.000000,1,-122.28,-122.28,0,0,
08/27/2026,08:38:56:900,0.000000,0.000000,2,-123,-123,0,0,
08/27/2026,08:38:57:000,0.000000,0.000000,4,-94.63,-94.63,0,0,
08/27/2026,08:38:57:124,0.000000,0.000000,3,-125.98,-125.98,0,0,
08/27/2026,08:38:57:285,0.000000,0.000000,1,-122.74,-122.74,0,0,
08/27/2026,08:38:57:327,0.000000,0.000000,2,-127.06,-127.06,0,0,
08/27/2026,08:38:57:375,0.000000,0.000000,4,-85.78,-85.78,0,0,
