Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,08:38:51:007,0.000000,0.000000,1,-125.89,-125.89,0,0,
08/27/2026,08:38:51:088,0.000000,0.000000,2,-125.58,-125.58,0,0,
08/27/2026,08:38:51:100,0.000000,0.000000,1,-124.63,-124.63,0,0,
08/27/2026,08:38:51:209,0.000000,0.000000,3,-123.67,-123.67,0,0,
08/27/2026,08:38:51:334,0.000000,0.000000,2,-123.31,-123.31,0,0,
08/27/2026,08:38:51:342,0.000000,0.000000,1,-125.99,-125.99,0,0,
08/27/2026,08:38:51:392,0.000000,0.000000,4,-119.84,-119.84,0,0,
08/27/2026,08:38:51:511,0.000000,0.000000,3,-121.15,-121.15,0,0,
08/27/2026,08:38:51:612,0.000000,0.000000,2,-124.48,-124.48,0,0,
08/27/2026,08:38:51:626,0.000000,0.000000,1,-126.05,-126.05,0,0,
08/27/2026,08:38:51:634,0.000000,0.000000,4,-124.07,-124.07,0,0,
08/27/2026,08:38:51:724,0.000000,0.000000,3,-120.79,-120.79,0,0,
08/27/2026,08:38:51:769,0.000000,0.000000,2,-124.96,-124.96,0,0,
08/27/2026,08:38:51:774,0.000000,0.000000,1,-124.04,-124.04,0,0,
08/27/2026,08:38:51:781,0.000000,0.000000,4,-116.65,-116.65,0,0,
08/27/2026,08:38:51:833,0.000000,0.000000,3,-124.27,-124.27,0,0,
08/27/2026,08:38:51:940,0.000000,0.000000,2,-123.32,-123.32,0,0,
08/27/2026,08:38:51:962,0.000000,0.000000,1,-126.1,-126.1,0,0,
08/27/2026,08:38:51:972,0.000000,0.000000,4,-122.38,-122.38,0,0,
08/27/2026,08:38:52:031,0.000000,0.000000,3,-115.26,-115.26,0,0,
08/27/2026,08:38:52:082,0.000000,0.000000,2,-122.9,-122.9,0,0,
08/27/2026,08:38:52:085,0.000000,0.000000,1,-125.17,-125.17,0,0,
08/27/2026,08:38:52:102,0.000000,0.000000,4,-123.1,-123.1,0,0,
08/27/2026,08:38:52:120,0.000000,0.000000,3,-124.9,-124.9,0,0,
