Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,08:38:51:600,0.000000,0.000000,1,-120.9,-120.9,0,0,
08/27/2026,08:38:51:669,0.000000,0.000000,2,-124.47,-124.47,0,0,
08/27/2026,08:38:51:745,0.000000,0.000000,1,-120.92,-120.92,0,0,
08/27/2026,08:38:51:811,0.000000,0.000000,2,-124.65,-124.65,0,0,
08/27/2026,08:38:51:886,0.000000,0.000000,3,-123.16,-123.16,0,0,
08/27/2026,08:38:51:927,0.000000,0.000000,1,-126.03,-126.03,0,0,
08/27/2026,08:38:52:000,0.000000,0.000000,2,-125.61,-125.61,0,0,
08/27/2026,08:38:52:066,0.000000,0.000000,3,-123.81,-123.81,0,0,
08/27/2026,08:38:52:072,0.000000,0.000000,1,-122.79,-122.79,0,0,
08/27/2026,08:38:52:109,0.000000,0.000000,4,-77.72,-77.72,0,0,
08/27/2026,08:38:52:113,0.000000,0.000000,2,-124.3,-124.3,0,0,
08/27/2026,08:38:52:181,0.000000,0.000000,3,-126.7,-126.7,0,0,
08/27/2026,08:38:52:195,0.000000,0.000000,1,-121.74,-121.74,0,0,
08/27/2026,08:38:52:307,0.000000,0.000000,4,-80.37,-80.37,0,0,
08/27/2026,08:38:52:311,0.000000,0.000000,2,-123.33,-123.33,0,0,
08/27/2026,08:38:52:329,0.000000,0.000000,3,-124.4,-124.4,0,0,
08/27/2026,08:38:52:372,0.000000,0.000000,1,-122.94,-122.94,0,0,
08/27/2026,08:38:52:547,0.000000,0.000000,4,-81.97,-81.97,0,0,
08/27/2026,08:38:52:553,0.000000,0.000000,2,-122.89,-122.89,0,0,
08/27/2026,08:38:52:604,0.000000,0.000000,3,-123.05,-123.05,0,0,
08/27/2026,08:38:52:616,0.000000,0.000000,1,-124.32,-124.32,0,0,
08/27/2026,08:38:52:725,0.000000,0.000000,4,-76.57,-76.57,0,0,
08/27/2026,08:38:52:768,0.000000,0.000000,2,-124.33,-124.33,0,0,
08/27/2026,08:38:52:846,0.000000,0.000000,3,-123.2,-123.2,0,0,
08/27/2026,08:38:52:863,0.000000,0.000000,1,-120.99,-120.99,0,0,
08/27/2026,08:38:52:948,0.000000,0.000000,4,-76.22,-76.22,0,0,
08/27/2026,08:38:52:954,0.000000,0.000000,2,-124.19,-124.19,0,0,
08/27/2026,08:38:53:020,0.000000,0.000000,3,-123.63,-123.63,0,0,
08/27/2026,08:38:53:151,0.000000,0.000000,1,-121.07,-121.07,0,0,
08/27/2026,08:38:53:217,0.000000,0.000000,4,-75.76,-75.76,0,0,
08/27/2026,08:38:53:245,0.000000,0.000000,2,-124.58,-124.58,0,0,
08/27/2026,08:38:53:373,0.000000,0.000000,3,-125.22,-125.22,0,0,
08/27/2026,08:38:53:420,0.000000,0.000000,1,-122.87,-122.87,0,0,
08/27/2026,08:38:53:508,0.000000,0.000000,4,-85.54,-85.54,0,0,
08/27/2026,08:38:53:516,0.000000,0.000000,2,-123.89,-123.89,0,0,
