Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,08:27:01:664,0.000000,0.000000,1,-124.64,-124.64,0,0,
08/27/2026,08:27:01:683,0.000000,0.000000,1,-123.9,-123.9,0,0,
08/27/2026,08:27:01:691,0.000000,0.000000,1,-124.11,-124.11,0,0,
08/27/2026,08:27:01:712,0.000000,0.000000,1,-125.38,-125.38,0,0,
08/27/2026,08:27:01:725,0.000000,0.000000,1,-123.32,-123.32,0,0,
08/27/2026,08:27:01:754,0.000000,0.000000,1,-122.96,-122.96,0,0,
08/27/2026,08:27:01:758,0.000000,0.000000,2,-124.65,-124.65,0,0,
08/27/2026,08:27:01:775,0.000000,0.000000,1,-123.01,-123.01,0,0,
08/27/2026,08:27:01:800,0.000000,0.000000,2,-124.25,-124.25,0,0,
08/27/2026,08:27:01:816,0.000000,0.000000,3,-124.16,-124.16,0,0,
08/27/2026,08:27:01:844,0.000000,0.000000,1,-125.09,-125.09,0,0,
08/27/2026,08:27:01:849,0.000000,0.000000,2,-123.3,-123.3,0,0,
08/27/2026,08:27:01:865,0.000000,0.000000,4,-82.05,-82.05,0,0,
08/27/2026,08:27:01:890,0.000000,0.000000,3,-125.33,-125.33,0,0,
08/27/2026,08:27:01:908,0.000000,0.000000,1,-122.12,-122.12,0,0,
08/27/2026,08:27:01:942,0.000000,0.000000,2,-118.71,-118.71,0,0,
08/27/2026,08:27:01:949,0.000000,0.000000,4,-87.78,-87.78,0,0,
08/27/2026,08:27:01:979,0.000000,0.000000,3,-126.21,-126.21,0,0,
08/27/2026,08:27:01:985,0.000000,0.000000,1,-124.03,-124.03,0,0,
08/27/2026,08:27:02:032,0.000000,0.000000,2,-125.8,-125.8,0,0,
08/27/2026,08:27:02:066,0.000000,0.000000,4,-82.34,-82.34,0,0,
08/27/2026,08:27:02:142,0.000000,0.000000,3,-126.92,-126.92,0,0,
08/27/2026,08:27:02:144,0.000000,0.000000,1,-124.11,-124.11,0,0,
08/27/2026,08:27:02:205,0.000000,0.000000,2,-125.73,-125.73,0,0,
08/27/2026,08:27:02:252,0.000000,0.000000,4,-83.25,-83.25,0,0,
08/27/2026,08:27:02:310,0.000000,0.000000,3,-126.49,-126.49,0,0,
08/27/2026,08:27:02:318,0.000000,0.000000,1,-123.87,-123.87,0,0,
08/27/2026,08:27:02:455,0.000000,0.000000,2,-126.31,-126.31,0,0,
08/27/2026,08:27:02:530,0.000000,0.000000,4,-94.44,-94.44,0,0,
08/27/2026,08:27:02:592,0.000000,0.000000,3,-123.65,-123.65,0,0,
08/27/2026,08:27:02:617,0.000000,0.000000,1,-121.73,-121.73,0,0,
08/27/2026,08:27:02:735,0.000000,0.000000,2,-123.01,-123.01,0,0,
08/27/2026,08:27:02:801,0.000000,0.000000,4,-84.71,-84.71,0,0,
08/27/2026,08:27:02:876,0.000000,0.000000,3,-122.7,-122.7,0,0,
08/27/2026,08:27:02:914,0.000000,0.000000,1,-125.34,-125.34,0,0,
08/27/2026,08:27:03:033,0.000000,0.000000,2,-124.03,-124.03,0,0,
08/27/2026,08:27:03:122,0.000000,0.000000,4,-85.6,-85.6,0,0,
08/27/2026,08:27:03:177,0.000000,0.000000,3,-124.1,-124.1,0,0,
08/27/2026,08:27:03:180,0.000000,0.000000,1,-126.7,-126.7,0,0,
08/27/2026,08:27:03:306,0.000000,0.000000,2,-125.22,-125.22,0,0,
08/27/2026,08:27:03:373,0.000000,0.000000,4,-84.44,-84.44,0,0,
08/27/2026,08:27:03:437,0.000000,0.000000,3,-120.9,-120.9,0,0,
08/27/2026,08:27:03:461,0.000000,0.000000,1,-122.11,-122.11,0,0,
08/27/2026,08:27:03:581,0.000000,0.000000,2,-121.57,-121.57,0,0,
08/27/2026,08:27:03:651,0.000000,0.000000,4,-81.8,-81.8,0,0,
08/27/2026,08:27:03:756,0.000000,0.000000,3,-121.83,-121.83,0,0,
08/27/2026,08:27:03:763,0.000000,0.000000,1,-122.58,-122.58,0,0,
08/27/2026,08:27:03:880,0.000000,0.000000,2,-123.75,-123.75,0,0,
08/27/2026,08:27:03:963,0.000000,0.000000,4,-79.87,-79.87,0,0,
08/27/2026,08:27:04:020,0.000000,0.000000,3,-119.23,-119.23,0,0,
08/27/2026,08:27:04:036,0.000000,0.000000,1,-120.46,-120.46,0,0,
08/27/2026,08:27:04:155,0.000000,0.000000,2,-123.61,-123.61,0,0,
08/27/2026,08:27:04:237,0.000000,0.000000,4,-88.72,-88.72,0,0,
08/27/2026,08:27:04:301,0.000000,0.000000,3,-121.55,-121.55,0,0,
08/27/2026,08:27:04:318,0.000000,0.000000,1,-124.31,-124.31,0,0,
08/27/2026,08:27:04:435,0.000000,0.000000,2,-123.41,-123.41,0,0,
08/27/2026,08:27:04:516,0.000000,0.000000,4,-85,-85,0,0,
08/27/2026,08:27:04:601,0.000000,0.000000,3,-124.72,-124.72,0,0,
08/27/2026,08:27:04:602,0.000000,0.000000,1,-124.68,-124.68,0,0,
08/27/2026,08:27:04:811,0.000000,0.000000,2,-123.7,-123.7,0,0,
08/27/2026,08:27:04:869,0.000000,0.000000,4,-86.84,-86.84,0,0,
08/27/2026,08:27:04:906,0.000000,0.000000,3,-124.95,-124.95,0,0,
08/27/2026,08:27:04:909,0.000000,0.000000,1,-124.66,-124.66,0,0,
08/27/2026,08:27:05:019,0.000000,0.000000,2,-123.58,-123.58,0,0,
08/27/2026,08:27:05:073,0.000000,0.000000,4,-80.15,-80.15,0,0,
08/27/2026,08:27:05:147,0.000000,0.000000,3,-124.37,-124.37,0,0,
08/27/2026,08:27:05:160,0.000000,0.000000,1,-123.52,-123.52,0,0,
08/27/2026,08:27:05:288,0.000000,0.000000,2,-124.09,-124.09,0,0,
08/27/2026,08:27:05:352,0.000000,0.000000,4,-76.47,-76.47,0,0,
08/27/2026,08:27:05:432,0.000000,0.000000,3,-124.71,-124.71,0,0,
08/27/2026,08:27:05:445,0.000000,0.000000,1,-125.55,-125.55,0,0,
08/27/2026,08:27:05:572,0.000000,0.000000,2,-125.38,-125.38,0,0,
08/27/2026,08:27:05:644,0.000000,0.000000,4,-81.53,-81.53,0,0,
08/27/2026,08:27:05:709,0.000000,0.000000,3,-124.4,-124.4,0,0,
08/27/2026,08:27:05:746,0.000000,0.000000,1,-124.2,-124.2,0,0,
08/27/2026,08:27:05:854,0.000000,0.000000,2,-124.2,-124.2,0,0,
