Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,06:47:16:929,0.000000,0.000000,1,-125.04,-125.04,0,0,
08/27/2026,06:47:16:987,0.000000,0.000000,2,-119.59,-119.59,0,0,
08/27/2026,06:47:17:004,0.000000,0.000000,1,-114,-114,0,0,
08/27/2026,06:47:17:052,0.000000,0.000000,3,-123.53,-123.53,0,0,
08/27/2026,06:47:17:128,0.000000,0.000000,2,-118.99,-118.99,0,0,
08/27/2026,06:47:17:176,0.000000,0.000000,1,-120.68,-120.68,0,0,
08/27/2026,06:47:17:198,0.000000,0.000000,3,-122.11,-122.11,0,0,
08/27/2026,06:47:17:332,0.000000,0.000000,2,-121.95,-121.95,0,0,
08/27/2026,06:47:17:340,0.000000,0.000000,1,-123.67,-123.67,0,0,
08/27/2026,06:47:17:419,0.000000,0.000000,3,-125.68,-125.68,0,0,
08/27/2026,06:47:17:551,0.000000,0.000000,2,-120.49,-120.49,0,0,
08/27/2026,06:47:17:587,0.000000,0.000000,1,-124.76,-124.76,0,0,
08/27/2026,06:47:17:672,0.000000,0.000000,3,-125.25,-125.25,0,0,
08/27/2026,06:47:17:813,0.000000,0.000000,2,-122.57,-122.57,0,0,
08/27/2026,06:47:17:862,0.000000,0.000000,1,-123.49,-123.49,0,0,
08/27/2026,06:47:17:921,0.000000,0.000000,3,-124.64,-124.64,0,0,
08/27/2026,06:47:18:106,0.000000,0.000000,2,-121.05,-121.05,0,0,
08/27/2026,06:47:18:121,0.000000,0.000000,1,-125.11,-125.11,0,0,
08/27/2026,06:47:18:203,0.000000,0.000000,3,-125.55,-125.55,0,0,
08/27/2026,06:47:18:348,0.000000,0.000000,2,-120.38,-120.38,0,0,
08/27/2026,06:47:18:423,0.000000,0.000000,1,-124.6,-124.6,0,0,
08/27/2026,06:47:18:484,0.000000,0.000000,3,-123.38,-123.38,0,0,
08/27/2026,06:47:18:651,0.000000,0.000000,2,-119.2,-119.2,0,0,
08/27/2026,06:47:18:707,0.000000,0.000000,1,-125.28,-125.28,0,0,
08/27/2026,06:47:18:789,0.000000,0.000000,3,-125.22,-125.22,0,0,
08/27/2026,06:47:18:909,0.000000,0.000000,2,-120.44,-120.44,0,0,
08/27/2026,06:47:18:951,0.000000,0.000000,1,-125.46,-125.46,0,0,
08/27/2026,06:47:19:008,0.000000,0.000000,3,-125.3,-125.3,0,0,
08/27/2026,06:47:19:169,0.000000,0.000000,2,-119.78,-119.78,0,0,
08/27/2026,06:47:19:215,0.000000,0.000000,1,-123.1,-123.1,0,0,
08/27/2026,06:47:19:256,0.000000,0.000000,3,-124.49,-124.49,0,0,
08/27/2026,06:47:19:437,0.000000,0.000000,2,-121.29,-121.29,0,0,
08/27/2026,06:47:19:471,0.000000,0.000000,1,-125.54,-125.54,0,0,
08/27/2026,06:47:19:508,0.000000,0.000000,3,-122.74,-122.74,0,0,
08/27/2026,06:47:19:671,0.000000,0.000000,2,-120.14,-120.14,0,0,
08/27/2026,06:47:19:692,0.000000,0.000000,1,-123.34,-123.34,0,0,
08/27/2026,06:47:19:768,0.000000,0.000000,3,-124,-124,0,0,
08/27/2026,06:47:19:927,0.000000,0.000000,2,-119.64,-119.64,0,0,
08/27/2026,06:47:19:972,0.000000,0.000000,1,-123.33,-123.33,0,0,
08/27/2026,06:47:20:035,0.000000,0.000000,3,-124.74,-124.74,0,0,
08/27/2026,06:47:20:190,0.000000,0.000000,2,-119.82,-119.82,0,0,
08/27/2026,06:47:20:226,0.000000,0.000000,1,-121.57,-121.57,0,0,
08/27/2026,06:47:20:307,0.000000,0.000000,3,-124.23,-124.23,0,0,
08/27/2026,06:47:20:461,0.000000,0.000000,2,-122.66,-122.66,0,0,
08/27/2026,06:47:20:499,0.000000,0.000000,1,-123.99,-123.99,0,0,
08/27/2026,06:47:20:590,0.000000,0.000000,3,-124.9,-124.9,0,0,
08/27/2026,06:47:20:780,0.000000,0.000000,2,-117.84,-117.84,0,0,
08/27/2026,06:47:20:821,0.000000,0.000000,1,-120.19,-120.19,0,0,
08/27/2026,06:47:20:873,0.000000,0.000000,3,-126.49,-126.49,0,0,
08/27/2026,06:47:21:004,0.000000,0.000000,2,-119.12,-119.12,0,0,
08/27/2026,06:47:21:034,0.000000,0.000000,1,-116.81,-116.81,0,0,
08/27/2026,06:47:21:115,0.000000,0.000000,3,-121.21,-121.21,0,0,
08/27/2026,06:47:21:260,0.000000,0.000000,2,-119.8,-119.8,0,0,
08/27/2026,06:47:21:306,0.000000,0.000000,1,-118.05,-118.05,0,0,
08/27/2026,06:47:21:372,0.000000,0.000000,3,-122.92,-122.92,0,0,
08/27/2026,06:47:21:509,0.000000,0.000000,2,-117.76,-117.76,0,0,
08/27/2026,06:47:21:553,0.000000,0.000000,1,-123.07,-123.07,0,0,
08/27/2026,06:47:21:630,0.000000,0.000000,3,-123.48,-123.48,0,0,
08/27/2026,06:47:21:777,0.000000,0.000000,2,-120.82,-120.82,0,0,
08/27/2026,06:47:21:820,0.000000,0.000000,1,-124.55,-124.55,0,0,
08/27/2026,06:47:21:886,0.000000,0.000000,3,-120.77,-120.77,0,0,
08/27/2026,06:47:22:071,0.000000,0.000000,2,-118.21,-118.21,0,0,
08/27/2026,06:47:22:078,0.000000,0.000000,1,-124.07,-124.07,0,0,
08/27/2026,06:47:22:139,0.000000,0.000000,3,-121.67,-121.67,0,0,
08/27/2026,06:47:22:298,0.000000,0.000000,2,-112.54,-112.54,0,0,
08/27/2026,06:47:22:333,0.000000,0.000000,1,-125.41,-125.41,0,0,
08/27/2026,06:47:23:045,0.000000,0.000000,3,-118.69,-118.69,0,0,
08/27/2026,06:47:23:099,0.000000,0.000000,2,-108.38,-108.38,0,0,
08/27/2026,06:47:23:109,0.000000,0.000000,1,-113.63,-113.63,0,0,
08/27/2026,06:47:23:131,0.000000,0.000000,3,-110.25,-110.25,0,0,
08/27/2026,06:47:23:218,0.000000,0.000000,2,-113.74,-113.74,0,0,
08/27/2026,06:47:23:225,0.000000,0.000000,1,-112.69,-112.69,0,0,
08/27/2026,06:47:23:244,0.000000,0.000000,3,-124.88,-124.88,0,0,
08/27/2026,06:47:23:361,0.000000,0.000000,2,-116.03,-116.03,0,0,
08/27/2026,06:47:23:368,0.000000,0.000000,1,-123.98,-123.98,0,0,
08/27/2026,06:47:23:398,0.000000,0.000000,3,-117.62,-117.62,0,0,
08/27/2026,06:47:23:472,0.000000,0.000000,2,-116.92,-116.92,0,0,
08/27/2026,06:47:23:479,0.000000,0.000000,1,-124.64,-124.64,0,0,
08/27/2026,06:47:23:499,0.000000,0.000000,3,-123.41,-123.41,0,0,
08/27/2026,06:47:23:620,0.000000,0.000000,2,-118.97,-118.97,0,0,
08/27/2026,06:47:23:645,0.000000,0.000000,1,-115.99,-115.99,0,0,
08/27/2026,06:47:23:711,0.000000,0.000000,3,-124.67,-124.67,0,0,
08/27/2026,06:47:23:871,0.000000,0.000000,2,-118.31,-118.31,0,0,
08/27/2026,06:47:23:914,0.000000,0.000000,1,-121.06,-121.06,0,0,
08/27/2026,06:47:23:978,0.000000,0.000000,3,-123.8,-123.8,0,0,
08/27/2026,06:47:24:128,0.000000,0.000000,2,-118.77,-118.77,0,0,
08/27/2026,06:47:24:171,0.000000,0.000000,1,-123.81,-123.81,0,0,
08/27/2026,06:47:24:237,0.000000,0.000000,3,-122.87,-122.87,0,0,
08/27/2026,06:47:24:390,0.000000,0.000000,2,-119.4,-119.4,0,0,
08/27/2026,06:47:24:443,0.000000,0.000000,1,-124.29,-124.29,0,0,
08/27/2026,06:47:24:516,0.000000,0.000000,3,-115.77,-115.77,0,0,
08/27/2026,06:47:24:724,0.000000,0.000000,2,-120.39,-120.39,0,0,
08/27/2026,06:47:24:734,0.000000,0.000000,1,-122.48,-122.48,0,0,
08/27/2026,06:47:24:820,0.000000,0.000000,3,-120.91,-120.91,0,0,
08/27/2026,06:47:24:961,0.000000,0.000000,2,-121.21,-121.21,0,0,
08/27/2026,06:47:25:004,0.000000,0.000000,1,-123.16,-123.16,0,0,
08/27/2026,06:47:25:024,0.000000,0.000000,3,-119.42,-119.42,0,0,
08/27/2026,06:47:25:190,0.000000,0.000000,2,-116.33,-116.33,0,0,
08/27/2026,06:47:25:213,0.000000,0.000000,1,-122.43,-122.43,0,0,
08/27/2026,06:47:25:300,0.000000,0.000000,3,-118.5,-118.5,0,0,
08/27/2026,06:47:25:436,0.000000,0.000000,2,-119.04,-119.04,0,0,
08/27/2026,06:47:25:473,0.000000,0.000000,1,-123.31,-123.31,0,0,
08/27/2026,06:47:25:545,0.000000,0.000000,3,-115.49,-115.49,0,0,
08/27/2026,06:47:25:703,0.000000,0.000000,2,-120.68,-120.68,0,0,
08/27/2026,06:47:25:734,0.000000,0.000000,1,-125.04,-125.04,0,0,
08/27/2026,06:47:25:807,0.000000,0.000000,3,-121.88,-121.88,0,0,
08/27/2026,06:47:25:961,0.000000,0.000000,2,-118.96,-118.96,0,0,
08/27/2026,06:47:25:997,0.000000,0.000000,1,-121.85,-121.85,0,0,
08/27/2026,06:47:26:067,0.000000,0.000000,3,-122.28,-122.28,0,0,
08/27/2026,06:47:26:227,0.000000,0.000000,2,-118.52,-118.52,0,0,
08/27/2026,06:47:26:286,0.000000,0.000000,1,-123.41,-123.41,0,0,
08/27/2026,06:47:26:330,0.000000,0.000000,3,-119.73,-119.73,0,0,
08/27/2026,06:47:26:513,0.000000,0.000000,2,-119.75,-119.75,0,0,
08/27/2026,06:47:26:520,0.000000,0.000000,1,-120.08,-120.08,0,0,
08/27/2026,06:47:26:590,0.000000,0.000000,3,-118.51,-118.51,0,0,
08/27/2026,06:47:26:748,0.000000,0.000000,2,-119.61,-119.61,0,0,
08/27/2026,06:47:26:786,0.000000,0.000000,1,-125.68,-125.68,0,0,
08/27/2026,06:47:26:853,0.000000,0.000000,3,-119.6,-119.6,0,0,
08/27/2026,06:47:27:018,0.000000,0.000000,2,-118.88,-118.88,0,0,
08/27/2026,06:47:27:059,0.000000,0.000000,1,-124.06,-124.06,0,0,
08/27/2026,06:47:27:124,0.000000,0.000000,3,-122.04,-122.04,0,0,
08/27/2026,06:47:27:274,0.000000,0.000000,2,-121.12,-121.12,0,0,
08/27/2026,06:47:27:307,0.000000,0.000000,1,-126.17,-126.17,0,0,
08/27/2026,06:47:27:375,0.000000,0.000000,3,-120.8,-120.8,0,0,
08/27/2026,06:47:27:533,0.000000,0.000000,2,-121.54,-121.54,0,0,
08/27/2026,06:47:27:580,0.000000,0.000000,1,-124.3,-124.3,0,0,
08/27/2026,06:47:27:645,0.000000,0.000000,3,-120.7,-120.7,0,0,
08/27/2026,06:47:27:800,0.000000,0.000000,2,-122.13,-122.13,0,0,
08/27/2026,06:47:27:837,0.000000,0.000000,1,-124.3,-124.3,0,0,
08/27/2026,06:47:27:900,0.000000,0.000000,3,-121.09,-121.09,0,0,
