Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,06:49:50:462,0.000000,0.000000,1,-75.52,-75.52,0,0,
08/27/2026,06:49:50:478,0.000000,0.000000,1,-80.59,-80.59,0,0,
08/27/2026,06:49:50:498,0.000000,0.000000,1,-78.96,-78.96,0,0,
08/27/2026,06:49:50:516,0.000000,0.000000,1,-91.11,-91.11,0,0,
08/27/2026,06:49:50:531,0.000000,0.000000,2,-124.31,-124.31,0,0,
08/27/2026,06:49:50:545,0.000000,0.000000,1,-82.98,-82.98,0,0,
08/27/2026,06:49:50:563,0.000000,0.000000,2,-123.75,-123.75,0,0,
08/27/2026,06:49:50:582,0.000000,0.000000,3,-122.05,-122.05,0,0,
08/27/2026,06:49:50:596,0.000000,0.000000,1,-77.9,-77.9,0,0,
08/27/2026,06:49:50:619,0.000000,0.000000,2,-122.67,-122.67,0,0,
08/27/2026,06:49:50:629,0.000000,0.000000,4,-123.87,-123.87,0,0,
08/27/2026,06:49:50:652,0.000000,0.000000,3,-121.54,-121.54,0,0,
08/27/2026,06:49:50:669,0.000000,0.000000,1,-72.43,-72.43,0,0,
08/27/2026,06:49:50:725,0.000000,0.000000,2,-121.41,-121.41,0,0,
08/27/2026,06:49:50:731,0.000000,0.000000,4,-124.1,-124.1,0,0,
08/27/2026,06:49:50:753,0.000000,0.000000,3,-124.29,-124.29,0,0,
08/27/2026,06:49:50:768,0.000000,0.000000,1,-75.97,-75.97,0,0,
08/27/2026,06:49:50:802,0.000000,0.000000,2,-123.98,-123.98,0,0,
08/27/2026,06:49:50:837,0.000000,0.000000,4,-122.71,-122.71,0,0,
08/27/2026,06:49:50:883,0.000000,0.000000,3,-122.56,-122.56,0,0,
08/27/2026,06:49:50:907,0.000000,0.000000,1,-74.74,-74.74,0,0,
08/27/2026,06:49:50:951,0.000000,0.000000,2,-124.18,-124.18,0,0,
08/27/2026,06:49:51:006,0.000000,0.000000,4,-121.98,-121.98,0,0,
