Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,08:15:44:749,0.000000,0.000000,1,-122.82,-122.82,0,0,
08/27/2026,08:15:44:873,0.000000,0.000000,2,-121.67,-121.67,0,0,
08/27/2026,08:15:44:913,0.000000,0.000000,3,-100.18,-100.18,0,0,
08/27/2026,08:15:45:000,0.000000,0.000000,4,-121.96,-121.96,0,0,
08/27/2026,08:15:45:162,0.000000,0.000000,1,-124.17,-124.17,0,0,
08/27/2026,08:15:45:282,0.000000,0.000000,2,-125.28,-125.28,0,0,
08/27/2026,08:15:45:295,0.000000,0.000000,3,-95.23,-95.23,0,0,
08/27/2026,08:15:45:363,0.000000,0.000000,4,-119.47,-119.47,0,0,
08/27/2026,08:15:45:510,0.000000,0.000000,1,-123.23,-123.23,0,0,
08/27/2026,08:15:45:604,0.000000,0.000000,2,-122.88,-122.88,0,0,
08/27/2026,08:15:45:650,0.000000,0.000000,3,-97.23,-97.23,0,0,
08/27/2026,08:15:45:748,0.000000,0.000000,4,-123.04,-123.04,0,0,
08/27/2026,08:15:45:895,0.000000,0.000000,1,-119.68,-119.68,0,0,
08/27/2026,08:15:46:001,0.000000,0.000000,2,-123.17,-123.17,0,0,
08/27/2026,08:15:46:040,0.000000,0.000000,3,-102.61,-102.61,0,0,
08/27/2026,08:15:46:143,0.000000,0.000000,4,-121.32,-121.32,0,0,
08/27/2026,08:15:46:283,0.000000,0.000000,1,-123.41,-123.41,0,0,
08/27/2026,08:15:46:371,0.000000,0.000000,2,-118.93,-118.93,0,0,
08/27/2026,08:15:46:402,0.000000,0.000000,3,-102.17,-102.17,0,0,
08/27/2026,08:15:46:507,0.000000,0.000000,4,-120.76,-120.76,0,0,
08/27/2026,08:15:46:687,0.000000,0.000000,1,-121.02,-121.02,0,0,
08/27/2026,08:15:46:736,0.000000,0.000000,2,-121.69,-121.69,0,0,
08/27/2026,08:15:46:806,0.000000,0.000000,3,-98.47,-98.47,0,0,
08/27/2026,08:15:46:884,0.000000,0.000000,4,-103.81,-103.81,0,0,
08/27/2026,08:15:47:024,0.000000,0.000000,1,-122.28,-122.28,0,0,
08/27/2026,08:15:47:111,0.000000,0.000000,2,-119.87,-119.87,0,0,
08/27/2026,08:15:47:163,0.000000,0.000000,3,-103.34,-103.34,0,0,
08/27/2026,08:15:47:242,0.000000,0.000000,4,-120.14,-120.14,0,0,
08/27/2026,08:15:47:372,0.000000,0.000000,1,-122.94,-122.94,0,0,
