Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
08/27/2026,06:55:39:490,0.000000,0.000000,1,-92.21,-92.21,0,0,
08/27/2026,06:55:39:576,0.000000,0.000000,2,-123.2,-123.2,0,0,
08/27/2026,06:55:39:595,0.000000,0.000000,3,-124.01,-124.01,0,0,
08/27/2026,06:55:39:605,0.000000,0.000000,1,-93.41,-93.41,0,0,
08/27/2026,06:55:39:640,0.000000,0.000000,4,-121.68,-121.68,0,0,
08/27/2026,06:55:39:681,0.000000,0.000000,2,-123.48,-123.48,0,0,
08/27/2026,06:55:39:762,0.000000,0.000000,3,-124.52,-124.52,0,0,
08/27/2026,06:55:39:774,0.000000,0.000000,1,-91.54,-91.54,0,0,
08/27/2026,06:55:39:807,0.000000,0.000000,4,-121.93,-121.93,0,0,
08/27/2026,06:55:39:900,0.000000,0.000000,2,-123.89,-123.89,0,0,
08/27/2026,06:55:39:999,0.000000,0.000000,3,-123.86,-123.86,0,0,
08/27/2026,06:55:40:041,0.000000,0.000000,1,-88.85,-88.85,0,0,
08/27/2026,06:55:40:088,0.000000,0.000000,4,-120.44,-120.44,0,0,
08/27/2026,06:55:40:154,0.000000,0.000000,2,-124.83,-124.83,0,0,
08/27/2026,06:55:40:290,0.000000,0.000000,3,-125.29,-125.29,0,0,
08/27/2026,06:55:40:315,0.000000,0.000000,1,-89.79,-89.79,0,0,
08/27/2026,06:55:40:368,0.000000,0.000000,4,-119.34,-119.34,0,0,
08/27/2026,06:55:40:459,0.000000,0.000000,2,-124.39,-124.39,0,0,
08/27/2026,06:55:40:557,0.000000,0.000000,3,-123.96,-123.96,0,0,
08/27/2026,06:55:40:594,0.000000,0.000000,1,-87.35,-87.35,0,0,
08/27/2026,06:55:40:646,0.000000,0.000000,4,-121.92,-121.92,0,0,
08/27/2026,06:55:40:711,0.000000,0.000000,2,-125.4,-125.4,0,0,
08/27/2026,06:55:40:839,0.000000,0.000000,3,-125.78,-125.78,0,0,
08/27/2026,06:55:40:880,0.000000,0.000000,1,-94.83,-94.83,0,0,
08/27/2026,06:55:40:922,0.000000,0.000000,4,-120.5,-120.5,0,0,
08/27/2026,06:55:40:998,0.000000,0.000000,2,-124.04,-124.04,0,0,
08/27/2026,06:55:41:122,0.000000,0.000000,3,-122.02,-122.02,0,0,
08/27/2026,06:55:41:177,0.000000,0.000000,1,-89.97,-89.97,0,0,
08/27/2026,06:55:41:207,0.000000,0.000000,4,-120.13,-120.13,0,0,
08/27/2026,06:55:41:273,0.000000,0.000000,2,-123.94,-123.94,0,0,
08/27/2026,06:55:41:401,0.000000,0.000000,3,-123.62,-123.62,0,0,
08/27/2026,06:55:41:427,0.000000,0.000000,1,-86.8,-86.8,0,0,
08/27/2026,06:55:41:487,0.000000,0.000000,4,-124.8,-124.8,0,0,
08/27/2026,06:55:41:557,0.000000,0.000000,2,-123.43,-123.43,0,0,
08/27/2026,06:55:41:687,0.000000,0.000000,3,-121.34,-121.34,0,0,
08/27/2026,06:55:41:718,0.000000,0.000000,1,-90.47,-90.47,0,0,
08/27/2026,06:55:41:768,0.000000,0.000000,4,-123.98,-123.98,0,0,
08/27/2026,06:55:41:837,0.000000,0.000000,2,-122.43,-122.43,0,0,
08/27/2026,06:55:41:960,0.000000,0.000000,3,-122.59,-122.59,0,0,
08/27/2026,06:55:42:018,0.000000,0.000000,1,-97.03,-97.03,0,0,
08/27/2026,06:55:42:050,0.000000,0.000000,4,-119.84,-119.84,0,0,
08/27/2026,06:55:42:117,0.000000,0.000000,2,-122.66,-122.66,0,0,
08/27/2026,06:55:42:252,0.000000,0.000000,3,-121.94,-121.94,0,0,
08/27/2026,06:55:42:302,0.000000,0.000000,1,-93.16,-93.16,0,0,
08/27/2026,06:55:42:401,0.000000,0.000000,4,-124.19,-124.19,0,0,
08/27/2026,06:55:42:482,0.000000,0.000000,2,-121.87,-121.87,0,0,
08/27/2026,06:55:42:567,0.000000,0.000000,3,-119.73,-119.73,0,0,
08/27/2026,06:55:42:574,0.000000,0.000000,1,-88.94,-88.94,0,0,
08/27/2026,06:55:42:617,0.000000,0.000000,4,-121.05,-121.05,0,0,
08/27/2026,06:55:42:712,0.000000,0.000000,2,-122.34,-122.34,0,0,
08/27/2026,06:55:42:807,0.000000,0.000000,3,-120.2,-120.2,0,0,
08/27/2026,06:55:42:853,0.000000,0.000000,1,-92.67,-92.67,0,0,
08/27/2026,06:55:42:899,0.000000,0.000000,4,-124.31,-124.31,0,0,
08/27/2026,06:55:42:970,0.000000,0.000000,2,-120.74,-120.74,0,0,
08/27/2026,06:55:43:084,0.000000,0.000000,3,-121.31,-121.31,0,0,
08/27/2026,06:55:43:123,0.000000,0.000000,1,-94.49,-94.49,0,0,
08/27/2026,06:55:43:173,0.000000,0.000000,4,-123.47,-123.47,0,0,
08/27/2026,06:55:43:256,0.000000,0.000000,2,-124.9,-124.9,0,0,
08/27/2026,06:55:43:395,0.000000,0.000000,3,-123.83,-123.83,0,0,
08/27/2026,06:55:43:429,0.000000,0.000000,1,-95.24,-95.24,0,0,
08/27/2026,06:55:43:489,0.000000,0.000000,4,-125,-125,0,0,
08/27/2026,06:55:43:548,0.000000,0.000000,2,-124.75,-124.75,0,0,
08/27/2026,06:55:43:691,0.000000,0.000000,3,-122.55,-122.55,0,0,
08/27/2026,06:55:43:699,0.000000,0.000000,1,-93.75,-93.75,0,0,
08/27/2026,06:55:43:765,0.000000,0.000000,4,-124.14,-124.14,0,0,
08/27/2026,06:55:43:821,0.000000,0.000000,2,-123.62,-123.62,0,0,
08/27/2026,06:55:43:940,0.000000,0.000000,3,-122.52,-122.52,0,0,
08/27/2026,06:55:43:979,0.000000,0.000000,1,-89.6,-89.6,0,0,
08/27/2026,06:55:44:030,0.000000,0.000000,4,-121.4,-121.4,0,0,
08/27/2026,06:55:44:097,0.000000,0.000000,2,-122.12,-122.12,0,0,
08/27/2026,06:55:44:227,0.000000,0.000000,3,-122.41,-122.41,0,0,
08/27/2026,06:55:44:256,0.000000,0.000000,1,-84.79,-84.79,0,0,
08/27/2026,06:55:44:315,0.000000,0.000000,4,-123.69,-123.69,0,0,
08/27/2026,06:55:44:401,0.000000,0.000000,2,-124.47,-124.47,0,0,
08/27/2026,06:55:44:526,0.000000,0.000000,3,-124.9,-124.9,0,0,
08/27/2026,06:55:44:536,0.000000,0.000000,1,-83.25,-83.25,0,0,
08/27/2026,06:55:44:617,0.000000,0.000000,4,-121.7,-121.7,0,0,
08/27/2026,06:55:44:668,0.000000,0.000000,2,-122.9,-122.9,0,0,
08/27/2026,06:55:44:776,0.000000,0.000000,3,-126.18,-126.18,0,0,
08/27/2026,06:55:45:124,0.000000,0.000000,1,-88.55,-88.55,0,0,
08/27/2026,06:55:45:133,0.000000,0.000000,4,-122.27,-122.27,0,0,
08/27/2026,06:55:45:151,0.000000,0.000000,2,-124.92,-124.92,0,0,
08/27/2026,06:55:45:187,0.000000,0.000000,3,-124.44,-124.44,0,0,
08/27/2026,06:55:45:193,0.000000,0.000000,1,-83.49,-83.49,0,0,
08/27/2026,06:55:45:213,0.000000,0.000000,4,-123.68,-123.68,0,0,
08/27/2026,06:55:45:232,0.000000,0.000000,2,-123.4,-123.4,0,0,
08/27/2026,06:55:45:342,0.000000,0.000000,3,-125.45,-125.45,0,0,
08/27/2026,06:55:45:372,0.000000,0.000000,1,-80.03,-80.03,0,0,
08/27/2026,06:55:45:434,0.000000,0.000000,4,-124.35,-124.35,0,0,
08/27/2026,06:55:45:492,0.000000,0.000000,2,-123.13,-123.13,0,0,
08/27/2026,06:55:45:628,0.000000,0.000000,3,-123.51,-123.51,0,0,
08/27/2026,06:55:45:652,0.000000,0.000000,1,-79.69,-79.69,0,0,
08/27/2026,06:55:45:718,0.000000,0.000000,4,-124.34,-124.34,0,0,
08/27/2026,06:55:45:773,0.000000,0.000000,2,-123.18,-123.18,0,0,
08/27/2026,06:55:45:906,0.000000,0.000000,3,-123.44,-123.44,0,0,
08/27/2026,06:55:45:933,0.000000,0.000000,1,-91.93,-91.93,0,0,
08/27/2026,06:55:45:990,0.000000,0.000000,4,-123.03,-123.03,0,0,
08/27/2026,06:55:46:056,0.000000,0.000000,2,-122.69,-122.69,0,0,
08/27/2026,06:55:46:200,0.000000,0.000000,3,-122.12,-122.12,0,0,
08/27/2026,06:55:46:206,0.000000,0.000000,1,-86.33,-86.33,0,0,
08/27/2026,06:55:46:281,0.000000,0.000000,4,-123.07,-123.07,0,0,
08/27/2026,06:55:46:329,0.000000,0.000000,2,-123.5,-123.5,0,0,
08/27/2026,06:55:46:483,0.000000,0.000000,3,-122.37,-122.37,0,0,
08/27/2026,06:55:46:490,0.000000,0.000000,1,-92.04,-92.04,0,0,
08/27/2026,06:55:46:553,0.000000,0.000000,4,-122.32,-122.32,0,0,
08/27/2026,06:55:46:607,0.000000,0.000000,2,-123.31,-123.31,0,0,
08/27/2026,06:55:46:738,0.000000,0.000000,3,-122.25,-122.25,0,0,
08/27/2026,06:55:46:774,0.000000,0.000000,1,-81.34,-81.34,0,0,
08/27/2026,06:55:46:819,0.000000,0.000000,4,-124.4,-124.4,0,0,
08/27/2026,06:55:46:887,0.000000,0.000000,2,-124.14,-124.14,0,0,
08/27/2026,06:55:47:014,0.000000,0.000000,3,-122.59,-122.59,0,0,
08/27/2026,06:55:47:045,0.000000,0.000000,1,-83.73,-83.73,0,0,
08/27/2026,06:55:47:106,0.000000,0.000000,4,-122.81,-122.81,0,0,
08/27/2026,06:55:47:165,0.000000,0.000000,2,-123.59,-123.59,0,0,
08/27/2026,06:55:47:291,0.000000,0.000000,3,-124.17,-124.17,0,0,
08/27/2026,06:55:47:326,0.000000,0.000000,1,-80.81,-80.81,0,0,
08/27/2026,06:55:47:375,0.000000,0.000000,4,-123.23,-123.23,0,0,
08/27/2026,06:55:47:447,0.000000,0.000000,2,-124.04,-124.04,0,0,
08/27/2026,06:55:47:593,0.000000,0.000000,3,-123.34,-123.34,0,0,
08/27/2026,06:55:47:601,0.000000,0.000000,1,-81.36,-81.36,0,0,
08/27/2026,06:55:47:659,0.000000,0.000000,4,-124.89,-124.89,0,0,
08/27/2026,06:55:47:726,0.000000,0.000000,2,-123.25,-123.25,0,0,
08/27/2026,06:55:47:844,0.000000,0.000000,3,-123.48,-123.48,0,0,
08/27/2026,06:55:47:880,0.000000,0.000000,1,-83.58,-83.58,0,0,
08/27/2026,06:55:47:933,0.000000,0.000000,4,-120.89,-120.89,0,0,
08/27/2026,06:55:48:006,0.000000,0.000000,2,-124.28,-124.28,0,0,
08/27/2026,06:55:48:176,0.000000,0.000000,3,-124.9,-124.9,0,0,
08/27/2026,06:55:48:187,0.000000,0.000000,1,-83.83,-83.83,0,0,
08/27/2026,06:55:48:225,0.000000,0.000000,4,-122.78,-122.78,0,0,
08/27/2026,06:55:48:291,0.000000,0.000000,2,-124.05,-124.05,0,0,
08/27/2026,06:55:48:407,0.000000,0.000000,3,-123.02,-123.02,0,0,
08/27/2026,06:55:48:450,0.000000,0.000000,1,-80.14,-80.14,0,0,
08/27/2026,06:55:48:495,0.000000,0.000000,4,-120.89,-120.89,0,0,
08/27/2026,06:55:48:560,0.000000,0.000000,2,-124.7,-124.7,0,0,
08/27/2026,06:55:48:680,0.000000,0.000000,3,-125.02,-125.02,0,0,
08/27/2026,06:55:48:730,0.000000,0.000000,1,-84.12,-84.12,0,0,
08/27/2026,06:55:48:780,0.000000,0.000000,4,-124.01,-124.01,0,0,
08/27/2026,06:55:48:843,0.000000,0.000000,2,-124.75,-124.75,0,0,
08/27/2026,06:55:48:966,0.000000,0.000000,3,-123.41,-123.41,0,0,
08/27/2026,06:55:48:999,0.000000,0.000000,1,-80.14,-80.14,0,0,
08/27/2026,06:55:49:052,0.000000,0.000000,4,-125.75,-125.75,0,0,
08/27/2026,06:55:49:115,0.000000,0.000000,2,-121.22,-121.22,0,0,
08/27/2026,06:55:49:239,0.000000,0.000000,3,-123.33,-123.33,0,0,
08/27/2026,06:55:49:283,0.000000,0.000000,1,-80.76,-80.76,0,0,
08/27/2026,06:55:49:329,0.000000,0.000000,4,-123.69,-123.69,0,0,
08/27/2026,06:55:49:396,0.000000,0.000000,2,-120.86,-120.86,0,0,
08/27/2026,06:55:49:521,0.000000,0.000000,3,-122.28,-122.28,0,0,
08/27/2026,06:55:49:558,0.000000,0.000000,1,-84.75,-84.75,0,0,
08/27/2026,06:55:49:607,0.000000,0.000000,4,-124.95,-124.95,0,0,
08/27/2026,06:55:49:679,0.000000,0.000000,2,-120.65,-120.65,0,0,
08/27/2026,06:55:49:795,0.000000,0.000000,3,-119.85,-119.85,0,0,
08/27/2026,06:55:49:841,0.000000,0.000000,1,-88.53,-88.53,0,0,
08/27/2026,06:55:49:884,0.000000,0.000000,4,-124,-124,0,0,
08/27/2026,06:55:49:969,0.000000,0.000000,2,-122.17,-122.17,0,0,
08/27/2026,06:55:50:089,0.000000,0.000000,3,-121.78,-121.78,0,0,
08/27/2026,06:55:50:136,0.000000,0.000000,1,-90.27,-90.27,0,0,
08/27/2026,06:55:50:178,0.000000,0.000000,4,-123.84,-123.84,0,0,
08/27/2026,06:55:50:275,0.000000,0.000000,2,-123.01,-123.01,0,0,
08/27/2026,06:55:50:366,0.000000,0.000000,3,-118.52,-118.52,0,0,
08/27/2026,06:55:50:397,0.000000,0.000000,1,-85.65,-85.65,0,0,
08/27/2026,06:55:50:443,0.000000,0.000000,4,-124.23,-124.23,0,0,
08/27/2026,06:55:50:525,0.000000,0.000000,2,-120.55,-120.55,0,0,
08/27/2026,06:55:50:641,0.000000,0.000000,3,-121.41,-121.41,0,0,
08/27/2026,06:55:50:668,0.000000,0.000000,1,-93.64,-93.64,0,0,
08/27/2026,06:55:50:727,0.000000,0.000000,4,-123.1,-123.1,0,0,
08/27/2026,06:55:50:791,0.000000,0.000000,2,-124.45,-124.45,0,0,
08/27/2026,06:55:50:915,0.000000,0.000000,3,-122.67,-122.67,0,0,
08/27/2026,06:55:50:946,0.000000,0.000000,1,-86.08,-86.08,0,0,
08/27/2026,06:55:51:004,0.000000,0.000000,4,-122.49,-122.49,0,0,
08/27/2026,06:55:51:071,0.000000,0.000000,2,-124.13,-124.13,0,0,
08/27/2026,06:55:51:194,0.000000,0.000000,3,-122.56,-122.56,0,0,
08/27/2026,06:55:51:227,0.000000,0.000000,1,-82.76,-82.76,0,0,
08/27/2026,06:55:51:278,0.000000,0.000000,4,-120.49,-120.49,0,0,
08/27/2026,06:55:51:364,0.000000,0.000000,2,-122.98,-122.98,0,0,
08/27/2026,06:55:51:473,0.000000,0.000000,3,-122.46,-122.46,0,0,
08/27/2026,06:55:51:510,0.000000,0.000000,1,-82.47,-82.47,0,0,
08/27/2026,06:55:51:561,0.000000,0.000000,4,-121.44,-121.44,0,0,
08/27/2026,06:55:51:662,0.000000,0.000000,2,-125.14,-125.14,0,0,
08/27/2026,06:55:51:754,0.000000,0.000000,3,-122.08,-122.08,0,0,
08/27/2026,06:55:51:796,0.000000,0.000000,1,-82.49,-82.49,0,0,
08/27/2026,06:55:51:838,0.000000,0.000000,4,-119.7,-119.7,0,0,
08/27/2026,06:55:51:925,0.000000,0.000000,2,-122.07,-122.07,0,0,
08/27/2026,06:55:52:027,0.000000,0.000000,3,-121.4,-121.4,0,0,
08/27/2026,06:55:52:075,0.000000,0.000000,1,-85.19,-85.19,0,0,
08/27/2026,06:55:52:122,0.000000,0.000000,4,-123.49,-123.49,0,0,
08/27/2026,06:55:52:186,0.000000,0.000000,2,-123.5,-123.5,0,0,
08/27/2026,06:55:52:318,0.000000,0.000000,3,-123.71,-123.71,0,0,
08/27/2026,06:55:52:362,0.000000,0.000000,1,-91.7,-91.7,0,0,
08/27/2026,06:55:52:441,0.000000,0.000000,4,-122.81,-122.81,0,0,
08/27/2026,06:55:52:471,0.000000,0.000000,2,-124.39,-124.39,0,0,
08/27/2026,06:55:52:602,0.000000,0.000000,3,-119.99,-119.99,0,0,
08/27/2026,06:55:52:646,0.000000,0.000000,1,-87.15,-87.15,0,0,
