Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,09:17:52:292,0.000000,0.000000,1,-116.32,-116.32,0,0,
09/21/2026,09:17:52:342,0.000000,0.000000,2,-116.74,-116.74,0,0,
09/21/2026,09:17:52:398,0.000000,0.000000,3,-86.91,-86.91,0,0,
09/21/2026,09:17:52:452,0.000000,0.000000,4,-117.87,-117.87,0,0,
09/21/2026,09:17:52:504,0.000000,0.000000,1,-117.07,-117.07,0,0,
09/21/2026,09:17:52:555,0.000000,0.000000,2,-116.5,-116.5,0,0,
09/21/2026,09:17:52:616,0.000000,0.000000,3,-86.66,-86.66,0,0,
09/21/2026,09:17:52:670,0.000000,0.000000,4,-116.82,-116.82,0,0,
09/21/2026,09:17:52:723,0.000000,0.000000,1,-115.38,-115.38,0,0,
09/21/2026,09:17:52:782,0.000000,0.000000,2,-113.89,-113.89,0,0,
09/21/2026,09:17:52:838,0.000000,0.000000,3,-73.33,-73.33,0,0,
09/21/2026,09:17:52:890,0.000000,0.000000,4,-117.2,-117.2,0,0,
09/21/2026,09:17:52:973,0.000000,0.000000,1,-116.19,-116.19,0,0,
09/21/2026,09:17:53:023,0.000000,0.000000,2,-114.69,-114.69,0,0,
09/21/2026,09:17:53:085,0.000000,0.000000,3,-96.42,-96.42,0,0,
09/21/2026,09:17:53:136,0.000000,0.000000,4,-117.68,-117.68,0,0,
09/21/2026,09:17:53:184,0.000000,0.000000,1,-116.33,-116.33,0,0,
09/21/2026,09:17:53:246,0.000000,0.000000,2,-115.8,-115.8,0,0,
09/21/2026,09:17:53:309,0.000000,0.000000,3,-87.87,-87.87,0,0,
09/21/2026,09:17:53:347,0.000000,0.000000,4,-116.68,-116.68,0,0,
09/21/2026,09:17:53:400,0.000000,0.000000,1,-113.95,-113.95,0,0,
09/21/2026,09:17:53:481,0.000000,0.000000,2,-116.41,-116.41,0,0,
09/21/2026,09:17:53:524,0.000000,0.000000,3,-82.52,-82.52,0,0,
09/21/2026,09:17:53:574,0.000000,0.000000,4,-116.69,-116.69,0,0,
09/21/2026,09:17:53:631,0.000000,0.000000,1,-114.13,-114.13,0,0,
09/21/2026,09:17:53:660,0.000000,0.000000,2,-117.73,-117.73,0,0,
09/21/2026,09:17:53:715,0.000000,0.000000,3,-76.43,-76.43,0,0,
09/21/2026,09:17:53:769,0.000000,0.000000,4,-115.55,-115.55,0,0,
09/21/2026,09:17:53:837,0.000000,0.000000,1,-115.52,-115.52,0,0,
