Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,09:17:51:858,0.000000,0.000000,1,-123.44,-123.44,0,0,
09/21/2026,09:17:51:875,0.000000,0.000000,1,-122.59,-122.59,0,0,
09/21/2026,09:17:51:899,0.000000,0.000000,1,-125.45,-125.45,0,0,
09/21/2026,09:17:51:914,0.000000,0.000000,1,-122.33,-122.33,0,0,
09/21/2026,09:17:51:925,0.000000,0.000000,2,-117.92,-117.92,0,0,
09/21/2026,09:17:51:956,0.000000,0.000000,1,-125.11,-125.11,0,0,
09/21/2026,09:17:51:960,0.000000,0.000000,2,-117.79,-117.79,0,0,
09/21/2026,09:17:51:980,0.000000,0.000000,3,-125.37,-125.37,0,0,
09/21/2026,09:17:51:994,0.000000,0.000000,1,-124.72,-124.72,0,0,
09/21/2026,09:17:52:009,0.000000,0.000000,2,-119.2,-119.2,0,0,
09/21/2026,09:17:52:043,0.000000,0.000000,3,-126.13,-126.13,0,0,
09/21/2026,09:17:52:068,0.000000,0.000000,1,-123.92,-123.92,0,0,
09/21/2026,09:17:52:094,0.000000,0.000000,2,-120.66,-120.66,0,0,
09/21/2026,09:17:52:160,0.000000,0.000000,3,-122.57,-122.57,0,0,
09/21/2026,09:17:52:162,0.000000,0.000000,1,-125.35,-125.35,0,0,
09/21/2026,09:17:52:239,0.000000,0.000000,2,-120.1,-120.1,0,0,
09/21/2026,09:17:52:310,0.000000,0.000000,3,-122.66,-122.66,0,0,
09/21/2026,09:17:52:331,0.000000,0.000000,1,-124.55,-124.55,0,0,
09/21/2026,09:17:52:426,0.000000,0.000000,2,-118.98,-118.98,0,0,
09/21/2026,09:17:52:521,0.000000,0.000000,3,-125.35,-125.35,0,0,
09/21/2026,09:17:52:537,0.000000,0.000000,1,-125.19,-125.19,0,0,
09/21/2026,09:17:52:643,0.000000,0.000000,2,-119.42,-119.42,0,0,
09/21/2026,09:17:52:744,0.000000,0.000000,3,-125.17,-125.17,0,0,
09/21/2026,09:17:52:757,0.000000,0.000000,1,-124.81,-124.81,0,0,
09/21/2026,09:17:52:860,0.000000,0.000000,2,-118.08,-118.08,0,0,
09/21/2026,09:17:52:984,0.000000,0.000000,3,-124.7,-124.7,0,0,
09/21/2026,09:17:53:003,0.000000,0.000000,1,-126.35,-126.35,0,0,
09/21/2026,09:17:53:104,0.000000,0.000000,2,-116.23,-116.23,0,0,
