Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,09:17:52:027,0.000000,0.000000,1,-125.85,-125.85,0,0,
09/21/2026,09:17:52:111,0.000000,0.000000,1,-125.04,-125.04,0,0,
09/21/2026,09:17:52:242,0.000000,0.000000,1,-125.72,-125.72,0,0,
09/21/2026,09:17:52:431,0.000000,0.000000,1,-126.72,-126.72,0,0,
09/21/2026,09:17:52:652,0.000000,0.000000,1,-123.44,-123.44,0,0,
09/21/2026,09:17:52:881,0.000000,0.000000,1,-124.51,-124.51,0,0,
09/21/2026,09:17:53:118,0.000000,0.000000,1,-127.44,-127.44,0,0,
09/21/2026,09:17:53:344,0.000000,0.000000,1,-127.2,-127.2,0,0,
09/21/2026,09:17:53:535,0.000000,0.000000,1,-126.19,-126.19,0,0,
09/21/2026,09:17:53:758,0.000000,0.000000,1,-124.94,-124.94,0,0,
09/21/2026,09:17:53:990,0.000000,0.000000,1,-123.83,-123.83,0,0,
09/21/2026,09:17:54:199,0.000000,0.000000,1,-126.58,-126.58,0,0,
09/21/2026,09:17:54:415,0.000000,0.000000,1,-124.93,-124.93,0,0,
09/21/2026,09:17:54:643,0.000000,0.000000,1,-125.89,-125.89,0,0,
09/21/2026,09:17:54:862,0.000000,0.000000,1,-125.52,-125.52,0,0,
09/21/2026,09:17:55:065,0.000000,0.000000,1,-126.09,-126.09,0,0,
09/21/2026,09:17:55:310,0.000000,0.000000,1,-124.99,-124.99,0,0,
09/21/2026,09:17:55:490,0.000000,0.000000,1,-124.42,-124.42,0,0,
09/21/2026,09:17:55:696,0.000000,0.000000,1,-125.79,-125.79,0,0,
09/21/2026,09:17:55:911,0.000000,0.000000,1,-123.3,-123.3,0,0,
09/21/2026,09:17:56:117,0.000000,0.000000,1,-125.29,-125.29,0,0,
09/21/2026,09:17:56:327,0.000000,0.000000,1,-125.22,-125.22,0,0,
09/21/2026,09:17:56:541,0.000000,0.000000,1,-126.21,-126.21,0,0,
09/21/2026,09:17:56:753,0.000000,0.000000,1,-127.43,-127.43,0,0,
09/21/2026,09:17:56:984,0.000000,0.000000,1,-124.84,-124.84,0,0,
09/21/2026,09:17:57:225,0.000000,0.000000,1,-126.96,-126.96,0,0,
09/21/2026,09:17:57:390,0.000000,0.000000,1,-126.21,-126.21,0,0,
09/21/2026,09:17:57:594,0.000000,0.000000,1,-125.45,-125.45,0,0,
09/21/2026,09:17:57:808,0.000000,0.000000,1,-125.81,-125.81,0,0,
09/21/2026,09:17:58:013,0.000000,0.000000,1,-124.57,-124.57,0,0,
09/21/2026,09:17:58:225,0.000000,0.000000,1,-125.27,-125.27,0,0,
09/21/2026,09:17:58:438,0.000000,0.000000,1,-119.94,-119.94,0,0,
09/21/2026,09:17:58:663,0.000000,0.000000,1,-124.88,-124.88,0,0,
09/21/2026,09:17:58:909,0.000000,0.000000,1,-126.04,-126.04,0,0,
09/21/2026,09:17:59:074,0.000000,0.000000,1,-123.31,-123.31,0,0,
09/21/2026,09:17:59:294,0.000000,0.000000,1,-124.58,-124.58,0,0,
09/21/2026,09:17:59:495,0.000000,0.000000,1,-124.1,-124.1,0,0,
09/21/2026,09:17:59:701,0.000000,0.000000,1,-113.23,-113.23,0,0,
09/21/2026,09:17:59:941,0.000000,0.000000,1,-127.51,-127.51,0,0,
09/21/2026,09:18:00:129,0.000000,0.000000,1,-123.03,-123.03,0,0,
09/21/2026,09:18:00:340,0.000000,0.000000,1,-126.44,-126.44,0,0,
09/21/2026,09:18:00:573,0.000000,0.000000,1,-125.53,-125.53,0,0,
09/21/2026,09:18:00:795,0.000000,0.000000,1,-125.54,-125.54,0,0,
09/21/2026,09:18:00:967,0.000000,0.000000,1,-125.61,-125.61,0,0,
