Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,09:17:52:083,0.000000,0.000000,1,-121.23,-121.23,0,0,
09/21/2026,09:17:52:128,0.000000,0.000000,2,-122.55,-122.55,0,0,
09/21/2026,09:17:52:190,0.000000,0.000000,3,-108.84,-108.84,0,0,
09/21/2026,09:17:52:206,0.000000,0.000000,1,-121.94,-121.94,0,0,
09/21/2026,09:17:52:262,0.000000,0.000000,4,-74.09,-74.09,0,0,
09/21/2026,09:17:52:275,0.000000,0.000000,2,-123.22,-123.22,0,0,
09/21/2026,09:17:52:369,0.000000,0.000000,3,-122.01,-122.01,0,0,
09/21/2026,09:17:52:378,0.000000,0.000000,1,-121.4,-121.4,0,0,
09/21/2026,09:17:52:473,0.000000,0.000000,4,-82.59,-82.59,0,0,
09/21/2026,09:17:52:487,0.000000,0.000000,2,-123.59,-123.59,0,0,
09/21/2026,09:17:52:595,0.000000,0.000000,3,-124.18,-124.18,0,0,
09/21/2026,09:17:52:603,0.000000,0.000000,1,-110.73,-110.73,0,0,
09/21/2026,09:17:52:691,0.000000,0.000000,4,-72.59,-72.59,0,0,
09/21/2026,09:17:52:714,0.000000,0.000000,2,-126.1,-126.1,0,0,
09/21/2026,09:17:52:794,0.000000,0.000000,3,-124.2,-124.2,0,0,
09/21/2026,09:17:52:836,0.000000,0.000000,1,-112.18,-112.18,0,0,
09/21/2026,09:17:52:926,0.000000,0.000000,4,-92.36,-92.36,0,0,
09/21/2026,09:17:52:969,0.000000,0.000000,2,-111.3,-111.3,0,0,
09/21/2026,09:17:53:042,0.000000,0.000000,3,-124.43,-124.43,0,0,
09/21/2026,09:17:53:071,0.000000,0.000000,1,-111.61,-111.61,0,0,
09/21/2026,09:17:53:149,0.000000,0.000000,4,-78.28,-78.28,0,0,
09/21/2026,09:17:53:179,0.000000,0.000000,2,-121.28,-121.28,0,0,
09/21/2026,09:17:53:262,0.000000,0.000000,3,-123.36,-123.36,0,0,
09/21/2026,09:17:53:301,0.000000,0.000000,1,-121.28,-121.28,0,0,
09/21/2026,09:17:53:391,0.000000,0.000000,4,-81.09,-81.09,0,0,
09/21/2026,09:17:53:392,0.000000,0.000000,2,-123.6,-123.6,0,0,
09/21/2026,09:17:53:483,0.000000,0.000000,3,-122.33,-122.33,0,0,
09/21/2026,09:17:53:487,0.000000,0.000000,1,-120.63,-120.63,0,0,
09/21/2026,09:17:53:577,0.000000,0.000000,4,-72.76,-72.76,0,0,
09/21/2026,09:17:53:628,0.000000,0.000000,2,-123.3,-123.3,0,0,
09/21/2026,09:17:53:678,0.000000,0.000000,3,-126.51,-126.51,0,0,
09/21/2026,09:17:53:697,0.000000,0.000000,1,-121.12,-121.12,0,0,
09/21/2026,09:17:53:784,0.000000,0.000000,4,-81.05,-81.05,0,0,
09/21/2026,09:17:53:813,0.000000,0.000000,2,-110.34,-110.34,0,0,
09/21/2026,09:17:53:910,0.000000,0.000000,3,-109.95,-109.95,0,0,
09/21/2026,09:17:53:943,0.000000,0.000000,1,-112.31,-112.31,0,0,
09/21/2026,09:17:54:024,0.000000,0.000000,4,-84.58,-84.58,0,0,
09/21/2026,09:17:54:044,0.000000,0.000000,2,-121.48,-121.48,0,0,
09/21/2026,09:17:54:137,0.000000,0.000000,3,-124.26,-124.26,0,0,
09/21/2026,09:17:54:157,0.000000,0.000000,1,-122.51,-122.51,0,0,
09/21/2026,09:17:54:236,0.000000,0.000000,4,-72.29,-72.29,0,0,
09/21/2026,09:17:54:257,0.000000,0.000000,2,-121.36,-121.36,0,0,
09/21/2026,09:17:54:350,0.000000,0.000000,3,-124.87,-124.87,0,0,
09/21/2026,09:17:54:357,0.000000,0.000000,1,-120.22,-120.22,0,0,
09/21/2026,09:17:54:449,0.000000,0.000000,4,-78.38,-78.38,0,0,
09/21/2026,09:17:54:463,0.000000,0.000000,2,-124.72,-124.72,0,0,
09/21/2026,09:17:54:561,0.000000,0.000000,3,-111.36,-111.36,0,0,
09/21/2026,09:17:54:606,0.000000,0.000000,1,-111.61,-111.61,0,0,
09/21/2026,09:17:54:679,0.000000,0.000000,4,-72.09,-72.09,0,0,
09/21/2026,09:17:54:696,0.000000,0.000000,2,-123.96,-123.96,0,0,
09/21/2026,09:17:54:795,0.000000,0.000000,3,-125.71,-125.71,0,0,
09/21/2026,09:17:54:803,0.000000,0.000000,1,-121.52,-121.52,0,0,
09/21/2026,09:17:54:890,0.000000,0.000000,4,-80.14,-80.14,0,0,
09/21/2026,09:17:54:911,0.000000,0.000000,2,-124.88,-124.88,0,0,
09/21/2026,09:17:55:005,0.000000,0.000000,3,-125.15,-125.15,0,0,
09/21/2026,09:17:55:012,0.000000,0.000000,1,-121.15,-121.15,0,0,
09/21/2026,09:17:55:103,0.000000,0.000000,4,-72.79,-72.79,0,0,
09/21/2026,09:17:55:119,0.000000,0.000000,2,-125.01,-125.01,0,0,
09/21/2026,09:17:55:224,0.000000,0.000000,3,-123.77,-123.77,0,0,
09/21/2026,09:17:55:257,0.000000,0.000000,1,-122.79,-122.79,0,0,
09/21/2026,09:17:55:317,0.000000,0.000000,4,-71.58,-71.58,0,0,
09/21/2026,09:17:55:352,0.000000,0.000000,2,-123.38,-123.38,0,0,
09/21/2026,09:17:55:441,0.000000,0.000000,3,-122.24,-122.24,0,0,
09/21/2026,09:17:55:444,0.000000,0.000000,1,-121.23,-121.23,0,0,
09/21/2026,09:17:55:521,0.000000,0.000000,4,-69.4,-69.4,0,0,
09/21/2026,09:17:55:542,0.000000,0.000000,2,-125.27,-125.27,0,0,
09/21/2026,09:17:55:624,0.000000,0.000000,3,-125.12,-125.12,0,0,
09/21/2026,09:17:55:645,0.000000,0.000000,1,-123.48,-123.48,0,0,
09/21/2026,09:17:55:732,0.000000,0.000000,4,-79.09,-79.09,0,0,
09/21/2026,09:17:55:754,0.000000,0.000000,2,-124.43,-124.43,0,0,
09/21/2026,09:17:55:836,0.000000,0.000000,3,-124.48,-124.48,0,0,
09/21/2026,09:17:55:861,0.000000,0.000000,1,-123.6,-123.6,0,0,
09/21/2026,09:17:55:947,0.000000,0.000000,4,-71.28,-71.28,0,0,
09/21/2026,09:17:55:961,0.000000,0.000000,2,-123.69,-123.69,0,0,
09/21/2026,09:17:56:052,0.000000,0.000000,3,-123.61,-123.61,0,0,
09/21/2026,09:17:56:075,0.000000,0.000000,1,-120.81,-120.81,0,0,
09/21/2026,09:17:56:155,0.000000,0.000000,4,-76.53,-76.53,0,0,
09/21/2026,09:17:56:172,0.000000,0.000000,2,-127.01,-127.01,0,0,
09/21/2026,09:17:56:259,0.000000,0.000000,3,-126.09,-126.09,0,0,
09/21/2026,09:17:56:276,0.000000,0.000000,1,-123.34,-123.34,0,0,
09/21/2026,09:17:56:366,0.000000,0.000000,4,-76.21,-76.21,0,0,
09/21/2026,09:17:56:396,0.000000,0.000000,2,-123.98,-123.98,0,0,
09/21/2026,09:17:56:481,0.000000,0.000000,3,-125.44,-125.44,0,0,
09/21/2026,09:17:56:490,0.000000,0.000000,1,-123.62,-123.62,0,0,
09/21/2026,09:17:56:574,0.000000,0.000000,4,-77.7,-77.7,0,0,
09/21/2026,09:17:56:594,0.000000,0.000000,2,-123.17,-123.17,0,0,
09/21/2026,09:17:56:683,0.000000,0.000000,3,-123.41,-123.41,0,0,
09/21/2026,09:17:56:696,0.000000,0.000000,1,-121.33,-121.33,0,0,
09/21/2026,09:17:56:788,0.000000,0.000000,4,-75.31,-75.31,0,0,
09/21/2026,09:17:56:808,0.000000,0.000000,2,-122.72,-122.72,0,0,
09/21/2026,09:17:56:895,0.000000,0.000000,3,-123.19,-123.19,0,0,
09/21/2026,09:17:56:908,0.000000,0.000000,1,-121.7,-121.7,0,0,
09/21/2026,09:17:57:029,0.000000,0.000000,4,-68.06,-68.06,0,0,
09/21/2026,09:17:57:033,0.000000,0.000000,2,-124.03,-124.03,0,0,
09/21/2026,09:17:57:126,0.000000,0.000000,3,-126.43,-126.43,0,0,
09/21/2026,09:17:57:134,0.000000,0.000000,1,-122.61,-122.61,0,0,
09/21/2026,09:17:57:231,0.000000,0.000000,4,-71.74,-71.74,0,0,
09/21/2026,09:17:57:239,0.000000,0.000000,2,-124.17,-124.17,0,0,
09/21/2026,09:17:57:350,0.000000,0.000000,3,-124.67,-124.67,0,0,
09/21/2026,09:17:57:352,0.000000,0.000000,1,-121.6,-121.6,0,0,
09/21/2026,09:17:57:420,0.000000,0.000000,4,-75.89,-75.89,0,0,
09/21/2026,09:17:57:439,0.000000,0.000000,2,-124.41,-124.41,0,0,
09/21/2026,09:17:57:522,0.000000,0.000000,3,-125.51,-125.51,0,0,
09/21/2026,09:17:57:543,0.000000,0.000000,1,-121.04,-121.04,0,0,
09/21/2026,09:17:57:632,0.000000,0.000000,4,-71.37,-71.37,0,0,
09/21/2026,09:17:57:648,0.000000,0.000000,2,-122.63,-122.63,0,0,
09/21/2026,09:17:57:735,0.000000,0.000000,3,-123.67,-123.67,0,0,
09/21/2026,09:17:57:750,0.000000,0.000000,1,-123.24,-123.24,0,0,
09/21/2026,09:17:57:851,0.000000,0.000000,4,-72.13,-72.13,0,0,
09/21/2026,09:17:57:856,0.000000,0.000000,2,-123.92,-123.92,0,0,
09/21/2026,09:17:57:944,0.000000,0.000000,3,-126.13,-126.13,0,0,
09/21/2026,09:17:57:962,0.000000,0.000000,1,-122.49,-122.49,0,0,
09/21/2026,09:17:58:054,0.000000,0.000000,4,-80.27,-80.27,0,0,
09/21/2026,09:17:58:069,0.000000,0.000000,2,-125.2,-125.2,0,0,
09/21/2026,09:17:58:155,0.000000,0.000000,3,-123.26,-123.26,0,0,
09/21/2026,09:17:58:178,0.000000,0.000000,1,-122.2,-122.2,0,0,
09/21/2026,09:17:58:266,0.000000,0.000000,4,-61.94,-61.94,0,0,
09/21/2026,09:17:58:280,0.000000,0.000000,2,-124.85,-124.85,0,0,
09/21/2026,09:17:58:376,0.000000,0.000000,3,-125.04,-125.04,0,0,
09/21/2026,09:17:58:391,0.000000,0.000000,1,-121.83,-121.83,0,0,
09/21/2026,09:17:58:474,0.000000,0.000000,4,-72.08,-72.08,0,0,
09/21/2026,09:17:58:488,0.000000,0.000000,2,-124.58,-124.58,0,0,
09/21/2026,09:17:58:593,0.000000,0.000000,3,-125.69,-125.69,0,0,
09/21/2026,09:17:58:621,0.000000,0.000000,1,-121.9,-121.9,0,0,
09/21/2026,09:17:58:713,0.000000,0.000000,4,-69.28,-69.28,0,0,
09/21/2026,09:17:58:716,0.000000,0.000000,2,-123.34,-123.34,0,0,
09/21/2026,09:17:58:806,0.000000,0.000000,3,-123.73,-123.73,0,0,
09/21/2026,09:17:58:810,0.000000,0.000000,1,-121.8,-121.8,0,0,
09/21/2026,09:17:58:915,0.000000,0.000000,4,-68.11,-68.11,0,0,
09/21/2026,09:17:58:918,0.000000,0.000000,2,-124.45,-124.45,0,0,
09/21/2026,09:17:58:999,0.000000,0.000000,3,-123.65,-123.65,0,0,
09/21/2026,09:17:59:025,0.000000,0.000000,1,-121.33,-121.33,0,0,
09/21/2026,09:17:59:109,0.000000,0.000000,4,-70.57,-70.57,0,0,
09/21/2026,09:17:59:125,0.000000,0.000000,2,-124.25,-124.25,0,0,
09/21/2026,09:17:59:215,0.000000,0.000000,3,-125.74,-125.74,0,0,
09/21/2026,09:17:59:228,0.000000,0.000000,1,-121.67,-121.67,0,0,
09/21/2026,09:17:59:328,0.000000,0.000000,4,-71.1,-71.1,0,0,
09/21/2026,09:17:59:337,0.000000,0.000000,2,-120.31,-120.31,0,0,
09/21/2026,09:17:59:423,0.000000,0.000000,3,-126.3,-126.3,0,0,
09/21/2026,09:17:59:456,0.000000,0.000000,1,-123.35,-123.35,0,0,
09/21/2026,09:17:59:527,0.000000,0.000000,4,-65.79,-65.79,0,0,
09/21/2026,09:17:59:550,0.000000,0.000000,2,-119.66,-119.66,0,0,
09/21/2026,09:17:59:634,0.000000,0.000000,3,-124.44,-124.44,0,0,
09/21/2026,09:17:59:650,0.000000,0.000000,1,-120.32,-120.32,0,0,
09/21/2026,09:17:59:739,0.000000,0.000000,4,-61.69,-61.69,0,0,
09/21/2026,09:17:59:753,0.000000,0.000000,2,-121.31,-121.31,0,0,
09/21/2026,09:17:59:848,0.000000,0.000000,3,-116.95,-116.95,0,0,
09/21/2026,09:17:59:863,0.000000,0.000000,1,-107.72,-107.72,0,0,
09/21/2026,09:17:59:954,0.000000,0.000000,4,-61.28,-61.28,0,0,
09/21/2026,09:17:59:966,0.000000,0.000000,2,-120.52,-120.52,0,0,
09/21/2026,09:18:00:055,0.000000,0.000000,3,-124.22,-124.22,0,0,
09/21/2026,09:18:00:071,0.000000,0.000000,1,-123.64,-123.64,0,0,
09/21/2026,09:18:00:159,0.000000,0.000000,4,-70.34,-70.34,0,0,
09/21/2026,09:18:00:181,0.000000,0.000000,2,-120.68,-120.68,0,0,
09/21/2026,09:18:00:273,0.000000,0.000000,3,-124.49,-124.49,0,0,
09/21/2026,09:18:00:284,0.000000,0.000000,1,-121.73,-121.73,0,0,
09/21/2026,09:18:00:374,0.000000,0.000000,4,-65.62,-65.62,0,0,
09/21/2026,09:18:00:391,0.000000,0.000000,2,-124.07,-124.07,0,0,
09/21/2026,09:18:00:477,0.000000,0.000000,3,-124.91,-124.91,0,0,
09/21/2026,09:18:00:496,0.000000,0.000000,1,-121.31,-121.31,0,0,
09/21/2026,09:18:00:582,0.000000,0.000000,4,-70.81,-70.81,0,0,
09/21/2026,09:18:00:612,0.000000,0.000000,2,-123.7,-123.7,0,0,
