Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,08:51:47:054,0.000000,0.000000,1,-121.3,-121.3,0,0,
09/21/2026,08:51:47:108,0.000000,0.000000,2,-123.33,-123.33,0,0,
09/21/2026,08:51:47:157,0.000000,0.000000,3,-125.02,-125.02,0,0,
09/21/2026,08:51:47:182,0.000000,0.000000,1,-110.55,-110.55,0,0,
09/21/2026,08:51:47:215,0.000000,0.000000,4,-72.47,-72.47,0,0,
09/21/2026,08:51:47:250,0.000000,0.000000,2,-124.17,-124.17,0,0,
09/21/2026,08:51:47:351,0.000000,0.000000,3,-125.56,-125.56,0,0,
09/21/2026,08:51:47:356,0.000000,0.000000,1,-120.35,-120.35,0,0,
09/21/2026,08:51:47:426,0.000000,0.000000,4,-77.58,-77.58,0,0,
09/21/2026,08:51:47:460,0.000000,0.000000,2,-126.11,-126.11,0,0,
09/21/2026,08:51:47:548,0.000000,0.000000,3,-124.82,-124.82,0,0,
09/21/2026,08:51:47:568,0.000000,0.000000,1,-121.85,-121.85,0,0,
09/21/2026,08:51:47:637,0.000000,0.000000,4,-75.47,-75.47,0,0,
09/21/2026,08:51:47:700,0.000000,0.000000,2,-123.5,-123.5,0,0,
09/21/2026,08:51:47:760,0.000000,0.000000,3,-123.55,-123.55,0,0,
09/21/2026,08:51:47:889,0.000000,0.000000,1,-119.5,-119.5,0,0,
09/21/2026,08:51:47:929,0.000000,0.000000,4,-69.06,-69.06,0,0,
09/21/2026,08:51:47:944,0.000000,0.000000,2,-124.53,-124.53,0,0,
09/21/2026,08:51:47:989,0.000000,0.000000,3,-126.98,-126.98,0,0,
09/21/2026,08:51:47:993,0.000000,0.000000,1,-119.13,-119.13,0,0,
09/21/2026,08:51:48:057,0.000000,0.000000,4,-72.04,-72.04,0,0,
09/21/2026,08:51:48:094,0.000000,0.000000,2,-123.93,-123.93,0,0,
09/21/2026,08:51:48:181,0.000000,0.000000,3,-124.36,-124.36,0,0,
09/21/2026,08:51:48:202,0.000000,0.000000,1,-121.15,-121.15,0,0,
09/21/2026,08:51:48:270,0.000000,0.000000,4,-73.99,-73.99,0,0,
09/21/2026,08:51:48:316,0.000000,0.000000,2,-123.38,-123.38,0,0,
09/21/2026,08:51:48:391,0.000000,0.000000,3,-122.36,-122.36,0,0,
09/21/2026,08:51:48:409,0.000000,0.000000,1,-119.71,-119.71,0,0,
09/21/2026,08:51:48:480,0.000000,0.000000,4,-68.97,-68.97,0,0,
09/21/2026,08:51:48:514,0.000000,0.000000,2,-124.77,-124.77,0,0,
09/21/2026,08:51:48:602,0.000000,0.000000,3,-123.59,-123.59,0,0,
09/21/2026,08:51:48:620,0.000000,0.000000,1,-122.14,-122.14,0,0,
