Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,08:54:16:514,0.000000,0.000000,1,-117.69,-117.69,0,0,
09/21/2026,08:54:16:562,0.000000,0.000000,2,-121.69,-121.69,0,0,
09/21/2026,08:54:16:602,0.000000,0.000000,3,-79.86,-79.86,0,0,
09/21/2026,08:54:16:659,0.000000,0.000000,4,-115.64,-115.64,0,0,
09/21/2026,08:54:16:732,0.000000,0.000000,1,-119.17,-119.17,0,0,
09/21/2026,08:54:16:762,0.000000,0.000000,2,-120.14,-120.14,0,0,
09/21/2026,08:54:16:819,0.000000,0.000000,3,-83.56,-83.56,0,0,
09/21/2026,08:54:16:865,0.000000,0.000000,4,-117.46,-117.46,0,0,
09/21/2026,08:54:16:936,0.000000,0.000000,1,-118.63,-118.63,0,0,
09/21/2026,08:54:16:972,0.000000,0.000000,2,-119.08,-119.08,0,0,
09/21/2026,08:54:17:027,0.000000,0.000000,3,-82.46,-82.46,0,0,
09/21/2026,08:54:17:093,0.000000,0.000000,4,-115.83,-115.83,0,0,
09/21/2026,08:54:17:158,0.000000,0.000000,1,-118.9,-118.9,0,0,
09/21/2026,08:54:17:216,0.000000,0.000000,2,-118.9,-118.9,0,0,
09/21/2026,08:54:17:272,0.000000,0.000000,3,-83.08,-83.08,0,0,
09/21/2026,08:54:17:355,0.000000,0.000000,4,-116.64,-116.64,0,0,
09/21/2026,08:54:17:374,0.000000,0.000000,1,-116.82,-116.82,0,0,
09/21/2026,08:54:17:407,0.000000,0.000000,2,-118.67,-118.67,0,0,
09/21/2026,08:54:17:490,0.000000,0.000000,3,-81.87,-81.87,0,0,
09/21/2026,08:54:17:526,0.000000,0.000000,4,-116.67,-116.67,0,0,
09/21/2026,08:54:17:579,0.000000,0.000000,1,-120.04,-120.04,0,0,
09/21/2026,08:54:17:616,0.000000,0.000000,2,-120.65,-120.65,0,0,
09/21/2026,08:54:17:668,0.000000,0.000000,3,-73.48,-73.48,0,0,
09/21/2026,08:54:17:720,0.000000,0.000000,4,-116.4,-116.4,0,0,
09/21/2026,08:54:17:790,0.000000,0.000000,1,-117.22,-117.22,0,0,
09/21/2026,08:54:17:844,0.000000,0.000000,2,-115.67,-115.67,0,0,
09/21/2026,08:54:17:886,0.000000,0.000000,3,-75.65,-75.65,0,0,
09/21/2026,08:54:17:931,0.000000,0.000000,4,-114.25,-114.25,0,0,
09/21/2026,08:54:18:009,0.000000,0.000000,1,-115.47,-115.47,0,0,
09/21/2026,08:54:18:037,0.000000,0.000000,2,-119.29,-119.29,0,0,
09/21/2026,08:54:18:092,0.000000,0.000000,3,-93.59,-93.59,0,0,
09/21/2026,08:54:18:144,0.000000,0.000000,4,-114.87,-114.87,0,0,
09/21/2026,08:54:18:210,0.000000,0.000000,1,-115.6,-115.6,0,0,
09/21/2026,08:54:18:250,0.000000,0.000000,2,-118.77,-118.77,0,0,
