Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,09:04:12:142,0.000000,0.000000,1,-122.56,-122.56,0,0,
09/21/2026,09:04:12:226,0.000000,0.000000,1,-122.33,-122.33,0,0,
09/21/2026,09:04:12:351,0.000000,0.000000,1,-124.78,-124.78,0,0,
09/21/2026,09:04:12:522,0.000000,0.000000,1,-121.74,-121.74,0,0,
09/21/2026,09:04:12:728,0.000000,0.000000,1,-120.35,-120.35,0,0,
09/21/2026,09:04:12:947,0.000000,0.000000,1,-121.2,-121.2,0,0,
09/21/2026,09:04:13:150,0.000000,0.000000,1,-122.17,-122.17,0,0,
09/21/2026,09:04:13:362,0.000000,0.000000,1,-122.34,-122.34,0,0,
09/21/2026,09:04:13:576,0.000000,0.000000,1,-123.55,-123.55,0,0,
09/21/2026,09:04:13:799,0.000000,0.000000,1,-122.81,-122.81,0,0,
09/21/2026,09:04:13:996,0.000000,0.000000,1,-121.49,-121.49,0,0,
09/21/2026,09:04:14:206,0.000000,0.000000,1,-122.8,-122.8,0,0,
09/21/2026,09:04:14:416,0.000000,0.000000,1,-121.72,-121.72,0,0,
09/21/2026,09:04:14:649,0.000000,0.000000,1,-123.79,-123.79,0,0,
09/21/2026,09:04:14:860,0.000000,0.000000,1,-122.86,-122.86,0,0,
09/21/2026,09:04:15:057,0.000000,0.000000,1,-121.96,-121.96,0,0,
09/21/2026,09:04:15:259,0.000000,0.000000,1,-124.91,-124.91,0,0,
09/21/2026,09:04:15:489,0.000000,0.000000,1,-122.76,-122.76,0,0,
09/21/2026,09:04:15:681,0.000000,0.000000,1,-125.31,-125.31,0,0,
09/21/2026,09:04:15:894,0.000000,0.000000,1,-120.12,-120.12,0,0,
09/21/2026,09:05:01:688,0.000000,0.000000,1,-121.81,-121.81,0,0,
09/21/2026,09:05:01:883,0.000000,0.000000,1,-124.35,-124.35,0,0,
09/21/2026,09:05:02:099,0.000000,0.000000,1,-125.57,-125.57,0,0,
09/21/2026,09:05:02:312,0.000000,0.000000,1,-120.31,-120.31,0,0,
09/21/2026,09:05:02:517,0.000000,0.000000,1,-122.6,-122.6,0,0,
09/21/2026,09:05:02:730,0.000000,0.000000,1,-121.92,-121.92,0,0,
09/21/2026,09:05:02:966,0.000000,0.000000,1,-124.53,-124.53,0,0,
09/21/2026,09:05:03:150,0.000000,0.000000,1,-124.93,-124.93,0,0,
09/21/2026,09:05:03:361,0.000000,0.000000,1,-125.07,-125.07,0,0,
09/21/2026,09:05:03:583,0.000000,0.000000,1,-124.74,-124.74,0,0,
09/21/2026,09:05:03:789,0.000000,0.000000,1,-123.66,-123.66,0,0,
09/21/2026,09:05:04:104,0.000000,0.000000,1,-124.57,-124.57,0,0,
09/21/2026,09:05:04:211,0.000000,0.000000,1,-122.4,-122.4,0,0,
09/21/2026,09:05:04:417,0.000000,0.000000,1,-125.78,-125.78,0,0,
09/21/2026,09:05:04:624,0.000000,0.000000,1,-124.63,-124.63,0,0,
09/21/2026,09:05:04:844,0.000000,0.000000,1,-124.21,-124.21,0,0,
09/21/2026,09:05:05:047,0.000000,0.000000,1,-121.78,-121.78,0,0,
09/21/2026,09:05:05:288,0.000000,0.000000,1,-124.75,-124.75,0,0,
09/21/2026,09:05:05:472,0.000000,0.000000,1,-123.9,-123.9,0,0,
09/21/2026,09:05:05:681,0.000000,0.000000,1,-122.97,-122.97,0,0,
09/21/2026,09:05:05:912,0.000000,0.000000,1,-122.64,-122.64,0,0,
09/21/2026,09:05:06:102,0.000000,0.000000,1,-122.5,-122.5,0,0,
09/21/2026,09:05:06:318,0.000000,0.000000,1,-123.98,-123.98,0,0,
09/21/2026,09:05:06:529,0.000000,0.000000,1,-124.59,-124.59,0,0,
09/21/2026,09:05:06:735,0.000000,0.000000,1,-124.72,-124.72,0,0,
09/21/2026,09:05:06:944,0.000000,0.000000,1,-121.33,-121.33,0,0,
09/21/2026,09:05:07:233,0.000000,0.000000,1,-120.09,-120.09,0,0,
09/21/2026,09:05:07:415,0.000000,0.000000,1,-123.09,-123.09,0,0,
09/21/2026,09:05:07:579,0.000000,0.000000,1,-123.47,-123.47,0,0,
09/21/2026,09:05:07:798,0.000000,0.000000,1,-121.57,-121.57,0,0,
09/21/2026,09:05:08:003,0.000000,0.000000,1,-121.31,-121.31,0,0,
09/21/2026,09:05:08:220,0.000000,0.000000,1,-122.94,-122.94,0,0,
09/21/2026,09:05:08:420,0.000000,0.000000,1,-120.43,-120.43,0,0,
09/21/2026,09:05:08:640,0.000000,0.000000,1,-124.4,-124.4,0,0,
09/21/2026,09:05:09:006,0.000000,0.000000,1,-121.1,-121.1,0,0,
09/21/2026,09:05:09:067,0.000000,0.000000,1,-119.92,-119.92,0,0,
09/21/2026,09:05:09:286,0.000000,0.000000,1,-122.34,-122.34,0,0,
09/21/2026,09:05:09:478,0.000000,0.000000,1,-122.52,-122.52,0,0,
09/21/2026,09:05:09:690,0.000000,0.000000,1,-122.29,-122.29,0,0,
