Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,09:59:41:831,0.000000,0.000000,1,-123.64,-123.64,0,0,
09/21/2026,09:59:41:867,0.000000,0.000000,1,-125.5,-125.5,0,0,
09/21/2026,09:59:41:878,0.000000,0.000000,1,-124.66,-124.66,0,0,
09/21/2026,09:59:41:910,0.000000,0.000000,1,-123.59,-123.59,0,0,
09/21/2026,09:59:41:916,0.000000,0.000000,2,-124.9,-124.9,0,0,
09/21/2026,09:59:41:920,0.000000,0.000000,1,-125.93,-125.93,0,0,
09/21/2026,09:59:41:933,0.000000,0.000000,2,-124.8,-124.8,0,0,
09/21/2026,09:59:41:952,0.000000,0.000000,3,-124.48,-124.48,0,0,
09/21/2026,09:59:41:966,0.000000,0.000000,1,-125.31,-125.31,0,0,
09/21/2026,09:59:41:991,0.000000,0.000000,2,-124.5,-124.5,0,0,
09/21/2026,09:59:42:005,0.000000,0.000000,3,-125.44,-125.44,0,0,
09/21/2026,09:59:42:019,0.000000,0.000000,1,-126.3,-126.3,0,0,
09/21/2026,09:59:42:043,0.000000,0.000000,4,-98.82,-98.82,0,0,
09/21/2026,09:59:42:055,0.000000,0.000000,2,-124.25,-124.25,0,0,
09/21/2026,09:59:42:074,0.000000,0.000000,3,-124.78,-124.78,0,0,
09/21/2026,09:59:42:086,0.000000,0.000000,1,-126.41,-126.41,0,0,
09/21/2026,09:59:42:125,0.000000,0.000000,4,-94.41,-94.41,0,0,
09/21/2026,09:59:42:137,0.000000,0.000000,2,-123.85,-123.85,0,0,
09/21/2026,09:59:42:155,0.000000,0.000000,3,-122.89,-122.89,0,0,
09/21/2026,09:59:42:192,0.000000,0.000000,1,-126.18,-126.18,0,0,
09/21/2026,09:59:42:224,0.000000,0.000000,4,-97.26,-97.26,0,0,
09/21/2026,09:59:42:255,0.000000,0.000000,2,-123.77,-123.77,0,0,
09/21/2026,09:59:42:318,0.000000,0.000000,3,-124.99,-124.99,0,0,
09/21/2026,09:59:42:333,0.000000,0.000000,1,-126.05,-126.05,0,0,
09/21/2026,09:59:42:375,0.000000,0.000000,4,-104.21,-104.21,0,0,
09/21/2026,09:59:42:445,0.000000,0.000000,2,-124.38,-124.38,0,0,
09/21/2026,09:59:42:501,0.000000,0.000000,3,-124.46,-124.46,0,0,
09/21/2026,09:59:42:561,0.000000,0.000000,1,-125.37,-125.37,0,0,
09/21/2026,09:59:42:624,0.000000,0.000000,4,-100.38,-100.38,0,0,
09/21/2026,09:59:42:679,0.000000,0.000000,2,-125.39,-125.39,0,0,
09/21/2026,09:59:42:719,0.000000,0.000000,3,-125.32,-125.32,0,0,
09/21/2026,09:59:42:796,0.000000,0.000000,1,-126.12,-126.12,0,0,
09/21/2026,09:59:42:867,0.000000,0.000000,4,-96.82,-96.82,0,0,
09/21/2026,09:59:42:936,0.000000,0.000000,2,-125.67,-125.67,0,0,
09/21/2026,09:59:42:984,0.000000,0.000000,3,-124.08,-124.08,0,0,
09/21/2026,09:59:43:056,0.000000,0.000000,1,-125.63,-125.63,0,0,
09/21/2026,09:59:43:199,0.000000,0.000000,4,-100.89,-100.89,0,0,
09/21/2026,09:59:43:281,0.000000,0.000000,2,-125.59,-125.59,0,0,
09/21/2026,09:59:43:323,0.000000,0.000000,3,-123.32,-123.32,0,0,
09/21/2026,09:59:43:411,0.000000,0.000000,1,-126.08,-126.08,0,0,
09/21/2026,09:59:43:546,0.000000,0.000000,4,-96.23,-96.23,0,0,
09/21/2026,09:59:43:631,0.000000,0.000000,2,-124.39,-124.39,0,0,
09/21/2026,09:59:43:665,0.000000,0.000000,3,-125.75,-125.75,0,0,
09/21/2026,09:59:43:750,0.000000,0.000000,1,-125.94,-125.94,0,0,
09/21/2026,09:59:43:896,0.000000,0.000000,4,-94.6,-94.6,0,0,
09/21/2026,09:59:43:975,0.000000,0.000000,2,-123.96,-123.96,0,0,
09/21/2026,09:59:44:018,0.000000,0.000000,3,-125.21,-125.21,0,0,
09/21/2026,09:59:44:101,0.000000,0.000000,1,-126.04,-126.04,0,0,
09/21/2026,09:59:44:237,0.000000,0.000000,4,-97.82,-97.82,0,0,
09/21/2026,09:59:44:353,0.000000,0.000000,2,-122.69,-122.69,0,0,
09/21/2026,09:59:44:369,0.000000,0.000000,3,-124.15,-124.15,0,0,
09/21/2026,09:59:44:444,0.000000,0.000000,1,-123.42,-123.42,0,0,
09/21/2026,09:59:44:622,0.000000,0.000000,4,-100.7,-100.7,0,0,
09/21/2026,09:59:44:676,0.000000,0.000000,2,-124.37,-124.37,0,0,
09/21/2026,09:59:44:746,0.000000,0.000000,3,-126.12,-126.12,0,0,
