Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,09:59:42:103,0.000000,0.000000,1,-111.59,-111.59,0,0,
09/21/2026,09:59:42:171,0.000000,0.000000,2,-125.52,-125.52,0,0,
09/21/2026,09:59:42:209,0.000000,0.000000,1,-108.05,-108.05,0,0,
09/21/2026,09:59:42:248,0.000000,0.000000,3,-125.22,-125.22,0,0,
09/21/2026,09:59:42:322,0.000000,0.000000,4,-125.07,-125.07,0,0,
09/21/2026,09:59:42:329,0.000000,0.000000,2,-124.55,-124.55,0,0,
09/21/2026,09:59:42:375,0.000000,0.000000,1,-105.95,-105.95,0,0,
09/21/2026,09:59:42:441,0.000000,0.000000,3,-125.3,-125.3,0,0,
09/21/2026,09:59:42:510,0.000000,0.000000,4,-126.48,-126.48,0,0,
09/21/2026,09:59:42:554,0.000000,0.000000,2,-125.67,-125.67,0,0,
09/21/2026,09:59:42:569,0.000000,0.000000,1,-101.31,-101.31,0,0,
09/21/2026,09:59:42:673,0.000000,0.000000,3,-127.13,-127.13,0,0,
09/21/2026,09:59:42:722,0.000000,0.000000,4,-124.83,-124.83,0,0,
09/21/2026,09:59:42:766,0.000000,0.000000,2,-125.14,-125.14,0,0,
09/21/2026,09:59:42:821,0.000000,0.000000,1,-102.62,-102.62,0,0,
09/21/2026,09:59:42:905,0.000000,0.000000,3,-125.25,-125.25,0,0,
09/21/2026,09:59:42:991,0.000000,0.000000,4,-125.47,-125.47,0,0,
09/21/2026,09:59:43:041,0.000000,0.000000,2,-125.53,-125.53,0,0,
09/21/2026,09:59:43:144,0.000000,0.000000,1,-102.09,-102.09,0,0,
09/21/2026,09:59:43:244,0.000000,0.000000,3,-126.51,-126.51,0,0,
09/21/2026,09:59:43:339,0.000000,0.000000,4,-126.22,-126.22,0,0,
09/21/2026,09:59:43:385,0.000000,0.000000,2,-125.38,-125.38,0,0,
09/21/2026,09:59:43:491,0.000000,0.000000,1,-107.28,-107.28,0,0,
09/21/2026,09:59:43:584,0.000000,0.000000,3,-124.3,-124.3,0,0,
09/21/2026,09:59:43:680,0.000000,0.000000,4,-125.81,-125.81,0,0,
09/21/2026,09:59:43:740,0.000000,0.000000,2,-125.52,-125.52,0,0,
09/21/2026,09:59:43:849,0.000000,0.000000,1,-102.86,-102.86,0,0,
09/21/2026,09:59:43:926,0.000000,0.000000,3,-127.08,-127.08,0,0,
09/21/2026,09:59:44:027,0.000000,0.000000,4,-125.51,-125.51,0,0,
09/21/2026,09:59:44:096,0.000000,0.000000,2,-126.25,-126.25,0,0,
09/21/2026,09:59:44:188,0.000000,0.000000,1,-98.17,-98.17,0,0,
09/21/2026,09:59:44:279,0.000000,0.000000,3,-126.24,-126.24,0,0,
09/21/2026,09:59:44:373,0.000000,0.000000,4,-124.81,-124.81,0,0,
09/21/2026,09:59:44:435,0.000000,0.000000,2,-125.3,-125.3,0,0,
09/21/2026,09:59:44:608,0.000000,0.000000,1,-109.3,-109.3,0,0,
09/21/2026,09:59:44:633,0.000000,0.000000,3,-125.4,-125.4,0,0,
09/21/2026,09:59:44:762,0.000000,0.000000,4,-125.74,-125.74,0,0,
09/21/2026,09:59:44:779,0.000000,0.000000,2,-124.66,-124.66,0,0,
09/21/2026,09:59:44:895,0.000000,0.000000,1,-117.79,-117.79,0,0,
09/21/2026,09:59:44:977,0.000000,0.000000,3,-126.66,-126.66,0,0,
09/21/2026,09:59:45:073,0.000000,0.000000,4,-125.69,-125.69,0,0,
09/21/2026,09:59:45:120,0.000000,0.000000,2,-124.65,-124.65,0,0,
09/21/2026,09:59:45:225,0.000000,0.000000,1,-109.76,-109.76,0,0,
09/21/2026,09:59:45:312,0.000000,0.000000,3,-123.57,-123.57,0,0,
09/21/2026,09:59:45:426,0.000000,0.000000,4,-124.41,-124.41,0,0,
09/21/2026,09:59:45:475,0.000000,0.000000,2,-123.68,-123.68,0,0,
09/21/2026,09:59:45:585,0.000000,0.000000,1,-111.82,-111.82,0,0,
09/21/2026,09:59:45:659,0.000000,0.000000,3,-125.52,-125.52,0,0,
09/21/2026,09:59:45:760,0.000000,0.000000,4,-125.4,-125.4,0,0,
09/21/2026,09:59:45:814,0.000000,0.000000,2,-124.99,-124.99,0,0,
09/21/2026,09:59:45:923,0.000000,0.000000,1,-107.01,-107.01,0,0,
09/21/2026,09:59:46:010,0.000000,0.000000,3,-125.29,-125.29,0,0,
09/21/2026,09:59:46:138,0.000000,0.000000,4,-124.47,-124.47,0,0,
09/21/2026,09:59:46:184,0.000000,0.000000,2,-123.84,-123.84,0,0,
09/21/2026,09:59:46:312,0.000000,0.000000,1,-104.3,-104.3,0,0,
09/21/2026,09:59:46:395,0.000000,0.000000,3,-124.71,-124.71,0,0,
09/21/2026,09:59:46:513,0.000000,0.000000,4,-125.73,-125.73,0,0,
09/21/2026,09:59:46:529,0.000000,0.000000,2,-125.36,-125.36,0,0,
09/21/2026,09:59:46:612,0.000000,0.000000,1,-109.56,-109.56,0,0,
09/21/2026,09:59:46:703,0.000000,0.000000,3,-126.23,-126.23,0,0,
09/21/2026,09:59:46:805,0.000000,0.000000,4,-125.12,-125.12,0,0,
09/21/2026,09:59:46:854,0.000000,0.000000,2,-125.02,-125.02,0,0,
09/21/2026,09:59:46:959,0.000000,0.000000,1,-102.19,-102.19,0,0,
09/21/2026,09:59:47:055,0.000000,0.000000,3,-126.31,-126.31,0,0,
09/21/2026,09:59:47:148,0.000000,0.000000,4,-125.63,-125.63,0,0,
09/21/2026,09:59:47:208,0.000000,0.000000,2,-126.47,-126.47,0,0,
09/21/2026,09:59:47:306,0.000000,0.000000,1,-103.73,-103.73,0,0,
09/21/2026,09:59:47:393,0.000000,0.000000,3,-124.6,-124.6,0,0,
09/21/2026,09:59:47:499,0.000000,0.000000,4,-125.76,-125.76,0,0,
09/21/2026,09:59:47:549,0.000000,0.000000,2,-126.89,-126.89,0,0,
09/21/2026,09:59:47:656,0.000000,0.000000,1,-99.29,-99.29,0,0,
09/21/2026,09:59:47:739,0.000000,0.000000,3,-125.48,-125.48,0,0,
09/21/2026,09:59:47:842,0.000000,0.000000,4,-124.57,-124.57,0,0,
09/21/2026,09:59:48:015,0.000000,0.000000,2,-125.12,-125.12,0,0,
09/21/2026,09:59:48:058,0.000000,0.000000,1,-102.96,-102.96,0,0,
