Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,09:59:42:612,0.000000,0.000000,1,-125.97,-125.97,0,0,
09/21/2026,09:59:42:675,0.000000,0.000000,2,-124.57,-124.57,0,0,
09/21/2026,09:59:42:803,0.000000,0.000000,3,-120.08,-120.08,0,0,
09/21/2026,09:59:42:837,0.000000,0.000000,1,-124.15,-124.15,0,0,
09/21/2026,09:59:42:917,0.000000,0.000000,2,-124.73,-124.73,0,0,
09/21/2026,09:59:42:925,0.000000,0.000000,4,-111.11,-111.11,0,0,
09/21/2026,09:59:43:108,0.000000,0.000000,3,-120.28,-120.28,0,0,
09/21/2026,09:59:43:163,0.000000,0.000000,1,-124.61,-124.61,0,0,
09/21/2026,09:59:43:248,0.000000,0.000000,2,-123.68,-123.68,0,0,
09/21/2026,09:59:43:267,0.000000,0.000000,4,-115.61,-115.61,0,0,
09/21/2026,09:59:43:455,0.000000,0.000000,3,-121.87,-121.87,0,0,
09/21/2026,09:59:43:527,0.000000,0.000000,1,-124.88,-124.88,0,0,
09/21/2026,09:59:43:609,0.000000,0.000000,2,-122.22,-122.22,0,0,
09/21/2026,09:59:43:612,0.000000,0.000000,4,-113.29,-113.29,0,0,
09/21/2026,09:59:43:802,0.000000,0.000000,3,-122.2,-122.2,0,0,
09/21/2026,09:59:43:853,0.000000,0.000000,1,-123.99,-123.99,0,0,
09/21/2026,09:59:43:942,0.000000,0.000000,2,-124.72,-124.72,0,0,
09/21/2026,09:59:43:960,0.000000,0.000000,4,-113.3,-113.3,0,0,
09/21/2026,09:59:44:153,0.000000,0.000000,3,-120.21,-120.21,0,0,
09/21/2026,09:59:44:203,0.000000,0.000000,1,-127.1,-127.1,0,0,
09/21/2026,09:59:44:288,0.000000,0.000000,2,-123.84,-123.84,0,0,
09/21/2026,09:59:44:346,0.000000,0.000000,4,-109.7,-109.7,0,0,
09/21/2026,09:59:44:579,0.000000,0.000000,3,-122.2,-122.2,0,0,
09/21/2026,09:59:44:611,0.000000,0.000000,1,-124.91,-124.91,0,0,
09/21/2026,09:59:44:666,0.000000,0.000000,2,-125.79,-125.79,0,0,
09/21/2026,09:59:44:671,0.000000,0.000000,4,-111.71,-111.71,0,0,
09/21/2026,09:59:44:846,0.000000,0.000000,3,-120.16,-120.16,0,0,
09/21/2026,09:59:44:899,0.000000,0.000000,1,-124.62,-124.62,0,0,
09/21/2026,09:59:44:982,0.000000,0.000000,2,-125.55,-125.55,0,0,
09/21/2026,09:59:44:999,0.000000,0.000000,4,-116.44,-116.44,0,0,
09/21/2026,09:59:45:190,0.000000,0.000000,3,-120.98,-120.98,0,0,
09/21/2026,09:59:45:243,0.000000,0.000000,1,-125.58,-125.58,0,0,
09/21/2026,09:59:45:356,0.000000,0.000000,2,-125.1,-125.1,0,0,
09/21/2026,09:59:45:365,0.000000,0.000000,4,-109.83,-109.83,0,0,
09/21/2026,09:59:45:535,0.000000,0.000000,3,-120.1,-120.1,0,0,
09/21/2026,09:59:45:590,0.000000,0.000000,1,-125.75,-125.75,0,0,
09/21/2026,09:59:45:685,0.000000,0.000000,2,-125.83,-125.83,0,0,
09/21/2026,09:59:45:695,0.000000,0.000000,4,-108.95,-108.95,0,0,
09/21/2026,09:59:45:883,0.000000,0.000000,3,-120.77,-120.77,0,0,
09/21/2026,09:59:45:937,0.000000,0.000000,1,-123.37,-123.37,0,0,
09/21/2026,09:59:46:022,0.000000,0.000000,2,-126.16,-126.16,0,0,
09/21/2026,09:59:46:049,0.000000,0.000000,4,-112.57,-112.57,0,0,
09/21/2026,09:59:46:296,0.000000,0.000000,3,-121.63,-121.63,0,0,
09/21/2026,09:59:46:346,0.000000,0.000000,1,-124.25,-124.25,0,0,
09/21/2026,09:59:46:407,0.000000,0.000000,2,-126.08,-126.08,0,0,
09/21/2026,09:59:46:409,0.000000,0.000000,4,-108.32,-108.32,0,0,
09/21/2026,09:59:46:577,0.000000,0.000000,3,-118.84,-118.84,0,0,
09/21/2026,09:59:46:632,0.000000,0.000000,1,-124.17,-124.17,0,0,
09/21/2026,09:59:46:718,0.000000,0.000000,2,-123.71,-123.71,0,0,
09/21/2026,09:59:46:738,0.000000,0.000000,4,-108.69,-108.69,0,0,
09/21/2026,09:59:46:930,0.000000,0.000000,3,-120.2,-120.2,0,0,
09/21/2026,09:59:46:977,0.000000,0.000000,1,-125.72,-125.72,0,0,
09/21/2026,09:59:47:068,0.000000,0.000000,2,-123.72,-123.72,0,0,
09/21/2026,09:59:47:081,0.000000,0.000000,4,-113.86,-113.86,0,0,
09/21/2026,09:59:47:283,0.000000,0.000000,3,-121.33,-121.33,0,0,
09/21/2026,09:59:47:326,0.000000,0.000000,1,-123.81,-123.81,0,0,
09/21/2026,09:59:47:410,0.000000,0.000000,2,-124.68,-124.68,0,0,
09/21/2026,09:59:47:450,0.000000,0.000000,4,-110.22,-110.22,0,0,
09/21/2026,09:59:47:617,0.000000,0.000000,3,-121.04,-121.04,0,0,
09/21/2026,09:59:47:671,0.000000,0.000000,1,-125.1,-125.1,0,0,
09/21/2026,09:59:47:762,0.000000,0.000000,2,-124.18,-124.18,0,0,
09/21/2026,09:59:47:774,0.000000,0.000000,4,-113.18,-113.18,0,0,
09/21/2026,09:59:48:032,0.000000,0.000000,3,-120.74,-120.74,0,0,
09/21/2026,09:59:48:062,0.000000,0.000000,1,-125.02,-125.02,0,0,
09/21/2026,09:59:48:109,0.000000,0.000000,2,-125.36,-125.36,0,0,
09/21/2026,09:59:48:166,0.000000,0.000000,4,-109.79,-109.79,0,0,
