Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,11:27:24:270,0.000000,0.000000,1,-112.16,-112.16,0,0,
09/21/2026,11:27:24:304,0.000000,0.000000,2,-109.67,-109.67,0,0,
09/21/2026,11:27:24:381,0.000000,0.000000,3,-83.08,-83.08,0,0,
09/21/2026,11:27:24:447,0.000000,0.000000,4,-112.24,-112.24,0,0,
09/21/2026,11:27:24:553,0.000000,0.000000,1,-111.21,-111.21,0,0,
09/21/2026,11:27:24:584,0.000000,0.000000,2,-109.19,-109.19,0,0,
09/21/2026,11:27:24:646,0.000000,0.000000,3,-86.31,-86.31,0,0,
09/21/2026,11:27:24:705,0.000000,0.000000,4,-113.54,-113.54,0,0,
09/21/2026,11:27:24:845,0.000000,0.000000,1,-112.17,-112.17,0,0,
09/21/2026,11:27:24:859,0.000000,0.000000,2,-110.39,-110.39,0,0,
09/21/2026,11:27:24:965,0.000000,0.000000,3,-90.57,-90.57,0,0,
09/21/2026,11:27:25:039,0.000000,0.000000,4,-112.62,-112.62,0,0,
09/21/2026,11:27:25:126,0.000000,0.000000,1,-112.97,-112.97,0,0,
09/21/2026,11:27:25:142,0.000000,0.000000,2,-109.98,-109.98,0,0,
09/21/2026,11:27:25:190,0.000000,0.000000,3,-88.09,-88.09,0,0,
09/21/2026,11:27:25:263,0.000000,0.000000,4,-112.87,-112.87,0,0,
09/21/2026,11:27:25:394,0.000000,0.000000,1,-113.26,-113.26,0,0,
09/21/2026,11:27:25:420,0.000000,0.000000,2,-108.24,-108.24,0,0,
09/21/2026,11:27:25:470,0.000000,0.000000,3,-93.23,-93.23,0,0,
09/21/2026,11:27:25:545,0.000000,0.000000,4,-112.95,-112.95,0,0,
09/21/2026,11:27:25:661,0.000000,0.000000,1,-111.65,-111.65,0,0,
09/21/2026,11:27:25:700,0.000000,0.000000,2,-109.67,-109.67,0,0,
09/21/2026,11:27:25:749,0.000000,0.000000,3,-90.22,-90.22,0,0,
09/21/2026,11:27:25:819,0.000000,0.000000,4,-112.32,-112.32,0,0,
09/21/2026,11:27:25:941,0.000000,0.000000,1,-110.85,-110.85,0,0,
09/21/2026,11:27:25:981,0.000000,0.000000,2,-108.58,-108.58,0,0,
09/21/2026,11:27:26:028,0.000000,0.000000,3,-77.02,-77.02,0,0,
09/21/2026,11:27:26:107,0.000000,0.000000,4,-112.79,-112.79,0,0,
09/21/2026,11:27:26:242,0.000000,0.000000,1,-112.59,-112.59,0,0,
09/21/2026,11:27:26:263,0.000000,0.000000,2,-109.17,-109.17,0,0,
09/21/2026,11:27:26:308,0.000000,0.000000,3,-85.96,-85.96,0,0,
09/21/2026,11:27:26:378,0.000000,0.000000,4,-112.96,-112.96,0,0,
09/21/2026,11:27:26:512,0.000000,0.000000,1,-111.55,-111.55,0,0,
09/21/2026,11:27:26:533,0.000000,0.000000,2,-110.49,-110.49,0,0,
09/21/2026,11:27:26:591,0.000000,0.000000,3,-82.03,-82.03,0,0,
09/21/2026,11:27:26:656,0.000000,0.000000,4,-112.66,-112.66,0,0,
09/21/2026,11:27:26:829,0.000000,0.000000,1,-111.85,-111.85,0,0,
09/21/2026,11:27:26:839,0.000000,0.000000,2,-110.47,-110.47,0,0,
09/21/2026,11:27:26:888,0.000000,0.000000,3,-87.56,-87.56,0,0,
09/21/2026,11:27:26:971,0.000000,0.000000,4,-113.32,-113.32,0,0,
09/21/2026,11:27:27:115,0.000000,0.000000,1,-112,-112,0,0,
09/21/2026,11:27:27:135,0.000000,0.000000,2,-111.24,-111.24,0,0,
09/21/2026,11:27:27:174,0.000000,0.000000,3,-79.63,-79.63,0,0,
09/21/2026,11:27:27:212,0.000000,0.000000,4,-112.77,-112.77,0,0,
09/21/2026,11:27:27:347,0.000000,0.000000,1,-105.82,-105.82,0,0,
09/21/2026,11:27:27:413,0.000000,0.000000,2,-111.5,-111.5,0,0,
09/21/2026,11:27:27:453,0.000000,0.000000,3,-94.46,-94.46,0,0,
09/21/2026,11:27:27:528,0.000000,0.000000,4,-114.13,-114.13,0,0,
09/21/2026,11:27:27:637,0.000000,0.000000,1,-112.53,-112.53,0,0,
09/21/2026,11:27:27:671,0.000000,0.000000,2,-110.59,-110.59,0,0,
09/21/2026,11:27:27:730,0.000000,0.000000,3,-90.67,-90.67,0,0,
09/21/2026,11:27:27:795,0.000000,0.000000,4,-112.28,-112.28,0,0,
09/21/2026,11:27:27:916,0.000000,0.000000,1,-110.86,-110.86,0,0,
09/21/2026,11:27:27:954,0.000000,0.000000,2,-110.74,-110.74,0,0,
09/21/2026,11:27:28:008,0.000000,0.000000,3,-80.07,-80.07,0,0,
09/21/2026,11:27:28:072,0.000000,0.000000,4,-112.3,-112.3,0,0,
09/21/2026,11:27:28:197,0.000000,0.000000,1,-111.59,-111.59,0,0,
09/21/2026,11:27:28:230,0.000000,0.000000,2,-109.05,-109.05,0,0,
09/21/2026,11:27:28:282,0.000000,0.000000,3,-80.09,-80.09,0,0,
09/21/2026,11:27:28:359,0.000000,0.000000,4,-111.6,-111.6,0,0,
09/21/2026,11:27:28:470,0.000000,0.000000,1,-110.81,-110.81,0,0,
09/21/2026,11:27:28:507,0.000000,0.000000,2,-109.99,-109.99,0,0,
09/21/2026,11:27:28:594,0.000000,0.000000,3,-80.31,-80.31,0,0,
09/21/2026,11:27:28:663,0.000000,0.000000,4,-113.32,-113.32,0,0,
09/21/2026,11:27:28:777,0.000000,0.000000,1,-112.07,-112.07,0,0,
09/21/2026,11:27:28:790,0.000000,0.000000,2,-110.18,-110.18,0,0,
09/21/2026,11:27:28:838,0.000000,0.000000,3,-86.27,-86.27,0,0,
09/21/2026,11:27:28:912,0.000000,0.000000,4,-113.1,-113.1,0,0,
09/21/2026,11:27:29:034,0.000000,0.000000,1,-111.73,-111.73,0,0,
09/21/2026,11:27:29:068,0.000000,0.000000,2,-110.18,-110.18,0,0,
09/21/2026,11:27:29:122,0.000000,0.000000,3,-86.15,-86.15,0,0,
09/21/2026,11:27:29:377,0.000000,0.000000,4,-115.25,-115.25,0,0,
09/21/2026,11:27:29:411,0.000000,0.000000,1,-111.97,-111.97,0,0,
09/21/2026,11:27:29:422,0.000000,0.000000,2,-110.97,-110.97,0,0,
09/21/2026,11:27:29:437,0.000000,0.000000,3,-81.87,-81.87,0,0,
09/21/2026,11:27:29:471,0.000000,0.000000,4,-110.61,-110.61,0,0,
09/21/2026,11:27:29:591,0.000000,0.000000,1,-111.72,-111.72,0,0,
09/21/2026,11:27:29:622,0.000000,0.000000,2,-109.63,-109.63,0,0,
09/21/2026,11:27:29:675,0.000000,0.000000,3,-83.18,-83.18,0,0,
09/21/2026,11:27:29:745,0.000000,0.000000,4,-112.1,-112.1,0,0,
09/21/2026,11:27:29:871,0.000000,0.000000,1,-111.73,-111.73,0,0,
09/21/2026,11:27:29:901,0.000000,0.000000,2,-110.41,-110.41,0,0,
09/21/2026,11:27:29:953,0.000000,0.000000,3,-78.96,-78.96,0,0,
09/21/2026,11:27:30:025,0.000000,0.000000,4,-112.47,-112.47,0,0,
09/21/2026,11:27:30:154,0.000000,0.000000,1,-111.69,-111.69,0,0,
09/21/2026,11:27:30:188,0.000000,0.000000,2,-109.27,-109.27,0,0,
09/21/2026,11:27:30:232,0.000000,0.000000,3,-80.87,-80.87,0,0,
09/21/2026,11:27:30:313,0.000000,0.000000,4,-112.69,-112.69,0,0,
09/21/2026,11:27:30:429,0.000000,0.000000,1,-112.66,-112.66,0,0,
09/21/2026,11:27:30:471,0.000000,0.000000,2,-111.44,-111.44,0,0,
09/21/2026,11:27:30:530,0.000000,0.000000,3,-77.36,-77.36,0,0,
09/21/2026,11:27:30:603,0.000000,0.000000,4,-110.75,-110.75,0,0,
09/21/2026,11:27:30:722,0.000000,0.000000,1,-112.28,-112.28,0,0,
09/21/2026,11:27:30:749,0.000000,0.000000,2,-110.88,-110.88,0,0,
09/21/2026,11:27:30:855,0.000000,0.000000,3,-83.12,-83.12,0,0,
09/21/2026,11:27:30:872,0.000000,0.000000,4,-111.83,-111.83,0,0,
09/21/2026,11:27:30:994,0.000000,0.000000,1,-112.2,-112.2,0,0,
09/21/2026,11:27:31:026,0.000000,0.000000,2,-111.03,-111.03,0,0,
09/21/2026,11:27:31:080,0.000000,0.000000,3,-76.39,-76.39,0,0,
09/21/2026,11:27:31:155,0.000000,0.000000,4,-109.95,-109.95,0,0,
09/21/2026,11:27:31:275,0.000000,0.000000,1,-111.6,-111.6,0,0,
09/21/2026,11:27:31:329,0.000000,0.000000,2,-107.88,-107.88,0,0,
09/21/2026,11:27:31:370,0.000000,0.000000,3,-89.58,-89.58,0,0,
09/21/2026,11:27:31:439,0.000000,0.000000,4,-112.75,-112.75,0,0,
09/21/2026,11:27:31:559,0.000000,0.000000,1,-113.6,-113.6,0,0,
09/21/2026,11:27:31:608,0.000000,0.000000,2,-106.95,-106.95,0,0,
09/21/2026,11:27:31:670,0.000000,0.000000,3,-84.18,-84.18,0,0,
09/21/2026,11:27:31:728,0.000000,0.000000,4,-112.39,-112.39,0,0,
09/21/2026,11:27:31:852,0.000000,0.000000,1,-110.51,-110.51,0,0,
09/21/2026,11:27:31:890,0.000000,0.000000,2,-110.82,-110.82,0,0,
09/21/2026,11:27:31:942,0.000000,0.000000,3,-80.39,-80.39,0,0,
09/21/2026,11:27:32:006,0.000000,0.000000,4,-111.89,-111.89,0,0,
09/21/2026,11:27:32:127,0.000000,0.000000,1,-112.59,-112.59,0,0,
09/21/2026,11:27:32:165,0.000000,0.000000,2,-109.21,-109.21,0,0,
09/21/2026,11:27:32:216,0.000000,0.000000,3,-82.14,-82.14,0,0,
09/21/2026,11:27:32:285,0.000000,0.000000,4,-112.49,-112.49,0,0,
09/21/2026,11:27:32:408,0.000000,0.000000,1,-113.05,-113.05,0,0,
09/21/2026,11:27:32:490,0.000000,0.000000,2,-111.29,-111.29,0,0,
09/21/2026,11:27:32:564,0.000000,0.000000,3,-92.68,-92.68,0,0,
09/21/2026,11:27:32:613,0.000000,0.000000,4,-113.46,-113.46,0,0,
09/21/2026,11:27:32:728,0.000000,0.000000,1,-111.55,-111.55,0,0,
09/21/2026,11:27:32:766,0.000000,0.000000,2,-110.72,-110.72,0,0,
09/21/2026,11:27:32:789,0.000000,0.000000,3,-93.37,-93.37,0,0,
09/21/2026,11:27:32:879,0.000000,0.000000,4,-111.41,-111.41,0,0,
09/21/2026,11:27:32:966,0.000000,0.000000,1,-111.65,-111.65,0,0,
09/21/2026,11:27:33:001,0.000000,0.000000,2,-109.08,-109.08,0,0,
09/21/2026,11:27:33:055,0.000000,0.000000,3,-92.46,-92.46,0,0,
09/21/2026,11:27:33:124,0.000000,0.000000,4,-111.52,-111.52,0,0,
09/21/2026,11:27:33:255,0.000000,0.000000,1,-112.09,-112.09,0,0,
09/21/2026,11:27:33:284,0.000000,0.000000,2,-109.76,-109.76,0,0,
09/21/2026,11:27:33:335,0.000000,0.000000,3,-82.94,-82.94,0,0,
09/21/2026,11:27:33:424,0.000000,0.000000,4,-114.05,-114.05,0,0,
09/21/2026,11:27:33:525,0.000000,0.000000,1,-112.61,-112.61,0,0,
09/21/2026,11:27:33:558,0.000000,0.000000,2,-110.33,-110.33,0,0,
09/21/2026,11:27:33:614,0.000000,0.000000,3,-79.22,-79.22,0,0,
09/21/2026,11:27:33:683,0.000000,0.000000,4,-114.09,-114.09,0,0,
09/21/2026,11:27:33:809,0.000000,0.000000,1,-109.85,-109.85,0,0,
09/21/2026,11:27:33:839,0.000000,0.000000,2,-110.86,-110.86,0,0,
09/21/2026,11:27:33:890,0.000000,0.000000,3,-88.92,-88.92,0,0,
09/21/2026,11:27:33:966,0.000000,0.000000,4,-112.4,-112.4,0,0,
09/21/2026,11:27:34:132,0.000000,0.000000,1,-111.44,-111.44,0,0,
09/21/2026,11:27:34:139,0.000000,0.000000,2,-110.64,-110.64,0,0,
09/21/2026,11:27:34:199,0.000000,0.000000,3,-93.7,-93.7,0,0,
09/21/2026,11:27:34:239,0.000000,0.000000,4,-113.35,-113.35,0,0,
09/21/2026,11:27:34:363,0.000000,0.000000,1,-112.81,-112.81,0,0,
09/21/2026,11:27:34:414,0.000000,0.000000,2,-109.79,-109.79,0,0,
09/21/2026,11:27:34:829,0.000000,0.000000,3,-91.61,-91.61,0,0,
09/21/2026,11:27:34:886,0.000000,0.000000,4,-114.54,-114.54,0,0,
09/21/2026,11:27:34:934,0.000000,0.000000,1,-113.46,-113.46,0,0,
09/21/2026,11:27:34:949,0.000000,0.000000,2,-109.93,-109.93,0,0,
09/21/2026,11:27:34:971,0.000000,0.000000,3,-82.64,-82.64,0,0,
09/21/2026,11:27:35:012,0.000000,0.000000,4,-112.81,-112.81,0,0,
09/21/2026,11:27:35:088,0.000000,0.000000,1,-113.83,-113.83,0,0,
09/21/2026,11:27:35:118,0.000000,0.000000,2,-111.85,-111.85,0,0,
09/21/2026,11:27:35:135,0.000000,0.000000,3,-78.13,-78.13,0,0,
09/21/2026,11:27:35:156,0.000000,0.000000,4,-114.59,-114.59,0,0,
09/21/2026,11:27:35:250,0.000000,0.000000,1,-111.32,-111.32,0,0,
09/21/2026,11:27:35:274,0.000000,0.000000,2,-110.37,-110.37,0,0,
09/21/2026,11:27:35:295,0.000000,0.000000,3,-91.16,-91.16,0,0,
09/21/2026,11:27:35:354,0.000000,0.000000,4,-113.46,-113.46,0,0,
09/21/2026,11:27:35:475,0.000000,0.000000,1,-113.98,-113.98,0,0,
09/21/2026,11:27:35:515,0.000000,0.000000,2,-109.99,-109.99,0,0,
09/21/2026,11:27:35:561,0.000000,0.000000,3,-81.19,-81.19,0,0,
09/21/2026,11:27:35:654,0.000000,0.000000,4,-113.88,-113.88,0,0,
09/21/2026,11:27:35:756,0.000000,0.000000,1,-110.54,-110.54,0,0,
09/21/2026,11:27:35:790,0.000000,0.000000,2,-110.45,-110.45,0,0,
09/21/2026,11:27:35:843,0.000000,0.000000,3,-84.98,-84.98,0,0,
09/21/2026,11:27:35:911,0.000000,0.000000,4,-112.48,-112.48,0,0,
